timeBin,TAZ,avgWait,medianWait,numberOfPickups,avgPoolingDelay,numberOfPooledPickups
15,333.0,25.0,25.0,1,0,0
8,442.0,0.0,0.0,1,0,0
7,488.0,0.0,0.0,1,0,0
11,442.0,0.0,0.0,1,0,0
16,477.0,0.0,0.0,1,0,0
15,477.0,0.0,0.0,1,0,0
20,477.0,0.0,0.0,4,0,0
18,477.0,0.0,0.0,2,0,0
19,477.0,0.0,0.0,1,0,0
16,420.0,3.0,3.0,1,0,0
16,311.0,14.5,14.5,4,0,0
18,311.0,297.5,297.5,2,0,0
17,311.0,694.0,694.0,1,0,0
10,357.0,15.0,15.0,1,0,0
24,357.0,115.0,115.0,2,0,0
23,311.0,41.0,41.0,1,0,0
23,357.0,0.0,0.0,1,0,0
22,357.0,0.0,0.0,1,0,0
19,311.0,33.0,33.0,1,0,0
28,311.0,742.0,742.0,1,0,0
20,248.0,55.0,55.0,1,0,0
16,300.0,50.5,50.5,4,0,0
15,300.0,22.0,22.0,1,0,0
14,346.0,12.0,12.0,1,0,0
18,300.0,30.0,30.0,6,0,0
17,300.0,49.9,30.0,10,0,0
11,346.0,18.0,18.0,1,0,0
10,346.0,159.0,159.0,1,0,0
13,300.0,80.0,80.0,1,0,0
24,300.0,53.5,53.5,2,0,0
20,300.0,105.0,105.0,1,0,0
19,300.0,31.25,30.0,4,0,0
22,300.0,75.5,75.5,2,0,0
21,300.0,48.0,48.0,2,0,0
17,444.0,3.0,3.0,1,0,0
13,444.0,116.0,116.0,1,0,0
9,311.0,105.0,105.0,1,0,0
18,444.0,0.0,0.0,1,0,0
15,290.0,0.0,0.0,1,0,0
19,290.0,164.5,164.5,2,0,0
18,290.0,73.0,73.0,1,0,0
24,479.0,0.0,0.0,2,0,0
23,335.0,0.0,0.0,1,0,0
24,335.0,41.0,41.0,2,0,0
21,335.0,0.0,0.0,1,0,0
8,444.0,8.0,8.0,1,0,0
20,335.0,0.0,0.0,2,0,0
15,479.0,0.0,0.0,1,0,0
22,479.0,0.0,0.0,1,0,0
23,479.0,0.0,0.0,1,0,0
18,479.0,0.0,0.0,2,0,0
17,479.0,0.0,0.0,1,0,0
14,422.0,1.5,1.5,2,0,0
15,422.0,4.0,4.0,2,0,0
16,422.0,4.0,4.0,2,0,0
17,422.0,3.5714285714285716,3.0,7,0,0
18,422.0,2.6666666666666665,0.0,3,0,0
19,422.0,4.75,5.5,4,0,0
20,422.0,8.0,8.0,1,0,0
10,359.0,0.0,0.0,1,0,0
18,359.0,100.0,100.0,1,0,0
16,359.0,66.0,66.0,2,0,0
12,457.0,2.0,2.0,1,0,0
21,457.0,0.0,0.0,1,0,0
20,457.0,26.0,26.0,1,0,0
23,457.0,27.0,27.0,1,0,0
16,457.0,13.5,13.5,2,0,0
19,457.0,0.0,0.0,3,0,0
18,457.0,0.0,0.0,1,0,0
16,302.0,16.0,16.0,1,0,0
15,302.0,3.0,3.0,1,0,0
24,446.0,525.8,802.0,5,0,0
12,302.0,12.0,12.0,1,0,0
27,446.0,43.0,43.0,1,0,0
22,302.0,126.0,126.0,2,0,0
21,302.0,72.0,72.0,1,0,0
24,302.0,99.66666666666667,107.0,3,0,0
18,302.0,9.5,9.5,2,0,0
17,302.0,8.75,8.5,4,0,0
20,302.0,14.75,2.0,4,0,0
12,446.0,7.0,7.0,2,0,0
12,400.0,0.0,0.0,1,0,0
15,446.0,0.3333333333333333,0.0,3,0,0
14,446.0,0.0,0.0,1,0,0
17,400.0,117.0,117.0,1,0,0
8,446.0,0.0,0.0,1,0,0
16,400.0,76.5,76.5,2,0,0
11,446.0,0.0,0.0,2,0,0
15,400.0,85.0,85.0,1,0,0
21,446.0,26.5,11.5,4,0,0
21,400.0,0.0,0.0,1,0,0
20,446.0,213.125,37.0,8,0,0
19,400.0,418.5,418.5,2,0,0
23,446.0,204.66666666666666,2.0,3,0,0
18,400.0,0.0,0.0,1,0,0
22,446.0,204.0,0.0,3,0,0
17,446.0,14.75,8.0,4,0,0
16,446.0,0.3333333333333333,0.0,3,0,0
24,400.0,0.0,0.0,1,0,0
19,446.0,197.25,3.0,8,0,0
18,446.0,1.0,1.0,4,0,0
15,375.0,0.0,0.0,2,0,0
16,375.0,5.285714285714286,0.0,7,0,0
17,375.0,0.0,0.0,4,0,0
18,375.0,0.0,0.0,1,0,0
19,375.0,0.0,0.0,1,0,0
20,375.0,0.0,0.0,2,0,0
22,364.0,56.0,56.0,1,0,0
18,409.0,0.0,0.0,4,0,0
23,364.0,0.0,0.0,1,0,0
17,409.0,0.0,0.0,3,0,0
15,364.0,0.0,0.0,1,0,0
17,364.0,9.0,9.0,1,0,0
18,364.0,20.0,20.0,1,0,0
11,375.0,0.0,0.0,2,0,0
12,375.0,0.0,0.0,1,0,0
15,409.0,0.0,0.0,1,0,0
20,353.0,13.333333333333334,20.0,3,0,0
19,353.0,20.0,20.0,1,0,0
18,353.0,2.0,2.0,1,0,0
14,353.0,4.5,4.5,2,0,0
24,353.0,0.0,0.0,1,0,0
23,353.0,0.0,0.0,2,0,0
22,353.0,4.0,4.0,1,0,0
21,353.0,12.0,12.0,2,0,0
15,486.0,4.0,4.0,1,0,0
12,353.0,3.0,3.0,1,0,0
19,377.0,352.5,352.5,2,0,0
19,331.0,17.5,17.5,2,0,0
20,377.0,120.0,120.0,1,0,0
20,331.0,42.0,42.0,1,0,0
21,377.0,7.5,7.5,2,0,0
18,331.0,2.0,2.0,1,0,0
15,331.0,45.0,45.0,1,0,0
23,377.0,64.5,64.5,2,0,0
24,377.0,163.25,0.0,4,0,0
25,377.0,499.0,499.0,1,0,0
15,377.0,120.0,120.0,1,0,0
23,331.0,2.0,2.0,1,0,0
16,377.0,0.0,0.0,1,0,0
24,331.0,54.0,68.0,5,0,0
21,331.0,14.666666666666666,2.0,3,0,0
18,377.0,0.0,0.0,2,0,0
22,331.0,14.666666666666666,2.0,3,0,0
19,320.0,142.0,79.0,3,0,0
20,320.0,147.66666666666666,70.0,3,0,0
17,320.0,43.857142857142854,0.0,7,0,0
18,320.0,38.0,38.0,2,0,0
15,320.0,0.0,0.0,1,0,0
13,320.0,37.0,37.0,2,0,0
14,320.0,20.5,20.5,2,0,0
23,320.0,0.0,0.0,2,0,0
24,320.0,1651.0,1651.0,1,0,0
21,320.0,92.0,50.0,4,0,0
22,320.0,248.66666666666666,373.0,3,0,0
19,464.0,0.0,0.0,1,0,0
16,464.0,25.0,25.0,1,0,0
14,464.0,25.0,25.0,1,0,0
13,464.0,16.0,16.0,1,0,0
9,331.0,0.0,0.0,1,0,0
25,464.0,0.0,0.0,1,0,0
22,464.0,25.0,25.0,2,0,0
18,355.0,0.0,0.0,1,0,0
16,355.0,0.0,0.0,1,0,0
24,355.0,311.0,311.0,2,0,0
21,355.0,0.0,0.0,1,0,0
19,355.0,0.0,0.0,2,0,0
17,442.0,0.0,0.0,1,0,0
16,442.0,0.0,0.0,3,0,0
16,488.0,0.0,0.0,1,0,0
15,488.0,0.0,0.0,1,0,0
19,442.0,0.0,0.0,1,0,0
14,442.0,0.0,0.0,1,0,0
20,488.0,0.0,0.0,2,0,0
20,442.0,0.0,0.0,1,0,0
19,488.0,0.0,0.0,5,0,0
23,442.0,0.0,0.0,1,0,0
18,488.0,0.0,0.0,3,0,0
24,439.0,12.88888888888889,0.0,9,0,0
20,439.0,0.0,0.0,3,0,0
21,439.0,0.0,0.0,6,0,0
22,439.0,0.0,0.0,1,0,0
23,439.0,0.0,0.0,1,0,0
16,439.0,58.0,58.0,1,0,0
17,285.0,22.0,22.0,1,0,0
