Bin,AverageLinkSpeed
0,0,100.0
1,1,100.0
2,2,100.0
3,3,100.0
4,4,100.0
5,5,100.0
6,6,99.98173534151896
7,7,99.99999999999999
8,8,95.47155478071721
9,9,88.52705183054118
10,10,88.49693826763571
11,11,88.67505235051237
12,12,89.01828061845212
13,13,89.3419267530476
14,14,89.52278663689879
15,15,89.55530590280841
16,16,89.64313068378523
17,17,89.23698848102953
18,18,87.72081606259592
19,19,86.39727536376034
20,20,86.29586672693124
21,21,86.47398263838873
22,22,87.29669097239136
23,23,87.61721572904005
24,24,87.81713371663704
25,25,88.49258543302425
26,26,88.72325509397936
27,27,89.05645003055349
28,28,89.74186507086463
29,29,91.51597866409233
30,30,100.0
