hour,numPassengers,vkt
7,0,0.0
7,1,6551.669
8,0,1052.618
8,1,36508.818
9,0,733.125
9,1,14786.683
10,0,1188.905
10,1,24784.066
11,0,342.677
11,1,42447.62699999999
12,0,2350.259
12,1,71469.506
13,0,12740.655000000006
13,1,96167.26100000001
14,0,3001.932
14,1,176329.84900000002
15,0,10113.702999999996
15,1,309309.7979999999
16,0,17971.358999999993
16,1,425787.9450000001
17,0,21451.357999999993
17,1,665738.407
18,0,25472.922999999995
18,1,688663.0980000001
19,0,23216.483999999997
19,1,634195.9169999998
20,0,20503.83099999999
20,1,767390.8209999998
21,0,15660.993000000011
21,1,733491.7440000001
22,0,14241.431999999999
22,1,617685.8939999997
23,0,11405.021000000008
23,1,326474.60699999996
24,0,65539.51799999997
24,1,1353244.8680000005
25,0,13176.635999999999
25,1,316614.74600000004
26,0,7758.430999999999
26,1,86067.153
27,0,147.854
27,1,44606.711
28,0,233.486
28,1,8818.563
29,0,2991.559
29,1,2874.344
