TazId,DataType,Value,Hour
1.0,pricelevel,1.0,1
1.0,revenue,0.0,1
1.0,pricelevel,1.0,2
1.0,revenue,0.0,2
1.0,pricelevel,1.0,3
1.0,revenue,0.0,3
1.0,pricelevel,1.0,4
1.0,revenue,0.0,4
1.0,pricelevel,1.0,5
1.0,revenue,0.0,5
1.0,pricelevel,1.0,6
1.0,revenue,0.0,6
1.0,pricelevel,1.0,7
1.0,revenue,0.0,7
1.0,pricelevel,1.0,8
1.0,revenue,0.0,8
1.0,pricelevel,1.0,9
1.0,revenue,0.0,9
1.0,pricelevel,1.0,10
1.0,revenue,0.0,10
1.0,pricelevel,1.0,11
1.0,revenue,0.0,11
1.0,pricelevel,1.0,12
1.0,revenue,0.0,12
1.0,pricelevel,1.0,13
1.0,revenue,0.0,13
1.0,pricelevel,1.0,14
1.0,revenue,0.0,14
1.0,pricelevel,1.0,15
1.0,revenue,0.0,15
1.0,pricelevel,1.0,16
1.0,revenue,0.0,16
1.0,pricelevel,1.0,17
1.0,revenue,0.0,17
1.0,pricelevel,1.0,18
1.0,revenue,0.0,18
1.0,pricelevel,1.0,19
1.0,revenue,0.0,19
1.0,pricelevel,1.0,20
1.0,revenue,0.0,20
1.0,pricelevel,1.0,21
1.0,revenue,0.0,21
1.0,pricelevel,1.0,22
1.0,revenue,0.0,22
1.0,pricelevel,1.0,23
1.0,revenue,0.0,23
1.0,pricelevel,1.0,24
1.0,revenue,0.0,24
1.0,pricelevel,1.0,25
1.0,revenue,0.0,25
1.0,pricelevel,1.0,26
1.0,revenue,0.0,26
1.0,pricelevel,1.0,27
1.0,revenue,0.0,27
1.0,pricelevel,1.0,28
1.0,revenue,0.0,28
1.0,pricelevel,1.0,29
1.0,revenue,0.0,29
1.0,pricelevel,1.0,30
1.0,revenue,0.0,30
1.0,pricelevel,1.0,31
1.0,revenue,0.0,31
10.0,pricelevel,1.0,1
10.0,revenue,0.0,1
10.0,pricelevel,1.0,2
10.0,revenue,0.0,2
10.0,pricelevel,1.0,3
10.0,revenue,0.0,3
10.0,pricelevel,1.0,4
10.0,revenue,0.0,4
10.0,pricelevel,1.0,5
10.0,revenue,0.0,5
10.0,pricelevel,1.0,6
10.0,revenue,0.0,6
10.0,pricelevel,1.0,7
10.0,revenue,0.0,7
10.0,pricelevel,1.0,8
10.0,revenue,0.0,8
10.0,pricelevel,1.0,9
10.0,revenue,0.0,9
10.0,pricelevel,1.0,10
10.0,revenue,0.0,10
10.0,pricelevel,1.0,11
10.0,revenue,0.0,11
10.0,pricelevel,1.0,12
10.0,revenue,0.0,12
10.0,pricelevel,1.0,13
10.0,revenue,0.0,13
10.0,pricelevel,1.0,14
10.0,revenue,0.0,14
10.0,pricelevel,1.0,15
10.0,revenue,0.0,15
10.0,pricelevel,1.0,16
10.0,revenue,0.0,16
10.0,pricelevel,1.0,17
10.0,revenue,0.0,17
10.0,pricelevel,1.0,18
10.0,revenue,0.0,18
10.0,pricelevel,1.0,19
10.0,revenue,0.0,19
10.0,pricelevel,1.0,20
10.0,revenue,0.0,20
10.0,pricelevel,1.0,21
10.0,revenue,0.0,21
10.0,pricelevel,1.0,22
10.0,revenue,0.0,22
10.0,pricelevel,1.0,23
10.0,revenue,0.0,23
10.0,pricelevel,1.0,24
10.0,revenue,0.0,24
10.0,pricelevel,1.0,25
10.0,revenue,0.0,25
10.0,pricelevel,1.0,26
10.0,revenue,0.0,26
10.0,pricelevel,1.0,27
10.0,revenue,0.0,27
10.0,pricelevel,1.0,28
10.0,revenue,0.0,28
10.0,pricelevel,1.0,29
10.0,revenue,0.0,29
10.0,pricelevel,1.0,30
10.0,revenue,0.0,30
10.0,pricelevel,1.0,31
10.0,revenue,0.0,31
100.0,pricelevel,1.0,1
100.0,revenue,0.0,1
100.0,pricelevel,1.0,2
100.0,revenue,0.0,2
100.0,pricelevel,1.0,3
100.0,revenue,0.0,3
100.0,pricelevel,1.0,4
100.0,revenue,0.0,4
100.0,pricelevel,1.0,5
100.0,revenue,0.0,5
100.0,pricelevel,1.0,6
100.0,revenue,0.0,6
100.0,pricelevel,1.0,7
100.0,revenue,0.0,7
100.0,pricelevel,1.0,8
100.0,revenue,0.0,8
100.0,pricelevel,1.0,9
100.0,revenue,0.0,9
100.0,pricelevel,1.0,10
100.0,revenue,0.0,10
100.0,pricelevel,1.0,11
100.0,revenue,0.0,11
100.0,pricelevel,1.0,12
100.0,revenue,0.0,12
100.0,pricelevel,1.0,13
100.0,revenue,0.0,13
100.0,pricelevel,1.0,14
100.0,revenue,0.0,14
100.0,pricelevel,1.0,15
100.0,revenue,0.0,15
100.0,pricelevel,1.0,16
100.0,revenue,0.0,16
100.0,pricelevel,1.0,17
100.0,revenue,0.0,17
100.0,pricelevel,1.0,18
100.0,revenue,0.0,18
100.0,pricelevel,1.0,19
100.0,revenue,0.0,19
100.0,pricelevel,1.0,20
100.0,revenue,0.0,20
100.0,pricelevel,1.0,21
