timeOfDayInSeconds,personId,rideHailVehicleId,waitingTimeInSeconds
28228.0,1101-2013000843576-049027,rideHailVehicle-10102-2012000353261-46914,50.0
28317.0,1200-2012000871125-017854,rideHailVehicle-1101-2013000345554-037715,135.0
28390.0,1106-2013000916346-150340,rideHailVehicle-1106-2013001128965-053811,8.0
28500.0,10104-2013000402257-139566,rideHailVehicle-10104-2013001059260-152772,32.0
28720.0,1105-2016000012225-3124445,rideHailVehicle-1105-2016001257783-0153062,19.0
28925.0,600-2012001471932-029353,rideHailVehicle-600-2014001198914-087319,40.0
29259.0,1002-2013000576300-043899,rideHailVehicle-1002-2014000039346-161549,22.0
29341.0,201-2012000633457-012637,rideHailVehicle-201-2015000850269-0110475,5.0
29385.0,1901-2013001181429-054974,rideHailVehicle-1500-2012000629682-012463,231.0
29514.0,1600-2012001302805-025151,rideHailVehicle-1600-2012000493995-010046,44.0
29659.0,401-2016000086561-0126840,rideHailVehicle-500-2016000607896-1139226,40.0
30309.0,500-2012000938214-018884,rideHailVehicle-500-2015001091707-0115869,43.0
30355.0,500-2016000510160-0136733,rideHailVehicle-500-2016000510160-0136733,58.0
30455.0,1200-2014000723051-076246,rideHailVehicle-1200-2014000053367-261999,43.0
30695.0,600-2014000487730-071483,rideHailVehicle-600-2014000114846-063990,50.0
30839.0,1500-2015001363337-0121824,rideHailVehicle-1600-2013001200076-055641,1.0
31926.0,300-2012000805694-015681,rideHailVehicle-300-2016000510160-1136725,27.0
32126.0,1700-2015000635597-0103538,rideHailVehicle-1600-2013001394719-358858,43.0
32126.0,1700-2014000987574-081110,rideHailVehicle-1700-2014000987574-081186,42.0
32367.0,700-2015001196834-0117981,rideHailVehicle-700-2012000855549-017685,23.0
33292.0,1902-2015000087715-092768,rideHailVehicle-1902-2014000495145-072101,13.0
33391.0,1600-2014000596551-074747,rideHailVehicle-1600-2016000559873-1138350,44.0
33592.0,1500-2013001394719-058847,rideHailVehicle-10600-2016000275343-0131491,32.0
33654.0,201-2015000103285-093049,rideHailVehicle-201-2013001007282-051679,241.0
34364.0,100-2012000217991-04404,rideHailVehicle-100-2014000488669-071591,24.0
35299.0,300-2016001223046-0151997,rideHailVehicle-300-2012000903731-018299,29.0
35578.0,700-2014000946857-080297,rideHailVehicle-700-2014001231792-088122,139.0
36068.0,1002-2015000712347-1104981,rideHailVehicle-1200-2015000732389-1105746,14.0
36300.0,100-2012000217991-04448,rideHailVehicle-100-2012000217991-04360,71.0
36460.0,1001-2013001157196-054611,rideHailVehicle-202-2013001290223-057235,123.0
36876.0,300-2016001223046-0151821,rideHailVehicle-300-2015001225649-0118808,23.0
37534.0,401-2016000086561-0126840,rideHailVehicle-500-2016000607896-1139226,20.0
38123.0,201-2012000633457-012637,rideHailVehicle-700-2015000949415-1112860,22.0
38350.0,10600-2013001219485-056047,rideHailVehicle-10600-2016000030344-0125261,88.0
39168.0,10405-2014000992862-081760,rideHailVehicle-10405-2013001219485-056046,43.0
39310.0,700-2015000949415-1112929,rideHailVehicle-700-2016000266802-0131133,36.0
39442.0,700-2016001368397-0153977,rideHailVehicle-900-2016000327234-0132073,38.0
39745.0,700-2015001196834-0117981,rideHailVehicle-700-2012000855549-017685,31.0
39793.0,1500-2016000250854-1130529,rideHailVehicle-10104-2013001059260-152772,1.0
39633.0,1803-2012000813155-115867,rideHailVehicle-1801-2013000226280-134981,50.0
39786.0,1500-2014001338541-089752,rideHailVehicle-1500-2013000487483-041844,50.0
40129.0,900-2013000298655-037350,rideHailVehicle-202-2013000258802-035711,17.0
40502.0,1500-2016000250854-1130705,rideHailVehicle-1500-2013000487483-041844,1.0
40541.0,10600-2016001216686-0151293,rideHailVehicle-10600-2015000804471-0108164,57.0
40759.0,700-2015000949415-1112998,rideHailVehicle-700-2013001269612-056882,51.0
40966.0,700-2016000086561-0126809,rideHailVehicle-700-2014001221401-087857,9.0
41193.0,1001-2016000647792-0140557,rideHailVehicle-1001-2015000804471-0108125,58.0
41611.0,700-2016000770003-0143123,rideHailVehicle-700-2014001231792-088122,23.0
41778.0,1001-2015000804471-0108053,rideHailVehicle-1001-2016001487612-0157322,58.0
41953.0,100-2016000544078-0137723,rideHailVehicle-100-2016000544078-0137597,115.0
43123.0,1902-2015000087715-092768,rideHailVehicle-1902-2014000495145-072101,0.0
43462.0,1500-2014000180574-065440,rideHailVehicle-600-2016000550401-0138059,43.0
43798.0,10405-2016001210775-1151217,rideHailVehicle-10405-2013001099005-153678,58.0
43946.0,1600-2015000837069-0110020,rideHailVehicle-1600-2012001239814-024234,62.0
44229.0,1500-2016000250854-1130793,rideHailVehicle-1600-2013001200076-055641,1.0
44141.0,10405-2012001067422-021806,rideHailVehicle-10405-2014001404766-090805,58.0
44303.0,600-2015001440276-0123206,rideHailVehicle-600-2014000987574-081400,3.0
44486.0,10600-2016000102723-0127041,rideHailVehicle-10600-2016000721039-0142174,5.0
44681.0,10405-2016000364640-0132698,rideHailVehicle-10405-2012001118760-122655,58.0
44905.0,202-2015000458232-099814,rideHailVehicle-900-2014001166634-086084,39.0
45134.0,100-2016000295788-0131854,rideHailVehicle-202-2012001341891-026284,68.0
45168.0,500-2016000510160-0136733,rideHailVehicle-1600-2013001394719-358858,45.0
45394.0,100-2012000217991-04404,rideHailVehicle-100-2014000488669-071591,44.0
45616.0,1001-2014000448294-070643,rideHailVehicle-1002-2015001369519-0121981,58.0
45740.0,1902-2014000614689-074944,rideHailVehicle-1101-2014000331760-069046,28.0
45677.0,1600-2015000837069-0110064,rideHailVehicle-1600-2015000837069-0109976,62.0
45853.0,1500-2014000180574-065440,rideHailVehicle-600-2016000550401-0138059,68.0
45841.0,201-2012000078687-01503,rideHailVehicle-100-2016000512639-0137099,188.0
46031.0,1108-2016001425564-0155106,rideHailVehicle-1105-2015001283493-0120015,132.0
46090.0,1500-2013001394719-058847,rideHailVehicle-10600-2016000275343-0131491,28.0
46211.0,10104-2015001453276-0123281,rideHailVehicle-10104-2015001453276-0123281,28.0
46323.0,10104-2015001453276-0123287,rideHailVehicle-1902-2016000829228-0144496,28.0
