,PID,Activity_ID,Activity_Type,Start_time,End_time
0,100-2012000131467-02126,100-2012000131467-02126_a-1,Home,,08:55:09
1,100-2012000131467-02126,100-2012000131467-02126_a-2,Work,09:12:19,20:42:00
2,100-2012000131467-02126,100-2012000131467-02126_a-3,Home,20:58:50,
3,100-2012000131467-02169,100-2012000131467-02169_a-1,Home,,08:35:47
4,100-2012000131467-02169,100-2012000131467-02169_a-2,Work,08:56:43,19:33:57
5,100-2012000131467-02169,100-2012000131467-02169_a-3,Home,20:16:40,
6,100-2012000131467-02212,100-2012000131467-02212_a-1,Home,,10:20:12
7,100-2012000131467-02212,100-2012000131467-02212_a-2,Work,10:28:53,23:22:34
8,100-2012000131467-02212,100-2012000131467-02212_a-3,Home,23:30:36,
9,100-2012000131467-02255,100-2012000131467-02255_a-1,Home,,08:07:27
10,100-2012000131467-02255,100-2012000131467-02255_a-2,Work,08:23:56,17:42:35
11,100-2012000131467-02255,100-2012000131467-02255_a-3,Home,18:03:26,
12,100-2012000131467-02298,100-2012000131467-02298_a-1,Home,,14:06:43
13,100-2012000131467-02298,100-2012000131467-02298_a-2,Secondary,14:13:25,17:42:50
14,100-2012000131467-02298,100-2012000131467-02298_a-3,Home,17:50:44,
15,100-2012000131467-02341,100-2012000131467-02341_a-1,Home,,10:44:12
16,100-2012000131467-02341,100-2012000131467-02341_a-2,Secondary,11:06:12,13:29:32
17,100-2012000131467-02341,100-2012000131467-02341_a-3,Home,13:50:17,
18,100-2012000131467-02384,100-2012000131467-02384_a-1,Home,,10:54:08
19,100-2012000131467-02384,100-2012000131467-02384_a-2,Secondary,11:55:47,13:30:36
20,100-2012000131467-02384,100-2012000131467-02384_a-3,Home,14:15:05,
21,100-2012000131467-02427,100-2012000131467-02427_a-1,Home,,14:20:43
22,100-2012000131467-02427,100-2012000131467-02427_a-2,Secondary,16:13:17,17:34:29
23,100-2012000131467-02427,100-2012000131467-02427_a-3,Home,19:38:18,
24,100-2012000131467-02470,100-2012000131467-02470_a-1,Home,,10:54:08
