,PID,Household_ID,Household_num_vehicles,Household_income [$]
0,10600-2013000431434-040475,10600-2013000431434-0,2,20936.0
1,1200-2014001105461-084887,1200-2014001105461-0,4,49944.0
2,1200-2014001105461-084863,1200-2014001105461-0,4,49944.0
3,1200-2014001105461-084911,1200-2014001105461-0,4,49944.0
4,1804-2013001049684-052634,1804-2013001049684-0,2,6837.0
5,405-2016000409711-0134203,405-2016000409711-0,3,132442.0
6,405-2016000409711-0134165,405-2016000409711-0,3,132442.0
7,10102-2014000448294-070598,10102-2014000448294-0,3,2390.0
8,10102-2014000448294-070495,10102-2014000448294-0,3,2390.0
9,10405-2012000251540-05097,10405-2012000251540-0,3,49152.0
10,10405-2012000251540-05178,10405-2012000251540-0,3,49152.0
11,1902-2015000087715-092834,1902-2015000087715-0,5,68140.0
12,1902-2015000087715-092768,1902-2015000087715-0,5,68140.0
13,1902-2015000087715-092867,1902-2015000087715-0,5,68140.0
14,1902-2015000087715-092801,1902-2015000087715-0,5,68140.0
15,1801-2016000280380-0131707,1801-2016000280380-0,2,15847.0
16,600-2016000996040-0147744,600-2016000996040-0,3,133968.0
17,600-2016000996040-0147800,600-2016000996040-0,3,133968.0
18,1600-2013000345554-037760,1600-2013000345554-0,3,86863.0
19,1600-2013000345554-037723,1600-2013000345554-0,3,86863.0
20,1803-2013000481572-041550,1803-2013000481572-0,3,111058.0
21,1803-2013000481572-041525,1803-2013000481572-0,3,111058.0
22,10102-2014001459793-191421,10102-2014001459793-1,3,9463.0
23,10102-2014001459793-191370,10102-2014001459793-1,3,9463.0
24,408-2012000849754-017212,408-2012000849754-0,5,131733.0
25,408-2012000849754-017179,408-2012000849754-0,5,131733.0
26,408-2012000849754-017245,408-2012000849754-0,5,131733.0
27,408-2012000849754-017278,408-2012000849754-0,5,131733.0
28,1803-2013000994680-151379,1803-2013000994680-1,4,140438.0
29,1803-2013000994680-151331,1803-2013000994680-1,4,140438.0
30,1803-2013000994680-151427,1803-2013000994680-1,4,140438.0
31,1500-2013001424451-059550,1500-2013001424451-0,4,32975.0
32,1500-2013001424451-059602,1500-2013001424451-0,4,32975.0
33,1500-2013001424451-059576,1500-2013001424451-0,4,32975.0
34,1801-2016000880566-0145832,1801-2016000880566-0,3,83185.0
35,1801-2016000880566-0145760,1801-2016000880566-0,3,83185.0
36,1105-2013000193403-134276,1105-2013000193403-1,3,17754.0
37,1105-2013000193403-134320,1105-2013000193403-1,3,17754.0
38,202-2012001365754-026876,202-2012001365754-0,3,30877.0
39,202-2012001365754-026965,202-2012001365754-0,3,30877.0
40,1002-2016000250854-0130770,1002-2016000250854-0,5,41949.0
41,1002-2016000250854-0130594,1002-2016000250854-0,5,41949.0
42,1002-2016000250854-0130682,1002-2016000250854-0,5,41949.0
43,1002-2016000250854-0130506,1002-2016000250854-0,5,41949.0
44,1002-2016000250854-0130418,1002-2016000250854-0,5,41949.0
45,1200-2012000341159-06704,1200-2012000341159-0,5,144310.0
46,1200-2012000341159-06584,1200-2012000341159-0,5,144310.0
47,1200-2012000341159-06624,1200-2012000341159-0,5,144310.0
48,1200-2012000341159-06664,1200-2012000341159-0,5,144310.0
49,1200-2015000581820-0101565,1200-2015000581820-0,2,36274.0
50,10104-2016001183526-1150352,10104-2016001183526-1,2,1463.0
51,1001-2015001149811-0116737,1001-2015001149811-0,2,26382.0
52,201-2015000103285-093049,201-2015000103285-0,2,8780.0
53,10405-2016000150529-0128279,10405-2016000150529-0,3,31471.0
54,10405-2016000150529-0128247,10405-2016000150529-0,3,31471.0
55,1804-2016000215667-0129565,1804-2016000215667-0,3,25535.0
56,1804-2016000215667-0129517,1804-2016000215667-0,3,25535.0
57,10104-2014001160693-085846,10104-2014001160693-0,4,98193.0
58,10104-2014001160693-085922,10104-2014001160693-0,4,98193.0
59,10104-2014001160693-085884,10104-2014001160693-0,4,98193.0
60,401-2013000402257-039571,401-2013000402257-0,3,38399.0
61,401-2013000402257-039536,401-2013000402257-0,3,38399.0
62,1804-2012000662466-113347,1804-2012000662466-1,4,64333.0
63,1804-2012000662466-113430,1804-2012000662466-1,4,64333.0
64,1804-2012000662466-113513,1804-2012000662466-1,4,64333.0
65,10104-2015001496113-1123742,10104-2015001496113-1,3,119280.0
66,10104-2015001496113-1123776,10104-2015001496113-1,3,119280.0
67,10600-2012001195734-023909,10600-2012001195734-0,2,4553.0
68,600-2015000788333-0107075,600-2015000788333-0,2,16111.0
69,407-2016000246130-0130114,407-2016000246130-0,5,17240.0
70,407-2016000246130-0130220,407-2016000246130-0,5,17240.0
71,407-2016000246130-0130008,407-2016000246130-0,5,17240.0
72,407-2016000246130-0130167,407-2016000246130-0,5,17240.0
73,407-2016000246130-0130061,407-2016000246130-0,5,17240.0
74,407-2016000246130-0130273,407-2016000246130-0,5,17240.0
75,1600-2016001200571-2150655,1600-2016001200571-2,2,24203.0
76,1101-2013000136970-032573,1101-2013000136970-0,3,57565.0
77,1101-2013000136970-032591,1101-2013000136970-0,3,57565.0
78,1106-2012000634858-212710,1106-2012000634858-2,3,70913.0
79,1106-2012000634858-212794,1106-2012000634858-2,3,70913.0
80,10104-2014000575823-073997,10104-2014000575823-0,2,32777.0
81,1108-2012000413869-08757,1108-2012000413869-0,2,33568.0
82,900-2016000254775-0130832,900-2016000254775-0,2,22631.0
83,1105-2014001093569-284742,1105-2014001093569-2,4,61531.0
84,1105-2014001093569-284594,1105-2014001093569-2,4,61531.0
85,1105-2014001093569-284668,1105-2014001093569-2,4,61531.0
86,1902-2012000710099-013864,1902-2012000710099-0,3,13016.0
87,1902-2012000710099-013907,1902-2012000710099-0,3,13016.0
88,1700-2015001024517-0114590,1700-2015001024517-0,4,133324.0
89,1700-2015001024517-0114546,1700-2015001024517-0,4,133324.0
90,1700-2015001024517-0114634,1700-2015001024517-0,4,133324.0
91,1804-2012001111261-022473,1804-2012001111261-0,2,29511.0
92,1002-2013000173942-033415,1002-2013000173942-0,2,36575.0
93,10102-2012001146930-023363,10102-2012001146930-0,3,33556.0
94,10102-2012001146930-023381,10102-2012001146930-0,3,33556.0
95,10405-2012000927308-018801,10405-2012000927308-0,2,24603.0
96,100-2013000341290-037585,100-2013000341290-0,4,11089.0
97,100-2013000341290-037619,100-2013000341290-0,4,11089.0
98,100-2013000341290-037551,100-2013000341290-0,4,11089.0
99,1002-2016001121006-0149491,1002-2016001121006-0,2,18611.0
100,700-2014001139730-185509,700-2014001139730-1,3,28211.0
101,700-2014001139730-185438,700-2014001139730-1,3,28211.0
102,406-2012000768371-015027,406-2012000768371-0,3,83239.0
103,406-2012000768371-015072,406-2012000768371-0,3,83239.0
104,1801-2014001362907-190302,1801-2014001362907-1,4,122062.0
105,1801-2014001362907-190398,1801-2014001362907-1,4,122062.0
106,1801-2014001362907-190350,1801-2014001362907-1,4,122062.0
107,10600-2016000102723-0126998,10600-2016000102723-0,5,70788.0
108,10600-2016000102723-0127127,10600-2016000102723-0,5,70788.0
109,10600-2016000102723-0127084,10600-2016000102723-0,5,70788.0
110,10600-2016000102723-0126955,10600-2016000102723-0,5,70788.0
111,10600-2016000102723-0127041,10600-2016000102723-0,5,70788.0
112,406-2014001093569-184723,406-2014001093569-1,4,91935.0
113,406-2014001093569-184649,406-2014001093569-1,4,91935.0
114,406-2014001093569-184575,406-2014001093569-1,4,91935.0
115,1804-2015001161098-0116830,1804-2015001161098-0,3,64861.0
116,1804-2015001161098-0116874,1804-2015001161098-0,3,64861.0
117,1901-2012001058366-021256,1901-2012001058366-0,3,146074.0
118,1901-2012001058366-021299,1901-2012001058366-0,3,146074.0
119,10104-2016000435003-2134633,10104-2016000435003-2,3,5253.0
120,10104-2016000435003-2134694,10104-2016000435003-2,3,5253.0
121,10104-2012000251540-25029,10104-2012000251540-2,3,98046.0
122,10104-2012000251540-25110,10104-2012000251540-2,3,98046.0
123,700-2012001433817-028704,700-2012001433817-0,5,42207.0
124,700-2012001433817-028824,700-2012001433817-0,5,42207.0
125,700-2012001433817-028664,700-2012001433817-0,5,42207.0
126,700-2012001433817-028784,700-2012001433817-0,5,42207.0
127,700-2012001433817-028744,700-2012001433817-0,5,42207.0
128,1105-2014001137871-085370,1105-2014001137871-0,2,9486.0
129,10104-2013000402257-139566,10104-2013000402257-1,3,86289.0
130,10104-2013000402257-139531,10104-2013000402257-1,3,86289.0
131,1500-2016000836708-0144901,1500-2016000836708-0,5,144237.0
132,1500-2016000836708-0144944,1500-2016000836708-0,5,144237.0
133,1500-2016000836708-0144858,1500-2016000836708-0,5,144237.0
134,1500-2016000836708-0144815,1500-2016000836708-0,5,144237.0
135,10104-2014000221484-166361,10104-2014000221484-1,2,24123.0
136,1200-2015001073217-0115533,1200-2015001073217-0,4,38070.0
137,1200-2015001073217-0115566,1200-2015001073217-0,4,38070.0
138,1200-2015001073217-0115599,1200-2015001073217-0,4,38070.0
139,10405-2012001118760-122789,10405-2012001118760-1,4,37737.0
140,10405-2012001118760-122655,10405-2012001118760-1,4,37737.0
141,10405-2012001118760-122722,10405-2012001118760-1,4,37737.0
142,10401-2016000055939-0125928,10401-2016000055939-0,5,18781.0
143,10401-2016000055939-0125972,10401-2016000055939-0,5,18781.0
144,10401-2016000055939-0126016,10401-2016000055939-0,5,18781.0
145,10401-2016000055939-0126060,10401-2016000055939-0,5,18781.0
146,500-2013000036383-030159,500-2013000036383-0,2,13109.0
147,900-2013000343605-037680,900-2013000343605-0,3,12910.0
148,900-2013000343605-037657,900-2013000343605-0,3,12910.0
149,300-2013000029457-029882,300-2013000029457-0,2,36024.0
150,407-2016000409711-0134167,407-2016000409711-0,3,139845.0
151,407-2016000409711-0134205,407-2016000409711-0,3,139845.0
152,1902-2012000037288-0320,1902-2012000037288-0,3,70796.0
153,1902-2012000037288-0277,1902-2012000037288-0,3,70796.0
154,10102-2014000303433-068756,10102-2014000303433-0,5,17989.0
155,10102-2014000303433-068720,10102-2014000303433-0,5,17989.0
156,10102-2014000303433-068732,10102-2014000303433-0,5,17989.0
157,10102-2014000303433-068744,10102-2014000303433-0,5,17989.0
158,1902-2016001487612-1156911,1902-2016001487612-1,5,137438.0
159,1902-2016001487612-1157037,1902-2016001487612-1,5,137438.0
160,1902-2016001487612-1157352,1902-2016001487612-1,5,137438.0
161,1902-2016001487612-1157100,1902-2016001487612-1,5,137438.0
162,1902-2016001487612-1156848,1902-2016001487612-1,5,137438.0
163,1902-2016001487612-1156785,1902-2016001487612-1,5,137438.0
164,1902-2016001487612-1156974,1902-2016001487612-1,5,137438.0
165,1902-2016001487612-1157289,1902-2016001487612-1,5,137438.0
166,1902-2016001487612-1157163,1902-2016001487612-1,5,137438.0
167,1902-2016001487612-1157226,1902-2016001487612-1,5,137438.0
168,1106-2016000772838-4143518,1106-2016000772838-4,4,62518.0
169,1106-2016000772838-4143429,1106-2016000772838-4,4,62518.0
170,1106-2016000772838-4143340,1106-2016000772838-4,4,62518.0
171,1105-2013000898478-149816,1105-2013000898478-1,2,28206.0
172,300-2012000087796-01628,300-2012000087796-0,2,25935.0
173,1600-2015000935346-0112669,1600-2015000935346-0,3,51804.0
174,1600-2015000935346-0112624,1600-2015000935346-0,3,51804.0
175,1101-2016000233714-0129910,1101-2016000233714-0,2,4058.0
176,401-2015000400656-099257,401-2015000400656-0,4,149966.0
177,401-2015000400656-099187,401-2015000400656-0,4,149966.0
178,401-2015000400656-099222,401-2015000400656-0,4,149966.0
179,10600-2015000938182-2112791,10600-2015000938182-2,2,15426.0
180,900-2015001024517-0114576,900-2015001024517-0,4,86299.0
181,900-2015001024517-0114532,900-2015001024517-0,4,86299.0
182,900-2015001024517-0114620,900-2015001024517-0,4,86299.0
183,406-2013000902944-049973,406-2013000902944-0,2,4168.0
184,700-2012000855549-017634,700-2012000855549-0,3,63580.0
185,700-2012000855549-017685,700-2012000855549-0,3,63580.0
186,1801-2016000900036-0145970,1801-2016000900036-0,4,127966.0
187,1801-2016000900036-0145933,1801-2016000900036-0,4,127966.0
188,1801-2016000900036-0146007,1801-2016000900036-0,4,127966.0
189,1101-2016000174980-1128919,1101-2016000174980-1,3,17417.0
190,1101-2016000174980-1128991,1101-2016000174980-1,3,17417.0
191,700-2015001196834-0117981,700-2015001196834-0,3,100092.0
192,700-2015001196834-0117958,700-2015001196834-0,3,100092.0
193,10104-2012000006010-02,10104-2012000006010-0,3,134863.0
194,10104-2012000006010-016,10104-2012000006010-0,3,134863.0
195,1101-2012001401526-028031,1101-2012001401526-0,3,70103.0
196,1101-2012001401526-028000,1101-2012001401526-0,3,70103.0
197,100-2015000397516-098794,100-2015000397516-0,2,15566.0
198,406-2012000662519-013567,406-2012000662519-0,3,132441.0
199,406-2012000662519-013533,406-2012000662519-0,3,132441.0
200,10102-2016001235624-0152790,10102-2016001235624-0,3,49687.0
201,10102-2016001235624-0152827,10102-2016001235624-0,3,49687.0
202,1105-2015000958106-0113047,1105-2015000958106-0,2,15295.0
203,10102-2015001065193-0115389,10102-2015001065193-0,2,11266.0
204,1901-2015000639307-0103635,1901-2015000639307-0,2,20829.0
205,1902-2016001433052-0155329,1902-2016001433052-0,5,17037.0
206,1902-2016001433052-0155369,1902-2016001433052-0,5,17037.0
207,1902-2016001433052-0155289,1902-2016001433052-0,5,17037.0
208,1902-2016001433052-0155249,1902-2016001433052-0,5,17037.0
209,1700-2013000668727-146345,1700-2013000668727-1,4,52673.0
210,1700-2013000668727-146220,1700-2013000668727-1,4,52673.0
211,1700-2013000668727-146470,1700-2013000668727-1,4,52673.0
212,10104-2012000266314-05333,10104-2012000266314-0,2,82.0
213,1101-2013000242796-035601,1101-2013000242796-0,2,12252.0
214,10102-2014000550778-573485,10102-2014000550778-5,2,655.0
215,1105-2015000203687-094954,1105-2015000203687-0,3,96375.0
216,1105-2015000203687-095003,1105-2015000203687-0,3,96375.0
217,1803-2015000354490-097791,1803-2015000354490-0,3,53516.0
218,1803-2015000354490-097808,1803-2015000354490-0,3,53516.0
219,10103-2014001175886-086558,10103-2014001175886-0,3,8920.0
220,10103-2014001175886-086544,10103-2014001175886-0,3,8920.0
221,1804-2015000367198-098095,1804-2015000367198-0,3,14854.0
222,1804-2015000367198-098138,1804-2015000367198-0,3,14854.0
223,700-2015000469232-0100116,700-2015000469232-0,3,107422.0
224,700-2015000469232-0100078,700-2015000469232-0,3,107422.0
225,1001-2014000120399-064182,1001-2014000120399-0,2,21997.0
226,408-2013000365992-138334,408-2013000365992-1,2,35941.0
227,10104-2016001310851-0153592,10104-2016001310851-0,3,48752.0
228,10104-2016001310851-0153626,10104-2016001310851-0,3,48752.0
229,10104-2014000896918-179499,10104-2014000896918-1,2,22699.0
230,1901-2016000313414-0132021,1901-2016000313414-0,2,29166.0
231,1200-2014000130010-064555,1200-2014000130010-0,2,16144.0
232,1902-2012001307179-025440,1902-2012001307179-0,3,14951.0
233,1902-2012001307179-025369,1902-2012001307179-0,3,14951.0
234,1106-2013000153878-232986,1106-2013000153878-2,2,30726.0
235,1803-2014000804142-077287,1803-2014000804142-0,5,131615.0
236,1803-2014000804142-077313,1803-2014000804142-0,5,131615.0
237,1803-2014000804142-077339,1803-2014000804142-0,5,131615.0
238,1803-2014000804142-077261,1803-2014000804142-0,5,131615.0
239,1803-2012000813155-115911,1803-2012000813155-1,5,6130.0
240,1803-2012000813155-115867,1803-2012000813155-1,5,6130.0
241,1803-2012000813155-115823,1803-2012000813155-1,5,6130.0
242,1803-2012000813155-115779,1803-2012000813155-1,5,6130.0
243,1002-2014000279897-067713,1002-2014000279897-0,3,67947.0
244,1002-2014000279897-067695,1002-2014000279897-0,3,67947.0
245,500-2015000606577-3102408,500-2015000606577-3,3,63756.0
246,500-2015000606577-3102613,500-2015000606577-3,3,63756.0
247,1804-2015000772211-0106623,1804-2015000772211-0,3,133710.0
248,1804-2015000772211-0106589,1804-2015000772211-0,3,133710.0
249,10104-2013001059260-152729,10104-2013001059260-1,5,17585.0
250,10104-2013001059260-152858,10104-2013001059260-1,5,17585.0
251,10104-2013001059260-152815,10104-2013001059260-1,5,17585.0
252,10104-2013001059260-152772,10104-2013001059260-1,5,17585.0
253,408-2015000587248-0101742,408-2015000587248-0,5,30079.0
254,408-2015000587248-0101808,408-2015000587248-0,5,30079.0
255,408-2015000587248-0101709,408-2015000587248-0,5,30079.0
256,408-2015000587248-0101775,408-2015000587248-0,5,30079.0
257,405-2014000079080-163032,405-2014000079080-1,5,142715.0
258,405-2014000079080-162981,405-2014000079080-1,5,142715.0
259,405-2014000079080-162879,405-2014000079080-1,5,142715.0
260,405-2014000079080-162930,405-2014000079080-1,5,142715.0
261,1106-2016000732943-1142222,1106-2016000732943-1,2,37104.0
262,100-2013000520267-042324,100-2013000520267-0,4,56379.0
263,100-2013000520267-042369,100-2013000520267-0,4,56379.0
264,100-2013000520267-042279,100-2013000520267-0,4,56379.0
265,900-2013000016078-029767,900-2013000016078-0,2,38833.0
266,1106-2015000784412-4107021,1106-2015000784412-4,3,88317.0
267,1106-2015000784412-4106923,1106-2015000784412-4,3,88317.0
268,1500-2014001315228-089170,1500-2014001315228-0,5,19432.0
269,1500-2014001315228-089157,1500-2014001315228-0,5,19432.0
270,1500-2014001315228-089131,1500-2014001315228-0,5,19432.0
271,1500-2014001315228-089105,1500-2014001315228-0,5,19432.0
272,1500-2014001315228-089144,1500-2014001315228-0,5,19432.0
273,1500-2014001315228-089118,1500-2014001315228-0,5,19432.0
274,1106-2013000272718-136346,1106-2013000272718-1,5,24507.0
275,1106-2013000272718-136258,1106-2013000272718-1,5,24507.0
276,1106-2013000272718-136390,1106-2013000272718-1,5,24507.0
277,1106-2013000272718-136302,1106-2013000272718-1,5,24507.0
278,10104-2015001390631-2122329,10104-2015001390631-2,2,27709.0
279,408-2016000470241-0135444,408-2016000470241-0,2,9113.0
280,1500-2014001225955-087933,1500-2014001225955-0,3,916.0
281,1500-2014001225955-087959,1500-2014001225955-0,3,916.0
282,1803-2014000053367-262370,1803-2014000053367-2,5,114661.0
283,1803-2014000053367-262016,1803-2014000053367-2,5,114661.0
284,1803-2014000053367-262134,1803-2014000053367-2,5,114661.0
285,1803-2014000053367-262252,1803-2014000053367-2,5,114661.0
286,600-2015000804471-0108120,600-2015000804471-0,5,106116.0
287,600-2015000804471-0107976,600-2015000804471-0,5,106116.0
288,600-2015000804471-0107904,600-2015000804471-0,5,106116.0
289,600-2015000804471-0108048,600-2015000804471-0,5,106116.0
290,406-2015000157314-094243,406-2015000157314-0,5,96615.0
291,406-2015000157314-094203,406-2015000157314-0,5,96615.0
292,406-2015000157314-094083,406-2015000157314-0,5,96615.0
293,406-2015000157314-094163,406-2015000157314-0,5,96615.0
294,406-2015000157314-094283,406-2015000157314-0,5,96615.0
295,406-2015000157314-094123,406-2015000157314-0,5,96615.0
296,700-2016000030344-0125240,700-2016000030344-0,2,30481.0
297,10401-2012001307179-025371,10401-2012001307179-0,3,9899.0
298,10401-2012001307179-025442,10401-2012001307179-0,3,9899.0
299,1803-2013000703874-047173,1803-2013000703874-0,4,121556.0
300,1803-2013000703874-047241,1803-2013000703874-0,4,121556.0
301,1803-2013000703874-047207,1803-2013000703874-0,4,121556.0
302,1902-2016000476834-0135854,1902-2016000476834-0,3,40740.0
303,1902-2016000476834-0135887,1902-2016000476834-0,3,40740.0
304,1101-2013000846981-049063,1101-2013000846981-0,2,32507.0
305,300-2012000829853-116502,300-2012000829853-1,4,14778.0
306,300-2012000829853-116630,300-2012000829853-1,4,14778.0
307,300-2012000829853-116566,300-2012000829853-1,4,14778.0
