iterations,car,drive_transit,others,ride_hail,walk,walk_transit
0,22001,754,3024,996,1797,1428
1,21861,746,3085,982,1848,1477
2,21897,745,3065,1018,1822,1452
3,21828,767,3077,1060,1837,1429
4,21863,705,3166,1004,1826,1436
5,21833,788,3110,1014,1820,1435
6,21910,693,3088,1052,1839,1418
7,21814,742,3148,1050,1829,1417
8,21826,813,3098,1068,1768,1426
9,21815,747,3144,1064,1829,1401
10,21817,753,3071,1104,1806,1448
11,21852,766,3077,1064,1788,1452
12,21742,767,3145,1078,1835,1432
13,21730,793,3127,1034,1896,1420
14,21811,729,3107,1082,1868,1403
15,21804,783,3085,1060,1827,1439
16,21806,749,3086,1086,1830,1443
17,21772,760,3147,1098,1797,1424
18,21669,748,3214,1074,1859,1434
19,21790,726,3125,1088,1826,1444
20,21626,786,3193,1092,1868,1435
