Iteration,onDemandRideRevenue,averageOnDemandRideWaitingTimeInSeconds,totalOnDemandRideWaitingTimeInSeconds,passengerVKT,repositioningVKT,deadHeadingVKT,averageSurgePriceLevel,maxSurgePriceLevel,reservationCount
0,4899.591666666667,1.4216532797858132,1415.9666666666699,3176.8537520000004,0.0,320.4796699999998,1.0,1.0,996
1,4996.408333333337,1.6327732518669371,1603.3833333333323,3242.744468000001,0.0,320.69495699999993,1.0,1.0,982
2,5047.799999999999,1.3656679764243642,1390.2500000000027,3235.3443759999996,0.0,312.491115,1.0,1.0,1018
3,5311.250000000008,1.580220125786163,1675.0333333333328,3439.113643999999,0.0,326.7743939999999,1.0,1.0,1060
4,4940.250000000003,1.421895750332008,1427.583333333336,3240.509526,0.0,310.57615799999996,1.0,1.0,1004
5,5057.274999999997,1.5992932281393808,1621.683333333332,3418.4412480000005,0.0,310.4256,1.0,1.0,1014
6,5287.4416666666675,1.2386089987325761,1303.01666666667,3427.3912459999997,0.0,305.100001,1.0,1.0,1052
7,5164.191666666666,1.7091269841269832,1794.5833333333323,3379.913391000001,0.0,328.623696,1.0,1.0,1050
8,5407.091666666664,1.4458957553058696,1544.2166666666687,3484.540454000001,0.0,345.74767599999996,1.0,1.0,1068
9,5473.400000000004,1.4279605263157888,1519.3499999999992,3515.667079,0.0,325.8579229999999,1.0,1.0,1064
10,5816.475000000001,1.3642210144927553,1506.100000000002,3694.226826,0.0,340.0212149999999,1.0,1.0,1104
11,5514.016666666664,1.520504385964912,1617.8166666666664,3425.0163519999996,0.0,331.795037,1.0,1.0,1064
12,5534.191666666665,1.2789115646258535,1378.6666666666702,3519.8073050000003,0.0,332.76398399999994,1.0,1.0,1078
13,5354.491666666664,1.513813668600904,1565.283333333335,3477.234366999999,0.0,311.4930189999999,1.0,1.0,1034
14,5341.758333333333,1.2883857054836747,1394.033333333336,3356.4004030000006,0.0,316.93609400000014,1.0,1.0,1082
15,5200.183333333335,1.537672955974841,1629.9333333333313,3431.180963,0.0,318.811289,1.0,1.0,1060
16,5472.016666666667,1.3329496623695551,1447.583333333337,3548.2015930000007,0.0,329.5889349999999,1.0,1.0,1086
17,5338.208333333343,1.5440346083788694,1695.3499999999985,3488.9611779999996,0.0,330.60665499999993,1.0,1.0,1098
18,5678.691666666671,1.3083954065797674,1405.21666666667,3601.888610000001,0.0,329.22120399999994,1.0,1.0,1074
19,5414.950000000002,1.6126072303921564,1754.5166666666662,3569.9949860000006,0.0,320.150221,1.0,1.0,1088
20,5508.783333333336,1.3830586080586087,1510.3000000000006,3474.8548789999995,0.0,326.67063699999994,1.0,1.0,1092
