ITERATION	avg. EXECUTED	avg. WORST	avg. AVG	avg. BEST
0	-8.882546813086215	-13.557656380782223	-8.800150913112052	-5.124470943462454
1	-8.049434287115707	-13.664789875271918	-8.833194522490931	-4.893191245238551
2	-7.854861818862389	-13.722126826552577	-8.80600173131935	-4.678729875363547
3	-7.368735333783921	-13.379294442751016	-8.723743275296123	-4.739099748170147
4	-7.069801152573551	-13.08664942216495	-8.600261381776317	-4.7446272870142145
5	-6.8692998125172915	-12.858473240838215	-8.399658210206942	-4.611708320936373
6	-6.351548275805834	-12.450916887418918	-8.132714257960842	-4.5588572286878355
7	-5.94393045950752	-11.898505779546722	-7.814218089453993	-4.469914326308934
8	-5.751363308471595	-11.335973845306222	-7.496556279767269	-4.334047444484184
9	-5.737016695594414	-10.907877410120596	-7.231162374128303	-4.314283402222287
10	-5.430004949106584	-10.44441510696668	-6.9277322982392935	-4.177793076721267
11	-5.299516842581298	-9.852067216308855	-6.629882282331145	-4.141529086820689
12	-5.243417414020079	-9.42000235410754	-6.382164829162736	-4.083865708716664
13	-5.0939837721786345	-9.051967327803565	-6.167217299219682	-4.003273790105928
14	-5.084754849540182	-8.62342715985167	-5.979224130797688	-3.9752831167327476
15	-5.0398696408910455	-8.386792014323552	-5.829903956929488	-3.9794144423172932
16	-5.180910512566479	-8.328745422773345	-5.73540201253082	-3.916104578756679
17	-5.132605565399024	-8.035056340151478	-5.633946291520531	-3.943499727845375
18	-4.9876262301923395	-7.839583500228803	-5.522794104785013	-3.861475120140813
19	-5.009615782485886	-7.602617626706065	-5.4243297832871935	-3.888113144129458
20	-4.935596598960526	-7.372355169000137	-5.318324506922764	-3.848878263291349
