Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	mobsim	afterMobsimListeners	scoring	iterationEndsListeners	iteration
0	20:01:07	20:01:07	20:01:08			20:01:08	20:01:08	20:01:10	20:01:10	20:01:10	20:01:31	20:01:31	20:01:31	20:01:31	20:01:32	20:01:32	20:01:41	20:01:41		00:00:00		00:00:01	00:00:01	00:00:21	00:00:00	00:00:00	00:00:09	00:00:33
1	20:01:41	20:01:41	20:01:42	20:01:42	20:01:42	20:01:42	20:01:42	20:01:44	20:01:44	20:01:44	20:02:01	20:02:01	20:02:01	20:02:01	20:02:01	20:02:01	20:02:09	20:02:09		00:00:00	00:00:00	00:00:01	00:00:01	00:00:17	00:00:00	00:00:00	00:00:07	00:00:27
2	20:02:09	20:02:09	20:02:09	20:02:09	20:02:09	20:02:09	20:02:09	20:02:11	20:02:11	20:02:11	20:02:28	20:02:28	20:02:28	20:02:28	20:02:28	20:02:28	20:02:37	20:02:37		00:00:00	00:00:00	00:00:01	00:00:01	00:00:17	00:00:00	00:00:00	00:00:08	00:00:27
3	20:02:37	20:02:37	20:02:37	20:02:37	20:02:37	20:02:37	20:02:37	20:02:39	20:02:39	20:02:39	20:02:56	20:02:56	20:02:56	20:02:56	20:02:56	20:02:56	20:03:05	20:03:05		00:00:00	00:00:00	00:00:01	00:00:01	00:00:17	00:00:00	00:00:00	00:00:08	00:00:28
4	20:03:05	20:03:05	20:03:05	20:03:05	20:03:05	20:03:05	20:03:05	20:03:07	20:03:07	20:03:07	20:03:24	20:03:24	20:03:24	20:03:24	20:03:24	20:03:24	20:03:32	20:03:32		00:00:00	00:00:00	00:00:01	00:00:01	00:00:17	00:00:00	00:00:00	00:00:08	00:00:27
5	20:03:33	20:03:33	20:03:33	20:03:33	20:03:33	20:03:33	20:03:33	20:03:35	20:03:35	20:03:35	20:03:52	20:03:52	20:03:52	20:03:52	20:03:52	20:03:52	20:04:00	20:04:00		00:00:00	00:00:00	00:00:01	00:00:01	00:00:17	00:00:00	00:00:00	00:00:07	00:00:27
6	20:04:00	20:04:00	20:04:00	20:04:00	20:04:00	20:04:00	20:04:00	20:04:02	20:04:02	20:04:02	20:04:19	20:04:19	20:04:19	20:04:19	20:04:19	20:04:19	20:04:27	20:04:27		00:00:00	00:00:00	00:00:01	00:00:01	00:00:16	00:00:00	00:00:00	00:00:07	00:00:26
7	20:04:27	20:04:27	20:04:27	20:04:27	20:04:27	20:04:27	20:04:27	20:04:29	20:04:29	20:04:29	20:04:46	20:04:46	20:04:46	20:04:46	20:04:46	20:04:46	20:04:54	20:04:54		00:00:00	00:00:00	00:00:01	00:00:01	00:00:17	00:00:00	00:00:00	00:00:08	00:00:27
8	20:04:54	20:04:54	20:04:54	20:04:54	20:04:54	20:04:54	20:04:54	20:04:56	20:04:56	20:04:56	20:05:13	20:05:13	20:05:13	20:05:13	20:05:13	20:05:13	20:05:22	20:05:22		00:00:00	00:00:00	00:00:01	00:00:01	00:00:17	00:00:00	00:00:00	00:00:08	00:00:27
9	20:05:22	20:05:22	20:05:22	20:05:22	20:05:22	20:05:22	20:05:22	20:05:24	20:05:24	20:05:24	20:05:41	20:05:41	20:05:41	20:05:41	20:05:41	20:05:41	20:05:50	20:05:50		00:00:00	00:00:00	00:00:01	00:00:01	00:00:17	00:00:00	00:00:00	00:00:08	00:00:27
10	20:05:50	20:05:50	20:05:50	20:05:50	20:05:50	20:05:50	20:05:50	20:05:52	20:05:52	20:05:52	20:06:09	20:06:09	20:06:09	20:06:09	20:06:09	20:06:09	20:06:18	20:06:18		00:00:00	00:00:00	00:00:01	00:00:01	00:00:16	00:00:00	00:00:00	00:00:08	00:00:28
11	20:06:18	20:06:18	20:06:18	20:06:18	20:06:18	20:06:18	20:06:18	20:06:20	20:06:20	20:06:20	20:06:37	20:06:37	20:06:37	20:06:37	20:06:37	20:06:37	20:06:45	20:06:45		00:00:00	00:00:00	00:00:01	00:00:01	00:00:16	00:00:00	00:00:00	00:00:08	00:00:27
12	20:06:45	20:06:45	20:06:45	20:06:45	20:06:45	20:06:45	20:06:45	20:06:47	20:06:47	20:06:47	20:07:04	20:07:04	20:07:04	20:07:04	20:07:04	20:07:04	20:07:12	20:07:12		00:00:00	00:00:00	00:00:01	00:00:01	00:00:16	00:00:00	00:00:00	00:00:08	00:00:27
13	20:07:13	20:07:13	20:07:13	20:07:13	20:07:13	20:07:13	20:07:13	20:07:15	20:07:15	20:07:15	20:07:31	20:07:31	20:07:31	20:07:31	20:07:31	20:07:31	20:07:40	20:07:40		00:00:00	00:00:00	00:00:01	00:00:01	00:00:16	00:00:00	00:00:00	00:00:08	00:00:27
14	20:07:40	20:07:40	20:07:41	20:07:41	20:07:41	20:07:41	20:07:41	20:07:42	20:07:42	20:07:42	20:07:59	20:07:59	20:07:59	20:07:59	20:07:59	20:07:59	20:08:08	20:08:08		00:00:00	00:00:00	00:00:01	00:00:01	00:00:16	00:00:00	00:00:00	00:00:08	00:00:27
15	20:08:08	20:08:08	20:08:08	20:08:08	20:08:08	20:08:08	20:08:08	20:08:10	20:08:10	20:08:10	20:08:26	20:08:26	20:08:26	20:08:26	20:08:27	20:08:27	20:08:35	20:08:35		00:00:00	00:00:00	00:00:01	00:00:01	00:00:16	00:00:00	00:00:00	00:00:07	00:00:26
16	20:08:35	20:08:35	20:08:35	20:08:35	20:08:35	20:08:35	20:08:35	20:08:37	20:08:37	20:08:37	20:08:54	20:08:54	20:08:54	20:08:54	20:08:54	20:08:54	20:09:02	20:09:02		00:00:00	00:00:00	00:00:01	00:00:01	00:00:16	00:00:00	00:00:00	00:00:08	00:00:27
