personId,planIndex,planElementType,planElementIndex,activityType,activityLocationX,activityLocationY,activityEndTime,legMode
010100-2012000596480-0-179581,0,activity,0,Home,551130.2960340485,4184682.7295167553,34440.0,
010100-2012000596480-0-179581,0,leg,1,,,,,
010100-2012000596480-0-179581,0,activity,2,Shopping,552251.7401971443,4182200.3515556245,44520.0,
010100-2012000596480-0-179581,0,leg,3,,,,,
010100-2012000596480-0-179581,0,activity,4,Home,551130.2960340485,4184682.7295167553,-Infinity,
010100-2012000596480-0-179582,0,activity,0,Home,551130.2960340485,4184682.7295167553,27720.0,
010100-2012000596480-0-179582,0,leg,1,,,,,
010100-2012000596480-0-179582,0,activity,2,Other,552582.6495843935,4182680.1544600977,55860.0,
010100-2012000596480-0-179582,0,leg,3,,,,,
010100-2012000596480-0-179582,0,activity,4,Home,551130.2960340485,4184682.7295167553,61860.0,
010100-2012000596480-0-179582,0,leg,5,,,,,
010100-2012000596480-0-179582,0,activity,6,Social,553223.956307973,4182342.7639438845,64140.0,
010100-2012000596480-0-179582,0,leg,7,,,,,
010100-2012000596480-0-179582,0,activity,8,Home,551130.2960340485,4184682.7295167553,-Infinity,
010100-2012000596480-0-179583,0,activity,0,Home,551130.2960340485,4184682.7295167553,19500.0,
010100-2012000596480-0-179583,0,leg,1,,,,,
010100-2012000596480-0-179583,0,activity,2,Work,547817.7165682092,4175651.870513485,50760.0,
010100-2012000596480-0-179583,0,leg,3,,,,,
010100-2012000596480-0-179583,0,activity,4,Home,551130.2960340485,4184682.7295167553,-Infinity,
010100-2012000596480-0-179584,0,activity,0,Home,551130.2960340485,4184682.7295167553,28980.0,
010100-2012000596480-0-179584,0,leg,1,,,,,
010100-2012000596480-0-179584,0,activity,2,Work,552273.8040746253,4178885.5773629844,60180.0,
010100-2012000596480-0-179584,0,leg,3,,,,,
010100-2012000596480-0-179584,0,activity,4,Home,551130.2960340485,4184682.7295167553,-Infinity,
010100-2012000596480-0-179585,0,activity,0,Home,551130.2960340485,4184682.7295167553,30600.0,
010100-2012000596480-0-179585,0,leg,1,,,,,
010100-2012000596480-0-179585,0,activity,2,Shopping,554851.6053569254,4177635.551293127,65640.0,
010100-2012000596480-0-179585,0,leg,3,,,,,
010100-2012000596480-0-179585,0,activity,4,Home,551130.2960340485,4184682.7295167553,68400.0,
010100-2012000596480-0-179585,0,leg,5,,,,,
010100-2012000596480-0-179585,0,activity,6,Other,551378.2303795333,4180198.255111375,74880.0,
010100-2012000596480-0-179585,0,leg,7,,,,,
010100-2012000596480-0-179585,0,activity,8,Home,551130.2960340485,4184682.7295167553,-Infinity,
010100-2013001163188-0-6030634,0,activity,0,Home,552008.858154985,4184695.559585889,32520.0,
010100-2013001163188-0-6030634,0,leg,1,,,,,
010100-2013001163188-0-6030634,0,activity,2,Work,548838.1661657477,4182783.637193923,75060.0,
010100-2013001163188-0-6030634,0,leg,3,,,,,
010100-2013001163188-0-6030634,0,activity,4,Home,552008.858154985,4184695.559585889,-Infinity,
010100-2013001257089-0-3994384,0,activity,0,Home,551925.9120413212,4184714.330609082,21660.0,
010100-2013001257089-0-3994384,0,leg,1,,,,,
010100-2013001257089-0-3994384,0,activity,2,Work,552077.1476972632,4182582.103223824,24540.0,
010100-2013001257089-0-3994384,0,leg,3,,,,,
010100-2013001257089-0-3994384,0,activity,4,Home,551925.9120413212,4184714.330609082,33780.0,
010100-2013001257089-0-3994384,0,leg,5,,,,,
010100-2013001257089-0-3994384,0,activity,6,Work,552046.9606781394,4182734.3132307995,54720.0,
010100-2013001257089-0-3994384,0,leg,7,,,,,
010100-2013001257089-0-3994384,0,activity,8,Home,551925.9120413212,4184714.330609082,-Infinity,
010200-2012000376103-0-1067089,0,activity,0,Home,550734.9695197277,4184339.542214045,19500.0,
010200-2012000376103-0-1067089,0,leg,1,,,,,
010200-2012000376103-0-1067089,0,activity,2,Work,550079.5139391508,4182993.457717145,65520.0,
010200-2012000376103-0-1067089,0,leg,3,,,,,
010200-2012000376103-0-1067089,0,activity,4,Home,550734.9695197277,4184339.542214045,-Infinity,
010200-2012000376103-0-1067090,0,activity,0,Home,550734.9695197277,4184339.542214045,19500.0,
010200-2012000376103-0-1067090,0,leg,1,,,,,
010200-2012000376103-0-1067090,0,activity,2,Work,550079.5139391508,4182993.457717145,65520.0,
010200-2012000376103-0-1067090,0,leg,3,,,,,
010200-2012000376103-0-1067090,0,activity,4,Home,550734.9695197277,4184339.542214045,-Infinity,
010200-2012000700304-0-6796853,0,activity,0,Home,550745.6667712056,4183733.33916816,24840.0,
010200-2012000700304-0-6796853,0,leg,1,,,,,
010200-2012000700304-0-6796853,0,activity,2,Work,549742.6073633791,4182734.0695799654,78060.0,
010200-2012000700304-0-6796853,0,leg,3,,,,,
010200-2012000700304-0-6796853,0,activity,4,Home,550745.6667712056,4183733.33916816,-Infinity,
010200-2012000700304-0-6796854,0,activity,0,Home,550745.6667712056,4183733.33916816,21060.0,
010200-2012000700304-0-6796854,0,leg,1,,,,,
010200-2012000700304-0-6796854,0,activity,2,Eatout,552522.4190140977,4181611.4655511035,24000.0,
010200-2012000700304-0-6796854,0,leg,3,,,,,
010200-2012000700304-0-6796854,0,activity,4,Home,550745.6667712056,4183733.33916816,31860.0,
010200-2012000700304-0-6796854,0,leg,5,,,,,
010200-2012000700304-0-6796854,0,activity,6,Other,548936.5010258288,4181686.443708853,42060.0,
010200-2012000700304-0-6796854,0,leg,7,,,,,
010200-2012000700304-0-6796854,0,activity,8,Home,550745.6667712056,4183733.33916816,44400.0,
010200-2012000700304-0-6796854,0,leg,9,,,,,
010200-2012000700304-0-6796854,0,activity,10,Other,548026.8303964052,4181724.7871076185,72600.0,
010200-2012000700304-0-6796854,0,leg,11,,,,,
010200-2012000700304-0-6796854,0,activity,12,Home,550745.6667712056,4183733.33916816,-Infinity,
010200-2012000700304-0-6796855,0,activity,0,Home,550745.6667712056,4183733.33916816,67800.0,
010200-2012000700304-0-6796855,0,leg,1,,,,,
010200-2012000700304-0-6796855,0,activity,2,Eatout,550917.3469094413,4179904.1692069666,77940.0,
010200-2012000700304-0-6796855,0,leg,3,,,,,
010200-2012000700304-0-6796855,0,activity,4,Home,550745.6667712056,4183733.33916816,-Infinity,
010200-2012000700304-0-6796856,0,activity,0,Home,550745.6667712056,4183733.33916816,67800.0,
010200-2012000700304-0-6796856,0,leg,1,,,,,
010200-2012000700304-0-6796856,0,activity,2,Eatout,550917.3469094413,4179904.1692069666,77940.0,
010200-2012000700304-0-6796856,0,leg,3,,,,,
