vehicleId,vehicleTypeId,householdId
1-0,Car,016000-2014000455995-0
1-1,Car,016000-2014000455995-0
1-2,Car,016000-2014000455995-0
2-0,Car,061100-2013000008150-1
2-1,Car,061100-2013000008150-1
3-0,Car,017000-2015000063355-0
3-1,Car,017000-2015000063355-0
3-2,Car,017000-2015000063355-0
4-0,Car,012902-2016000182530-0
4-1,Car,012902-2016000182530-0
5-0,Car,011100-2014001267489-0
5-1,Car,011100-2014001267489-0
6-0,Car,021800-2012000597914-0
6-1,Car,021800-2012000597914-0
7-0,Car,010600-2015000498519-0
7-1,Car,010600-2015000498519-0
7-2,Car,010600-2015000498519-0
8-0,Car,035202-2015000355565-0
8-1,Car,035202-2015000355565-0
8-2,Car,035202-2015000355565-0
8-3,Car,035202-2015000355565-0
8-4,Car,035202-2015000355565-0
9-0,Car,031302-2013000160510-0
9-1,Car,031302-2013000160510-0
9-2,Car,031302-2013000160510-0
10-0,Car,032802-2013000341024-2
10-1,Car,032802-2013000341024-2
10-2,Car,032802-2013000341024-2
10-3,Car,032802-2013000341024-2
11-0,Car,033203-2012000297907-0
11-1,Car,033203-2012000297907-0
11-2,Car,033203-2012000297907-0
12-0,Car,042601-2012001371043-0
12-1,Car,042601-2012001371043-0
12-2,Car,042601-2012001371043-0
12-3,Car,042601-2012001371043-0
12-4,Car,042601-2012001371043-0
13-0,Car,012902-2016000616747-0
13-1,Car,012902-2016000616747-0
13-2,Car,012902-2016000616747-0
14-0,Car,012800-2014001355299-0
14-1,Car,012800-2014001355299-0
15-0,Car,035300-2015000297796-0
15-1,Car,035300-2015000297796-0
15-2,Car,035300-2015000297796-0
15-3,Car,035300-2015000297796-0
15-4,Car,035300-2015000297796-0
16-0,Car,032902-2015000237058-1
16-1,Car,032902-2015000237058-1
16-2,Car,032902-2015000237058-1
17-0,Car,012700-2012000397830-0
17-1,Car,012700-2012000397830-0
17-2,Car,012700-2012000397830-0
18-0,Car,010600-2015001346035-0
18-1,Car,010600-2015001346035-0
19-0,Car,016400-2013000081115-0
19-1,Car,016400-2013000081115-0
19-2,Car,016400-2013000081115-0
20-0,Car,026001-2015000132478-0
20-1,Car,026001-2015000132478-0
20-2,Car,026001-2015000132478-0
21-0,Car,030900-2014000226093-0
21-1,Car,030900-2014000226093-0
22-0,Car,060502-2016001173133-0
22-1,Car,060502-2016001173133-0
22-2,Car,060502-2016001173133-0
22-3,Car,060502-2016001173133-0
22-4,Car,060502-2016001173133-0
23-0,Car,020800-2013001345354-0
23-1,Car,020800-2013001345354-0
23-2,Car,020800-2013001345354-0
24-0,Car,045100-2013000254479-1
24-1,Car,045100-2013000254479-1
25-0,Car,017601-2016000823983-0
25-1,Car,017601-2016000823983-0
26-0,Car,030800-2013000290904-0
26-1,Car,030800-2013000290904-0
27-0,Car,012800-2012000307582-0
27-1,Car,012800-2012000307582-0
28-0,Car,016700-2013000416445-0
28-1,Car,016700-2013000416445-0
29-0,Car,061500-2013000303330-1
29-1,Car,061500-2013000303330-1
30-0,Car,020800-2013001279170-1
30-1,Car,020800-2013001279170-1
30-2,Car,020800-2013001279170-1
30-3,Car,020800-2013001279170-1
30-4,Car,020800-2013001279170-1
31-0,Car,017000-2015000497455-0
31-1,Car,017000-2015000497455-0
32-0,Car,042800-2016001351601-0
32-1,Car,042800-2016001351601-0
33-0,Car,031201-2014000419339-0
33-1,Car,031201-2014000419339-0
34-0,Car,047701-2012000506200-0
34-1,Car,047701-2012000506200-0
34-2,Car,047701-2012000506200-0
35-0,Car,022702-2013001174005-0
