id, rideHailManagerId, vehicleType, initialLocationX, initialLocationY, shifts, geofenceX, geofenceY, geofenceRadius
rideHailVehicle-026303-2013000882280-0-1456532, GlobalRHM, Car,550000,4180000,{10:25200};{25300:80000},550000,4180000,2500
rideHailVehicle-010900-2013000949422-0-4882436, GlobalRHM, Car,550000,4180000,{10:25200};{25300:80000},550000,4180000,2500
rideHailVehicle-030202-2016000025297-0-5404272, GlobalRHM, Car,550000,4180000,{10:25200};{25300:80000},550000,4180000,2500
rideHailVehicle-013400-2015001096767-0-8070175, GlobalRHM, Car,550000,4180000,{10:25200};{25300:80000},550000,4180000,2500
rideHailVehicle-061100-2016000747949-0-1577021, GlobalRHM, Car,550000,4180000,{10:25200};{25300:80000},550000,4180000,2500
rideHailVehicle-017000-2015000497455-0-3102598, GlobalRHM, Car,550000,4180000,{10:25200};{25300:80000},550000,4180000,2500
rideHailVehicle-016801-2012000035208-0-6028469, GlobalRHM, Car,550000,4180000,{10:25200};{25300:80000},550000,4180000,2500
rideHailVehicle-032700-2016001305358-0-2605704, GlobalRHM, Car,550000,4180000,{10:25200};{25300:80000},550000,4180000,2500
rideHailVehicle-032801-2016001006825-0-4133017, GlobalRHM, Car,550000,4180000,{10:25200};{25300:80000},550000,4180000,2500
rideHailVehicle-021800-2012001178100-1-6422122, GlobalRHM, Car,550000,4180000,{10:25200};{25300:80000},550000,4180000,2500
rideHailVehicle-033000-2013001140814-1-4636710, GlobalRHM, Car,550000,4180000,{10:25200};{25300:80000},550000,4180000,2500
rideHailVehicle-021200-2016000359631-0-5009575, GlobalRHM, Car,550000,4180000,{10:25200};{25300:80000},550000,4180000,2500
rideHailVehicle-032602-2016001358668-0-7062544, GlobalRHM, Car,550000,4180000,{10:25200};{25300:80000},550000,4180000,2500
rideHailVehicle-023003-2013000382737-0-1583442, GlobalRHM, Car,550000,4180000,{10:25200};{25300:80000},550000,4180000,2500
rideHailVehicle-035100-2015000185832-2-6296708, GlobalRHM, Car,550000,4180000,{10:25200};{25300:80000},550000,4180000,2500
rideHailVehicle-032700-2012000996623-1-6679642, GlobalRHM, Car,550000,4180000,{10:25200};{25300:80000},550000,4180000,2500
rideHailVehicle-010400-2015000635660-0-1449953, GlobalRHM, Car,550000,4180000,{10:25200};{25300:80000},550000,4180000,2500
rideHailVehicle-020700-2013000080675-0-5008510, GlobalRHM, Car,550000,4180000,{10:25200};{25300:80000},550000,4180000,2500
rideHailVehicle-035400-2016000410053-0-7952895, GlobalRHM, Car,550000,4180000,{10:25200};{25300:80000},550000,4180000,2500
rideHailVehicle-030600-2015000935210-0-1713070, GlobalRHM, Car,550000,4180000,{10:25200};{25300:80000},550000,4180000,2500
rideHailVehicle-033000-2014000885580-0-2095584, GlobalRHM, Car,550000,4180000,{10:25200};{25300:80000},550000,4180000,2500
rideHailVehicle-061400-2015001458133-0-1700975, GlobalRHM, Car,550000,4180000,{10:25200};{25300:80000},550000,4180000,2500
rideHailVehicle-012501-2016000706115-0-5135691, GlobalRHM, Car,550000,4180000,{10:25200};{25300:80000},550000,4180000,2500
rideHailVehicle-045200-2016000926749-0-1961625, GlobalRHM, Car,550000,4180000,{10:25200};{25300:80000},550000,4180000,2500
rideHailVehicle-012100-2016000719449-0-7174934, GlobalRHM, Car,550000,4180000,{10:25200};{25300:80000},550000,4180000,2500
rideHailVehicle-026001-2015000132478-0-3111506, GlobalRHM, Car,550000,4180000,{10:25200};{25300:80000},550000,4180000,2500
rideHailVehicle-035202-2015000355565-0-1206637, GlobalRHM, Car,550000,4180000,{10:25200};{25300:80000},550000,4180000,2500
rideHailVehicle-030800-2016000227368-1-2604010, GlobalRHM, Car,550000,4180000,{10:25200};{25300:80000},550000,4180000,2500
rideHailVehicle-031400-2014000788156-0-569465, GlobalRHM, Car,550000,4180000,{10:25200};{25300:80000},550000,4180000,2500
rideHailVehicle-021500-2014001179105-0-2211138, GlobalRHM, Car,550000,4180000,{10:25200};{25300:80000},550000,4180000,2500
rideHailVehicle-017000-2013001124342-0-6284029, GlobalRHM, Car,550000,4180000,{10:25200};{25300:80000},550000,4180000,2500
rideHailVehicle-010800-2014000742242-0-1067812, GlobalRHM, Car,550000,4180000,{10:25200};{25300:80000},550000,4180000,2500
rideHailVehicle-033000-2014000025730-0-3112773, GlobalRHM, Car,550000,4180000,{10:25200};{25300:80000},550000,4180000,2500
rideHailVehicle-012301-2013000721346-0-1955286, GlobalRHM, Car,550000,4180000,{10:25200};{25300:80000},550000,4180000,2500
rideHailVehicle-035201-2015001379985-0-6168297, GlobalRHM, Car,550000,4180000,{10:25200};{25300:80000},550000,4180000,2500
rideHailVehicle-031400-2014000788156-0-569459, GlobalRHM, Car,550000,4180000,{10:25200};{25300:80000},550000,4180000,2500
rideHailVehicle-030800-2016000227368-1-2604013, GlobalRHM, Car,550000,4180000,{10:25200};{25300:80000},550000,4180000,2500
rideHailVehicle-016300-2013000560401-0-3485056, GlobalRHM, Car,550000,4180000,{10:25200};{25300:80000},550000,4180000,2500
rideHailVehicle-033100-2015001057865-0-7697767, GlobalRHM, Car,550000,4180000,{10:25200};{25300:80000},550000,4180000,2500
rideHailVehicle-061500-2013001018912-0-6409905, GlobalRHM, Car,550000,4180000,{10:25200};{25300:80000},550000,4180000,2500
rideHailVehicle-032601-2013001043506-0-442533, GlobalRHM, Car,550000,4180000,{10:25200};{25300:80000},550000,4180000,2500
rideHailVehicle-015500-2014000174901-0-3612082, GlobalRHM, Car,550000,4180000,{10:25200};{25300:80000},550000,4180000,2500
rideHailVehicle-016400-2014000107126-0-2340766, GlobalRHM, Car,550000,4180000,{10:25200};{25300:80000},550000,4180000,2500
