"vehicleId","vehicleTypeId"
"1-0","CAV"
"1-1","CAV"
"1-2","CAV"
"2-0","CAV"
"2-1","CAV"
"2-2","CAV"
"2-3","CAV"
"2-4","CAV"
"3-0","CAV"
"3-1","CAV"
"4-0","CAV"
"4-1","CAV"
"4-2","CAV"
"5-0","CAV"
"5-1","CAV"
"6-0","CAV"
"6-1","CAV"
"7-0","CAV"
"7-1","CAV"
"7-2","CAV"
"8-0","CAV"
"8-1","CAV"
"9-0","CAV"
"9-1","CAV"
"10-0","CAV"
"10-1","CAV"
"11-0","CAV"
"11-1","CAV"
"12-0","CAV"
"12-1","CAV"
"12-2","CAV"
"12-3","CAV"
"13-0","CAV"
"13-1","CAV"
"13-2","CAV"
"14-0","CAV"
"14-1","CAV"
"14-2","CAV"
"14-3","CAV"
"14-4","CAV"
"15-0","CAV"
"15-1","CAV"
"16-0","CAV"
"16-1","CAV"
"16-2","CAV"
"16-3","CAV"
"16-4","CAV"
"17-0","CAV"
"17-1","CAV"
"18-0","CAV"
"18-1","CAV"
"18-2","CAV"
"18-3","CAV"
"19-0","CAV"
"19-1","CAV"
"20-0","CAV"
"20-1","CAV"
"20-2","CAV"
"21-0","CAV"
"21-1","CAV"
"22-0","CAV"
"22-1","CAV"
"23-0","CAV"
"23-1","CAV"
"23-2","CAV"
"23-3","CAV"
"23-4","CAV"
"24-0","CAV"
"24-1","CAV"
"24-2","CAV"
"24-3","CAV"
"24-4","CAV"
"25-0","CAV"
"25-1","CAV"
"25-2","CAV"
"25-3","CAV"
"25-4","CAV"
"26-0","CAV"
"26-1","CAV"
"27-0","CAV"
"27-1","CAV"
"27-2","CAV"
"28-0","CAV"
"28-1","CAV"
"29-0","CAV"
"29-1","CAV"
"29-2","CAV"
"29-3","CAV"
"30-0","CAV"
"30-1","CAV"
"30-2","CAV"
"30-3","CAV"
"31-0","CAV"
"31-1","CAV"
"31-2","CAV"
"31-3","CAV"
"32-0","CAV"
"32-1","CAV"
"33-0","CAV"
"33-1","CAV"
"33-2","CAV"
"33-3","CAV"
"34-0","CAV"
"34-1","CAV"
"34-2","CAV"
"35-0","CAV"
"35-1","CAV"
"35-2","CAV"
"35-3","CAV"
"35-4","CAV"
"36-0","CAV"
"36-1","CAV"
"37-0","CAV"
"37-1","CAV"
"38-0","CAV"
"38-1","CAV"
"38-2","CAV"
"39-0","CAV"
"39-1","CAV"
"39-2","CAV"
"40-0","CAV"
"40-1","CAV"
"40-2","CAV"
"40-3","CAV"
"41-0","CAV"
"41-1","CAV"
"41-2","CAV"
"42-0","CAV"
"42-1","CAV"
"42-2","CAV"
"42-3","CAV"
"43-0","CAV"
"43-1","CAV"
"43-2","CAV"
"43-3","CAV"
"44-0","CAV"
"44-1","CAV"
"44-2","CAV"
"45-0","CAV"
"45-1","CAV"
"46-0","CAV"
"46-1","CAV"
"46-2","CAV"
"47-0","CAV"
"47-1","CAV"
"48-0","CAV"
"48-1","CAV"
"49-0","CAV"
"49-1","CAV"
"49-2","CAV"
"50-0","CAV"
"50-1","CAV"
"51-0","CAV"
"51-1","CAV"
"51-2","CAV"
"51-3","CAV"
"52-0","CAV"
"52-1","CAV"
"52-2","CAV"
"52-3","CAV"
"52-4","CAV"
"53-0","CAV"
"53-1","CAV"
"53-2","CAV"
"53-3","CAV"
"53-4","CAV"
"54-0","CAV"
"54-1","CAV"
"54-2","CAV"
"54-3","CAV"
"55-0","CAV"
"55-1","CAV"
"55-2","CAV"
"56-0","CAV"
"56-1","CAV"
"57-0","CAV"
"57-1","CAV"
"57-2","CAV"
"58-0","CAV"
"58-1","CAV"
"58-2","CAV"
"58-3","CAV"
"59-0","CAV"
"59-1","CAV"
"59-2","CAV"
"59-3","CAV"
"59-4","CAV"
"60-0","CAV"
"60-1","CAV"
"60-2","CAV"
"60-3","CAV"
"60-4","CAV"
"61-0","CAV"
"61-1","CAV"
"61-2","CAV"
"62-0","CAV"
"62-1","CAV"
"62-2","CAV"
"63-0","CAV"
"63-1","CAV"
"64-0","CAV"
"64-1","CAV"
"64-2","CAV"
"64-3","CAV"
"65-0","CAV"
"65-1","CAV"
"65-2","CAV"
"65-3","CAV"
"65-4","CAV"
"66-0","CAV"
"66-1","CAV"
"66-2","CAV"
"67-0","CAV"
"67-1","CAV"
"68-0","CAV"
"68-1","CAV"
"68-2","CAV"
"68-3","CAV"
"68-4","CAV"
"69-0","CAV"
"69-1","CAV"
"70-0","CAV"
"70-1","CAV"
"70-2","CAV"
"71-0","CAV"
"71-1","CAV"
"72-0","CAV"
"72-1","CAV"
"72-2","CAV"
"73-0","CAV"
"73-1","CAV"
"74-0","CAV"
"74-1","CAV"
"74-2","CAV"
"74-3","CAV"
"74-4","CAV"
"75-0","CAV"
"75-1","CAV"
"75-2","CAV"
"75-3","CAV"
"76-0","CAV"
"76-1","CAV"
"76-2","CAV"
"77-0","CAV"
"77-1","CAV"
"77-2","CAV"
"78-0","CAV"
"78-1","CAV"
"79-0","CAV"
"79-1","CAV"
"79-2","CAV"
"79-3","CAV"
"80-0","CAV"
"80-1","CAV"
"80-2","CAV"
"80-3","CAV"
"81-0","CAV"
"81-1","CAV"
"82-0","CAV"
"82-1","CAV"
"83-0","CAV"
"83-1","CAV"
"83-2","CAV"
"84-0","CAV"
"84-1","CAV"
"84-2","CAV"
"84-3","CAV"
"85-0","CAV"
"85-1","CAV"
"86-0","CAV"
"86-1","CAV"
"87-0","CAV"
"87-1","CAV"
"88-0","CAV"
"88-1","CAV"
"88-2","CAV"
"89-0","CAV"
"89-1","CAV"
"90-0","CAV"
"90-1","CAV"
"90-2","CAV"
"90-3","CAV"
"90-4","CAV"
"91-0","CAV"
"91-1","CAV"
"91-2","CAV"
"92-0","CAV"
"92-1","CAV"
"92-2","CAV"
"92-3","CAV"
"93-0","CAV"
"93-1","CAV"
"93-2","CAV"
"94-0","CAV"
"94-1","CAV"
"95-0","CAV"
"95-1","CAV"
"95-2","CAV"
"95-3","CAV"
"95-4","CAV"
"96-0","CAV"
"96-1","CAV"
"97-0","CAV"
"97-1","CAV"
"97-2","CAV"
"97-3","CAV"
"97-4","CAV"
"98-0","CAV"
"98-1","CAV"
"98-2","CAV"
"98-3","CAV"
"99-0","CAV"
"99-1","CAV"
"99-2","CAV"
"99-3","CAV"
"100-0","CAV"
"100-1","CAV"
"100-2","CAV"
"101-0","CAV"
"101-1","CAV"
"101-2","CAV"
"102-0","CAV"
"102-1","CAV"
"102-2","CAV"
"102-3","CAV"
"103-0","CAV"
"103-1","CAV"
"103-2","CAV"
"104-0","CAV"
"104-1","CAV"
"105-0","CAV"
"105-1","CAV"
"105-2","CAV"
"106-0","CAV"
"106-1","CAV"
"106-2","CAV"
"107-0","CAV"
"107-1","CAV"
"107-2","CAV"
"107-3","CAV"
"108-0","CAV"
"108-1","CAV"
"109-0","CAV"
"109-1","CAV"
"109-2","CAV"
"109-3","CAV"
"109-4","CAV"
"110-0","CAV"
"110-1","CAV"
"111-0","CAV"
"111-1","CAV"
"111-2","CAV"
"112-0","CAV"
"112-1","CAV"
"112-2","CAV"
"113-0","CAV"
"113-1","CAV"
"113-2","CAV"
"114-0","CAV"
"114-1","CAV"
"115-0","CAV"
"115-1","CAV"
"115-2","CAV"
"115-3","CAV"
"115-4","CAV"
"116-0","CAV"
"116-1","CAV"
"116-2","CAV"
"116-3","CAV"
"116-4","CAV"
"117-0","CAV"
"117-1","CAV"
"117-2","CAV"
"117-3","CAV"
"117-4","CAV"
"118-0","CAV"
"118-1","CAV"
"118-2","CAV"
"118-3","CAV"
"118-4","CAV"
"119-0","CAV"
"119-1","CAV"
"119-2","CAV"
"119-3","CAV"
"119-4","CAV"
"120-0","CAV"
"120-1","CAV"
"120-2","CAV"
"121-0","CAV"
"121-1","CAV"
"122-0","CAV"
"122-1","CAV"
"122-2","CAV"
"123-0","CAV"
"123-1","CAV"
"123-2","CAV"
"124-0","CAV"
"124-1","CAV"
"124-2","CAV"
"124-3","CAV"
"124-4","CAV"
"125-0","CAV"
"125-1","CAV"
"125-2","CAV"
"126-0","CAV"
"126-1","CAV"
"127-0","CAV"
"127-1","CAV"
"127-2","CAV"
"127-3","CAV"
"127-4","CAV"
"128-0","CAV"
"128-1","CAV"
"128-2","CAV"
"128-3","CAV"
"128-4","CAV"
"129-0","CAV"
"129-1","CAV"
"129-2","CAV"
"129-3","CAV"
"129-4","CAV"
"130-0","CAV"
"130-1","CAV"
"130-2","CAV"
"130-3","CAV"
"130-4","CAV"
"131-0","CAV"
"131-1","CAV"
"132-0","CAV"
"132-1","CAV"
"132-2","CAV"
"132-3","CAV"
"132-4","CAV"
"133-0","CAV"
"133-1","CAV"
"133-2","CAV"
"133-3","CAV"
