"vehicleId","vehicleTypeId"
"1-0","Car"
"1-1","CAV"
"1-2","Car"
"2-0","CAV"
"2-1","CAV"
"2-2","CAV"
"2-3","CAV"
"2-4","Car"
"3-0","CAV"
"3-1","Car"
"4-0","CAV"
"4-1","CAV"
"4-2","CAV"
"5-0","Car"
"5-1","Car"
"6-0","Car"
"6-1","Car"
"7-0","CAV"
"7-1","Car"
"7-2","CAV"
"8-0","Car"
"8-1","Car"
"9-0","Car"
"9-1","Car"
"10-0","Car"
"10-1","Car"
"11-0","CAV"
"11-1","Car"
"12-0","CAV"
"12-1","CAV"
"12-2","CAV"
"12-3","Car"
"13-0","CAV"
"13-1","CAV"
"13-2","Car"
"14-0","CAV"
"14-1","Car"
"14-2","CAV"
"14-3","Car"
"14-4","Car"
"15-0","Car"
"15-1","Car"
"16-0","Car"
"16-1","Car"
"16-2","CAV"
"16-3","CAV"
"16-4","Car"
"17-0","Car"
"17-1","CAV"
"18-0","CAV"
"18-1","Car"
"18-2","Car"
"18-3","Car"
"19-0","Car"
"19-1","CAV"
"20-0","Car"
"20-1","Car"
"20-2","CAV"
"21-0","CAV"
"21-1","Car"
"22-0","CAV"
"22-1","Car"
"23-0","CAV"
"23-1","CAV"
"23-2","CAV"
"23-3","Car"
"23-4","Car"
"24-0","CAV"
"24-1","CAV"
"24-2","Car"
"24-3","Car"
"24-4","CAV"
"25-0","Car"
"25-1","Car"
"25-2","CAV"
"25-3","Car"
"25-4","CAV"
"26-0","Car"
"26-1","Car"
"27-0","CAV"
"27-1","Car"
"27-2","Car"
"28-0","Car"
"28-1","Car"
"29-0","CAV"
"29-1","Car"
"29-2","CAV"
"29-3","Car"
"30-0","Car"
"30-1","Car"
"30-2","Car"
"30-3","Car"
"31-0","Car"
"31-1","Car"
"31-2","Car"
"31-3","Car"
"32-0","Car"
"32-1","CAV"
"33-0","CAV"
"33-1","CAV"
"33-2","Car"
"33-3","Car"
"34-0","CAV"
"34-1","Car"
"34-2","Car"
"35-0","CAV"
"35-1","Car"
"35-2","Car"
"35-3","CAV"
"35-4","Car"
"36-0","CAV"
"36-1","CAV"
"37-0","Car"
"37-1","Car"
"38-0","CAV"
"38-1","Car"
"38-2","CAV"
"39-0","Car"
"39-1","CAV"
"39-2","CAV"
"40-0","CAV"
"40-1","CAV"
"40-2","Car"
"40-3","CAV"
"41-0","CAV"
"41-1","CAV"
"41-2","Car"
"42-0","CAV"
"42-1","Car"
"42-2","Car"
"42-3","Car"
"43-0","Car"
"43-1","Car"
"43-2","Car"
"43-3","Car"
"44-0","CAV"
"44-1","Car"
"44-2","CAV"
"45-0","Car"
"45-1","CAV"
"46-0","Car"
"46-1","CAV"
"46-2","Car"
"47-0","Car"
"47-1","CAV"
"48-0","Car"
"48-1","CAV"
"49-0","Car"
"49-1","CAV"
"49-2","CAV"
"50-0","Car"
"50-1","Car"
"51-0","CAV"
"51-1","Car"
"51-2","CAV"
"51-3","CAV"
"52-0","CAV"
"52-1","Car"
"52-2","CAV"
"52-3","Car"
"52-4","Car"
"53-0","CAV"
"53-1","CAV"
"53-2","Car"
"53-3","CAV"
"53-4","Car"
"54-0","Car"
"54-1","Car"
"54-2","CAV"
"54-3","CAV"
"55-0","Car"
"55-1","CAV"
"55-2","Car"
"56-0","CAV"
"56-1","Car"
"57-0","CAV"
"57-1","CAV"
"57-2","CAV"
"58-0","CAV"
"58-1","Car"
"58-2","Car"
"58-3","CAV"
"59-0","CAV"
"59-1","CAV"
"59-2","Car"
"59-3","CAV"
"59-4","Car"
"60-0","CAV"
"60-1","CAV"
"60-2","Car"
"60-3","CAV"
"60-4","CAV"
"61-0","Car"
"61-1","Car"
"61-2","Car"
"62-0","CAV"
"62-1","CAV"
"62-2","Car"
"63-0","CAV"
"63-1","Car"
"64-0","Car"
"64-1","CAV"
"64-2","CAV"
"64-3","CAV"
"65-0","Car"
"65-1","Car"
"65-2","Car"
"65-3","Car"
"65-4","Car"
"66-0","Car"
"66-1","CAV"
"66-2","Car"
"67-0","CAV"
"67-1","Car"
"68-0","CAV"
"68-1","Car"
"68-2","Car"
"68-3","CAV"
"68-4","Car"
"69-0","Car"
"69-1","Car"
"70-0","CAV"
"70-1","CAV"
"70-2","CAV"
"71-0","CAV"
"71-1","Car"
"72-0","Car"
"72-1","Car"
"72-2","CAV"
"73-0","Car"
"73-1","CAV"
"74-0","CAV"
"74-1","CAV"
"74-2","Car"
"74-3","CAV"
"74-4","Car"
"75-0","Car"
"75-1","CAV"
"75-2","CAV"
"75-3","CAV"
"76-0","Car"
"76-1","CAV"
"76-2","Car"
"77-0","Car"
"77-1","Car"
"77-2","Car"
"78-0","Car"
"78-1","Car"
"79-0","CAV"
"79-1","Car"
"79-2","Car"
"79-3","Car"
"80-0","CAV"
"80-1","Car"
"80-2","Car"
"80-3","Car"
"81-0","CAV"
"81-1","Car"
"82-0","CAV"
"82-1","CAV"
"83-0","CAV"
"83-1","CAV"
"83-2","CAV"
"84-0","Car"
"84-1","Car"
"84-2","Car"
"84-3","CAV"
"85-0","CAV"
"85-1","CAV"
"86-0","Car"
"86-1","Car"
"87-0","CAV"
"87-1","Car"
"88-0","CAV"
"88-1","Car"
"88-2","CAV"
"89-0","Car"
"89-1","Car"
"90-0","CAV"
"90-1","Car"
"90-2","CAV"
"90-3","CAV"
"90-4","Car"
"91-0","Car"
"91-1","CAV"
"91-2","Car"
"92-0","Car"
"92-1","Car"
"92-2","CAV"
"92-3","Car"
"93-0","Car"
"93-1","Car"
"93-2","Car"
"94-0","Car"
"94-1","Car"
"95-0","Car"
"95-1","Car"
"95-2","CAV"
"95-3","Car"
"95-4","Car"
"96-0","Car"
"96-1","Car"
"97-0","Car"
"97-1","Car"
"97-2","CAV"
"97-3","Car"
"97-4","CAV"
"98-0","CAV"
"98-1","CAV"
"98-2","CAV"
"98-3","CAV"
"99-0","CAV"
"99-1","CAV"
"99-2","CAV"
"99-3","CAV"
"100-0","Car"
"100-1","Car"
"100-2","CAV"
"101-0","Car"
"101-1","CAV"
"101-2","CAV"
"102-0","CAV"
"102-1","Car"
"102-2","Car"
"102-3","Car"
"103-0","CAV"
"103-1","Car"
"103-2","CAV"
"104-0","CAV"
"104-1","Car"
"105-0","Car"
"105-1","CAV"
"105-2","Car"
"106-0","Car"
"106-1","Car"
"106-2","Car"
"107-0","CAV"
"107-1","Car"
"107-2","CAV"
"107-3","Car"
"108-0","CAV"
"108-1","CAV"
"109-0","CAV"
"109-1","Car"
"109-2","CAV"
"109-3","CAV"
"109-4","Car"
"110-0","CAV"
"110-1","CAV"
"111-0","Car"
"111-1","Car"
"111-2","Car"
"112-0","Car"
"112-1","CAV"
"112-2","Car"
"113-0","CAV"
"113-1","CAV"
"113-2","CAV"
"114-0","Car"
"114-1","Car"
"115-0","CAV"
"115-1","Car"
"115-2","Car"
"115-3","CAV"
"115-4","Car"
"116-0","CAV"
"116-1","Car"
"116-2","Car"
"116-3","CAV"
"116-4","Car"
"117-0","Car"
"117-1","Car"
"117-2","Car"
"117-3","Car"
"117-4","CAV"
"118-0","CAV"
"118-1","Car"
"118-2","Car"
"118-3","CAV"
"118-4","Car"
"119-0","Car"
"119-1","Car"
"119-2","CAV"
"119-3","Car"
"119-4","Car"
"120-0","CAV"
"120-1","Car"
"120-2","Car"
"121-0","Car"
"121-1","Car"
"122-0","CAV"
"122-1","Car"
"122-2","Car"
"123-0","Car"
"123-1","CAV"
"123-2","CAV"
"124-0","CAV"
"124-1","CAV"
"124-2","Car"
"124-3","CAV"
"124-4","CAV"
"125-0","Car"
"125-1","Car"
"125-2","Car"
"126-0","Car"
"126-1","CAV"
"127-0","CAV"
"127-1","Car"
"127-2","CAV"
"127-3","Car"
"127-4","Car"
"128-0","CAV"
"128-1","Car"
"128-2","CAV"
"128-3","CAV"
"128-4","CAV"
"129-0","Car"
"129-1","CAV"
"129-2","CAV"
"129-3","CAV"
"129-4","Car"
"130-0","Car"
"130-1","CAV"
"130-2","Car"
"130-3","CAV"
"130-4","Car"
"131-0","CAV"
"131-1","Car"
"132-0","CAV"
"132-1","CAV"
"132-2","CAV"
"132-3","Car"
"132-4","Car"
"133-0","CAV"
"133-1","Car"
"133-2","Car"
"133-3","CAV"
"133-4","Car"
"134-0","Car"
"134-1","CAV"
"134-2","CAV"
"134-3","Car"
"134-4","Car"
"135-0","CAV"
"135-1","CAV"
"136-0","Car"
"136-1","CAV"
"137-0","Car"
"137-1","CAV"
"138-0","CAV"
"138-1","Car"
"139-0","CAV"
"139-1","CAV"
"140-0","Car"
"140-1","CAV"
"141-0","Car"
"141-1","CAV"
"142-0","CAV"
"142-1","Car"
"142-2","Car"
"143-0","CAV"
"143-1","Car"
"143-2","CAV"
"143-3","CAV"
"143-4","Car"
"144-0","Car"
"144-1","Car"
"144-2","CAV"
"144-3","CAV"
"145-0","CAV"
"145-1","CAV"
"146-0","Car"
"146-1","Car"
"146-2","Car"
"147-0","Car"
"147-1","Car"
"148-0","CAV"
"148-1","Car"
