taz,parkingType,pricingModel,chargingType,numStalls,feeInCents,reservedFor
100131,Workplace,Block,NoCharger,2147483647,0,Any
101265,Residential,Block,NoCharger,2147483647,0,Any
10017B,Workplace,Block,Level2(7.2|AC),2147483647,0,Any
101266,Residential,FlatFee,DCFast(50|DC),2147483647,0,Any
10001L,Workplace,FlatFee,Level2(7.2|AC),2147483647,0,RideHailManager
100014,Workplace,FlatFee,Level2(7.2|AC),2147483647,0,RideHailManager
100152,Residential,FlatFee,Level1(2.3|AC),2147483647,0,Any
100421,Public,Block,Level2(7.2|AC),2147483647,0,Any
201281,Residential,FlatFee,Level2(7.2|AC),2147483647,0,Any
101103,Residential,Block,Level1(2.3|AC),2147483647,0,Any
100291,Workplace,FlatFee,Level1(2.3|AC),2147483647,0,Any
100073,Workplace,FlatFee,UltraFast(250|DC),2147483647,0,Any
100372,Public,FlatFee,UltraFast(250|DC),2147483647,0,Any
10002B,Workplace,FlatFee,Level2(7.2|AC),2147483647,0,Any
100955,Public,Block,Level1(2.3|AC),2147483647,0,Any
100194,Residential,Block,DCFast(50|DC),2147483647,0,Any
100172,Workplace,FlatFee,NoCharger,2147483647,0,Any
100967,Workplace,Block,Level2(7.2|AC),2147483647,0,Any
100062,Workplace,FlatFee,Level2(7.2|AC),2147483647,0,RideHailManager
101183,Residential,FlatFee,Level1(2.3|AC),2147483647,0,Any
100243,Workplace,FlatFee,Level1(2.3|AC),2147483647,0,Any
100731,Residential,Block,Level2(7.2|AC),2147483647,0,Any
100741,Workplace,FlatFee,Level1(2.3|AC),2147483647,0,Any
10001D,Workplace,FlatFee,DCFast(50|DC),2147483647,0,RideHailManager
201306,Residential,Block,DCFast(50|DC),2147483647,0,Any
100494,Public,FlatFee,DCFast(50|DC),2147483647,0,Any
101061,Public,FlatFee,Level1(2.3|AC),2147483647,0,Any
100552,Workplace,FlatFee,Level1(2.3|AC),2147483647,0,Any
100907,Residential,FlatFee,Level1(2.3|AC),2147483647,0,Any
100161,Residential,FlatFee,UltraFast(250|DC),2147483647,0,Any
201291,Public,FlatFee,NoCharger,2147483647,0,Any
101211,Residential,FlatFee,Level1(2.3|AC),2147483647,0,Any
201295,Workplace,Block,NoCharger,2147483647,0,Any
101255,Residential,Block,Level2(7.2|AC),2147483647,0,Any
100182,Residential,FlatFee,Level2(7.2|AC),2147483647,0,Any
100664,Workplace,FlatFee,DCFast(50|DC),2147483647,0,Any
100436,Public,Block,UltraFast(250|DC),2147483647,0,Any
101261,Public,FlatFee,UltraFast(250|DC),2147483647,0,Any
100415,Workplace,Block,NoCharger,2147483647,0,Any
