vehicleId,vehicleTypeId
1-0,1
1-1,1
1-2,1
1-3,1
2-0,1
2-1,1
2-2,1
3-0,1
3-1,1
4-0,1
4-1,1
4-2,1
4-3,1
5-0,1
5-1,1
6-0,1
6-1,1
6-2,1
7-0,1
7-1,1
8-0,1
8-1,1
8-2,1
8-3,1
9-0,1
9-1,1
10-0,1
10-1,1
10-2,1
10-3,1
11-0,1
11-1,1
11-2,1
11-3,1
12-0,1
12-1,1
12-2,1
12-3,1
12-4,1
13-0,1
13-1,1
13-2,1
13-3,1
14-0,1
14-1,1
14-2,1
15-0,1
15-1,1
15-2,1
15-3,1
16-0,1
16-1,1
17-0,1
17-1,1
18-0,1
18-1,1
18-2,1
18-3,1
18-4,1
19-0,1
20-0,1
20-1,1
21-0,1
21-1,1
22-0,1
22-1,1
22-2,1
23-0,1
24-0,1
24-1,1
25-0,1
25-1,1
25-2,1
26-0,1
26-1,1
26-2,1
27-0,1
27-1,1
27-2,1
28-0,1
28-1,1
28-2,1
29-0,1
29-1,1
29-2,1
30-0,1
30-1,1
30-2,1
31-0,1
31-1,1
32-0,1
32-1,1
33-0,1
33-1,1
33-2,1
33-3,1
34-0,1
34-1,1
34-2,1
35-0,1
35-1,1
36-0,1
36-1,1
37-0,1
37-1,1
37-2,1
38-0,1
38-1,1
38-2,1
38-3,1
39-0,1
39-1,1
40-0,1
40-1,1
41-0,1
41-1,1
41-2,1
42-0,1
42-1,1
42-2,1
43-0,1
43-1,1
44-0,1
44-1,1
45-0,1
45-1,1
45-2,1
45-3,1
46-0,1
46-1,1
47-0,1
47-1,1
48-0,1
48-1,1
48-2,1
48-3,1
49-0,1
49-1,1
49-2,1
50-0,1
50-1,1
51-0,1
51-1,1
51-2,1
52-0,1
52-1,1
52-2,1
52-3,1
53-0,1
53-1,1
54-0,1
54-1,1
55-0,1
55-1,1
55-2,1
56-0,1
56-1,1
56-2,1
57-0,1
57-1,1
58-0,1
58-1,1
58-2,1
58-3,1
59-0,1
60-0,1
60-1,1
61-0,1
61-1,1
61-2,1
62-0,1
62-1,1
62-2,1
63-0,1
63-1,1
63-2,1
64-0,1
64-1,1
64-2,1
64-3,1
65-0,1
65-1,1
66-0,1
66-1,1
66-2,1
67-0,1
67-1,1
67-2,1
68-0,1
68-1,1
68-2,1
69-0,1
69-1,1
70-0,1
71-0,1
71-1,1
71-2,1
71-3,1
72-0,1
72-1,1
72-2,1
72-3,1
72-4,1
72-5,1
73-0,1
73-1,1
73-2,1
74-0,1
74-1,1
74-2,1
75-0,1
76-0,1
76-1,1
76-2,1
76-3,1
76-4,1
77-0,1
77-1,1
78-0,1
78-1,1
78-2,1
78-3,1
79-0,1
79-1,1
79-2,1
79-3,1
80-0,1
80-1,1
81-0,1
81-1,1
82-0,1
82-1,1
83-0,1
83-1,1
83-2,1
84-0,1
84-1,1
84-2,1
85-0,1
85-1,1
85-2,1
85-3,1
86-0,1
86-1,1
86-2,1
87-0,1
88-0,1
88-1,1
88-2,1
88-3,1
89-0,1
89-1,1
89-2,1
89-3,1
89-4,1
90-0,1
91-0,1
92-0,1
92-1,1
92-2,1
93-0,1
93-1,1
93-2,1
94-0,1
94-1,1
94-2,1
95-0,1
95-1,1
95-2,1
95-3,1
95-4,1
95-5,1
96-0,1
96-1,1
96-2,1
96-3,1
96-4,1
97-0,1
97-1,1
97-2,1
98-0,1
98-1,1
99-0,1
99-1,1
99-2,1
100-0,1
100-1,1
100-2,1
101-0,1
101-1,1
101-2,1
102-0,1
102-1,1
102-2,1
103-0,1
103-1,1
103-2,1
103-3,1
104-0,1
104-1,1
104-2,1
104-3,1
105-0,1
105-1,1
106-0,1
106-1,1
107-0,1
107-1,1
107-2,1
108-0,1
108-1,1
108-2,1
109-0,1
110-0,1
110-1,1
110-2,1
110-3,1
111-0,1
111-1,1
112-0,1
112-1,1
112-2,1
113-0,1
113-1,1
114-0,1
114-1,1
114-2,1
114-3,1
115-0,1
115-1,1
116-0,1
116-1,1
116-2,1
116-3,1
116-4,1
117-0,1
117-1,1
117-2,1
118-0,1
118-1,1
119-0,1
119-1,1
120-0,1
120-1,1
120-2,1
121-0,1
121-1,1
122-0,1
122-1,1
122-2,1
123-0,1
123-1,1
123-2,1
123-3,1
124-0,1
124-1,1
124-2,1
124-3,1
124-4,1
125-0,1
125-1,1
125-2,1
126-0,1
126-1,1
126-2,1
126-3,1
127-0,1
127-1,1
128-0,1
128-1,1
129-0,1
130-0,1
130-1,1
131-0,1
131-1,1
131-2,1
132-0,1
132-1,1
132-2,1
133-0,1
133-1,1
133-2,1
134-0,1
134-1,1
134-2,1
134-3,1
134-4,1
135-0,1
135-1,1
136-0,1
136-1,1
137-0,1
137-1,1
138-0,1
138-1,1
139-0,1
140-0,1
140-1,1
140-2,1
140-3,1
141-0,1
141-1,1
141-2,1
142-0,1
142-1,1
143-0,1
143-1,1
143-2,1
144-0,1
144-1,1
144-2,1
144-3,1
144-4,1
145-0,1
145-1,1
145-2,1
146-0,1
146-1,1
146-2,1
146-3,1
146-4,1
147-0,1
147-1,1
147-2,1
148-0,1
148-1,1
149-0,1
149-1,1
149-2,1
149-3,1
149-4,1
150-0,1
150-1,1
150-2,1
151-0,1
151-1,1
152-0,1
152-1,1
152-2,1
153-0,1
153-1,1
153-2,1
154-0,1
154-1,1
154-2,1
155-0,1
155-1,1
155-2,1
156-0,1
156-1,1
156-2,1
156-3,1
157-0,1
157-1,1
157-2,1
157-3,1
157-4,1
158-0,1
158-1,1
159-0,1
159-1,1
159-2,1
160-0,1
160-1,1
160-2,1
160-3,1
161-0,1
161-1,1
162-0,1
163-0,1
163-1,1
164-0,1
164-1,1
165-0,1
165-1,1
166-0,1
166-1,1
166-2,1
166-3,1
167-0,1
167-1,1
168-0,1
168-1,1
169-0,1
169-1,1
169-2,1
169-3,1
170-0,1
170-1,1
171-0,1
171-1,1
171-2,1
172-0,1
172-1,1
173-0,1
173-1,1
174-0,1
174-1,1
174-2,1
175-0,1
175-1,1
175-2,1
176-0,1
176-1,1
176-2,1
177-0,1
177-1,1
177-2,1
178-0,1
178-1,1
178-2,1
178-3,1
179-0,1
179-1,1
179-2,1
179-3,1
179-4,1
180-0,1
180-1,1
180-2,1
181-0,1
181-1,1
182-0,1
182-1,1
182-2,1
183-0,1
183-1,1
183-2,1
183-3,1
184-0,1
184-1,1
184-2,1
185-0,1
185-1,1
186-0,1
186-1,1
186-2,1
187-0,1
187-1,1
187-2,1
188-0,1
188-1,1
188-2,1
188-3,1
189-0,1
189-1,1
189-2,1
190-0,1
190-1,1
190-2,1
191-0,1
191-1,1
192-0,1
192-1,1
192-2,1
193-0,1
193-1,1
194-0,1
194-1,1
194-2,1
194-3,1
194-4,1
195-0,1
195-1,1
195-2,1
195-3,1
196-0,1
196-1,1
197-0,1
197-1,1
198-0,1
199-0,1
199-1,1
199-2,1
200-0,1
200-1,1
200-2,1
200-3,1
200-4,1
201-0,1
201-1,1
201-2,1
202-0,1
202-1,1
202-2,1
202-3,1
203-0,1
203-1,1
203-2,1
203-3,1
204-0,1
204-1,1
204-2,1
205-0,1
205-1,1
205-2,1
205-3,1
206-0,1
206-1,1
206-2,1
207-0,1
207-1,1
208-0,1
208-1,1
208-2,1
209-0,1
209-1,1
209-2,1
210-0,1
210-1,1
210-2,1
210-3,1
211-0,1
212-0,1
213-0,1
213-1,1
214-0,1
214-1,1
214-2,1
214-3,1
215-0,1
215-1,1
215-2,1
216-0,1
216-1,1
217-0,1
217-1,1
218-0,1
218-1,1
218-2,1
218-3,1
218-4,1
219-0,1
219-1,1
219-2,1
220-0,1
220-1,1
220-2,1
220-3,1
220-4,1
220-5,1
220-6,1
221-0,1
221-1,1
222-0,1
222-1,1
223-0,1
223-1,1
223-2,1
223-3,1
223-4,1
224-0,1
224-1,1
224-2,1
225-0,1
225-1,1
226-0,1
226-1,1
226-2,1
227-0,1
227-1,1
227-2,1
227-3,1
228-0,1
228-1,1
228-2,1
229-0,1
229-1,1
229-2,1
229-3,1
229-4,1
230-0,1
230-1,1
230-2,1
231-0,1
231-1,1
231-2,1
232-0,1
232-1,1
232-2,1
233-0,1
233-1,1
234-0,1
234-1,1
234-2,1
235-0,1
235-1,1
235-2,1
236-0,1
236-1,1
236-2,1
237-0,1
237-1,1
237-2,1
238-0,1
238-1,1
239-0,1
239-1,1
240-0,1
241-0,1
241-1,1
242-0,1
242-1,1
242-2,1
243-0,1
243-1,1
244-0,1
244-1,1
244-2,1
244-3,1
245-0,1
245-1,1
245-2,1
246-0,1
247-0,1
247-1,1
248-0,1
248-1,1
248-2,1
249-0,1
249-1,1
250-0,1
250-1,1
250-2,1
251-0,1
251-1,1
252-0,1
252-1,1
253-0,1
253-1,1
254-0,1
254-1,1
254-2,1
254-3,1
255-0,1
255-1,1
255-2,1
256-0,1
256-1,1
256-2,1
256-3,1
256-4,1
257-0,1
257-1,1
257-2,1
258-0,1
258-1,1
