Iteration,agencyRevenue_217,agentHoursOnCrowdedTransit,averageMTWaitingTimeInSec,averageOnDemandRideWaitTimeInMin,averageTripExpenditure,averageTripExpenditure_Home,averageTripExpenditure_Secondary,averageTripExpenditure_Work,averageVehicleDelayPerMotorizedLeg_home,averageVehicleDelayPerMotorizedLeg_secondary,averageVehicleDelayPerMotorizedLeg_work,averageVehicleDelayPerPassengerTrip,busCrowding,fuelConsumedInMJ_Diesel,fuelConsumedInMJ_Food,fuelConsumedInMJ_Gasoline,motorizedVehicleMilesTraveled_BODY-TYPE-DEFAULT,motorizedVehicleMilesTraveled_BUS-DEFAULT,motorizedVehicleMilesTraveled_CAR-TYPE-DEFAULT,motorizedVehicleMilesTraveled_total,numberOfVehicles_BODY-TYPE-DEFAULT,numberOfVehicles_BUS-DEFAULT,numberOfVehicles_CAR-TYPE-DEFAULT,numberOfVehicles_siouxareametro-sd-us:1340,numberOfVehicles_siouxareametro-sd-us:1341,numberOfVehicles_siouxareametro-sd-us:1342,numberOfVehicles_siouxareametro-sd-us:1343,numberOfVehicles_siouxareametro-sd-us:1344,numberOfVehicles_siouxareametro-sd-us:1345,numberOfVehicles_siouxareametro-sd-us:1346,numberOfVehicles_siouxareametro-sd-us:1347,numberOfVehicles_siouxareametro-sd-us:1348,numberOfVehicles_siouxareametro-sd-us:1349,numberOfVehicles_siouxareametro-sd-us:1350,numberOfVehicles_siouxareametro-sd-us:1351,personTravelTime_car,personTravelTime_drive_transit,personTravelTime_mixed_mode,personTravelTime_onDemandRide,personTravelTime_onDemandRide_pooled,personTravelTime_walk,personTravelTime_walk_transit,tollRevenue,totalCost_bike,totalCost_car,totalCost_cav,totalCost_drive_transit,totalCost_onDemandRide,totalCost_onDemandRide_pooled,totalCost_onDemandRide_transit,totalCost_transit,totalCost_walk,totalCost_walk_transit,totalHoursOfVehicleTrafficDelay,totalIncentive_bike,totalIncentive_car,totalIncentive_cav,totalIncentive_drive_transit,totalIncentive_onDemandRide,totalIncentive_onDemandRide_pooled,totalIncentive_onDemandRide_transit,totalIncentive_transit,totalIncentive_walk,totalIncentive_walk_transit,totalToll_bike,totalToll_car,totalToll_cav,totalToll_drive_transit,totalToll_onDemandRide,totalToll_onDemandRide_pooled,totalToll_onDemandRide_transit,totalToll_transit,totalToll_walk,totalToll_walk_transit,vehicleHoursTraveled_BODY-TYPE-DEFAULT,vehicleHoursTraveled_BUS-DEFAULT,vehicleHoursTraveled_BUS-SMALL-HD,vehicleHoursTraveled_BUS-STD-ART,vehicleHoursTraveled_BUS-STD-HD,vehicleHoursTraveled_CAR-TYPE-DEFAULT,vehicleMilesTraveled_BUS-DEFAULT,vehicleMilesTraveled_BUS-SMALL-HD,vehicleMilesTraveled_BUS-STD-ART,vehicleMilesTraveled_BUS-STD-HD,vehicleMilesTraveled_CAR-TYPE-DEFAULT
0,1817.25,0.9308333333333333,303.1824062095731,3.6055555555555556,0.8189493860485716,6.292111854894103E-4,0.001028200583458919,1.636963905741741E-4,14.49356162621357,24.311948633898258,17.292660266666626,16.964278920103087,409.202358490566,85628.04312686375,227.8620971030067,385411.04028751777,2737.0356410872914,2653.9704322808875,65504.54803182378,70895.55410518877,15002.0,255.0,12162.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,1.0,2.0,3.0,2.0,1.0,324223.85,44.38333333333333,9842.033333333333,22.1,56507.166666666664,2078.2333333333336,41398.9,0.0,0.0,10715.930028033788,0.0,0.0,15.390758143013294,13978.837726709882,0.0,0.0,0.0,1817.25,3.656744567222221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,984.0497222222223,157.43333333333334,0.0,0.0,0.0,5391.46,0.0,0.0,0.0,0.0,0.0
1,3257.25,2.1175,306.2789005658852,9.329487179487177,0.7767275418578239,4.1427929943310514E-4,4.727133229154118E-4,3.156267810741546E-4,1660.7340846226568,1967.6927120641578,1721.6501369274656,1846.3646608723748,359.19321705426364,85628.04312686375,359.1750471990009,389388.8924559494,4243.714155741093,2653.9704322808875,66180.62469075009,73078.3092787711,15002.0,255.0,11835.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,1.0,2.0,3.0,2.0,1.0,1101578.0166666666,4851.066666666667,13313.616666666667,662.2833333333333,73574.63333333333,24403.11666666667,80214.66666666667,0.0,0.0,2045.1890086468777,0.0,100.5,292.70066017065096,19564.618867041063,0.0,0.0,0.0,3156.75,13011.229189353133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1480.5227777777777,157.43333333333334,0.0,0.0,0.0,18996.49861111111,0.0,0.0,0.0,0.0,0.0
2,4485.75,2.484166666666667,300.9174041297935,9.383333333333333,0.4815469917520126,0.004344694257248913,0.003932599270244379,3.2455001695233374E-4,1681.4885970784874,1675.8908718948403,1332.729306891681,1711.9178701216713,341.0310328068043,85628.04312686375,515.3834284960011,369729.7765126132,6082.308538069707,2653.9704322808866,62839.35687545133,71575.63584580037,15002.0,255.0,11455.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,1.0,2.0,3.0,2.0,1.0,1069681.1166666667,3668.7166666666667,36980.85,111.16666666666667,41940.0,30981.116666666665,101742.41666666667,0.0,0.0,1857.9613927716553,0.0,87.75,54.60339748292179,9199.955366576647,0.0,0.0,0.0,4398.0,12497.9515173716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2117.4538888888887,157.43333333333334,0.0,0.0,0.0,18210.07222222222,0.0,0.0,0.0,0.0,0.0
3,5626.5,3.3641666666666667,307.1097430406852,6.837719298245615,0.49690436600485505,0.004006447473581471,0.003553551581675152,3.4868395573948535E-4,1486.9705980066237,1358.1171040683923,1179.8765536623764,1458.019702423079,337.65607675906165,85628.04312686375,631.9769231699972,376028.88576935773,7454.957172637696,2653.970432280888,63909.95491685285,74018.8825217697,15002.0,255.0,11057.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,1.0,2.0,3.0,2.0,1.0,912605.5333333333,7446.683333333333,33667.96666666667,104.76666666666668,37523.65,32368.716666666667,141922.56666666668,0.0,0.0,1998.2995591390472,0.0,207.0,96.80709721442602,8374.119567275822,0.0,0.0,0.0,5419.5,9733.901535565634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2593.1594444444445,157.43333333333334,0.0,0.0,0.0,15594.885,0.0,0.0,0.0,0.0,0.0
4,6295.5,4.872222222222222,309.4488950276243,9.167857142857143,0.50183889484174,0.003885786345585136,0.0034684229818103805,3.7943946019930176E-4,1437.9319224691717,1039.1309829909023,972.9720854864223,1283.7944000026412,322.1675070028011,85628.04312686378,693.9944328459966,377362.0321420399,8193.460427963302,2653.9704322808875,64136.53677744949,74983.96763769188,15002.0,255.0,10881.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,1.0,2.0,3.0,2.0,1.0,831005.9166666666,10610.9,34836.71666666667,272.3,36266.76666666667,34115.316666666666,160874.2,0.0,0.0,1985.3283616406336,0.0,223.5,118.78331934742931,7855.953800725615,0.0,0.0,0.0,6072.0,8420.621435350657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2854.5588888888888,157.43333333333334,0.0,0.0,0.0,14244.17111111111,0.0,0.0,0.0,0.0,0.0
5,6948.75,5.246111111111111,309.39870340356566,7.632500000000002,0.529482657345653,0.0037643561749097286,0.0034698572715674875,3.3625447789609344E-4,1313.6807226783874,1117.1087104129,902.6540933598602,1266.678866800391,319.09479465138486,85628.04312686378,772.2776281059918,372761.10493534635,9099.840498383444,2653.9704322808875,63354.56214336345,75108.37307402611,15002.0,255.0,10626.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,1.0,2.0,3.0,2.0,1.0,813474.0,11857.116666666667,36993.21666666667,142.2,36467.48333333333,35362.35,180966.51666666666,0.0,0.0,1881.0096249042235,0.0,274.5,108.71940040925764,8212.52321142695,0.0,0.0,0.0,6674.25,8236.227476128764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3158.7452777777776,157.43333333333334,0.0,0.0,0.0,13988.28611111111,0.0,0.0,0.0,0.0,0.0
6,6924.75,5.886666666666667,311.215864246251,6.490666666666669,0.501186651759401,0.003692693953421357,0.003287532014265991,3.44317305385584E-4,1209.6937677060148,852.7147940474139,808.3324746979398,1083.20853895282,312.97115932847623,85628.04312686375,789.8530018839914,372610.3765830988,9334.538227044974,2653.970432280888,63328.94431834604,75317.45297767088,15002.0,255.0,10552.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,1.0,2.0,3.0,2.0,1.0,726721.4333333333,13384.933333333332,37907.916666666664,247.21666666666667,32768.183333333334,36610.816666666666,184688.6,0.0,0.0,1954.99261514522,0.0,297.75,162.94483088862535,7191.750577756669,0.0,0.0,0.0,6627.0,6798.337146972226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3258.271388888889,157.43333333333334,0.0,0.0,0.0,12491.497777777779,0.0,0.0,0.0,0.0,0.0
7,7095.75,6.2283333333333335,308.9635885885886,6.905729166666667,0.4981842691327244,0.0036845723499240326,0.00329469157692565,3.418137800910257E-4,1022.1267921573634,927.944104380794,827.582575415982,1022.5529329494094,308.212271175923,85628.04312686378,829.6895573499911,367535.9476493364,9790.043181206242,2653.9704322808875,62466.493223073354,74910.50683655933,15002.0,255.0,10454.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,1.0,2.0,3.0,2.0,1.0,697318.9166666666,8430.2,39477.95,211.35,31440.066666666666,37284.35,196243.88333333333,0.0,0.0,1780.2245843746007,0.0,187.5,150.90056481471572,7110.30969655786,0.0,0.0,0.0,6908.25,6359.711157982577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3407.3147222222224,157.43333333333334,0.0,0.0,0.0,11975.947777777777,0.0,0.0,0.0,0.0,0.0
8,7693.5,6.964166666666666,310.69945167923237,9.380555555555555,0.5391635574224387,0.0036036528744815594,0.0033862415583276297,3.552181696410574E-4,1314.7768083540159,1081.3056114305853,789.953350744341,1273.7282702646864,302.77014414157287,85628.04312686373,902.5311333239797,365110.68498972006,10649.83259743256,2653.9704322808875,62054.295030054665,75358.09805976712,15002.0,255.0,10217.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,1.0,2.0,3.0,2.0,1.0,787475.2666666667,12173.766666666666,42714.71666666667,190.73333333333332,33701.8,37912.73333333334,214528.25,0.0,0.0,1887.6399794578235,0.0,288.75,97.03765429540927,7786.408318274356,0.0,0.0,0.0,7404.75,7955.848301436595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3706.759722222222,157.43333333333334,0.0,0.0,0.0,13530.463055555556,0.0,0.0,0.0,0.0,0.0
9,7809.75,7.284166666666667,310.083638787071,7.02348484848485,0.49714595327044486,0.005480239964943696,0.003072395990066031,3.6061761688036144E-4,1047.0678459058968,703.9867447665273,686.9611491496081,937.9814142401449,292.0885572139304,85628.04312686375,892.9146532639787,370270.9265413111,10540.085251001115,2653.9704322808875,62931.33085736071,76125.38654064151,15002.0,255.0,10201.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,1.0,2.0,3.0,2.0,1.0,634827.65,13003.1,40902.55,162.45,27518.55,38582.51666666667,214299.9,0.0,0.0,2071.402176746341,0.0,288.75,128.5137627722661,6093.88577881761,0.0,0.0,0.0,7521.0,5392.872031095144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3670.9594444444447,157.43333333333334,0.0,0.0,0.0,10949.340277777777,0.0,0.0,0.0,0.0,0.0
10,7970.25,7.326944444444444,313.7193663110249,9.109259259259261,0.5038818189448567,0.0035509365328414925,0.003125689441476709,3.534915402922726E-4,1046.574137893071,773.255958379427,712.321847775107,966.5307347372773,289.9682455896652,85628.04312686375,936.3651195709734,362148.4618534135,11040.705846386,2653.9704322808866,61550.83491233568,75245.51119100131,15002.0,255.0,10137.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,1.0,2.0,3.0,2.0,1.0,657656.8333333334,12138.516666666666,42039.71666666667,411.2166666666667,27814.116666666665,40535.433333333334,222892.45,0.0,0.0,1800.4117790153198,0.0,294.75,270.53084493330255,6280.54725531318,0.0,0.0,0.0,7675.5,5840.261964649998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3837.2955555555554,157.43333333333334,0.0,0.0,0.0,11317.994166666667,0.0,0.0,0.0,0.0,0.0
