shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
p_3331,43.5449621209079,-96.7254465214644,1,0
p_3331,43.5460258584758,-96.72548074347,2,118.21718603
p_3331,43.545993,-96.729124,3,412.67046567
p_3331,43.545987,-96.732516,4,686.7966555
p_3331,43.545997,-96.732513,5,687.93383451
p_3331,43.545997,-96.732757,6,707.65275692
p_3331,43.545993,-96.733497,7,767.45769942
p_3331,43.545989,-96.734207,8,824.83825773
p_3331,43.545986,-96.734939,9,883.99597323
p_3331,43.545982,-96.735649,10,941.37653818
p_3331,43.545978,-96.736373,11,999.88848755
p_3331,43.545974,-96.736953,12,1046.76345892
p_3331,43.545974,-96.737091,13,1057.91596846
p_3331,43.545974,-96.738502,14,1171.94633771
p_3331,43.545959,-96.738929,15,1206.49468845
p_3331,43.54594,-96.739097,16,1220.23478972
p_3331,43.545883,-96.739341,17,1240.94571749
p_3331,43.545841,-96.739448,18,1250.7716886
p_3331,43.54578,-96.73954,19,1260.83208101
p_3331,43.545684,-96.739646,20,1274.51221559
p_3331,43.54552,-96.739746,21,1294.44497873
p_3331,43.545349,-96.739784,22,1313.69025851
p_3331,43.545192,-96.739784,23,1331.13348714
p_3331,43.545001,-96.739814,24,1352.49228113
p_3331,43.544773,-96.739944,25,1379.91613881
p_3331,43.544673,-96.740028,26,1392.93631469
p_3331,43.544559,-96.740158,27,1409.39240071
p_3331,43.544227,-96.740646,28,1463.39264248
p_3331,43.544132,-96.74089,29,1485.7592123
p_3331,43.544052,-96.741264,30,1517.26482701
p_3331,43.544044,-96.741737,31,1555.50200636
p_3331,43.544033,-96.742332,32,1603.60416827
p_3331,43.544021,-96.743156,33,1670.21145227
p_3331,43.543972,-96.743469,34,1696.08665334
p_3331,43.543964,-96.744979,35,1818.12501928
p_3331,43.543956,-96.746223,36,1918.66651155
p_3331,43.54396,-96.746772,37,1963.03780803
p_3331,43.543952,-96.747459,38,2018.56687587
p_3331,43.543952,-96.747711,39,2038.93300877
p_3331,43.543954,-96.747712,40,2039.16945614
p_3331,43.543953,-96.74816,41,2075.3760842
p_3331,43.543951,-96.748705,42,2119.422448
p_3331,43.543947,-96.749539,43,2186.82611818
p_3331,43.543947,-96.74994,44,2219.23413393
p_3331,43.543944,-96.75048,45,2262.87712477
p_3331,43.543941,-96.750979,46,2303.20668434
p_3331,43.543941,-96.750976,47,2303.44913835
p_3331,43.543941,-96.751228,48,2323.81527495
p_3331,43.543933,-96.752395,49,2418.13407807
p_3331,43.543933,-96.753608,50,2516.16632794
p_3331,43.543926,-96.754844,51,2616.06042541
p_3331,43.543922,-96.755691,52,2684.51473528
p_3331,43.543918,-96.756019,53,2711.02677431
p_3331,43.543914,-96.757202,54,2806.63554353
p_3331,43.543907,-96.758392,55,2902.81215941
p_3331,43.543907,-96.759338,56,2979.26603264
p_3331,43.543907,-96.759567,57,2997.77336559
p_3331,43.543899,-96.761154,58,3126.03469569
p_3331,43.545894,-96.761146,59,3347.68684138
p_3331,43.545898,-96.761878,60,3406.84537667
p_3331,43.545898,-96.762466,61,3454.36482483
p_3331,43.545921,-96.763168,62,3511.15473779
p_3331,43.5459513103245,-96.7637837532276,63,3561.03085987
p_3331,43.5459443008295,-96.7637718876447,64,3562.26618386
p_3331,43.5459600017804,-96.7645736553764,65,3627.08477391
p_3331,43.5459420842963,-96.765043332292,66,3665.09402879
p_3331,43.5457922580698,-96.7654541266387,67,3702.23211975
p_3331,43.5455008590652,-96.7657095649638,68,3740.62897745
p_3331,43.5451330330508,-96.7658346145105,69,3782.72671661
p_3331,43.544105,-96.765838,70,3896.94496466
p_3331,43.544006,-96.765838,71,3907.94419566
p_3331,43.544021,-96.766838,72,3988.77928239
p_3331,43.544021,-96.766937,73,3996.78025405
p_3331,43.54401,-96.770202,74,4260.65353711
p_3331,43.54401,-96.771385,75,4356.2611249
p_3331,43.544006,-96.772544,76,4449.93014021
p_3331,43.544025,-96.77436,77,4596.71063231
p_3331,43.544029,-96.774658,78,4620.79846278
p_3331,43.544033,-96.775505,79,4689.25265158
p_3331,43.544017,-96.777526,80,4852.595281
p_3331,43.54401,-96.778366,81,4920.48677637
p_3331,43.54401,-96.779739,82,5031.4497671
p_3331,43.54401,-96.780158,83,5065.31247148
p_3331,43.54401,-96.780372,84,5082.60750427
p_3331,43.54401,-96.780807,85,5117.76329522
p_3331,43.54401,-96.781799,86,5197.93466216
p_3331,43.543987,-96.782638,87,5265.78903619
p_3331,43.543979,-96.782905,88,5287.38572574
p_3331,43.543964,-96.783554,89,5339.86305228
p_3331,43.543968,-96.784362,90,5405.16548347
p_3331,43.543972,-96.785942,91,5532.8586394
p_3331,43.543975,-96.786842,92,5605.59556616
p_3331,43.543979,-96.788154,93,5711.62965353
p_3331,43.543983,-96.789764,94,5841.7473103
p_3331,43.544017,-96.790397,95,5893.04433308
p_3331,43.54404,-96.790573,96,5907.49599885
p_3331,43.54409,-96.79071,97,5919.88349386
p_3331,43.544174,-96.790817,98,5932.60662917
p_3331,43.544235,-96.790855,99,5940.04728281
p_3331,43.54454,-96.790954,100,5974.86554131
p_3331,43.546237,-96.790931,101,6163.41712138
p_3331,43.546901,-96.790908,102,6237.21318601
p_3331,43.547527,-96.790908,103,6306.76391754
p_3331,43.547519,-96.792175,104,6409.15812141
p_3331,43.5475,-96.796386,105,6749.46920186
p_3331,43.5475,-96.796737,106,6777.83465185
p_3331,43.548858,-96.796752,107,6928.71797077
p_3331,43.54903,-96.796752,108,6947.82776223
p_3331,43.549423,-96.796745,109,6991.49507993
p_3331,43.549724,-96.796707,110,7025.07790956
p_3331,43.550235,-96.796562,111,7083.04833691
p_3331,43.550357,-96.796539,112,7096.72979376
p_3331,43.550445,-96.796516,113,7106.68199131
p_3331,43.551063,-96.796501,114,7175.35463673
p_3331,43.551563,-96.796508,115,7230.90925904
p_3331,43.552047,-96.796516,116,7284.68723606
p_3331,43.552227,-96.796485,117,7304.84214434
p_3331,43.552413,-96.796409,118,7326.40063255
p_3331,43.552539,-96.796363,119,7340.884763
p_3331,43.552665,-96.797004,120,7394.54009236
p_3331,43.552749,-96.797477,121,7433.88437729
p_3331,43.552761,-96.797874,122,7465.99214211
p_3331,43.552757,-96.798744,123,7536.29495962
p_3331,43.552749,-96.799118,124,7566.5295571
p_3331,43.552745,-96.799293,125,7580.6776303
p_3331,43.552268,-96.799293,126,7633.67400373
p_3331,43.551555,-96.799285,127,7712.89343454
p_3331,43.550949,-96.799285,128,7780.2221457
p_3331,43.550724,-96.799308,129,7805.28942529
p_3331,43.550342,-96.799407,130,7848.47836887
p_3331,43.550148,-96.799484,131,7870.91261742
p_3331,43.550117,-96.799507,132,7874.82631727
p_3331,43.549922,-96.799629,133,7898.62917088
p_3331,43.549762,-96.799743,134,7918.65099134
p_3331,43.549545,-96.799934,135,7947.27786683
p_3331,43.549304,-96.800178,136,7980.53057077
p_3331,43.548965,-96.800483,137,8025.5425138
p_3331,43.548667,-96.800651,138,8061.32674175
p_3331,43.548446,-96.800735,139,8086.80166154
p_3331,43.548278,-96.800765,140,8105.62382372
p_3331,43.547683,-96.800765,141,8171.73035859
p_3331,43.547477,-96.800765,142,8194.61766149
p_3331,43.546977,-96.800842,143,8250.51679399
p_3331,43.546569,-96.800872,144,8295.91176708
p_3331,43.545692,-96.800865,145,8393.3510769
p_3331,43.544593,-96.800849,146,8515.46052112
p_3331,43.543891,-96.800842,147,8593.4571224
p_3331,43.543418,-96.800849,148,8646.0120451
p_3331,43.543277,-96.800827,149,8661.77819234
p_3331,43.543231,-96.800796,150,8667.4700074
p_3331,43.543159,-96.80075,151,8676.29112593
p_3331,43.54293,-96.800567,152,8705.72020252
p_3331,43.542827,-96.800514,153,8717.93923314
p_3331,43.542652,-96.800483,154,8737.54307081
p_3331,43.542274,-96.800498,155,8779.55761652
p_3331,43.542144,-96.800483,156,8794.05183439
p_3331,43.542053,-96.800453,157,8804.44889919
p_3331,43.541938,-96.800369,158,8818.91742491
p_3331,43.540466,-96.798812,159,9025.27194745
p_3331,43.540382,-96.798759,160,9035.54073883
p_3331,43.540252,-96.798736,161,9050.10329815
p_3331,43.539779,-96.798728,162,9102.65911986
p_3331,43.539527,-96.798736,163,9130.66460597
p_3331,43.539283,-96.798774,164,9157.94722593
p_3331,43.539157,-96.798812,165,9172.27919345
p_3331,43.539016,-96.798866,166,9188.54138132
p_3331,43.538871,-96.798942,167,9205.78271557
p_3331,43.538501,-96.79911,168,9249.07546838
p_3331,43.538291,-96.799201,169,9273.539011
p_3331,43.538009,-96.79927,170,9305.36260501
p_3331,43.537433,-96.79927,171,9369.35805961
p_3331,43.537231,-96.79927,172,9391.80090848
p_3331,43.537235,-96.795959,173,9659.4193517
p_3331,43.537239,-96.792762,174,9917.82351722
p_3331,43.537246,-96.791488,175,10020.7999887
p_3331,43.53725,-96.790939,176,10065.17620572
p_3331,43.535308,-96.790946,177,10280.93934578
p_3331,43.534984,-96.790946,178,10316.93677272
p_3331,43.534263,-96.790946,179,10397.04215063
p_3331,43.533447,-96.790946,180,10487.70231644
p_3331,43.533142,-96.790946,181,10521.58877214
p_3331,43.533088,-96.790946,182,10527.58834116
p_3331,43.531932,-96.790946,183,10656.02354573
p_3331,43.531223,-96.790946,184,10734.79564359
p_3331,43.530498,-96.790931,185,10815.35450664
p_3331,43.529438,-96.790924,186,10933.12511871
p_3331,43.529315,-96.790924,187,10946.79079472
p_3331,43.529315,-96.790718,188,10963.44332762
p_3331,43.529304,-96.788726,189,11124.47635625
p_3331,43.5293,-96.788322,190,11157.13775237
p_3331,43.52927,-96.787818,191,11198.0160037
p_3331,43.529193,-96.787216,192,11247.42650485
p_3331,43.529033,-96.78643,193,11313.4048854
p_3331,43.528865,-96.785865,194,11362.74514422
p_3331,43.52882,-96.785728,195,11374.89620232
p_3331,43.528644,-96.785255,196,11417.84263393
p_3331,43.528423,-96.784736,197,11466.45465451
p_3331,43.527893,-96.783508,198,11581.87565886
p_3331,43.527797,-96.783256,199,11604.87047241
p_3331,43.527629,-96.782775,200,11648.00225004
p_3331,43.527484,-96.782272,201,11691.73971691
p_3331,43.527412,-96.781967,202,11717.66112416
p_3331,43.527259,-96.781127,203,11787.6621896
p_3331,43.527019,-96.779846,204,11894.59664979
p_3331,43.526844,-96.778945,205,11969.98452176
p_3331,43.526706,-96.778167,206,12034.72062242
p_3331,43.526607,-96.777702,207,12073.8878742
p_3331,43.526477,-96.777229,208,12114.76267175
p_3331,43.526203,-96.776458,209,12184.12843283
p_3331,43.525966,-96.775924,210,12234.69475661
p_3331,43.525825,-96.775634,211,12262.8912026
p_3331,43.525653,-96.775329,212,12294.08646114
p_3331,43.525474,-96.775047,213,12324.33940364
p_3331,43.525115,-96.774536,214,12381.76297526
p_3331,43.524478,-96.775894,215,12512.38315473
p_3331,43.524379,-96.776107,216,12532.81605139
p_3331,43.524139,-96.776618,217,12581.98556624
p_3331,43.524059,-96.776741,218,12595.3227839
p_3331,43.523906,-96.776893,219,12616.29805608
p_3331,43.523811,-96.776947,220,12627.72005362
p_3331,43.5237,-96.776985,221,12640.42936559
p_3331,43.523593,-96.776992,222,12652.330843
p_3331,43.523406,-96.776954,223,12673.33299775
p_3331,43.523292,-96.776901,224,12686.70387871
p_3331,43.520648,-96.774787,225,13026.56166705
p_3331,43.520488,-96.774658,226,13047.17181227
p_3331,43.52016,-96.774467,227,13086.75039551
p_3331,43.519889,-96.774391,228,13117.47987082
p_3331,43.519748,-96.774383,229,13133.15872255
p_3331,43.518013,-96.774375,230,13325.92325639
p_3331,43.517765,-96.774375,231,13353.47675895
p_3331,43.516632,-96.774375,232,13479.35625338
p_3331,43.516399,-96.774398,233,13505.30991787
p_3331,43.516033,-96.774467,234,13546.35447413
p_3331,43.516021,-96.774467,235,13547.68770769
p_3331,43.515857,-96.774482,236,13565.94888614
p_3331,43.514835,-96.77449,237,13679.49777313
p_3331,43.514835,-96.776679,238,13856.49347036
p_3331,43.514827,-96.778518,239,14005.19192793
p_3331,43.514827,-96.778709,240,14020.63559291
p_3331,43.514827,-96.779449,241,14080.46968759
p_3331,43.514827,-96.779861,242,14113.78272409
p_3331,43.514823,-96.781059,243,14210.65029461
p_3331,43.514823,-96.781379,244,14236.52449942
p_3331,43.514823,-96.78215,245,14298.86516164
p_3331,43.514827,-96.78305,246,14371.63771727
p_3331,43.514823,-96.784408,247,14481.44226966
p_3331,43.51482,-96.786026,248,14612.26914558
p_3331,43.51482,-96.786338,249,14637.49649652
p_3331,43.514816,-96.789581,250,14899.71578916
p_3331,43.514808,-96.790733,251,14992.86718394
p_3331,43.514808,-96.790954,252,15010.73656106
p_3331,43.516212,-96.790931,253,15166.73595849
p_3331,43.517036,-96.790916,254,15258.29270569
p_3331,43.517765,-96.790901,255,15339.29574366
p_3331,43.517959,-96.790901,256,15360.84969314
p_3331,43.518268,-96.790901,257,15395.18046986
p_3331,43.519088,-96.790885,258,15486.29398938
p_3331,43.519592,-96.790878,259,15542.29269145
p_3331,43.520225,-96.790885,260,15612.62308677
p_3331,43.520301,-96.790885,261,15621.06690559
p_3331,43.520303,-96.790883,262,15621.34171828
p_3331,43.520649,-96.790882,263,15659.78340095
p_3331,43.52136,-96.790888,264,15738.77904779
p_3331,43.522482,-96.790888,265,15863.43651457
p_3331,43.523802,-96.790883,266,16010.09294637
p_3331,43.524035,-96.790884,267,16035.98006008
p_3331,43.524836,-96.790887,268,16124.97386202
p_3331,43.52568,-96.79089,269,16218.74508796
p_3331,43.525791,-96.79089,270,16231.0775194
p_3331,43.525917,-96.79089,271,16245.07649592
p_3331,43.526936,-96.790887,272,16358.29071214
p_3331,43.527832,-96.790898,273,16457.842988
p_3331,43.527954,-96.790902,274,16471.40141389
p_3331,43.52795,-96.790901,275,16471.85311859
p_3331,43.52856,-96.790924,276,16539.6514694
p_3331,43.529315,-96.790924,277,16623.53427098
p_3331,43.529438,-96.790924,278,16637.19994699
p_3331,43.530498,-96.790931,279,16754.97055906
p_3331,43.53091,-96.790939,280,16800.74959706
p_3331,43.531223,-96.790946,281,16835.52946751
p_3331,43.531932,-96.790946,282,16914.30156537
p_3331,43.533088,-96.790946,283,17042.73676994
p_3331,43.533142,-96.790946,284,17048.73633896
p_3331,43.533447,-96.790946,285,17082.62279466
p_3331,43.534263,-96.790946,286,17173.28296047
p_3331,43.534984,-96.790946,287,17253.38833838
p_3331,43.537139,-96.790939,288,17492.8163758
p_3331,43.53725,-96.790939,289,17505.14883206
p_3331,43.540271,-96.790916,290,17840.79686829
p_3331,43.541175,-96.790924,291,17941.23631312
p_3331,43.542091,-96.790916,292,18043.00898623
p_3331,43.543144,-96.790939,293,18160.01554378
p_3331,43.543319,-96.790939,294,18179.45862606
p_3331,43.543815,-96.790946,295,18234.56878345
p_3331,43.543804,-96.789688,296,18336.24539666
p_3331,43.543819,-96.78804,297,18469.44417584
p_3331,43.543815,-96.78659,298,18586.63136219
p_3331,43.543815,-96.785942,299,18639.00153681
p_3331,43.543815,-96.784164,300,18782.69624434
p_3331,43.543815,-96.783439,301,18841.28941811
p_3331,43.543819,-96.78247,302,18919.60348392
p_3331,43.543823,-96.781661,303,18984.98688791
p_3331,43.543827,-96.780815,304,19053.36049334
p_3331,43.54383,-96.780395,305,19087.3057539
p_3331,43.54383,-96.780166,306,19105.81311041
p_3331,43.54383,-96.779747,307,19139.67591554
