route_id,service_id,trip_id,trip_short_name,trip_headsign,direction_id,block_id,shape_id,bikes_allowed,wheelchair_accessible,trip_type,drt_max_travel_time,drt_avg_travel_time,drt_advance_book_min,drt_pickup_message,drt_drop_off_message,continuous_pickup_message,continuous_drop_off_message
1340,c_676_b_219_d_31,t_75339_b_219_tn_3,,(loop),,,p_3333,,,,,,,,,,
1340,c_676_b_219_d_31,t_500920_b_219_tn_0,,(loop),,,p_3333,,,,,,,,,,
1340,c_676_b_219_d_31,t_500921_b_219_tn_0,,(loop),,,p_3333,,,,,,,,,,
1340,c_676_b_219_d_31,t_500922_b_219_tn_0,,(loop),,,p_3333,,,,,,,,,,
1340,c_676_b_219_d_31,t_500923_b_219_tn_0,,(loop),,,p_3333,,,,,,,,,,
1340,c_676_b_219_d_31,t_75335_b_219_tn_1,,(loop),,,p_3333,,,,,,,,,,
1340,c_676_b_219_d_31,t_75335_b_219_tn_2,,(loop),,,p_3333,,,,,,,,,,
1340,c_676_b_219_d_31,t_75335_b_219_tn_3,,(loop),,,p_3333,,,,,,,,,,
1340,c_676_b_219_d_31,t_75336_b_219_tn_1,,(loop),,,p_3333,,,,,,,,,,
1340,c_676_b_219_d_31,t_75336_b_219_tn_2,,(loop),,,p_3333,,,,,,,,,,
1340,c_676_b_219_d_31,t_75336_b_219_tn_3,,(loop),,,p_3333,,,,,,,,,,
1340,c_676_b_219_d_31,t_75336_b_219_tn_4,,(loop),,,p_3333,,,,,,,,,,
1340,c_676_b_219_d_31,t_75337_b_219_tn_1,,(loop),,,p_3333,,,,,,,,,,
1340,c_676_b_219_d_31,t_75337_b_219_tn_2,,(loop),,,p_3333,,,,,,,,,,
1340,c_676_b_219_d_31,t_75337_b_219_tn_3,,(loop),,,p_3333,,,,,,,,,,
1340,c_676_b_219_d_31,t_75337_b_219_tn_4,,(loop),,,p_3333,,,,,,,,,,
1340,c_676_b_219_d_31,t_75337_b_219_tn_5,,(loop),,,p_3333,,,,,,,,,,
1340,c_676_b_219_d_31,t_75337_b_219_tn_6,,(loop),,,p_3333,,,,,,,,,,
1340,c_676_b_219_d_31,t_75339_b_219_tn_1,,(loop),,,p_3333,,,,,,,,,,
1340,c_676_b_219_d_31,t_75339_b_219_tn_2,,(loop),,,p_3333,,,,,,,,,,
1340,c_676_b_219_d_32,t_73194_b_219_tn_12,,(loop),,,p_3333,,,,,,,,,,
1340,c_676_b_219_d_32,t_73194_b_219_tn_1,,(loop),,,p_3333,,,,,,,,,,
1340,c_676_b_219_d_32,t_73194_b_219_tn_10,,(loop),,,p_3333,,,,,,,,,,
1340,c_676_b_219_d_32,t_73194_b_219_tn_11,,(loop),,,p_3333,,,,,,,,,,
1340,c_676_b_219_d_32,t_73194_b_219_tn_2,,(loop),,,p_3333,,,,,,,,,,
1340,c_676_b_219_d_32,t_73194_b_219_tn_3,,(loop),,,p_3333,,,,,,,,,,
1340,c_676_b_219_d_32,t_73194_b_219_tn_4,,(loop),,,p_3333,,,,,,,,,,
1340,c_676_b_219_d_32,t_73194_b_219_tn_5,,(loop),,,p_3333,,,,,,,,,,
1340,c_676_b_219_d_32,t_73194_b_219_tn_6,,(loop),,,p_3333,,,,,,,,,,
1340,c_676_b_219_d_32,t_73194_b_219_tn_7,,(loop),,,p_3333,,,,,,,,,,
1340,c_676_b_219_d_32,t_73194_b_219_tn_8,,(loop),,,p_3333,,,,,,,,,,
1340,c_676_b_219_d_32,t_73194_b_219_tn_9,,(loop),,,p_3333,,,,,,,,,,
1341,c_676_b_219_d_31,t_75382_b_219_tn_2,,(loop),,,p_3336,,,,,,,,,,
1341,c_676_b_219_d_31,t_75382_b_219_tn_3,,(loop),,,p_3336,,,,,,,,,,
1341,c_676_b_219_d_31,t_75382_b_219_tn_4,,(loop),,,p_3336,,,,,,,,,,
1341,c_676_b_219_d_31,t_13118_b_219_tn_0,,(loop),,,p_3336,,,,,,,,,,
1341,c_676_b_219_d_31,t_75382_b_219_tn_5,,(loop),,,p_3336,,,,,,,,,,
1341,c_676_b_219_d_31,t_75384_b_219_tn_1,,(loop),,,p_3336,,,,,,,,,,
1341,c_676_b_219_d_31,t_75384_b_219_tn_2,,(loop),,,p_3336,,,,,,,,,,
1341,c_676_b_219_d_31,t_75384_b_219_tn_3,,(loop),,,p_3336,,,,,,,,,,
1341,c_676_b_219_d_31,t_13119_b_219_tn_0,,(loop),,,p_3336,,,,,,,,,,
1341,c_676_b_219_d_31,t_500992_b_219_tn_0,,(loop),,,p_3336,,,,,,,,,,
1341,c_676_b_219_d_31,t_500993_b_219_tn_0,,(loop),,,p_3336,,,,,,,,,,
1341,c_676_b_219_d_31,t_500994_b_219_tn_0,,(loop),,,p_3336,,,,,,,,,,
1341,c_676_b_219_d_31,t_75380_b_219_tn_1,,(loop),,,p_3336,,,,,,,,,,
1341,c_676_b_219_d_31,t_75380_b_219_tn_2,,(loop),,,p_3336,,,,,,,,,,
1341,c_676_b_219_d_31,t_75380_b_219_tn_3,,(loop),,,p_3336,,,,,,,,,,
1341,c_676_b_219_d_31,t_75381_b_219_tn_1,,(loop),,,p_3336,,,,,,,,,,
1341,c_676_b_219_d_31,t_75381_b_219_tn_2,,(loop),,,p_3336,,,,,,,,,,
1341,c_676_b_219_d_31,t_75381_b_219_tn_3,,(loop),,,p_3336,,,,,,,,,,
1341,c_676_b_219_d_31,t_75382_b_219_tn_1,,(loop),,,p_3336,,,,,,,,,,
1341,c_676_b_219_d_32,t_73281_b_219_tn_11,,(loop),,,p_3336,,,,,,,,,,
1341,c_676_b_219_d_32,t_73281_b_219_tn_9,,(loop),,,p_3336,,,,,,,,,,
1341,c_676_b_219_d_32,t_73281_b_219_tn_8,,(loop),,,p_3336,,,,,,,,,,
1341,c_676_b_219_d_32,t_73281_b_219_tn_7,,(loop),,,p_3336,,,,,,,,,,
1341,c_676_b_219_d_32,t_73281_b_219_tn_6,,(loop),,,p_3336,,,,,,,,,,
1341,c_676_b_219_d_32,t_73281_b_219_tn_5,,(loop),,,p_3336,,,,,,,,,,
1341,c_676_b_219_d_32,t_73281_b_219_tn_4,,(loop),,,p_3336,,,,,,,,,,
1341,c_676_b_219_d_32,t_73281_b_219_tn_3,,(loop),,,p_3336,,,,,,,,,,
1341,c_676_b_219_d_32,t_73281_b_219_tn_1,,(loop),,,p_3336,,,,,,,,,,
1341,c_676_b_219_d_32,t_73281_b_219_tn_10,,(loop),,,p_3336,,,,,,,,,,
1341,c_676_b_219_d_32,t_73281_b_219_tn_2,,(loop),,,p_3336,,,,,,,,,,
1342,c_676_b_219_d_31,t_501004_b_219_tn_0,,(loop),,,p_3337,,,,,,,,,,
1342,c_676_b_219_d_31,t_501002_b_219_tn_0,,(loop),,,p_3337,,,,,,,,,,
1342,c_676_b_219_d_31,t_501003_b_219_tn_0,,(loop),,,p_3337,,,,,,,,,,
1342,c_676_b_219_d_31,t_501005_b_219_tn_0,,(loop),,,p_3337,,,,,,,,,,
1342,c_676_b_219_d_31,t_75366_b_219_tn_1,,(loop),,,p_3337,,,,,,,,,,
1342,c_676_b_219_d_31,t_75366_b_219_tn_2,,(loop),,,p_3337,,,,,,,,,,
1342,c_676_b_219_d_31,t_75366_b_219_tn_3,,(loop),,,p_3337,,,,,,,,,,
1342,c_676_b_219_d_31,t_75366_b_219_tn_4,,(loop),,,p_3337,,,,,,,,,,
1342,c_676_b_219_d_31,t_75367_b_219_tn_1,,(loop),,,p_3337,,,,,,,,,,
1342,c_676_b_219_d_31,t_75367_b_219_tn_2,,(loop),,,p_3337,,,,,,,,,,
1342,c_676_b_219_d_31,t_75367_b_219_tn_3,,(loop),,,p_3337,,,,,,,,,,
1342,c_676_b_219_d_31,t_75367_b_219_tn_4,,(loop),,,p_3337,,,,,,,,,,
1342,c_676_b_219_d_31,t_75368_b_219_tn_1,,(loop),,,p_3337,,,,,,,,,,
1342,c_676_b_219_d_31,t_75368_b_219_tn_10,,(loop),,,p_3337,,,,,,,,,,
1342,c_676_b_219_d_31,t_75368_b_219_tn_11,,(loop),,,p_3337,,,,,,,,,,
1342,c_676_b_219_d_31,t_75368_b_219_tn_2,,(loop),,,p_3337,,,,,,,,,,
1342,c_676_b_219_d_31,t_75368_b_219_tn_3,,(loop),,,p_3337,,,,,,,,,,
1342,c_676_b_219_d_31,t_75368_b_219_tn_4,,(loop),,,p_3337,,,,,,,,,,
1342,c_676_b_219_d_31,t_75368_b_219_tn_5,,(loop),,,p_3337,,,,,,,,,,
1342,c_676_b_219_d_31,t_75368_b_219_tn_6,,(loop),,,p_3337,,,,,,,,,,
1342,c_676_b_219_d_31,t_75368_b_219_tn_7,,(loop),,,p_3337,,,,,,,,,,
1342,c_676_b_219_d_31,t_75368_b_219_tn_8,,(loop),,,p_3337,,,,,,,,,,
1342,c_676_b_219_d_31,t_75368_b_219_tn_9,,(loop),,,p_3337,,,,,,,,,,
1342,c_676_b_219_d_31,t_75370_b_219_tn_1,,(loop),,,p_3337,,,,,,,,,,
1342,c_676_b_219_d_31,t_75370_b_219_tn_2,,(loop),,,p_3337,,,,,,,,,,
1342,c_676_b_219_d_31,t_75371_b_219_tn_1,,(loop),,,p_3337,,,,,,,,,,
1342,c_676_b_219_d_31,t_75371_b_219_tn_2,,(loop),,,p_3337,,,,,,,,,,
1342,c_676_b_219_d_31,t_75371_b_219_tn_3,,(loop),,,p_3337,,,,,,,,,,
1342,c_676_b_219_d_32,t_73282_b_219_tn_10,,(loop),,,p_3337,,,,,,,,,,
1342,c_676_b_219_d_32,t_73282_b_219_tn_11,,(loop),,,p_3337,,,,,,,,,,
1342,c_676_b_219_d_32,t_73282_b_219_tn_12,,(loop),,,p_3337,,,,,,,,,,
