vehicleId,vehicleTypeId
1-0,Car
1-1,Car
1-2,Car
1-3,Car
1-4,Car
2-0,Car
2-1,Car
3-0,Car
3-1,Car
3-2,Car
3-3,Car
4-0,Car
4-1,Car
5-0,Car
5-1,Car
5-2,Car
5-3,Car
5-4,Car
6-0,Car
6-1,Car
6-2,Car
6-3,Car
7-0,Car
7-1,Car
7-2,Car
7-3,Car
7-4,Car
8-0,Car
8-1,Car
8-2,Car
9-0,Car
9-1,Car
9-2,Car
9-3,Car
10-0,Car
10-1,Car
10-2,Car
10-3,Car
10-4,Car
11-0,Car
11-1,Car
11-2,Car
11-3,Car
12-0,Car
12-1,Car
12-2,Car
12-3,Car
12-4,Car
13-0,Car
13-1,Car
13-2,Car
13-3,Car
14-0,Car
14-1,Car
15-0,Car
15-1,Car
15-2,Car
15-3,Car
15-4,Car
16-0,Car
16-1,Car
16-2,Car
16-3,Car
16-4,Car
17-0,Car
17-1,Car
18-0,Car
18-1,Car
19-0,Car
19-1,Car
19-2,Car
19-3,Car
19-4,Car
20-0,Car
20-1,Car
20-2,Car
21-0,Car
21-1,Car
21-2,Car
21-3,Car
21-4,Car
22-0,Car
22-1,Car
22-2,Car
22-3,Car
23-0,Car
23-1,Car
23-2,Car
24-0,Car
24-1,Car
24-2,Car
25-0,Car
25-1,Car
26-0,Car
26-1,Car
26-2,Car
27-0,Car
27-1,Car
27-2,Car
28-0,Car
28-1,Car
28-2,Car
28-3,Car
28-4,Car
29-0,Car
29-1,Car
30-0,Car
30-1,Car
30-2,Car
30-3,Car
31-0,Car
31-1,Car
31-2,Car
31-3,Car
32-0,Car
32-1,Car
32-2,Car
32-3,Car
32-4,Car
33-0,Car
33-1,Car
33-2,Car
34-0,Car
34-1,Car
35-0,Car
35-1,Car
36-0,Car
36-1,Car
36-2,Car
36-3,Car
36-4,Car
37-0,Car
37-1,Car
38-0,Car
38-1,Car
39-0,Car
39-1,Car
39-2,Car
40-0,Car
40-1,Car
40-2,Car
41-0,Car
41-1,Car
41-2,Car
42-0,Car
42-1,Car
43-0,Car
43-1,Car
43-2,Car
44-0,Car
44-1,Car
44-2,Car
44-3,Car
45-0,Car
45-1,Car
45-2,Car
45-3,Car
45-4,Car
46-0,Car
46-1,Car
47-0,Car
47-1,Car
47-2,Car
47-3,Car
48-0,Car
48-1,Car
49-0,Car
49-1,Car
49-2,Car
50-0,Car
50-1,Car
51-0,Car
51-1,Car
52-0,Car
52-1,Car
53-0,Car
53-1,Car
53-2,Car
53-3,Car
54-0,Car
54-1,Car
54-2,Car
55-0,Car
55-1,Car
56-0,Car
56-1,Car
56-2,Car
56-3,Car
56-4,Car
57-0,Car
57-1,Car
57-2,Car
58-0,Car
58-1,Car
59-0,Car
59-1,Car
60-0,Car
60-1,Car
60-2,Car
60-3,Car
61-0,Car
