,vehicleId,vehicleTypeId
0,1-0,Car
1,1-1,Car
2,2-0,Car
3,2-1,Car
4,2-2,Car
5,2-3,Car
6,3-0,Car
7,3-1,Car
8,4-0,Car
9,4-1,Car
10,4-2,Car
11,5-0,Car
12,5-1,Car
13,5-2,Car
14,6-0,Car
15,6-1,Car
16,6-2,Car
17,7-0,Car
18,7-1,Car
19,7-2,Car
20,7-3,Car
21,7-4,Car
22,8-0,Car
23,8-1,Car
24,9-0,Car
25,9-1,Car
26,9-2,Car
27,10-0,Car
28,10-1,Car
29,10-2,Car
30,11-0,Car
31,11-1,Car
32,11-2,Car
33,12-0,Car
34,12-1,Car
35,12-2,Car
36,13-0,Car
37,13-1,Car
38,13-2,Car
39,13-3,Car
40,13-4,Car
41,14-0,Car
42,14-1,Car
43,14-2,Car
44,14-3,Car
45,15-0,Car
46,15-1,Car
47,15-2,Car
48,15-3,Car
49,16-0,Car
50,16-1,Car
51,16-2,Car
52,17-0,Car
53,17-1,Car
54,17-2,Car
55,18-0,Car
56,18-1,Car
57,18-2,Car
58,19-0,Car
59,19-1,Car
60,19-2,Car
61,19-3,Car
62,19-4,Car
63,20-0,Car
64,20-1,Car
65,20-2,Car
66,20-3,Car
67,20-4,Car
68,21-0,Car
69,21-1,Car
70,22-0,Car
71,22-1,Car
72,23-0,Car
73,23-1,Car
74,24-0,Car
75,24-1,Car
76,25-0,Car
77,25-1,Car
78,25-2,Car
79,26-0,Car
80,26-1,Car
81,26-2,Car
82,27-0,Car
83,27-1,Car
84,27-2,Car
85,27-3,Car
86,28-0,Car
87,28-1,Car
88,28-2,Car
89,29-0,Car
90,29-1,Car
91,29-2,Car
92,29-3,Car
93,30-0,Car
94,30-1,Car
95,30-2,Car
96,31-0,Car
97,31-1,Car
98,32-0,Car
99,32-1,Car
100,33-0,Car
101,33-1,Car
102,33-2,Car
103,33-3,Car
104,33-4,Car
105,34-0,Car
106,34-1,Car
107,35-0,Car
108,35-1,Car
109,35-2,Car
110,36-0,Car
111,36-1,Car
112,36-2,Car
113,37-0,Car
114,37-1,Car
115,38-0,Car
116,38-1,Car
117,39-0,Car
118,39-1,Car
119,40-0,Car
120,40-1,Car
121,40-2,Car
122,40-3,Car
123,41-0,Car
124,41-1,Car
125,41-2,Car
126,42-0,Car
127,42-1,Car
128,42-2,Car
