vehicleId,vehicleTypeId
1-0,CAR-TYPE-DEFAULT
1-1,CAR-TYPE-DEFAULT
2-0,CAR-TYPE-DEFAULT
2-1,CAR-TYPE-DEFAULT
2-2,CAR-TYPE-DEFAULT
3-0,CAR-TYPE-DEFAULT
3-1,CAR-TYPE-DEFAULT
3-2,CAR-TYPE-DEFAULT
4-0,CAR-TYPE-DEFAULT
4-1,CAR-TYPE-DEFAULT
4-2,CAR-TYPE-DEFAULT
5-0,CAR-TYPE-DEFAULT
5-1,CAR-TYPE-DEFAULT
5-2,CAR-TYPE-DEFAULT
6-0,CAR-TYPE-DEFAULT
6-1,CAR-TYPE-DEFAULT
6-2,CAR-TYPE-DEFAULT
7-0,CAR-TYPE-DEFAULT
7-1,CAR-TYPE-DEFAULT
7-2,CAR-TYPE-DEFAULT
7-3,CAR-TYPE-DEFAULT
7-4,CAR-TYPE-DEFAULT
7-5,CAR-TYPE-DEFAULT
7-6,CAR-TYPE-DEFAULT
8-0,CAR-TYPE-DEFAULT
8-1,CAR-TYPE-DEFAULT
9-0,CAR-TYPE-DEFAULT
9-1,CAR-TYPE-DEFAULT
10-0,CAR-TYPE-DEFAULT
10-1,CAR-TYPE-DEFAULT
11-0,CAR-TYPE-DEFAULT
11-1,CAR-TYPE-DEFAULT
11-2,CAR-TYPE-DEFAULT
11-3,CAR-TYPE-DEFAULT
12-0,CAR-TYPE-DEFAULT
12-1,CAR-TYPE-DEFAULT
12-2,CAR-TYPE-DEFAULT
12-3,CAR-TYPE-DEFAULT
13-0,CAR-TYPE-DEFAULT
13-1,CAR-TYPE-DEFAULT
13-2,CAR-TYPE-DEFAULT
13-3,CAR-TYPE-DEFAULT
13-4,CAR-TYPE-DEFAULT
13-5,CAR-TYPE-DEFAULT
14-0,CAR-TYPE-DEFAULT
14-1,CAR-TYPE-DEFAULT
15-0,CAR-TYPE-DEFAULT
15-1,CAR-TYPE-DEFAULT
15-2,CAR-TYPE-DEFAULT
16-0,CAR-TYPE-DEFAULT
16-1,CAR-TYPE-DEFAULT
16-2,CAR-TYPE-DEFAULT
17-0,CAR-TYPE-DEFAULT
17-1,CAR-TYPE-DEFAULT
18-0,CAR-TYPE-DEFAULT
18-1,CAR-TYPE-DEFAULT
19-0,CAR-TYPE-DEFAULT
19-1,CAR-TYPE-DEFAULT
19-2,CAR-TYPE-DEFAULT
20-0,CAR-TYPE-DEFAULT
20-1,CAR-TYPE-DEFAULT
21-0,CAR-TYPE-DEFAULT
21-1,CAR-TYPE-DEFAULT
22-0,CAR-TYPE-DEFAULT
22-1,CAR-TYPE-DEFAULT
22-2,CAR-TYPE-DEFAULT
22-3,CAR-TYPE-DEFAULT
23-0,CAR-TYPE-DEFAULT
23-1,CAR-TYPE-DEFAULT
24-0,CAR-TYPE-DEFAULT
24-1,CAR-TYPE-DEFAULT
25-0,CAR-TYPE-DEFAULT
25-1,CAR-TYPE-DEFAULT
25-2,CAR-TYPE-DEFAULT
26-0,CAR-TYPE-DEFAULT
26-1,CAR-TYPE-DEFAULT
26-2,CAR-TYPE-DEFAULT
27-0,CAR-TYPE-DEFAULT
27-1,CAR-TYPE-DEFAULT
27-2,CAR-TYPE-DEFAULT
27-3,CAR-TYPE-DEFAULT
27-4,CAR-TYPE-DEFAULT
28-0,CAR-TYPE-DEFAULT
28-1,CAR-TYPE-DEFAULT
28-2,CAR-TYPE-DEFAULT
28-3,CAR-TYPE-DEFAULT
28-4,CAR-TYPE-DEFAULT
28-5,CAR-TYPE-DEFAULT
29-0,CAR-TYPE-DEFAULT
29-1,CAR-TYPE-DEFAULT
30-0,CAR-TYPE-DEFAULT
30-1,CAR-TYPE-DEFAULT
30-2,CAR-TYPE-DEFAULT
31-0,CAR-TYPE-DEFAULT
31-1,CAR-TYPE-DEFAULT
31-2,CAR-TYPE-DEFAULT
32-0,CAR-TYPE-DEFAULT
32-1,CAR-TYPE-DEFAULT
32-2,CAR-TYPE-DEFAULT
33-0,CAR-TYPE-DEFAULT
33-1,CAR-TYPE-DEFAULT
34-0,CAR-TYPE-DEFAULT
34-1,CAR-TYPE-DEFAULT
34-2,CAR-TYPE-DEFAULT
34-3,CAR-TYPE-DEFAULT
34-4,CAR-TYPE-DEFAULT
35-0,CAR-TYPE-DEFAULT
35-1,CAR-TYPE-DEFAULT
35-2,CAR-TYPE-DEFAULT
36-0,CAR-TYPE-DEFAULT
36-1,CAR-TYPE-DEFAULT
36-2,CAR-TYPE-DEFAULT
37-0,CAR-TYPE-DEFAULT
37-1,CAR-TYPE-DEFAULT
37-2,CAR-TYPE-DEFAULT
38-0,CAR-TYPE-DEFAULT
38-1,CAR-TYPE-DEFAULT
38-2,CAR-TYPE-DEFAULT
39-0,CAR-TYPE-DEFAULT
39-1,CAR-TYPE-DEFAULT
39-2,CAR-TYPE-DEFAULT
40-0,CAR-TYPE-DEFAULT
40-1,CAR-TYPE-DEFAULT
40-2,CAR-TYPE-DEFAULT
40-3,CAR-TYPE-DEFAULT
40-4,CAR-TYPE-DEFAULT
41-0,CAR-TYPE-DEFAULT
41-1,CAR-TYPE-DEFAULT
41-2,CAR-TYPE-DEFAULT
41-3,CAR-TYPE-DEFAULT
41-4,CAR-TYPE-DEFAULT
42-0,CAR-TYPE-DEFAULT
42-1,CAR-TYPE-DEFAULT
43-0,CAR-TYPE-DEFAULT
43-1,CAR-TYPE-DEFAULT
43-2,CAR-TYPE-DEFAULT
44-0,CAR-TYPE-DEFAULT
44-1,CAR-TYPE-DEFAULT
44-2,CAR-TYPE-DEFAULT
44-3,CAR-TYPE-DEFAULT
44-4,CAR-TYPE-DEFAULT
44-5,CAR-TYPE-DEFAULT
44-6,CAR-TYPE-DEFAULT
45-0,CAR-TYPE-DEFAULT
45-1,CAR-TYPE-DEFAULT
45-2,CAR-TYPE-DEFAULT
46-0,CAR-TYPE-DEFAULT
46-1,CAR-TYPE-DEFAULT
47-0,CAR-TYPE-DEFAULT
47-1,CAR-TYPE-DEFAULT
47-2,CAR-TYPE-DEFAULT
48-0,CAR-TYPE-DEFAULT
48-1,CAR-TYPE-DEFAULT
49-0,CAR-TYPE-DEFAULT
49-1,CAR-TYPE-DEFAULT
49-2,CAR-TYPE-DEFAULT
50-0,CAR-TYPE-DEFAULT
50-1,CAR-TYPE-DEFAULT
50-2,CAR-TYPE-DEFAULT
50-3,CAR-TYPE-DEFAULT
51-0,CAR-TYPE-DEFAULT
51-1,CAR-TYPE-DEFAULT
51-2,CAR-TYPE-DEFAULT
51-3,CAR-TYPE-DEFAULT
51-4,CAR-TYPE-DEFAULT
51-5,CAR-TYPE-DEFAULT
52-0,CAR-TYPE-DEFAULT
52-1,CAR-TYPE-DEFAULT
52-2,CAR-TYPE-DEFAULT
53-0,CAR-TYPE-DEFAULT
53-1,CAR-TYPE-DEFAULT
54-0,CAR-TYPE-DEFAULT
54-1,CAR-TYPE-DEFAULT
54-2,CAR-TYPE-DEFAULT
54-3,CAR-TYPE-DEFAULT
54-4,CAR-TYPE-DEFAULT
54-5,CAR-TYPE-DEFAULT
55-0,CAR-TYPE-DEFAULT
55-1,CAR-TYPE-DEFAULT
55-2,CAR-TYPE-DEFAULT
56-0,CAR-TYPE-DEFAULT
56-1,CAR-TYPE-DEFAULT
56-2,CAR-TYPE-DEFAULT
56-3,CAR-TYPE-DEFAULT
57-0,CAR-TYPE-DEFAULT
57-1,CAR-TYPE-DEFAULT
57-2,CAR-TYPE-DEFAULT
57-3,CAR-TYPE-DEFAULT
57-4,CAR-TYPE-DEFAULT
57-5,CAR-TYPE-DEFAULT
57-6,CAR-TYPE-DEFAULT
58-0,CAR-TYPE-DEFAULT
58-1,CAR-TYPE-DEFAULT
59-0,CAR-TYPE-DEFAULT
59-1,CAR-TYPE-DEFAULT
60-0,CAR-TYPE-DEFAULT
60-1,CAR-TYPE-DEFAULT
60-2,CAR-TYPE-DEFAULT
61-0,CAR-TYPE-DEFAULT
61-1,CAR-TYPE-DEFAULT
62-0,CAR-TYPE-DEFAULT
62-1,CAR-TYPE-DEFAULT
62-2,CAR-TYPE-DEFAULT
63-0,CAR-TYPE-DEFAULT
63-1,CAR-TYPE-DEFAULT
63-2,CAR-TYPE-DEFAULT
64-0,CAR-TYPE-DEFAULT
64-1,CAR-TYPE-DEFAULT
64-2,CAR-TYPE-DEFAULT
64-3,CAR-TYPE-DEFAULT
65-0,CAR-TYPE-DEFAULT
65-1,CAR-TYPE-DEFAULT
65-2,CAR-TYPE-DEFAULT
66-0,CAR-TYPE-DEFAULT
66-1,CAR-TYPE-DEFAULT
66-2,CAR-TYPE-DEFAULT
67-0,CAR-TYPE-DEFAULT
67-1,CAR-TYPE-DEFAULT
67-2,CAR-TYPE-DEFAULT
68-0,CAR-TYPE-DEFAULT
68-1,CAR-TYPE-DEFAULT
68-2,CAR-TYPE-DEFAULT
69-0,CAR-TYPE-DEFAULT
69-1,CAR-TYPE-DEFAULT
69-2,CAR-TYPE-DEFAULT
70-0,CAR-TYPE-DEFAULT
70-1,CAR-TYPE-DEFAULT
70-2,CAR-TYPE-DEFAULT
71-0,CAR-TYPE-DEFAULT
71-1,CAR-TYPE-DEFAULT
71-2,CAR-TYPE-DEFAULT
71-3,CAR-TYPE-DEFAULT
71-4,CAR-TYPE-DEFAULT
71-5,CAR-TYPE-DEFAULT
72-0,CAR-TYPE-DEFAULT
72-1,CAR-TYPE-DEFAULT
73-0,CAR-TYPE-DEFAULT
73-1,CAR-TYPE-DEFAULT
74-0,CAR-TYPE-DEFAULT
74-1,CAR-TYPE-DEFAULT
74-2,CAR-TYPE-DEFAULT
74-3,CAR-TYPE-DEFAULT
75-0,CAR-TYPE-DEFAULT
75-1,CAR-TYPE-DEFAULT
75-2,CAR-TYPE-DEFAULT
76-0,CAR-TYPE-DEFAULT
76-1,CAR-TYPE-DEFAULT
76-2,CAR-TYPE-DEFAULT
76-3,CAR-TYPE-DEFAULT
77-0,CAR-TYPE-DEFAULT
77-1,CAR-TYPE-DEFAULT
77-2,CAR-TYPE-DEFAULT
77-3,CAR-TYPE-DEFAULT
77-4,CAR-TYPE-DEFAULT
78-0,CAR-TYPE-DEFAULT
78-1,CAR-TYPE-DEFAULT
78-2,CAR-TYPE-DEFAULT
79-0,CAR-TYPE-DEFAULT
79-1,CAR-TYPE-DEFAULT
80-0,CAR-TYPE-DEFAULT
80-1,CAR-TYPE-DEFAULT
80-2,CAR-TYPE-DEFAULT
80-3,CAR-TYPE-DEFAULT
81-0,CAR-TYPE-DEFAULT
81-1,CAR-TYPE-DEFAULT
81-2,CAR-TYPE-DEFAULT
82-0,CAR-TYPE-DEFAULT
82-1,CAR-TYPE-DEFAULT
83-0,CAR-TYPE-DEFAULT
83-1,CAR-TYPE-DEFAULT
83-2,CAR-TYPE-DEFAULT
83-3,CAR-TYPE-DEFAULT
83-4,CAR-TYPE-DEFAULT
84-0,CAR-TYPE-DEFAULT
84-1,CAR-TYPE-DEFAULT
84-2,CAR-TYPE-DEFAULT
85-0,CAR-TYPE-DEFAULT
85-1,CAR-TYPE-DEFAULT
85-2,CAR-TYPE-DEFAULT
85-3,CAR-TYPE-DEFAULT
86-0,CAR-TYPE-DEFAULT
86-1,CAR-TYPE-DEFAULT
86-2,CAR-TYPE-DEFAULT
87-0,CAR-TYPE-DEFAULT
87-1,CAR-TYPE-DEFAULT
88-0,CAR-TYPE-DEFAULT
88-1,CAR-TYPE-DEFAULT
88-2,CAR-TYPE-DEFAULT
88-3,CAR-TYPE-DEFAULT
88-4,CAR-TYPE-DEFAULT
89-0,CAR-TYPE-DEFAULT
89-1,CAR-TYPE-DEFAULT
90-0,CAR-TYPE-DEFAULT
90-1,CAR-TYPE-DEFAULT
90-2,CAR-TYPE-DEFAULT
91-0,CAR-TYPE-DEFAULT
91-1,CAR-TYPE-DEFAULT
92-0,CAR-TYPE-DEFAULT
92-1,CAR-TYPE-DEFAULT
92-2,CAR-TYPE-DEFAULT
92-3,CAR-TYPE-DEFAULT
92-4,CAR-TYPE-DEFAULT
92-5,CAR-TYPE-DEFAULT
93-0,CAR-TYPE-DEFAULT
93-1,CAR-TYPE-DEFAULT
93-2,CAR-TYPE-DEFAULT
93-3,CAR-TYPE-DEFAULT
93-4,CAR-TYPE-DEFAULT
93-5,CAR-TYPE-DEFAULT
93-6,CAR-TYPE-DEFAULT
94-0,CAR-TYPE-DEFAULT
94-1,CAR-TYPE-DEFAULT
94-2,CAR-TYPE-DEFAULT
94-3,CAR-TYPE-DEFAULT
94-4,CAR-TYPE-DEFAULT
94-5,CAR-TYPE-DEFAULT
95-0,CAR-TYPE-DEFAULT
95-1,CAR-TYPE-DEFAULT
95-2,CAR-TYPE-DEFAULT
96-0,CAR-TYPE-DEFAULT
96-1,CAR-TYPE-DEFAULT
96-2,CAR-TYPE-DEFAULT
96-3,CAR-TYPE-DEFAULT
96-4,CAR-TYPE-DEFAULT
96-5,CAR-TYPE-DEFAULT
96-6,CAR-TYPE-DEFAULT
97-0,CAR-TYPE-DEFAULT
97-1,CAR-TYPE-DEFAULT
97-2,CAR-TYPE-DEFAULT
97-3,CAR-TYPE-DEFAULT
97-4,CAR-TYPE-DEFAULT
97-5,CAR-TYPE-DEFAULT
97-6,CAR-TYPE-DEFAULT
97-7,CAR-TYPE-DEFAULT
98-0,CAR-TYPE-DEFAULT
98-1,CAR-TYPE-DEFAULT
99-0,CAR-TYPE-DEFAULT
99-1,CAR-TYPE-DEFAULT
99-2,CAR-TYPE-DEFAULT
100-0,CAR-TYPE-DEFAULT
100-1,CAR-TYPE-DEFAULT
101-0,CAR-TYPE-DEFAULT
101-1,CAR-TYPE-DEFAULT
101-2,CAR-TYPE-DEFAULT
102-0,CAR-TYPE-DEFAULT
102-1,CAR-TYPE-DEFAULT
103-0,CAR-TYPE-DEFAULT
103-1,CAR-TYPE-DEFAULT
103-2,CAR-TYPE-DEFAULT
104-0,CAR-TYPE-DEFAULT
104-1,CAR-TYPE-DEFAULT
105-0,CAR-TYPE-DEFAULT
105-1,CAR-TYPE-DEFAULT
106-0,CAR-TYPE-DEFAULT
106-1,CAR-TYPE-DEFAULT
106-2,CAR-TYPE-DEFAULT
106-3,CAR-TYPE-DEFAULT
107-0,CAR-TYPE-DEFAULT
107-1,CAR-TYPE-DEFAULT
107-2,CAR-TYPE-DEFAULT
108-0,CAR-TYPE-DEFAULT
108-1,CAR-TYPE-DEFAULT
108-2,CAR-TYPE-DEFAULT
109-0,CAR-TYPE-DEFAULT
109-1,CAR-TYPE-DEFAULT
109-2,CAR-TYPE-DEFAULT
110-0,CAR-TYPE-DEFAULT
110-1,CAR-TYPE-DEFAULT
110-2,CAR-TYPE-DEFAULT
111-0,CAR-TYPE-DEFAULT
111-1,CAR-TYPE-DEFAULT
111-2,CAR-TYPE-DEFAULT
112-0,CAR-TYPE-DEFAULT
112-1,CAR-TYPE-DEFAULT
112-2,CAR-TYPE-DEFAULT
113-0,CAR-TYPE-DEFAULT
113-1,CAR-TYPE-DEFAULT
114-0,CAR-TYPE-DEFAULT
114-1,CAR-TYPE-DEFAULT
114-2,CAR-TYPE-DEFAULT
115-0,CAR-TYPE-DEFAULT
115-1,CAR-TYPE-DEFAULT
115-2,CAR-TYPE-DEFAULT
116-0,CAR-TYPE-DEFAULT
116-1,CAR-TYPE-DEFAULT
116-2,CAR-TYPE-DEFAULT
117-0,CAR-TYPE-DEFAULT
117-1,CAR-TYPE-DEFAULT
118-0,CAR-TYPE-DEFAULT
118-1,CAR-TYPE-DEFAULT
118-2,CAR-TYPE-DEFAULT
119-0,CAR-TYPE-DEFAULT
119-1,CAR-TYPE-DEFAULT
119-2,CAR-TYPE-DEFAULT
119-3,CAR-TYPE-DEFAULT
120-0,CAR-TYPE-DEFAULT
120-1,CAR-TYPE-DEFAULT
121-0,CAR-TYPE-DEFAULT
121-1,CAR-TYPE-DEFAULT
121-2,CAR-TYPE-DEFAULT
121-3,CAR-TYPE-DEFAULT
121-4,CAR-TYPE-DEFAULT
122-0,CAR-TYPE-DEFAULT
122-1,CAR-TYPE-DEFAULT
122-2,CAR-TYPE-DEFAULT
122-3,CAR-TYPE-DEFAULT
122-4,CAR-TYPE-DEFAULT
123-0,CAR-TYPE-DEFAULT
123-1,CAR-TYPE-DEFAULT
123-2,CAR-TYPE-DEFAULT
123-3,CAR-TYPE-DEFAULT
123-4,CAR-TYPE-DEFAULT
123-5,CAR-TYPE-DEFAULT
124-0,CAR-TYPE-DEFAULT
124-1,CAR-TYPE-DEFAULT
125-0,CAR-TYPE-DEFAULT
125-1,CAR-TYPE-DEFAULT
125-2,CAR-TYPE-DEFAULT
125-3,CAR-TYPE-DEFAULT
126-0,CAR-TYPE-DEFAULT
126-1,CAR-TYPE-DEFAULT
126-2,CAR-TYPE-DEFAULT
127-0,CAR-TYPE-DEFAULT
127-1,CAR-TYPE-DEFAULT
127-2,CAR-TYPE-DEFAULT
128-0,CAR-TYPE-DEFAULT
128-1,CAR-TYPE-DEFAULT
128-2,CAR-TYPE-DEFAULT
128-3,CAR-TYPE-DEFAULT
128-4,CAR-TYPE-DEFAULT
128-5,CAR-TYPE-DEFAULT
129-0,CAR-TYPE-DEFAULT
129-1,CAR-TYPE-DEFAULT
129-2,CAR-TYPE-DEFAULT
130-0,CAR-TYPE-DEFAULT
130-1,CAR-TYPE-DEFAULT
130-2,CAR-TYPE-DEFAULT
131-0,CAR-TYPE-DEFAULT
131-1,CAR-TYPE-DEFAULT
132-0,CAR-TYPE-DEFAULT
132-1,CAR-TYPE-DEFAULT
132-2,CAR-TYPE-DEFAULT
133-0,CAR-TYPE-DEFAULT
133-1,CAR-TYPE-DEFAULT
133-2,CAR-TYPE-DEFAULT
134-0,CAR-TYPE-DEFAULT
134-1,CAR-TYPE-DEFAULT
135-0,CAR-TYPE-DEFAULT
135-1,CAR-TYPE-DEFAULT
136-0,CAR-TYPE-DEFAULT
136-1,CAR-TYPE-DEFAULT
136-2,CAR-TYPE-DEFAULT
137-0,CAR-TYPE-DEFAULT
137-1,CAR-TYPE-DEFAULT
137-2,CAR-TYPE-DEFAULT
138-0,CAR-TYPE-DEFAULT
138-1,CAR-TYPE-DEFAULT
138-2,CAR-TYPE-DEFAULT
139-0,CAR-TYPE-DEFAULT
139-1,CAR-TYPE-DEFAULT
139-2,CAR-TYPE-DEFAULT
140-0,CAR-TYPE-DEFAULT
140-1,CAR-TYPE-DEFAULT
140-2,CAR-TYPE-DEFAULT
140-3,CAR-TYPE-DEFAULT
140-4,CAR-TYPE-DEFAULT
140-5,CAR-TYPE-DEFAULT
140-6,CAR-TYPE-DEFAULT
141-0,CAR-TYPE-DEFAULT
141-1,CAR-TYPE-DEFAULT
141-2,CAR-TYPE-DEFAULT
141-3,CAR-TYPE-DEFAULT
142-0,CAR-TYPE-DEFAULT
142-1,CAR-TYPE-DEFAULT
143-0,CAR-TYPE-DEFAULT
143-1,CAR-TYPE-DEFAULT
144-0,CAR-TYPE-DEFAULT
144-1,CAR-TYPE-DEFAULT
144-2,CAR-TYPE-DEFAULT
144-3,CAR-TYPE-DEFAULT
144-4,CAR-TYPE-DEFAULT
144-5,CAR-TYPE-DEFAULT
145-0,CAR-TYPE-DEFAULT
145-1,CAR-TYPE-DEFAULT
145-2,CAR-TYPE-DEFAULT
146-0,CAR-TYPE-DEFAULT
146-1,CAR-TYPE-DEFAULT
147-0,CAR-TYPE-DEFAULT
147-1,CAR-TYPE-DEFAULT
147-2,CAR-TYPE-DEFAULT
148-0,CAR-TYPE-DEFAULT
148-1,CAR-TYPE-DEFAULT
148-2,CAR-TYPE-DEFAULT
148-3,CAR-TYPE-DEFAULT
149-0,CAR-TYPE-DEFAULT
149-1,CAR-TYPE-DEFAULT
150-0,CAR-TYPE-DEFAULT
150-1,CAR-TYPE-DEFAULT
151-0,CAR-TYPE-DEFAULT
151-1,CAR-TYPE-DEFAULT
151-2,CAR-TYPE-DEFAULT
151-3,CAR-TYPE-DEFAULT
151-4,CAR-TYPE-DEFAULT
152-0,CAR-TYPE-DEFAULT
152-1,CAR-TYPE-DEFAULT
152-2,CAR-TYPE-DEFAULT
153-0,CAR-TYPE-DEFAULT
153-1,CAR-TYPE-DEFAULT
153-2,CAR-TYPE-DEFAULT
153-3,CAR-TYPE-DEFAULT
153-4,CAR-TYPE-DEFAULT
153-5,CAR-TYPE-DEFAULT
154-0,CAR-TYPE-DEFAULT
154-1,CAR-TYPE-DEFAULT
154-2,CAR-TYPE-DEFAULT
155-0,CAR-TYPE-DEFAULT
155-1,CAR-TYPE-DEFAULT
155-2,CAR-TYPE-DEFAULT
155-3,CAR-TYPE-DEFAULT
155-4,CAR-TYPE-DEFAULT
155-5,CAR-TYPE-DEFAULT
155-6,CAR-TYPE-DEFAULT
156-0,CAR-TYPE-DEFAULT
156-1,CAR-TYPE-DEFAULT
156-2,CAR-TYPE-DEFAULT
156-3,CAR-TYPE-DEFAULT
156-4,CAR-TYPE-DEFAULT
156-5,CAR-TYPE-DEFAULT
157-0,CAR-TYPE-DEFAULT
157-1,CAR-TYPE-DEFAULT
157-2,CAR-TYPE-DEFAULT
158-0,CAR-TYPE-DEFAULT
158-1,CAR-TYPE-DEFAULT
158-2,CAR-TYPE-DEFAULT
159-0,CAR-TYPE-DEFAULT
159-1,CAR-TYPE-DEFAULT
159-2,CAR-TYPE-DEFAULT
159-3,CAR-TYPE-DEFAULT
160-0,CAR-TYPE-DEFAULT
160-1,CAR-TYPE-DEFAULT
160-2,CAR-TYPE-DEFAULT
161-0,CAR-TYPE-DEFAULT
161-1,CAR-TYPE-DEFAULT
161-2,CAR-TYPE-DEFAULT
162-0,CAR-TYPE-DEFAULT
162-1,CAR-TYPE-DEFAULT
162-2,CAR-TYPE-DEFAULT
162-3,CAR-TYPE-DEFAULT
163-0,CAR-TYPE-DEFAULT
163-1,CAR-TYPE-DEFAULT
164-0,CAR-TYPE-DEFAULT
164-1,CAR-TYPE-DEFAULT
165-0,CAR-TYPE-DEFAULT
165-1,CAR-TYPE-DEFAULT
165-2,CAR-TYPE-DEFAULT
166-0,CAR-TYPE-DEFAULT
166-1,CAR-TYPE-DEFAULT
167-0,CAR-TYPE-DEFAULT
167-1,CAR-TYPE-DEFAULT
167-2,CAR-TYPE-DEFAULT
168-0,CAR-TYPE-DEFAULT
168-1,CAR-TYPE-DEFAULT
168-2,CAR-TYPE-DEFAULT
169-0,CAR-TYPE-DEFAULT
169-1,CAR-TYPE-DEFAULT
170-0,CAR-TYPE-DEFAULT
170-1,CAR-TYPE-DEFAULT
170-2,CAR-TYPE-DEFAULT
170-3,CAR-TYPE-DEFAULT
171-0,CAR-TYPE-DEFAULT
171-1,CAR-TYPE-DEFAULT
171-2,CAR-TYPE-DEFAULT
171-3,CAR-TYPE-DEFAULT
171-4,CAR-TYPE-DEFAULT
172-0,CAR-TYPE-DEFAULT
172-1,CAR-TYPE-DEFAULT
172-2,CAR-TYPE-DEFAULT
172-3,CAR-TYPE-DEFAULT
173-0,CAR-TYPE-DEFAULT
173-1,CAR-TYPE-DEFAULT
173-2,CAR-TYPE-DEFAULT
174-0,CAR-TYPE-DEFAULT
174-1,CAR-TYPE-DEFAULT
