,pop,n_hh,avg_pop_per_hh,avg_veh_per_hh,avg_veh_per_hh_new,median_age,median_age_new,median_ind_income,median_ind_income_new,median_hh_income,median_hh_income_new,median_vot,median_vot_new,perc_eve_events,perc_eve_events_new,perc_excl_car,perc_excl_car_new
100,121,51,2.372549019607843,3.2549019607843137,1.6862745098039216,36.0,36.0,10932.58064516129,10932.58,50270.0,50270.0,18.0,3.627920165470078,0.0,0.0,0.0,16.52892561983471
1001,133,53,2.509433962264151,3.5660377358490565,1.8679245283018868,34.0,34.0,20676.16279069768,20676.16,63965.00000000001,63965.0,18.0,5.254893276796565,0.0,0.0,0.0,21.804511278195488
1002,1174,495,2.371717171717172,3.3515151515151516,1.7757575757575759,34.0,34.0,11926.415794911532,11926.42,47299.99999999999,47300.0,18.0,4.571397295013428,0.0,0.0,0.0,20.528109028960817
10102,2026,620,3.267741935483871,3.7838709677419353,2.479032258064516,25.0,25.0,7707.403846153846,7707.405000000001,66803.0,66803.0,18.0,5.0364128368409435,0.0,0.0,0.0,35.093780848963476
10103,266,84,3.1666666666666665,3.630952380952381,2.119047619047619,26.0,26.0,9946.261682242992,9946.26,59399.999999999985,59400.0,18.0,4.430029728353887,0.0,0.0,0.0,32.330827067669176
10104,2696,820,3.2878048780487803,3.529268292682927,2.2817073170731708,30.0,30.0,6875.0,6875.0,62260.0,62260.0,18.0,5.283068574539872,0.0,0.0,0.0,31.008902077151337
1101,1352,538,2.513011152416357,3.1617100371747213,1.533457249070632,38.0,38.0,10431.807180314641,10431.81,39050.0,39050.0,18.0,4.910132470387584,0.0,0.0,0.0,19.452662721893493
1105,291,112,2.5982142857142856,3.8214285714285716,2.0,38.0,38.0,15257.59577278732,15257.6,72600.0,72600.0,18.0,3.784728831914929,0.0,0.0,0.0,24.398625429553263
1106,389,152,2.5592105263157894,3.710526315789474,2.0657894736842106,36.0,36.0,25666.66666666666,25666.67,94160.0,94160.0,18.0,5.93823680377247,0.0,0.0,0.0,19.02313624678663
1107,158,64,2.46875,3.171875,1.96875,38.5,38.5,17496.256886843858,17496.260000000002,57805.0,57805.0,18.0,6.099392352962879,0.0,0.0,0.0,21.518987341772153
1108,261,94,2.776595744680851,3.2872340425531914,1.6702127659574468,34.0,34.0,7156.830188679244,7156.83,42130.0,42130.0,18.0,5.186435289405728,0.0,0.0,0.0,25.67049808429119
1200,1202,428,2.808411214953271,3.2757009345794392,1.7102803738317758,37.0,37.0,10467.813347866782,10467.810000000001,55000.0,55000.0,18.0,4.806269165327086,0.0,0.0,0.0,23.793677204658902
1500,234,79,2.962025316455696,3.2658227848101267,1.8354430379746836,36.5,36.5,9228.977732793523,9228.975,56650.00000000001,56650.0,18.0,3.6622853963029702,0.0,0.0,0.0,26.068376068376068
1600,148,49,3.020408163265306,3.4081632653061225,2.4081632653061225,35.0,35.0,13614.38805970149,13614.39,63580.0,63580.0,18.0,4.306476740689223,0.0,0.0,0.0,24.324324324324323
1700,107,41,2.6097560975609757,3.2439024390243905,1.7560975609756098,44.0,44.0,10013.72881355932,10013.73,57639.99999999999,57640.0,18.0,3.8026187442562662,0.0,0.0,0.0,14.018691588785046
1801,318,110,2.890909090909091,3.3636363636363638,2.081818181818182,35.5,35.5,12017.723420647148,12017.725,54395.0,54395.0,18.0,5.216551722586939,0.0,0.0,0.0,24.842767295597483
1803,233,92,2.532608695652174,3.6847826086956523,2.0217391304347827,35.0,35.0,14300.0,14300.0,61600.0,61600.0,18.0,5.8689446091044655,0.0,0.0,0.0,24.463519313304722
1804,934,332,2.8132530120481927,3.683734939759036,2.0451807228915664,37.0,37.0,10227.922824302133,10227.925,65944.99999999999,65945.0,18.0,5.525545854899318,0.0,0.0,0.0,23.23340471092077
1901,434,144,3.013888888888889,3.3125,1.9513888888888888,34.5,34.5,9136.375641966251,9136.375,61270.0,61270.0,18.0,5.102031675635772,0.0,0.0,0.0,25.34562211981567
1902,211,93,2.2688172043010755,3.3225806451612905,2.032258064516129,45.0,45.0,15200.0,15200.0,61600.0,61600.0,18.0,5.533461487440562,0.0,0.0,0.0,13.270142180094787
201,172,71,2.4225352112676055,3.211267605633803,1.2816901408450705,34.0,34.0,14003.392857142857,14003.395,49500.0,49500.0,18.0,3.657635307723947,0.0,0.0,0.0,22.674418604651162
202,134,54,2.4814814814814814,3.1666666666666665,1.8148148148148149,26.0,26.0,7580.024350269201,7580.025,38005.0,38004.995,18.0,7.563261139906333,0.0,0.0,0.0,29.850746268656717
300,115,57,2.017543859649123,3.192982456140351,1.6842105263157894,38.0,38.0,13911.764705882351,13911.76,43714.00000000001,43714.0,18.0,4.662345393946904,0.0,0.0,0.0,13.043478260869565
401,186,65,2.8615384615384616,3.0923076923076924,2.123076923076923,25.5,25.5,8097.479991347609,8097.48,48400.0,48400.0,18.0,5.933875593113029,0.0,0.0,0.0,32.795698924731184
405,155,53,2.9245283018867925,3.358490566037736,1.7735849056603774,32.0,32.0,7589.999999999999,7590.0,49500.0,49500.0,18.0,5.885272318423202,0.0,0.0,0.0,23.870967741935484
406,116,48,2.4166666666666665,3.25,1.8125,36.5,36.5,14683.960162052668,14683.96,64845.0,64845.0,18.0,6.708794475040927,0.0,0.0,0.0,14.655172413793103
407,139,51,2.7254901960784315,3.627450980392157,2.196078431372549,38.0,38.0,13149.714285714286,13149.71,51370.000000000015,51370.0,18.0,3.4553492681978466,0.0,0.0,0.0,25.179856115107913
408,170,69,2.463768115942029,3.3043478260869565,1.7971014492753623,42.0,42.0,10033.15789473684,10033.16,43560.0,43560.0,18.0,4.526832286524256,0.0,0.0,0.0,21.176470588235293
500,121,52,2.326923076923077,3.4615384615384617,1.6923076923076923,29.0,29.0,10560.0,10560.0,60725.5,60725.5,18.0,5.569840483199896,0.0,0.0,0.0,19.00826446280992
600,664,265,2.5056603773584905,3.3132075471698115,1.6264150943396227,31.0,31.0,8663.157894736843,8663.16,46200.0,46200.0,18.0,5.439331029746008,0.0,0.0,0.0,24.698795180722893
700,182,81,2.246913580246914,3.3703703703703702,1.4567901234567902,32.5,32.5,12444.36936936937,12444.369999999999,35200.0,35200.0,18.0,6.725171340023811,0.0,0.0,0.0,18.13186813186813
900,159,69,2.3043478260869565,2.9130434782608696,1.7246376811594204,41.0,41.0,11000.0,11000.0,35420.0,35420.0,18.0,5.478348337610775,0.0,0.0,0.0,24.528301886792452
