vehicleId,vehicleTypeId
37930-0,CAR-TYPE-DEFAULT
39133-0,CAR-TYPE-DEFAULT
39133-1,CAR-TYPE-DEFAULT
57205-0,CAR-TYPE-DEFAULT
57205-1,CAR-TYPE-DEFAULT
29781-0,CAR-TYPE-DEFAULT
29781-1,CAR-TYPE-DEFAULT
50742-0,CAR-TYPE-DEFAULT
50742-1,CAR-TYPE-DEFAULT
46805-0,CAR-TYPE-DEFAULT
46805-1,CAR-TYPE-DEFAULT
46805-2,CAR-TYPE-DEFAULT
46805-3,CAR-TYPE-DEFAULT
62486-0,CAR-TYPE-DEFAULT
62486-1,CAR-TYPE-DEFAULT
62486-2,CAR-TYPE-DEFAULT
31724-0,CAR-TYPE-DEFAULT
28292-0,CAR-TYPE-DEFAULT
28292-1,CAR-TYPE-DEFAULT
28292-2,CAR-TYPE-DEFAULT
49906-0,CAR-TYPE-DEFAULT
49906-1,CAR-TYPE-DEFAULT
29588-0,CAR-TYPE-DEFAULT
29588-1,CAR-TYPE-DEFAULT
40474-0,CAR-TYPE-DEFAULT
40474-1,CAR-TYPE-DEFAULT
38583-0,CAR-TYPE-DEFAULT
38583-1,CAR-TYPE-DEFAULT
2971-0,CAR-TYPE-DEFAULT
2971-1,CAR-TYPE-DEFAULT
51292-0,CAR-TYPE-DEFAULT
51491-0,CAR-TYPE-DEFAULT
41762-0,CAR-TYPE-DEFAULT
41762-1,CAR-TYPE-DEFAULT
33756-0,CAR-TYPE-DEFAULT
41588-0,CAR-TYPE-DEFAULT
32164-0,CAR-TYPE-DEFAULT
32164-1,CAR-TYPE-DEFAULT
32120-0,CAR-TYPE-DEFAULT
45317-0,CAR-TYPE-DEFAULT
45317-1,CAR-TYPE-DEFAULT
45317-2,CAR-TYPE-DEFAULT
38950-0,CAR-TYPE-DEFAULT
38950-1,CAR-TYPE-DEFAULT
22045-0,CAR-TYPE-DEFAULT
22045-1,CAR-TYPE-DEFAULT
10035-0,CAR-TYPE-DEFAULT
10035-1,CAR-TYPE-DEFAULT
58352-0,CAR-TYPE-DEFAULT
58352-1,CAR-TYPE-DEFAULT
4116-0,CAR-TYPE-DEFAULT
4116-1,CAR-TYPE-DEFAULT
4116-2,CAR-TYPE-DEFAULT
9008-0,CAR-TYPE-DEFAULT
9008-1,CAR-TYPE-DEFAULT
9008-2,CAR-TYPE-DEFAULT
39267-0,CAR-TYPE-DEFAULT
39267-1,CAR-TYPE-DEFAULT
50160-0,CAR-TYPE-DEFAULT
50160-1,CAR-TYPE-DEFAULT
9509-0,CAR-TYPE-DEFAULT
9509-1,CAR-TYPE-DEFAULT
38033-0,CAR-TYPE-DEFAULT
25946-0,CAR-TYPE-DEFAULT
25946-1,CAR-TYPE-DEFAULT
61364-0,CAR-TYPE-DEFAULT
61364-1,CAR-TYPE-DEFAULT
3612-0,CAR-TYPE-DEFAULT
3612-1,CAR-TYPE-DEFAULT
3612-2,CAR-TYPE-DEFAULT
3612-3,CAR-TYPE-DEFAULT
50415-0,CAR-TYPE-DEFAULT
50415-1,CAR-TYPE-DEFAULT
8453-0,CAR-TYPE-DEFAULT
8453-1,CAR-TYPE-DEFAULT
7117-0,CAR-TYPE-DEFAULT
7117-1,CAR-TYPE-DEFAULT
57514-0,CAR-TYPE-DEFAULT
57514-1,CAR-TYPE-DEFAULT
41197-0,CAR-TYPE-DEFAULT
41197-1,CAR-TYPE-DEFAULT
39238-0,CAR-TYPE-DEFAULT
39238-1,CAR-TYPE-DEFAULT
39238-2,CAR-TYPE-DEFAULT
39238-3,CAR-TYPE-DEFAULT
50289-0,CAR-TYPE-DEFAULT
50289-1,CAR-TYPE-DEFAULT
50289-2,CAR-TYPE-DEFAULT
50289-3,CAR-TYPE-DEFAULT
1937-0,CAR-TYPE-DEFAULT
44689-0,CAR-TYPE-DEFAULT
44689-1,CAR-TYPE-DEFAULT
35240-0,CAR-TYPE-DEFAULT
35240-1,CAR-TYPE-DEFAULT
35240-2,CAR-TYPE-DEFAULT
40885-0,CAR-TYPE-DEFAULT
61145-0,CAR-TYPE-DEFAULT
61145-1,CAR-TYPE-DEFAULT
64528-0,CAR-TYPE-DEFAULT
64528-1,CAR-TYPE-DEFAULT
40468-0,CAR-TYPE-DEFAULT
7786-0,CAR-TYPE-DEFAULT
6239-0,CAR-TYPE-DEFAULT
6239-1,CAR-TYPE-DEFAULT
39551-0,CAR-TYPE-DEFAULT
1939-0,CAR-TYPE-DEFAULT
1939-1,CAR-TYPE-DEFAULT
1939-2,CAR-TYPE-DEFAULT
39168-0,CAR-TYPE-DEFAULT
39168-1,CAR-TYPE-DEFAULT
39745-0,CAR-TYPE-DEFAULT
39745-1,CAR-TYPE-DEFAULT
61628-0,CAR-TYPE-DEFAULT
