vehicleId,vehicleTypeId
39548-0,CAR-TYPE-DEFAULT
39548-1,CAR-TYPE-DEFAULT
39371-0,CAR-TYPE-DEFAULT
58071-0,CAR-TYPE-DEFAULT
29116-0,CAR-TYPE-DEFAULT
29116-1,CAR-TYPE-DEFAULT
51212-0,CAR-TYPE-DEFAULT
51212-1,CAR-TYPE-DEFAULT
45850-0,CAR-TYPE-DEFAULT
45850-1,CAR-TYPE-DEFAULT
62117-0,CAR-TYPE-DEFAULT
62117-1,CAR-TYPE-DEFAULT
62117-2,CAR-TYPE-DEFAULT
31419-0,CAR-TYPE-DEFAULT
31419-1,CAR-TYPE-DEFAULT
28493-0,CAR-TYPE-DEFAULT
28493-1,CAR-TYPE-DEFAULT
28493-2,CAR-TYPE-DEFAULT
49725-0,CAR-TYPE-DEFAULT
40352-0,CAR-TYPE-DEFAULT
40352-1,CAR-TYPE-DEFAULT
38788-0,CAR-TYPE-DEFAULT
1831-0,CAR-TYPE-DEFAULT
1831-1,CAR-TYPE-DEFAULT
1831-2,CAR-TYPE-DEFAULT
49806-0,CAR-TYPE-DEFAULT
49806-1,CAR-TYPE-DEFAULT
51243-0,CAR-TYPE-DEFAULT
51243-1,CAR-TYPE-DEFAULT
40474-0,CAR-TYPE-DEFAULT
40951-0,CAR-TYPE-DEFAULT
40951-1,CAR-TYPE-DEFAULT
32356-0,CAR-TYPE-DEFAULT
32356-1,CAR-TYPE-DEFAULT
31496-0,CAR-TYPE-DEFAULT
31496-1,CAR-TYPE-DEFAULT
45622-0,CAR-TYPE-DEFAULT
45622-1,CAR-TYPE-DEFAULT
38830-0,CAR-TYPE-DEFAULT
38830-1,CAR-TYPE-DEFAULT
22064-0,CAR-TYPE-DEFAULT
7670-0,CAR-TYPE-DEFAULT
7670-1,CAR-TYPE-DEFAULT
60458-0,CAR-TYPE-DEFAULT
60458-1,CAR-TYPE-DEFAULT
60458-2,CAR-TYPE-DEFAULT
2914-0,CAR-TYPE-DEFAULT
2914-1,CAR-TYPE-DEFAULT
2914-2,CAR-TYPE-DEFAULT
2914-3,CAR-TYPE-DEFAULT
9191-0,CAR-TYPE-DEFAULT
9191-1,CAR-TYPE-DEFAULT
38764-0,CAR-TYPE-DEFAULT
38764-1,CAR-TYPE-DEFAULT
51083-0,CAR-TYPE-DEFAULT
51083-1,CAR-TYPE-DEFAULT
6787-0,CAR-TYPE-DEFAULT
6787-1,CAR-TYPE-DEFAULT
6787-2,CAR-TYPE-DEFAULT
38410-0,CAR-TYPE-DEFAULT
38410-1,CAR-TYPE-DEFAULT
27215-0,CAR-TYPE-DEFAULT
61310-0,CAR-TYPE-DEFAULT
61310-1,CAR-TYPE-DEFAULT
3845-0,CAR-TYPE-DEFAULT
3845-1,CAR-TYPE-DEFAULT
51169-0,CAR-TYPE-DEFAULT
7402-0,CAR-TYPE-DEFAULT
7402-1,CAR-TYPE-DEFAULT
9051-0,CAR-TYPE-DEFAULT
56296-0,CAR-TYPE-DEFAULT
40624-0,CAR-TYPE-DEFAULT
40624-1,CAR-TYPE-DEFAULT
39446-0,CAR-TYPE-DEFAULT
39446-1,CAR-TYPE-DEFAULT
39446-2,CAR-TYPE-DEFAULT
49891-0,CAR-TYPE-DEFAULT
49891-1,CAR-TYPE-DEFAULT
2795-0,CAR-TYPE-DEFAULT
2795-1,CAR-TYPE-DEFAULT
2795-2,CAR-TYPE-DEFAULT
2795-3,CAR-TYPE-DEFAULT
44990-0,CAR-TYPE-DEFAULT
44990-1,CAR-TYPE-DEFAULT
36516-0,CAR-TYPE-DEFAULT
36516-1,CAR-TYPE-DEFAULT
41633-0,CAR-TYPE-DEFAULT
61812-0,CAR-TYPE-DEFAULT
61812-1,CAR-TYPE-DEFAULT
64632-0,CAR-TYPE-DEFAULT
64632-1,CAR-TYPE-DEFAULT
40856-0,CAR-TYPE-DEFAULT
40856-1,CAR-TYPE-DEFAULT
10350-0,CAR-TYPE-DEFAULT
10350-1,CAR-TYPE-DEFAULT
7028-0,CAR-TYPE-DEFAULT
7028-1,CAR-TYPE-DEFAULT
7028-2,CAR-TYPE-DEFAULT
39175-0,CAR-TYPE-DEFAULT
2653-0,CAR-TYPE-DEFAULT
2653-1,CAR-TYPE-DEFAULT
2653-2,CAR-TYPE-DEFAULT
2653-3,CAR-TYPE-DEFAULT
38504-0,CAR-TYPE-DEFAULT
42107-0,CAR-TYPE-DEFAULT
42107-1,CAR-TYPE-DEFAULT
42107-2,CAR-TYPE-DEFAULT
40727-0,CAR-TYPE-DEFAULT
40727-1,CAR-TYPE-DEFAULT
60993-0,CAR-TYPE-DEFAULT
60993-1,CAR-TYPE-DEFAULT
38044-0,CAR-TYPE-DEFAULT
38602-0,CAR-TYPE-DEFAULT
38602-1,CAR-TYPE-DEFAULT
39919-0,CAR-TYPE-DEFAULT
39919-1,CAR-TYPE-DEFAULT
53957-0,CAR-TYPE-DEFAULT
53957-1,CAR-TYPE-DEFAULT
39653-0,CAR-TYPE-DEFAULT
39653-1,CAR-TYPE-DEFAULT
39653-2,CAR-TYPE-DEFAULT
62097-0,CAR-TYPE-DEFAULT
62097-1,CAR-TYPE-DEFAULT
8928-0,CAR-TYPE-DEFAULT
8928-1,CAR-TYPE-DEFAULT
49526-0,CAR-TYPE-DEFAULT
49526-1,CAR-TYPE-DEFAULT
7292-0,CAR-TYPE-DEFAULT
7292-1,CAR-TYPE-DEFAULT
7292-2,CAR-TYPE-DEFAULT
49495-0,CAR-TYPE-DEFAULT
49495-1,CAR-TYPE-DEFAULT
48114-0,CAR-TYPE-DEFAULT
48114-1,CAR-TYPE-DEFAULT
48114-2,CAR-TYPE-DEFAULT
9993-0,CAR-TYPE-DEFAULT
9993-1,CAR-TYPE-DEFAULT
9644-0,CAR-TYPE-DEFAULT
9644-1,CAR-TYPE-DEFAULT
7904-0,CAR-TYPE-DEFAULT
7904-1,CAR-TYPE-DEFAULT
24155-0,CAR-TYPE-DEFAULT
24155-1,CAR-TYPE-DEFAULT
24155-2,CAR-TYPE-DEFAULT
31414-0,CAR-TYPE-DEFAULT
3321-0,CAR-TYPE-DEFAULT
3321-1,CAR-TYPE-DEFAULT
22142-0,CAR-TYPE-DEFAULT
45551-0,CAR-TYPE-DEFAULT
45551-1,CAR-TYPE-DEFAULT
45551-2,CAR-TYPE-DEFAULT
40862-0,CAR-TYPE-DEFAULT
40862-1,CAR-TYPE-DEFAULT
9514-0,CAR-TYPE-DEFAULT
9514-1,CAR-TYPE-DEFAULT
9806-0,CAR-TYPE-DEFAULT
9806-1,CAR-TYPE-DEFAULT
9806-2,CAR-TYPE-DEFAULT
55709-0,CAR-TYPE-DEFAULT
55709-1,CAR-TYPE-DEFAULT
38030-0,CAR-TYPE-DEFAULT
38030-1,CAR-TYPE-DEFAULT
41484-0,CAR-TYPE-DEFAULT
54379-0,CAR-TYPE-DEFAULT
54379-1,CAR-TYPE-DEFAULT
54379-2,CAR-TYPE-DEFAULT
49536-0,CAR-TYPE-DEFAULT
49536-1,CAR-TYPE-DEFAULT
29354-0,CAR-TYPE-DEFAULT
29354-1,CAR-TYPE-DEFAULT
29354-2,CAR-TYPE-DEFAULT
29354-3,CAR-TYPE-DEFAULT
54497-0,CAR-TYPE-DEFAULT
54497-1,CAR-TYPE-DEFAULT
54497-2,CAR-TYPE-DEFAULT
39454-0,CAR-TYPE-DEFAULT
