,pop,n_hh,avg_pop_per_hh,avg_veh_per_hh,avg_veh_per_hh_new,median_age,median_age_new,median_ind_income,median_ind_income_new,median_hh_income,median_hh_income_new,median_vot,median_vot_new,perc_eve_events,perc_eve_events_new,perc_excl_car,perc_excl_car_new
100,129,53,2.4339622641509435,3.2830188679245285,1.7358490566037736,31.0,31.0,9978.571428571428,9978.57,49500.0,49500.0,18.0,10.363914597424037,0.0,32.55813953488372,0.0,24.031007751937985
1001,117,53,2.207547169811321,3.358490566037736,1.6603773584905661,36.0,36.0,24663.45283018868,24663.45,54230.0,54230.0,18.0,9.699223421523355,0.0,29.914529914529915,0.0,21.367521367521366
1002,1254,524,2.3931297709923665,3.404580152671756,1.7709923664122138,33.0,33.0,12535.857662832306,12535.86,46035.0,46035.0,18.0,9.666215311724834,0.0,35.32695374800638,0.0,21.69059011164274
10102,2183,644,3.389751552795031,3.8322981366459627,2.5372670807453415,25.0,25.0,7461.715108034549,7461.72,67265.0,67265.0,18.0,9.95751929445651,0.0,35.08932661475034,0.0,35.82226294090701
10103,276,89,3.101123595505618,3.8202247191011236,2.2247191011235956,28.0,28.0,13390.212765957447,13390.215,70400.0,70400.0,18.0,9.181667575222514,0.0,34.78260869565217,0.0,34.05797101449275
10104,2737,851,3.2162162162162162,3.526439482961222,2.290246768507638,31.0,31.0,9166.666666666668,9166.67,64350.0,64350.0,18.0,10.399566694261754,0.0,36.86518085495067,0.0,29.119473876507126
1101,1459,567,2.5731922398589067,3.1675485008818343,1.470899470899471,37.0,37.0,8800.0,8800.0,37840.00000000001,37840.0,18.0,9.715306678159395,0.0,34.88690884167238,0.0,21.864290610006854
1105,298,115,2.591304347826087,3.643478260869565,1.9565217391304348,38.0,38.0,14324.09600184176,14324.095000000001,67430.0,67429.99999999999,18.0,10.766581106780254,0.0,34.899328859060404,0.0,18.120805369127517
1106,418,159,2.6289308176100628,3.880503144654088,2.0440251572327046,34.0,34.0,26227.397343450248,26227.4,99770.0,99770.0,18.0,10.479982279888812,0.0,33.014354066985646,0.0,22.966507177033492
1107,146,65,2.246153846153846,3.292307692307692,1.9538461538461538,45.0,45.0,20184.051724137928,20184.05,55000.0,55000.0,18.0,11.95825647249882,0.0,30.82191780821918,0.0,12.32876712328767
1108,286,98,2.9183673469387754,3.2551020408163267,2.0,33.0,33.0,6386.029038112521,6386.03,39600.0,39600.0,18.0,9.40178738951483,0.0,36.01398601398601,0.0,29.72027972027972
1200,1219,440,2.7704545454545455,3.2045454545454546,1.6681818181818182,38.0,38.0,10408.353968460837,10408.35,54010.0,54010.0,18.0,9.516273559936304,0.0,34.53650533223954,0.0,22.72354388843314
1500,222,80,2.775,3.3375,1.925,34.0,34.0,8874.425422138838,8874.425,51370.00000000001,51370.0,18.0,10.403091675421695,0.0,38.288288288288285,0.0,27.47747747747748
1600,149,49,3.0408163265306123,3.489795918367347,2.0816326530612246,40.0,40.0,13718.892380204243,13718.89,70004.00000000001,70004.0,18.0,7.921348139366623,0.0,34.22818791946309,0.0,21.476510067114095
1700,109,42,2.5952380952380953,3.4285714285714284,1.9761904761904763,40.0,40.0,14160.791491291377,14160.79,58795.00000000001,58795.0,18.0,9.958541304537567,0.0,35.77981651376147,0.0,22.93577981651376
1801,322,114,2.824561403508772,3.254385964912281,1.8771929824561404,40.0,40.0,10857.818238900762,10857.814999999999,54713.99999999999,54714.0,18.0,11.022328812950917,0.0,35.714285714285715,0.0,21.11801242236025
1803,248,94,2.6382978723404253,3.5851063829787235,1.9893617021276595,34.0,34.0,14495.317733990149,14495.32,53350.0,53350.0,18.0,8.079453484549873,0.0,36.693548387096776,0.0,22.580645161290324
1804,966,341,2.832844574780059,3.624633431085044,2.067448680351906,33.0,33.0,10261.08695652174,10261.085,69300.0,69300.0,18.0,9.574410662234563,0.0,32.91925465838509,0.0,23.91304347826087
1901,435,148,2.939189189189189,3.425675675675676,1.9594594594594594,39.0,39.0,9458.883248730965,9458.88,58300.00000000001,58300.0,18.0,8.77055337994285,0.0,37.01149425287356,0.0,22.988505747126435
1902,231,96,2.40625,3.46875,2.1875,41.0,41.0,18148.103448275866,18148.1,76890.0,76890.0,18.0,13.105404612749199,0.0,35.064935064935064,0.0,18.181818181818183
201,173,72,2.4027777777777777,2.861111111111111,1.4861111111111112,38.0,38.0,10495.833333333334,10495.83,39165.5,39165.5,18.0,11.082451924760193,0.0,36.41618497109827,0.0,18.497109826589597
202,143,57,2.508771929824561,3.0701754385964914,1.8421052631578947,28.0,28.0,11718.457142857142,11718.46,42460.0,42459.99,18.0,11.44501521363039,0.0,41.95804195804196,0.0,30.76923076923077
300,129,61,2.1147540983606556,3.2459016393442623,1.5737704918032787,39.0,39.0,21230.0,21230.0,48950.0,48950.0,18.0,9.688212368448385,0.0,29.45736434108527,0.0,14.728682170542635
401,146,65,2.246153846153846,3.0153846153846153,1.8153846153846154,31.0,31.0,15675.0,15675.0,55527.99999999999,55528.0,18.0,9.571896442254436,0.0,35.61643835616438,0.0,20.54794520547945
405,124,57,2.175438596491228,3.543859649122807,1.736842105263158,44.0,44.0,15066.206896551725,15066.205,47300.0,47300.0,18.0,12.438009479602101,0.0,29.032258064516128,0.0,17.741935483870968
406,129,49,2.63265306122449,3.4489795918367347,1.8571428571428572,32.0,32.0,17465.483234714004,17465.48,63470.0,63470.0,18.0,11.202069378776805,0.0,29.45736434108527,0.0,23.25581395348837
407,132,52,2.5384615384615383,3.6923076923076925,2.0,39.0,39.0,10005.173733353742,10005.175,51150.0,51150.0,18.0,10.07713987677868,0.0,34.84848484848485,0.0,18.939393939393938
408,177,71,2.492957746478873,3.507042253521127,1.6901408450704225,42.0,42.0,14281.512605042019,14281.51,55000.0,55000.0,18.0,7.260861889264169,0.0,33.898305084745765,0.0,23.728813559322035
500,128,53,2.4150943396226414,3.207547169811321,1.6603773584905661,29.0,29.0,12474.068322981366,12474.07,41800.0,41800.0,18.0,12.990135768062483,0.0,28.90625,0.0,24.21875
600,678,277,2.4476534296028882,3.2382671480144403,1.6642599277978338,31.0,31.0,11795.683384983127,11795.685000000001,45100.0,45100.0,18.0,10.69178206510028,0.0,33.6283185840708,0.0,23.303834808259587
700,180,82,2.1951219512195124,3.1463414634146343,1.5731707317073171,36.0,36.0,12436.11111111111,12436.11,34374.99999999999,34375.0,18.0,11.083875365120821,0.0,39.44444444444444,0.0,20.555555555555557
900,158,74,2.135135135135135,3.391891891891892,1.6891891891891893,40.0,40.0,11310.256410256414,11310.255,45210.0,45210.0,18.0,6.632358260557332,0.0,27.848101265822784,0.0,16.455696202531644
