taz,coord-x,coord-y,area
388,690944.3596978261,4823610.317700044,524333.6857583963
386,690362.6707619887,4823578.9494808875,22686.782493706345
393,688307.3918333601,4823567.406834006,187816.66744009906
387,688720.3864769082,4823636.660840949,153378.83532597992
353,684539.8771979144,4823899.405903746,259237.72512090259
354,685140.5186924606,4823931.452984745,147889.44172571393
355,685824.6304954219,4823944.597163584,262535.93489117763
356,686761.8349619908,4823967.80267151,294787.7807362309
357,687493.2949455229,4823934.574033103,113145.72570893246
339,685824.2224403378,4824343.185840881,4524590969927077
338,687489.331550053,4824309.594485861,830591.5047822295
337,688488.9483810947,4824244.14446831,670947.6104452978
335,684541.7282369374,4824322.574403489,347807.879459991
336,685129.5323103449,4824332.120738055,242434.74161433792
314,691947636532356,4824492.879117733,1200846.8477071244
318,689818.7252981899,4824556.520503884,2670772.184625212
323,687683.9958116169,4824828.20228833,286925.1972040632
315,685371.2313450027,4824920.726520423,757266.2418338947
316,688460.3358543079,48250723590377,625798.5356381603
308,684499.3496641585,4825152.563790412,801232.9196870921
300,686743.8098054192,4825219.956670001,1724334.859918096
307,685704.7648965522,4825429.80726846,985976.5955387363
288,687666.7656039012,4825877.231648201,1367069.8165905399
289,689862.741255449,4825923.914631564,339010.5130346471
296,685547.6792704227,482629631348303,1346656.1524345346
294,691574850643927,4825561.907296533,8686.805237976088
292,684429.260243757,4826826.778839853,223520.57502880986
283,688474.6942723813,4826797.390843944,1491384.9487064702
284,685461.3805128586,4827263.598851916,1551417.1145030777
275,687219401366223,4827565.414013376,4633988.735087845
256,689182.3643597068,4827133.647467957,1916716.2627331687
276,685510.9530629135,4828210.97878305,1183013.4377584662
252,688603.7157860855,4829508.918930005,2083593.2535011452
248,685143.3044982651,4829380.359057523,1364746.187150886
249,685971156617408,4829442.744193147,1299046.3611677624
250,687172.2008802298,4829376.615635273,2183075.804254094
242,68536167978488,4830411.321218693,189367.7670724982
232,689545.8359337935,4829873.323496336,321.2528673718434
234,684950.7534179274,4830716.825718992,337420.5535373804
239,687905.1409947728,4830290.845817927,49706.72387130257
228,685128.3367235219,4831358.3756595645,656592.8470924414
222,685089424547507,4831808.638267071,7762.781755590528
525,685404.2925967517,4816121.204519526,321.57235646142965
492,693845.9834825179,4819179.479505008,1157.7827583789563
514,687538689436971,4817474.714696423,617968.1522314267
513,685978.6317569517,4817405.582601853,861453880572624
511,689172232935399,4817831.632214526,27610.308737278065
490,684912.8803254064,4818453.119383158,1724930256873306
494,686326702930847,4818344.623480393,1502912.2267572402
487,687734545041448,4818437.271319995,1750020.5385956059
495,689127.8246127862,4818381.788616471,1051243.5294983853
493,690914.5232708353,4818768.915333457,853377.2403018173
479,685829.1313836236,4819394.200974854,1043166.4383982773
481,686643.8424947626,4819266.362405896,304339.7158970635
480,687142.9417006704,481940852404872,470528.770139042
466,687830.8355426596,4819811.179109476,1297171.4466943953
467,689077.2855232038,4819834.557405127,2707084.4245824604
468,690729512855002,4819938.7110444,2300847.822384849
454,692516.9474103497,4819668.237153337,2167470.711879486
469,687118039878351,4820145.978953131,438115.71028722153
429,693783.5296412725,4819332.328026633,48206.24268331374
443,686934.7559676906,4821014.470523883,786621.4149652414
435,686001.5944826235,4820477.767767193,2171684.6201249133
450,685174.600934675,4821045.647293656,274181.31953562703
444,687793.9507475792,4821036.1205499135,690757.4252516646
430,685596.5926830367,4821222.117081444,696925.9220422821
431,688984.1766393966,4821464.382114237,2548927.554583082
432,690632.5812096483,4821492.758242597,2596292.410132832
434,691648.3093320219,4821901.713589466,14665.845388564374
428,685311.3715799681,4821789.126960202,56557713044788
436,686783.2287826703,4821790.910972881,899039.4543218327
433,687774.6852354076,4821839.1258340115,619527.7682633238
412,688359.3157103478,48224495910229,178596.78541381523
410,687745.794770803,4822625.207792968,662642.7138257032
402,686704.8795783907,4822574.369378929,1051899845087292
411,691775.6856680425,4822588.288948525,353460.5027272891
409,684710.127040584,4822713.744628571,121556.66496203585
400,691168.3713981868,4822540.804195752,171228.9097661444
396,685369.9565222661,4822735.561047453,1091455.2544373984
395,692399.7481006167,4823161.9824073175,1591645.2675253674
399,688586.9350620379,4822981.547722958,652527.4489002997
385,689310.9925841128,482303262696135,1389760.6335033455
379,685780.5663257071,4823370.799391099,965806.535114093
381,686792116316777,482341887267591,791838.1903063207
384,687711.3885324694,4823434.3691855045,665447.238913355
506,678611.5665735435,4816934.361227865,795293358954308
521,679800.481962756,4815614.54277018,1258026.289318169
522,681459.2875698493,4815423672039185,1597496.364410678
523,683448.5738806496,4815856.619504617,871402.1130836279
505,677469.8299482432,4817172.134373843,1223996.6007059393
507,679621.9033894737,4816808.517907579,1703949.1902689405
509,681362.344351671,4816852.334904695,2605352.74503685
510,683690295060199,4816841.91081895,4405809.517250771
508,680265.8025357231,4817054.9602752905,635633.3113935223
503,683730.6869975555,4817839.229364282,2320549.134073781
504,679749.6480060274,4817843.80390252,756997.4495422563
485,679290501428425,481830795649955,1335328.8787613474
484,676623.3701637766,4818127.329236838,1722794.6616227336
483,677984.2324663608,4818204.421679728,1423296.5502467034
486,680995.449432368,4818226.260440777,895392.1333757946
491,681723.9623163964,4818160.503687055,848180.8268463109
489,682757.7976198464,4818543.102139981,930872.1688714044
488,680591.4147758061,4818638.809466839,336993.1416193434
482,681808.3510381576,4818961.465974083,116223.8834731098
478,679597.9063704349,4819164.583934134,959474.2754021073
475,678220.7808285181,481919229815519,641874.9425522322
476,678806.5389807661,4819251.952135041,341490.4425647743
477,680803.5980403053,4819202.687575449,963083.5333896818
473,677422.5123153243,4819219.2696823515,832488.3597141755
474,681605.6517794762,4819405.29580961,3704839378102137
472,682839.242602715,4819270.589358509,1012260.7253657121
463,674873.4233994429,4819751.833783512,37917.61428540857
464,676104.2909421345,481927267547949,1680351.914630746
471,682567.2826071242,4819678.916847589,445967.19942358206
453,684304.5182494638,4819597.105440304,2355574.5517999046
456,678929.1406071199,4820016.637015911,568525.6311604944
457,677356.6389057537,4820020.464321735,562067.3898790636
465,679718.3937280879,4819979.699366422,723623.4963685437
455,678185.5330826304,4819998.638402551,571223.4092975897
461,682172.9149991615,4820081.1935528,631111.7355824662
458,680528.350656989,4819980.734625284,567264.9957692141
459,681186.2657326175,4820034.274365898,460320.5807104984
462,682947.6584042257,4820247.588643976,391645.618257367
460,681505.5817826091,4820219.808506374,266549.43601676787
452,683930.4556801718,4820377.157929291,379594.400300853
451,679656888006327,4820515.822242933,53913.570036376674
442,678143.364170846,4820800.321405815,671567.4995938335
441,677235.4595765924,4820827.106905102,928528.2818010097
445,681353.8729195292,4820858.865147137,653132.7344478618
446,682058.7355924657,4820843.2422325695,470214.4762386448
447,682971.3500246683,4820824.729280652,541701.9085125944
448,683571.1813981249,4820914.646259622,324380.73037388513
449,684362.8167856445,4820946.5448094085,923437.1062218179
440,679827.6296006048,4820992.136488535,576437.8506800326
438,679471.8880604465,4821144.3694670815,257587.57945437543
419,680006.2026000506,4821257.604258205,458300.1647669281
420,680706.7669859136,4821258.625588037,752081280233523
439,682679.301698133,4821328.568986279,522014.2900758635
413,678931.1501705084,4821323.500600417,1545749.4902266723
426,677109.7980384356,4821605.733301973,820200.5132551763
423,678114.1287760701,4821597.950096658,621400.6563358365
424,681330.3931388762,4821662.95034449,647800.9925294279
421,682139.2836884273,4821685.824516835,651209.6156956493
422,683054.215889672,4821772.798952402,414339.4388002571
425,683549.272911975,4821717.227641337,333414.4177727356
427,684355.9453125792,4821737.730763956,977322.7173883931
382,675928.7224922496,4821804.268796273,3997839.2065436747
374,680487.1276596923,4822511.403218218,1433940.613576951
416,681315370329384,4822271.903177773,331568.375498645
414,682170.8636078818,4822296.424514265,375243.3154176111
415,682776.5289487181,4822315.606294313,122890.1103225841
417,683130.8282411537,4822321.374866686,161822.7453241223
418,683535.9672029128,4822329.493467979,163907.93100820167
403,677805.6624434699,4822277.61946805,76759555166956
408,684253.9413765345,4822506.438931231,814033.2100848943
406,681304.658285813,4822674.4863849105,319217086089662
373,679797096496145,4822801.905755411,1552288.4374679346
405,681961.52768854,4822694.581176018,202516.33651954168
404,682917.8423731263,4822720.280419256,325186.91029874363
407,68352445443012,482273285409831,1616532177364915
380,676825.3986833409,4822654.5339222625,999460.3347345623
401,682368.7448120089,4822739.467995881,135293.7817875493
377,678922.815725348,4822927.6820911,1161961.7497843464
376,677765.5143837306,4823105.675049697,1464193.682485447
398,684324.5656143017,4823198.893271452,676482.8838500162
397,683499.4525861726,4823194.655594024,207004.62175529724
378,681286.7823548714,4823276.438975728,657707.3740101636
375,682085.3172105966,4823316.45537191,637345.6035069254
368,682903.2322945899,48233457685306,683790.2993906128
391,683415.3886388853,4823573.636808766,55265.457105116904
392,683601.4056700335,4823579.227175008,27122.26016338932
390,683781.4518124689,4823583.182437607,52867.55889860483
358,684294.2499746792,4823655.2509488445,314838.7813604898
369,683350.6875948057,4823749.901992728,17245.755887732914
370,683473.3461778056,4823752.47517285,15502.881041425811
371,683592.3581634569,482375600067384,16405.32460053573
372,683770.4093237594,4823761.516364895,31118.98420218916
362,680762.888127065,4823746.722970825,35198.77299704362
363,681266.5904196752,4823794.463310918,181241.78186314547
359,681854.9842013168,4823815.21176913,81698.59377992246
349,678897688984254,4823805.512835097,315828.36766386137
360,682258.7992168103,482383138506091,97977.46109152134
361,682853.833370584,482385992082891,145547.448682115
348,680463.7649147582,482387846611022,247666.31217296683
364,683349787916309,4823888.153093439,18171.619617869612
365,683468.2372500872,482389252818973,16314.280208025699
366,683585.3000756372,4823895.337311103,17541.30404336407
367,683762.9638961003,4823900.1732888715,338790143863569
330,678042.794557887,4823980.765100284,635915.317247797
350,683347.111903962,4824033.239681355,17547.165380359278
351,683464.3321234009,4824036.574390744,16276.220588517719
352,683581.3069640915,4824039.686463021,17500.525026366573
340,682251.3686690666,4824083.979144559,123714.68685568479
326,677205522756332,4823982.563061088,476940985557614
341,682639.9652540323,4824091.1859351685,991719773664709
342,683048826179143,4824097.8845783835,136707.28619840366
345,683751.8960604174,482409453849325,59679.32183101233
346,684024.2691622429,4824149.926446943,96972.46810993692
343,683340.8348764927,4824176.967963298,17027.41460021495
344,683458.2577735779,4824181.365033107,16910.22480389695
347,683577.5829421628,4824183.396248901,17333.462409031603
324,681824.3452273165,4824301.262826226,276905.45940035116
327,682240.8988881074,4824372.649336798,128480.98994321641
328,682631853896971,4824383.250268948,999300803890167
329,683036.3405134574,4824388.994185934,140099.71594376862
331,683393.8178369926,4824395.530333542,67943.17241350295
332,683571.6569189506,4824400.138234064,35068.90641504161
333,683678.9153322867,4824396.9679124085,26880.89932443127
334,683953094907882,4824413.132867701,131876.806138873
313,679811.6803085374,4824480.480006477,1583745.706191937
321,681209.8083999887,4824525.601129337,985850.1310938296
319,677757143881486,4824663.95698453,1038703.7836814298
312,678867.1528653281,4824616.678076895,1092170.894463305
320,680593.9658407635,4824646.10137333,549174.4273435015
322,683676.8562125543,4824765.742690989,155211.72006879922
317,681819.639289288,4824970.173577625,226840.5046710243
311,684024.7738369082,4824936.799059165,227421.98628137395
290,677043.7149480601,4824833.371427937,1987149.6060876306
306,682367.3640613225,4825198.542734656,1062512.4754647359
303,683002.3628939033,4825229.400071568,660749706792381
304,683354.3374868608,4825249.776499428,334271.8569050331
302,681203.7897761252,4825473.817122729,551502.7781148518
