taz,parkingType,pricingModel,chargingType,numStalls,feeInCents,reservedFor
512,Residential,FlatFee,DCFast(50|DC),2147483647,0,Any
244,Workplace,FlatFee,DCFast(50|DC),2147483647,0,Any
57,Public,Block,Level2(7.2|AC),2147483647,0,Any
224,Workplace,Block,DCFast(50|DC),2147483647,0,Any
63,Workplace,FlatFee,UltraFast(250|DC),2147483647,0,Any
344,Workplace,Block,UltraFast(250|DC),2147483647,0,Any
210,Residential,Block,UltraFast(250|DC),2147483647,0,Any
375,Residential,Block,Level2(7.2|AC),2147483647,0,Any
167,Public,FlatFee,Level2(7.2|AC),2147483647,0,Any
170,Residential,FlatFee,Level1(2.3|AC),2147483647,0,Any
355,Residential,Block,DCFast(50|DC),2147483647,0,Any
126,Workplace,FlatFee,DCFast(50|DC),0,0,RideHailManager
365,Workplace,FlatFee,DCFast(50|DC),2147483647,0,Any
24,Public,Block,UltraFast(250|DC),2147483647,0,Any
412,Public,FlatFee,DCFast(50|DC),2147483647,0,Any
134,Public,FlatFee,DCFast(50|DC),2147483647,0,Any
437,Residential,FlatFee,Level1(2.3|AC),2147483647,0,Any
461,Residential,Block,DCFast(50|DC),2147483647,0,Any
33,Workplace,FlatFee,DCFast(50|DC),2147483647,0,Any
566,Workplace,Block,Level2(7.2|AC),2147483647,0,Any
212,Public,Block,NoCharger,2147483647,0,Any
318,Residential,Block,Level1(2.3|AC),2147483647,0,Any
14,Residential,Block,DCFast(50|DC),2147483647,0,Any
17,Residential,Block,NoCharger,2147483647,0,Any
376,Public,Block,Level1(2.3|AC),2147483647,0,Any
412,Workplace,FlatFee,Level2(7.2|AC),2147483647,0,Any
188,Workplace,FlatFee,Level2(7.2|AC),2147483647,0,Any
73,Workplace,Block,UltraFast(250|DC),2147483647,0,Any
282,Public,Block,DCFast(50|DC),2147483647,0,Any
44,Workplace,FlatFee,NoCharger,2147483647,0,Any
239,Workplace,FlatFee,DCFast(50|DC),2147483647,0,Any
571,Public,Block,UltraFast(250|DC),2147483647,0,Any
549,Workplace,FlatFee,Level1(2.3|AC),2147483647,0,Any
79,Residential,FlatFee,DCFast(50|DC),2147483647,0,Any
452,Public,FlatFee,Level1(2.3|AC),2147483647,0,Any
292,Public,Block,Level1(2.3|AC),2147483647,0,Any
344,Residential,Block,UltraFast(250|DC),2147483647,0,Any
426,Workplace,FlatFee,Level1(2.3|AC),2147483647,0,Any
225,Public,FlatFee,UltraFast(250|DC),2147483647,0,Any
456,Public,Block,NoCharger,2147483647,0,Any
493,Residential,Block,Level2(7.2|AC),2147483647,0,Any
529,Residential,Block,Level1(2.3|AC),2147483647,0,Any
517,Residential,Block,Level2(7.2|AC),2147483647,0,Any
102,Workplace,FlatFee,UltraFast(250|DC),2147483647,0,Any
215,Workplace,Block,NoCharger,2147483647,0,Any
56,Public,FlatFee,NoCharger,2147483647,0,Any
386,Residential,FlatFee,Level2(7.2|AC),2147483647,0,Any
259,Public,Block,UltraFast(250|DC),2147483647,0,Any
469,Public,Block,Level1(2.3|AC),2147483647,0,Any
233,Workplace,FlatFee,UltraFast(250|DC),0,0,RideHailManager
146,Workplace,Block,UltraFast(250|DC),2147483647,0,Any
167,Workplace,FlatFee,NoCharger,2147483647,0,Any
269,Public,Block,Level1(2.3|AC),2147483647,0,Any
380,Workplace,FlatFee,UltraFast(250|DC),2147483647,0,Any
457,Residential,Block,NoCharger,2147483647,0,Any
551,Workplace,FlatFee,DCFast(50|DC),0,0,RideHailManager
477,Public,FlatFee,Level1(2.3|AC),2147483647,0,Any
10,Workplace,Block,DCFast(50|DC),2147483647,0,Any
458,Public,FlatFee,DCFast(50|DC),2147483647,0,Any
436,Public,Block,UltraFast(250|DC),2147483647,0,Any
30,Public,FlatFee,NoCharger,2147483647,0,Any
228,Public,Block,Level1(2.3|AC),2147483647,0,Any
30,Residential,Block,UltraFast(250|DC),2147483647,0,Any
106,Residential,Block,NoCharger,2147483647,0,Any
398,Workplace,FlatFee,DCFast(50|DC),2147483647,0,Any
495,Residential,FlatFee,DCFast(50|DC),2147483647,0,Any
446,Public,Block,NoCharger,2147483647,0,Any
173,Public,FlatFee,Level2(7.2|AC),2147483647,0,Any
108,Workplace,FlatFee,DCFast(50|DC),2147483647,0,Any
108,Residential,Block,NoCharger,2147483647,0,Any
559,Workplace,Block,UltraFast(250|DC),2147483647,0,Any
113,Residential,FlatFee,DCFast(50|DC),2147483647,0,Any
452,Residential,FlatFee,UltraFast(250|DC),2147483647,0,Any
211,Workplace,FlatFee,NoCharger,2147483647,0,Any
537,Public,FlatFee,DCFast(50|DC),2147483647,0,Any
472,Public,FlatFee,UltraFast(250|DC),2147483647,0,Any
342,Workplace,FlatFee,Level2(7.2|AC),0,0,RideHailManager
528,Residential,FlatFee,UltraFast(250|DC),2147483647,0,Any
187,Public,Block,UltraFast(250|DC),2147483647,0,Any
13,Workplace,Block,Level1(2.3|AC),2147483647,0,Any
138,Residential,FlatFee,Level2(7.2|AC),2147483647,0,Any
245,Residential,Block,NoCharger,2147483647,0,Any
482,Workplace,FlatFee,DCFast(50|DC),2147483647,0,Any
581,Residential,Block,UltraFast(250|DC),2147483647,0,Any
420,Workplace,FlatFee,DCFast(50|DC),2147483647,0,Any
563,Workplace,FlatFee,DCFast(50|DC),2147483647,0,Any
346,Residential,FlatFee,DCFast(50|DC),2147483647,0,Any
533,Residential,FlatFee,Level2(7.2|AC),2147483647,0,Any
295,Residential,Block,NoCharger,2147483647,0,Any
405,Residential,FlatFee,UltraFast(250|DC),2147483647,0,Any
196,Workplace,Block,DCFast(50|DC),2147483647,0,Any
569,Public,FlatFee,UltraFast(250|DC),2147483647,0,Any
431,Workplace,FlatFee,UltraFast(250|DC),2147483647,0,Any
354,Workplace,FlatFee,NoCharger,2147483647,0,Any
547,Workplace,Block,Level1(2.3|AC),2147483647,0,Any
415,Residential,Block,DCFast(50|DC),2147483647,0,Any
48,Workplace,FlatFee,Level1(2.3|AC),2147483647,0,Any
287,Public,FlatFee,UltraFast(250|DC),2147483647,0,Any
570,Workplace,FlatFee,UltraFast(250|DC),0,0,RideHailManager
62,Public,FlatFee,UltraFast(250|DC),2147483647,0,Any
113,Residential,Block,UltraFast(250|DC),2147483647,0,Any
41,Residential,Block,NoCharger,2147483647,0,Any
322,Workplace,Block,DCFast(50|DC),2147483647,0,Any
128,Workplace,FlatFee,Level2(7.2|AC),2147483647,0,Any
63,Workplace,FlatFee,Level2(7.2|AC),0,0,RideHailManager
116,Workplace,FlatFee,Level1(2.3|AC),2147483647,0,Any
224,Residential,FlatFee,DCFast(50|DC),2147483647,0,Any
111,Public,FlatFee,NoCharger,2147483647,0,Any
104,Public,FlatFee,NoCharger,2147483647,0,Any
81,Residential,FlatFee,DCFast(50|DC),2147483647,0,Any
444,Residential,FlatFee,UltraFast(250|DC),2147483647,0,Any
351,Residential,Block,UltraFast(250|DC),2147483647,0,Any
151,Public,Block,NoCharger,2147483647,0,Any
569,Public,FlatFee,DCFast(50|DC),2147483647,0,Any
381,Residential,Block,Level2(7.2|AC),2147483647,0,Any
348,Workplace,FlatFee,DCFast(50|DC),2147483647,0,Any
251,Public,FlatFee,DCFast(50|DC),2147483647,0,Any
304,Workplace,FlatFee,UltraFast(250|DC),0,0,RideHailManager
159,Residential,Block,UltraFast(250|DC),2147483647,0,Any
204,Residential,Block,Level2(7.2|AC),2147483647,0,Any
572,Workplace,FlatFee,DCFast(50|DC),0,0,RideHailManager
275,Workplace,FlatFee,Level2(7.2|AC),2147483647,0,Any
147,Public,FlatFee,NoCharger,2147483647,0,Any
57,Residential,FlatFee,NoCharger,2147483647,0,Any
461,Workplace,Block,NoCharger,2147483647,0,Any
367,Residential,Block,Level2(7.2|AC),2147483647,0,Any
3,Workplace,FlatFee,UltraFast(250|DC),2147483647,0,Any
284,Workplace,FlatFee,Level2(7.2|AC),2147483647,0,Any
568,Public,Block,DCFast(50|DC),2147483647,0,Any
356,Residential,Block,Level2(7.2|AC),2147483647,0,Any
170,Workplace,Block,NoCharger,2147483647,0,Any
480,Workplace,FlatFee,UltraFast(250|DC),2147483647,0,Any
316,Workplace,FlatFee,NoCharger,2147483647,0,Any
65,Workplace,FlatFee,Level2(7.2|AC),0,0,RideHailManager
186,Residential,Block,Level1(2.3|AC),2147483647,0,Any
104,Residential,FlatFee,Level1(2.3|AC),2147483647,0,Any
264,Residential,Block,Level2(7.2|AC),2147483647,0,Any
328,Public,FlatFee,DCFast(50|DC),2147483647,0,Any
428,Residential,FlatFee,UltraFast(250|DC),2147483647,0,Any
433,Public,FlatFee,UltraFast(250|DC),2147483647,0,Any
226,Public,Block,Level2(7.2|AC),2147483647,0,Any
569,Workplace,FlatFee,DCFast(50|DC),2147483647,0,Any
454,Workplace,Block,Level1(2.3|AC),2147483647,0,Any
299,Public,FlatFee,Level2(7.2|AC),2147483647,0,Any
470,Workplace,FlatFee,NoCharger,2147483647,0,Any
38,Workplace,FlatFee,Level2(7.2|AC),0,0,RideHailManager
131,Residential,Block,Level2(7.2|AC),2147483647,0,Any
549,Residential,Block,Level1(2.3|AC),2147483647,0,Any
456,Workplace,FlatFee,Level2(7.2|AC),0,0,RideHailManager
16,Workplace,FlatFee,Level2(7.2|AC),2147483647,0,Any
43,Workplace,FlatFee,UltraFast(250|DC),2147483647,0,Any
206,Residential,FlatFee,Level1(2.3|AC),2147483647,0,Any
56,Workplace,Block,Level2(7.2|AC),2147483647,0,Any
82,Workplace,Block,UltraFast(250|DC),2147483647,0,Any
527,Residential,FlatFee,UltraFast(250|DC),2147483647,0,Any
496,Workplace,FlatFee,DCFast(50|DC),2147483647,0,Any
52,Residential,FlatFee,NoCharger,2147483647,0,Any
411,Residential,Block,Level1(2.3|AC),2147483647,0,Any
563,Public,FlatFee,NoCharger,2147483647,0,Any
231,Public,Block,NoCharger,2147483647,0,Any
490,Workplace,Block,NoCharger,2147483647,0,Any
48,Workplace,Block,Level2(7.2|AC),2147483647,0,Any
339,Residential,FlatFee,Level2(7.2|AC),2147483647,0,Any
452,Workplace,Block,UltraFast(250|DC),2147483647,0,Any
190,Workplace,Block,NoCharger,2147483647,0,Any
202,Workplace,FlatFee,NoCharger,2147483647,0,Any
379,Public,Block,UltraFast(250|DC),2147483647,0,Any
491,Workplace,FlatFee,Level2(7.2|AC),0,0,RideHailManager
150,Workplace,Block,DCFast(50|DC),2147483647,0,Any
119,Residential,FlatFee,Level1(2.3|AC),2147483647,0,Any
435,Residential,Block,UltraFast(250|DC),2147483647,0,Any
395,Residential,FlatFee,Level1(2.3|AC),2147483647,0,Any
309,Public,Block,Level1(2.3|AC),2147483647,0,Any
372,Workplace,Block,DCFast(50|DC),2147483647,0,Any
7,Workplace,Block,NoCharger,2147483647,0,Any
355,Workplace,Block,DCFast(50|DC),2147483647,0,Any
41,Public,Block,NoCharger,2147483647,0,Any
196,Public,FlatFee,DCFast(50|DC),2147483647,0,Any
417,Public,FlatFee,UltraFast(250|DC),2147483647,0,Any
215,Workplace,FlatFee,UltraFast(250|DC),2147483647,0,Any
360,Workplace,Block,UltraFast(250|DC),2147483647,0,Any
315,Residential,FlatFee,UltraFast(250|DC),2147483647,0,Any
262,Public,Block,Level2(7.2|AC),2147483647,0,Any
415,Workplace,FlatFee,UltraFast(250|DC),2147483647,0,Any
433,Workplace,Block,NoCharger,2147483647,0,Any
125,Residential,Block,Level1(2.3|AC),2147483647,0,Any
290,Public,Block,Level1(2.3|AC),2147483647,0,Any
306,Workplace,FlatFee,UltraFast(250|DC),2147483647,0,Any
70,Public,Block,UltraFast(250|DC),2147483647,0,Any
66,Workplace,Block,NoCharger,2147483647,0,Any
120,Workplace,FlatFee,UltraFast(250|DC),0,0,RideHailManager
257,Workplace,FlatFee,DCFast(50|DC),2147483647,0,Any
126,Public,Block,Level1(2.3|AC),2147483647,0,Any
121,Residential,FlatFee,UltraFast(250|DC),2147483647,0,Any
365,Public,FlatFee,NoCharger,2147483647,0,Any
261,Workplace,FlatFee,Level1(2.3|AC),2147483647,0,Any
419,Public,FlatFee,Level2(7.2|AC),2147483647,0,Any
562,Residential,FlatFee,UltraFast(250|DC),2147483647,0,Any
406,Residential,Block,UltraFast(250|DC),2147483647,0,Any
304,Workplace,FlatFee,DCFast(50|DC),2147483647,0,Any
300,Public,FlatFee,UltraFast(250|DC),2147483647,0,Any
5,Public,Block,Level2(7.2|AC),2147483647,0,Any
286,Residential,Block,UltraFast(250|DC),2147483647,0,Any
293,Residential,Block,Level2(7.2|AC),2147483647,0,Any
128,Residential,Block,Level1(2.3|AC),2147483647,0,Any
487,Workplace,Block,DCFast(50|DC),2147483647,0,Any
192,Public,FlatFee,NoCharger,2147483647,0,Any
351,Public,Block,Level2(7.2|AC),2147483647,0,Any
415,Public,FlatFee,Level1(2.3|AC),2147483647,0,Any
433,Residential,Block,NoCharger,2147483647,0,Any
61,Residential,Block,UltraFast(250|DC),2147483647,0,Any
566,Workplace,FlatFee,Level1(2.3|AC),2147483647,0,Any
201,Residential,Block,NoCharger,2147483647,0,Any
324,Workplace,Block,DCFast(50|DC),2147483647,0,Any
173,Public,FlatFee,DCFast(50|DC),2147483647,0,Any
209,Residential,FlatFee,NoCharger,2147483647,0,Any
205,Residential,FlatFee,NoCharger,2147483647,0,Any
578,Residential,Block,NoCharger,2147483647,0,Any
34,Residential,Block,Level2(7.2|AC),2147483647,0,Any
249,Workplace,FlatFee,Level2(7.2|AC),2147483647,0,Any
61,Workplace,FlatFee,Level2(7.2|AC),0,0,RideHailManager
