linkEfficiencyInPercentage,linkEfficiencyRounded,numberOfLinks
100.00000000000126,100,1
99.9999999999867,100,3
100.00000000000125,100,1
100.0000000000013,100,1
99.99999999995764,100,1
100.00000000000134,100,1
100.00000000000114,100,2
100.00000000000118,100,2
100.0000000000012,100,3
100.00000000000104,100,1
100.00000000000102,100,1
99.9999999999865,100,2
100.0000000000011,100,1
99.99999999998653,100,2
100.00000000000111,100,1
99.99999999998637,100,1
99.9999999999573,100,1
100.00000000004464,100,1
99.99999999998644,100,3
100.0000000000017,100,1
100.00000000000175,100,1
99.99999999998718,100,2
100.00000000003084,100,1
100.00000000000178,100,1
99.99999999998722,100,1
99.99999999998724,100,5
100.0000000000018,100,1
99.99999999998725,100,1
100.000000000249,100,1
100.00000000001621,100,1
100.00000000000166,100,1
100.00000000000169,100,1
100.00000000001623,100,3
99.99999999998697,100,3
100.00000000000155,100,5
100.00000000000153,100,1
100.00000000007432,100,1
100.00000000003048,100,3
100.00000000000142,100,1
100.00000000000146,100,1
100.00000000000145,100,2
100.00000000000038,100,3
99.99999999998586,100,3
99.99999999988401,100,1
100.00000000000023,100,1
100.00000000000027,100,1
100.0000000000294,100,1
100.00000000001485,100,2
100.00000000000031,100,1
99.99999999998556,100,1
100.00000000002922,100,1
100.0000000000002,100,1
100.0,100,161622
100.00000000000004,100,1
100.00000000008735,100,1
100.00000000000003,100,8339
100.00000000000007,100,1
100.0000000000008,100,3
99.99999999998627,100,1
100.00000000000084,100,1
100.00000000004452,100,3
12.65655640684834,13,1
99.99999999998634,100,1
4.035830331680719,4,1
99.99999999998622,100,1
100.0000000000006,100,3
100.00000000000064,100,6
100.00000000001519,100,2
100.00000000000067,100,2
100.0000000000152,100,1
100.00000000000048,100,1
99.99999999998596,100,1
100.00000000000055,100,3
100.00000000000317,100,1
100.00000000000296,100,2
100.00000000001754,100,2
100.00000000006122,100,3
100.00000000000304,100,1
99.99999999998829,100,3
100.00000000000284,100,2
100.00000000000287,100,2
100.00000000000291,100,2
100.00000000000293,100,2
100.00000000001748,100,1
100.0000000000028,100,1
99.99999999998825,100,3
100.00000000000281,100,2
100.0000000000036,100,5
100.00000000000342,100,3
99.99999999991611,100,2
100.00000000000348,100,4
100.00000000000351,100,1
99.99999999998894,100,1
100.00000000001785,100,1
100.00000000001789,100,2
99.99999999998879,100,2
100.00000000000333,100,2
99.99999999987237,100,1
100.0000000000034,100,2
100.00000000000324,100,1
100.00000000004692,100,2
100.00000000007499,100,1
100.00000000000222,100,1
100.00000000000225,100,6
100.00000000000205,100,1
99.99999999998752,100,1
99.9999999998129,100,1
100.00000000000213,100,1
100.0000000000165,100,3
100.00000000000193,100,1
100.00000000000198,100,1
100.00000000004563,100,1
100.000000000002,100,2
99.99999999997291,100,1
100.00000000000182,100,2
100.00000000001637,100,1
100.00000000000186,100,1
100.00000000000189,100,1
99.99999999998734,100,1
100.0000000000019,100,2
100.00000000006082,100,1
100.00000000000261,100,2
100.00000000000264,100,1
99.99999999998812,100,2
100.00000000000269,100,1
100.00000000000267,100,1
100.00000000003182,100,1
100.00000000000252,100,1
99.99999999997343,100,3
100.00000000000253,100,2
100.00000000001708,100,1
99.99999999990068,100,1
100.00000000000256,100,2
99.99999999998802,100,1
100.0000000000026,100,1
100.0000000000024,100,1
100.00000000000246,100,1
99.99999999997318,100,1
