hours,drive_transit,ride_hail,walk,walk_transit
1,0,0,0,0
2,0,0,0,0
3,0,0,0,0
4,0,0,0,0
5,0,0,0,0
6,0,0,0,0
7,0,0,0,0
8,1.9999999999999998,13.000000000000004,40.0,137.66666666666669
9,0.3333333333333333,14.333333333333334,95.0,193.33333333333337
10,0.5,4.0,42.0,40.333333333333336
11,0,1.0,41.0,36.5
12,0,3.0,38.0,41.0
13,0.3333333333333333,5.333333333333333,62.0,34.333333333333336
14,0,0,21.0,50.0
15,0,4.0,41.0,65.0
16,0,4.0,35.0,57.0
17,1.6666666666666665,13.66666666666667,54.0,110.0
18,0,28.0,154.0,284.99999999999994
19,0,11.0,60.0,67.66666666666667
20,0,9.0,30.0,35.0
21,0,2.0,3.0,6.0
