timeOfDayInSeconds,personId,rideHailVehicleId,waitingTimeInSeconds
26120.0,10102-2014000130010-064545,rideHailVehicle-1101-2012000633457-012591,200.0
26120.0,10102-2016001438850-0155612,rideHailVehicle-10104-2013001059260-152815,537.0
26120.0,1101-2013000128353-032545,rideHailVehicle-1108-2015000133808-093424,537.0
26263.0,10102-2014001049077-083222,rideHailVehicle-1101-2015000364742-197963,537.0
26263.0,10102-2016001438850-0155549,rideHailVehicle-1105-2015000712347-2104799,537.0
27060.0,1801-2012000719213-114211,rideHailVehicle-10104-2015001059501-0115151,176.0
27060.0,1803-2016001232073-0152365,rideHailVehicle-10401-2016000333866-0132216,176.0
27060.0,1803-2014000292394-368280,rideHailVehicle-1803-2016001232073-0152365,176.0
27743.0,10600-2014000053367-062033,rideHailVehicle-10600-2012001195734-023909,518.0
27646.0,1500-2015000187968-094497,rideHailVehicle-10600-2016001216686-0151404,1167.0
28806.0,1500-2014001225955-087933,rideHailVehicle-1803-2016001232073-0152365,79.0
28794.0,300-2012001254838-124516,rideHailVehicle-300-2016000833173-0144672,332.0
29091.0,1500-2014001249091-088289,rideHailVehicle-10600-2012001195734-023909,59.0
29190.0,600-2012000584680-011656,rideHailVehicle-600-2015000895578-0112011,292.0
28877.0,202-2014000053367-062059,rideHailVehicle-1106-2014000520011-172600,654.0
29229.0,1803-2015000630216-4103344,rideHailVehicle-1803-2013000614271-044932,360.0
29240.0,1200-2014001122037-085080,rideHailVehicle-10401-2016000333866-0132216,479.0
29426.0,10104-2012001097565-222036,rideHailVehicle-10104-2015001059501-0115151,661.0
29827.0,100-2014001217922-087811,rideHailVehicle-201-2016001254527-0152931,484.0
30147.0,10104-2016001407958-2154476,rideHailVehicle-10600-2016001216686-0151404,1043.0
30537.0,1902-2015000814269-0108937,rideHailVehicle-10104-2015001059501-0115151,842.0
30537.0,10104-2012001097565-222109,rideHailVehicle-10102-2015000816977-3109138,842.0
31116.0,201-2013001480820-060412,rideHailVehicle-202-2013000258802-035625,528.0
31447.0,405-2014000054075-062425,rideHailVehicle-405-2013000298655-037295,81.0
32118.0,700-2012001287756-025025,rideHailVehicle-300-2016000833173-0144672,356.0
32430.0,1902-2016000327234-0132055,rideHailVehicle-10104-2015001059501-0115151,510.0
