iteration,vehicleType,vehicleMilesTraveled,vehicleHoursTraveled,numberOfVehicles
0,siouxareametro-sd-us:1351,0.0,0.0,1.0
0,siouxareametro-sd-us:1341,0.0,0.0,3.0
0,siouxareametro-sd-us:1345,0.0,0.0,2.0
0,siouxareametro-sd-us:1340,0.0,0.0,3.0
0,siouxareametro-sd-us:1347,0.0,0.0,1.0
0,BODY-TYPE-DEFAULT,0.0,713.8666666666667,996.0
0,BUS-DEFAULT,2653.970432280889,157.43333333333334,255.0
0,siouxareametro-sd-us:1346,0.0,0.0,3.0
0,siouxareametro-sd-us:1342,0.0,0.0,3.0
0,PHEV,64.00834436929246,4.765833333333333,9.0
0,BEV,127.70314980607118,10.184166666666666,23.0
0,siouxareametro-sd-us:1349,0.0,0.0,3.0
0,siouxareametro-sd-us:1343,0.0,0.0,2.0
0,BUS-STD-ART,0.0,0.0,0.0
0,CAR-TYPE-DEFAULT,269.17731624471764,22.658333333333335,59.0
0,BUS-STD-HD,0.0,0.0,0.0
0,siouxareametro-sd-us:1350,0.0,0.0,2.0
0,BUS-SMALL-HD,0.0,0.0,0.0
0,siouxareametro-sd-us:1348,0.0,0.0,2.0
0,siouxareametro-sd-us:1344,0.0,0.0,2.0
1,siouxareametro-sd-us:1351,0.0,0.0,1.0
1,siouxareametro-sd-us:1341,0.0,0.0,3.0
1,siouxareametro-sd-us:1345,0.0,0.0,2.0
1,siouxareametro-sd-us:1340,0.0,0.0,3.0
1,siouxareametro-sd-us:1347,0.0,0.0,1.0
1,BODY-TYPE-DEFAULT,0.0,719.4047222222222,996.0
1,BUS-DEFAULT,2653.970432280888,157.43333333333334,255.0
1,siouxareametro-sd-us:1346,0.0,0.0,3.0
1,siouxareametro-sd-us:1342,0.0,0.0,3.0
1,PHEV,53.411002226477805,4.176944444444445,9.0
1,BEV,143.42276971973618,11.289722222222222,24.0
1,siouxareametro-sd-us:1349,0.0,0.0,3.0
1,siouxareametro-sd-us:1343,0.0,0.0,2.0
1,BUS-STD-ART,0.0,0.0,0.0
1,CAR-TYPE-DEFAULT,243.96900466900433,21.604444444444443,52.0
1,BUS-STD-HD,0.0,0.0,0.0
1,siouxareametro-sd-us:1350,0.0,0.0,2.0
1,BUS-SMALL-HD,0.0,0.0,0.0
1,siouxareametro-sd-us:1348,0.0,0.0,2.0
1,siouxareametro-sd-us:1344,0.0,0.0,2.0
