time,x,y,expectedMaximumUtility
25814.0,683955.330961304,4821315.05729261,NaN
25685.0,678532.7201318203,4821087.970644068,NaN
25926.0,686722.0926751774,4822189.781521668,NaN
26120.0,681700.1773829623,4819440.969367791,NaN
26294.0,678634.4380082865,4819578.959485991,NaN
26120.0,681700.1773829623,4819440.969367791,NaN
26294.0,678634.4380082865,4819578.959485991,NaN
26294.0,678634.4380082865,4819578.959485991,NaN
26263.0,681700.1773829623,4819440.969367791,NaN
26294.0,678634.4380082865,4819578.959485991,NaN
26263.0,681913.4526384207,4819323.625287586,NaN
26294.0,678634.4380082865,4819578.959485991,NaN
26294.0,678634.4380082865,4819578.959485991,NaN
26263.0,681700.1773829623,4819440.969367791,NaN
26294.0,678634.4380082865,4819578.959485991,NaN
26120.0,681700.1773829623,4819440.969367791,NaN
26294.0,678634.4380082865,4819578.959485991,NaN
26263.0,681700.1773829623,4819440.969367791,NaN
26294.0,678634.4380082865,4819578.959485991,NaN
26116.0,678560.7591746618,4819951.33614322,NaN
26294.0,678634.4380082865,4819578.959485991,NaN
26294.0,678634.4380082865,4819578.959485991,NaN
26294.0,678634.4380082865,4819578.959485991,NaN
26116.0,678560.7591746618,4819951.33614322,NaN
26263.0,681700.1773829623,4819440.969367791,NaN
26294.0,678634.4380082865,4819578.959485991,NaN
26120.0,681700.1773829623,4819440.969367791,NaN
26120.0,681700.1773829623,4819440.969367791,NaN
26263.0,681700.1773829623,4819440.969367791,NaN
26263.0,681700.1773829623,4819440.969367791,NaN
26598.0,687139.8524314816,4823828.786399714,NaN
26598.0,687139.8524314816,4823828.786399714,NaN
26618.0,687254.0434649674,4825583.856429558,NaN
26616.0,678869.4530816835,4823387.122197691,NaN
26682.0,684763.2437820928,4823053.78874771,NaN
26764.0,680191.7161200659,4819128.917159656,NaN
26764.0,680191.7161200659,4819128.917159656,NaN
26881.0,678932.9705187016,4820182.747775579,NaN
27060.0,686890.7592208851,4819178.151777821,NaN
27060.0,686890.7592208851,4819178.151777821,NaN
27060.0,686890.7592208851,4819178.151777821,NaN
27060.0,686890.7592208851,4819178.151777821,NaN
