hours,0,1-10,11-20,21-30,31-40
1,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0
6,217.0,0.0,0.0,0.0,0.0
7,755.0,0.0,0.0,0.0,0.0
8,542.0,70.0,3.0,0.0,0.0
9,215.0,423.0,59.0,19.0,9.0
10,304.0,327.0,6.0,0.0,0.0
11,349.0,194.0,0.0,0.0,0.0
12,343.0,194.0,11.0,0.0,0.0
13,337.0,217.0,0.0,0.0,0.0
14,354.0,181.0,33.0,0.0,0.0
15,280.0,279.0,20.0,0.0,0.0
16,262.0,217.0,0.0,0.0,0.0
17,386.0,328.0,25.0,0.0,0.0
18,175.0,482.0,55.0,2.0,0.0
19,236.0,513.0,31.0,22.0,0.0
20,185.0,174.0,3.0,0.0,0.0
21,99.0,92.0,5.0,0.0,0.0
22,115.0,15.0,0.0,0.0,0.0
