rideHailAgentID,xCoord,yCoord
rideHailAgent-10600-2013001200076-055531,679606.2109544299,4821779.48102188
rideHailAgent-405-2014001032926-182696,686664.1906682983,4824808.392617741
rideHailAgent-600-2012000584680-011693,684523.1068002643,4822801.452354151
rideHailAgent-10405-2016000674160-0140799,679010.6874879537,4829283.595221248
rideHailAgent-1105-2013001154369-154238,678682.0709535418,4819765.522325823
rideHailAgent-1107-2016000905283-0146109,682735.8336242328,4822572.398780452
rideHailAgent-1105-2016001246116-0152892,679844.2173541264,4821212.4348261515
rideHailAgent-10401-2016000333866-0132216,686933.9142511787,4820303.856848939
rideHailAgent-406-2013000239390-035566,684691.2445753824,4824195.864913421
rideHailAgent-1500-2016001216686-0151321,683234.4842466341,4820572.920235083
rideHailAgent-500-2013000542653-043540,684385.3666725529,4823685.405834207
rideHailAgent-900-2016000772838-1143323,681637.4078639714,4823362.848315604
rideHailAgent-900-2015000102574-093027,680786.2509633364,4823897.0197406355
rideHailAgent-10102-2015001491257-0123631,681996.323734467,4821172.135822271
rideHailAgent-408-2013000895447-049652,684349.8853357867,4825266.735102204
rideHailAgent-1804-2013000359041-237952,687300.4564963739,4820350.3686727695
rideHailAgent-1200-2014001122037-085191,681653.5659664893,4820212.253830318
rideHailAgent-1107-2014001093569-084674,682118.6304619684,4821180.049479917
rideHailAgent-1105-2013001154369-154198,678333.2857790117,4819250.4465550035
rideHailAgent-500-2013001157196-054499,684834.3137422102,4824209.515471611
rideHailAgent-405-2015001219743-1118148,687096.5942217285,4823956.385493503
rideHailAgent-1500-2016001216686-0151395,683287.4685004349,4820756.989565262
rideHailAgent-1107-2016000250854-1130522,681490.6709071976,4821568.548841934
rideHailAgent-1804-2014000119219-064131,685436.3214485499,4823254.899774533
rideHailAgent-1101-2013000153074-032864,679476.0400291729,4820779.316775411
rideHailAgent-1500-2014001225955-087959,682832.658823333,4820484.512217514
rideHailAgent-10103-2016000930780-0146580,678786.0848976205,4819127.1759152645
rideHailAgent-408-2014000017712-061125,687199.2121493778,4825763.02806781
rideHailAgent-1105-2015000712347-2104737,678414.9857231625,4819372.751428657
rideHailAgent-1105-2016000166982-0128671,679997.1926698869,4820615.0215726085
rideHailAgent-700-2012000970914-020035,682486.9045142467,4823701.332208785
rideHailAgent-10102-2015001024517-0114513,680064.45471421,4819373.173846469
rideHailAgent-1106-2013001307359-157353,681691.4574344576,4824836.4496521
rideHailAgent-1803-2015000630216-4103344,686693.8482386621,4820525.214219246
rideHailAgent-1108-2012001394863-027678,678730.7154685067,4819887.962907795
rideHailAgent-1106-2014000238225-266940,678736.637144815,4821793.440011762
rideHailAgent-1801-2013000634285-045255,684377.0369293436,4824480.4449569965
rideHailAgent-700-2012000442733-09410,682841.5506703123,4823538.793317245
rideHailAgent-600-2015000895578-0112011,683828.9256009964,4822741.572892883
rideHailAgent-405-2013001140050-053955,685139.4669397763,4825951.476842091
rideHailAgent-10102-2014000630646-175064,681706.0811569514,4821307.432655055
rideHailAgent-1101-2015000364742-198025,679748.4693540653,4821224.075268987
rideHailAgent-1106-2013001265598-456837,680404.9916848511,4823895.344634556
rideHailAgent-10104-2012000251540-05108,683296.0404882167,4820078.7056327015
rideHailAgent-1106-2015001431732-1123037,681814.7104933123,4821381.01204744
rideHailAgent-1108-2015000133808-093424,681749.0930466907,4821270.568331906
rideHailAgent-1108-2016000547749-0137817,678440.144762781,4819697.415569486
rideHailAgent-1002-2016001487612-0157008,681098.6440827745,4823844.673775294
rideHailAgent-1200-2016001315095-0153830,681620.571501659,4822441.3550824905
rideHailAgent-1106-2014000520011-172600,678764.547933216,4822876.171122018
rideHailAgent-407-2012001415668-028459,685088.9327460541,4823866.6712052375
rideHailAgent-1107-2015000794086-0107314,678545.4159993344,4820689.303114297
rideHailAgent-1500-2016000778294-0143734,681702.349981012,4820192.380145943
rideHailAgent-1105-2016000166982-0128683,679953.4820496569,4820741.476930446
rideHailAgent-1801-2013000532687-342675,686449.7000058704,4821333.779107683
rideHailAgent-300-2016000833173-0144638,685185.4962905699,4825945.205408867
rideHailAgent-405-2016000071413-0126631,684344.5838478972,4825283.7452636305
