timeBin,TAZ,avgWait,medianWait,numberOfPickups,avgPoolingDelay,numberOfPooledPickups
17,340,342.0,342.0,2,0,0
7,307,332.0,332.0,1,0,0
14,421,124.0,124.0,1,0,0
17,462,185.2,118.0,5,0,0
17,341,496.0,496.0,1,0,0
18,461,226.0,226.0,3,0,0
18,462,329.0,418.0,3,0,0
19,461,750.0,750.0,1,0,0
9,307,533.6666666666666,490.0,3,0,0
19,462,379.0,379.0,6,0,0
17,300,424.0,424.0,1,0,0
16,423,136.0,136.0,1,0,0
11,308,224.5,224.5,2,0,0
14,307,200.0,200.0,1,0,0
17,425,180.0,180.0,1,0,0
15,307,258.0,258.0,1,0,0
17,308,95.0,95.0,1,0,0
8,391,241.0,241.0,1,0,0
7,471,1096.0,1096.0,1,0,0
8,472,713.6666666666666,740.0,3,0,0
7,474,334.8,200.0,5,0,0
8,397,292.0,292.0,1,0,0
11,472,192.0,192.0,1,0,0
11,397,475.0,475.0,1,0,0
15,471,608.0,608.0,2,0,0
8,435,510.0,510.0,1,0,0
12,354,284.0,284.0,1,0,0
9,479,932.0,932.0,1,0,0
17,471,450.0,450.0,1,0,0
8,317,528.0,528.0,1,0,0
12,357,890.0,890.0,1,0,0
15,354,506.0,506.0,1,0,0
16,476,205.33333333333334,161.0,6,0,0
17,398,154.0,154.0,1,0,0
17,354,206.0,206.0,1,0,0
17,311,140.0,140.0,1,0,0
18,355,236.0,236.0,1,0,0
17,359,299.0,299.0,1,0,0
7,481,176.0,176.0,3,0,0
8,286,484.0,484.0,1,0,0
9,363,161.0,161.0,1,0,0
7,443,360.0,360.0,1,0,0
11,286,140.0,140.0,1,0,0
14,481,377.0,377.0,1,0,0
9,443,200.0,200.0,1,0,0
7,446,518.0,518.0,1,0,0
16,481,186.0,134.0,5,0,0
17,481,176.0,176.0,1,0,0
12,443,838.3333333333334,700.0,3,0,0
19,481,264.0,264.0,1,0,0
15,443,320.0,320.0,1,0,0
11,448,234.0,234.0,1,0,0
16,443,456.0,456.0,1,0,0
17,366,248.0,248.0,1,0,0
17,449,432.5,431.0,4,0,0
20,448,83.0,83.0,1,0,0
8,490,961.0,961.0,2,0,0
8,377,654.0,654.0,1,0,0
10,336,186.0,186.0,1,0,0
17,450,804.0,804.0,1,0,0
19,250,114.0,114.0,1,0,0
17,374,640.0,640.0,1,0,0
17,377,230.0,230.0,3,0,0
16,458,110.0,110.0,1,0,0
17,417,98.0,98.0,1,0,0
17,419,212.33333333333334,198.0,6,0,0
8,460,405.0,405.0,1,0,0
8,462,79.0,79.0,1,0,0
8,300,81.0,81.0,1,0,0
15,461,63.0,63.0,1,0,0
8,425,59.0,59.0,1,0,0
