modeChosen, alternativesAvailable, numberOfTimes
drive_transit, RIDE_HAIL:WALK:WALK_TRANSIT:DRIVE_TRANSIT, 1
walk, WALK:DRIVE_TRANSIT, 1
ride_hail, RIDE_HAIL:WALK:DRIVE_TRANSIT, 2
walk_transit, WALK:CAR:WALK_TRANSIT:DRIVE_TRANSIT, 2
walk, WALK:CAR, 1
walk_transit, RIDE_HAIL:WALK:CAR:WALK_TRANSIT, 9
walk, RIDE_HAIL:WALK:DRIVE_TRANSIT, 4
walk, RIDE_HAIL:WALK:WALK_TRANSIT:DRIVE_TRANSIT, 1
drive_transit, WALK:CAR:DRIVE_TRANSIT, 5
walk, RIDE_HAIL:WALK:CAR:WALK_TRANSIT:DRIVE_TRANSIT, 2
walk, , 66
walk, WALK, 609
walk, RIDE_HAIL:WALK:CAR:WALK_TRANSIT, 7
walk, WALK:CAR:DRIVE_TRANSIT, 2
walk_transit, RIDE_HAIL:WALK:WALK_TRANSIT:DRIVE_TRANSIT, 2
ride_hail, RIDE_HAIL:WALK:CAR:WALK_TRANSIT, 1
walk, RIDE_HAIL:WALK:CAR:DRIVE_TRANSIT:WALK_TRANSIT, 3
walk_transit, WALK:WALK_TRANSIT, 1
ride_hail, RIDE_HAIL:WALK:DRIVE_TRANSIT:WALK_TRANSIT, 1
walk_transit, RIDE_HAIL:WALK:CAR:WALK_TRANSIT:WALK_TRANSIT, 1
drive_transit, WALK:DRIVE_TRANSIT, 4
walk_transit, RIDE_HAIL:WALK:CAR:WALK_TRANSIT:DRIVE_TRANSIT, 16
walk, WALK:CAR:WALK_TRANSIT:DRIVE_TRANSIT, 1
ride_hail, RIDE_HAIL:WALK:CAR:DRIVE_TRANSIT:WALK_TRANSIT, 1
drive_transit, WALK:CAR:DRIVE_TRANSIT:WALK_TRANSIT, 5
ride_hail, RIDE_HAIL, 122
walk_transit, WALK:CAR:DRIVE_TRANSIT:WALK_TRANSIT, 2
walk, RIDE_HAIL:WALK:WALK_TRANSIT, 1
walk_transit, RIDE_HAIL:WALK:DRIVE_TRANSIT:WALK_TRANSIT, 1
ride_hail, RIDE_HAIL:WALK:CAR:DRIVE_TRANSIT, 1
walk_transit, RIDE_HAIL:WALK:CAR:DRIVE_TRANSIT:WALK_TRANSIT, 16
walk_transit, RIDE_HAIL:WALK:WALK_TRANSIT, 2
walk, RIDE_HAIL:WALK:CAR, 2
ride_hail, RIDE_HAIL:WALK:CAR:WALK_TRANSIT:DRIVE_TRANSIT, 1
walk_transit, WALK_TRANSIT, 1120
walk, RIDE_HAIL:WALK:CAR:DRIVE_TRANSIT, 6
