hour,numPassengers,vkt
7,0,6384.092
7,1,38421.871999999996
8,0,18715.077999999998
8,1,44163.101
9,0,6857.841000000001
9,1,32330.440000000002
10,0,2023.485
10,1,4595.211
11,0,2450.862
11,1,22828.124
12,0,5479.623
12,1,32952.58500000001
13,0,754.3119999999999
13,1,2340.12
14,0,1083.705
14,1,7171.855
15,0,3544.3990000000003
15,1,43687.415
16,0,4125.438
16,1,15558.283000000003
17,0,11387.610999999999
17,1,112099.14799999999
18,0,18695.515000000007
18,1,115421.49100000001
19,0,3255.2260000000006
19,1,61115.28700000002
20,0,3260.7380000000007
20,1,21946.634000000002
