hours,0,1-9,10-18,19-27,28-36
1,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.0,0.0
3,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0
6,217.0,0.0,0.0,0.0,0.0
7,755.0,0.0,0.0,0.0,0.0
8,545.0,67.0,3.0,0.0,0.0
9,226.0,404.0,64.0,16.0,15.0
10,305.0,325.0,7.0,0.0,0.0
11,334.0,209.0,0.0,0.0,0.0
12,343.0,172.0,33.0,0.0,0.0
13,325.0,217.0,12.0,0.0,0.0
14,342.0,193.0,33.0,0.0,0.0
15,280.0,275.0,24.0,0.0,0.0
16,262.0,217.0,0.0,0.0,0.0
17,386.0,328.0,25.0,0.0,0.0
18,175.0,466.0,71.0,1.0,1.0
19,258.0,474.0,44.0,26.0,0.0
20,185.0,173.0,4.0,0.0,0.0
21,99.0,92.0,5.0,0.0,0.0
22,115.0,15.0,0.0,0.0,0.0
