timeOfDayInSeconds,personId,rideHailVehicleId,waitingTimeInSeconds
26120.0,10102-2014001049077-083188,rideHailVehicle-10104-2013001059260-152815,200.0
26263.0,10102-2014001049077-083222,rideHailVehicle-1101-2015000364742-197963,200.0
26263.0,10102-2016001438850-0155549,rideHailVehicle-1105-2015000712347-2104799,200.0
26120.0,1101-2013000128353-032545,rideHailVehicle-1101-2012000633457-012591,200.0
26120.0,10102-2014000130010-064545,rideHailVehicle-1108-2015000133808-093424,200.0
27060.0,1803-2012000606353-012019,rideHailVehicle-1803-2016001232073-0152365,176.0
27060.0,1801-2012000719213-114211,rideHailVehicle-10104-2015001059501-0115151,176.0
27060.0,10104-2012000190101-23658,rideHailVehicle-10401-2016000333866-0132216,176.0
27216.0,10600-2014000053367-062033,rideHailVehicle-10600-2012001195734-023909,518.0
27646.0,1500-2015000187968-094497,rideHailVehicle-10600-2016001216686-0151404,1096.0
28806.0,1500-2014001225955-087933,rideHailVehicle-10104-2015001059501-0115151,79.0
28702.0,1803-2015000630216-4103344,rideHailVehicle-1803-2013000614271-044932,360.0
28794.0,300-2012001254838-124516,rideHailVehicle-300-2016000833173-0144672,332.0
29091.0,1500-2014001249091-088289,rideHailVehicle-10600-2012001195734-023909,59.0
29190.0,600-2012000584680-011656,rideHailVehicle-600-2015000895578-0112011,292.0
28877.0,202-2014000053367-062059,rideHailVehicle-1106-2014000520011-172600,654.0
29240.0,1200-2014001122037-085080,rideHailVehicle-10401-2016000333866-0132216,405.0
29426.0,10104-2012001097565-222036,rideHailVehicle-1803-2016001232073-0152365,610.0
29827.0,100-2014001217922-087811,rideHailVehicle-201-2016001254527-0152931,484.0
30147.0,10104-2016001183526-1150352,rideHailVehicle-1803-2016001232073-0152365,961.0
30147.0,10104-2016001407958-2154476,rideHailVehicle-10600-2016001216686-0151404,961.0
30920.0,405-2014000054075-062425,rideHailVehicle-405-2013000298655-037295,81.0
30537.0,1902-2015000814269-0108937,rideHailVehicle-1803-2013000614271-044932,740.0
30537.0,10104-2012001097565-222109,rideHailVehicle-10102-2015000816977-3109138,740.0
31116.0,201-2013001480820-060412,rideHailVehicle-202-2013000258802-035625,528.0
32118.0,700-2012001287756-025025,rideHailVehicle-300-2016000833173-0144672,241.0
31903.0,1902-2016000327234-0132055,rideHailVehicle-10102-2015000816977-3109138,510.0
33017.0,300-2015001250406-0119211,rideHailVehicle-408-2013000895447-049736,444.0
33630.0,900-2016000267720-0131236,rideHailVehicle-1106-2014000520011-172600,161.0
34056.0,1801-2013001484884-060519,rideHailVehicle-1801-2013000532687-342675,200.0
37803.0,1902-2016000327234-0132055,rideHailVehicle-10102-2015000816977-3109138,24.0
40137.0,600-2016000984772-0147364,rideHailVehicle-600-2015000895578-0112011,475.0
40800.0,900-2016000267720-0131236,rideHailVehicle-201-2013001480820-060443,140.0
40753.0,1801-2013001484884-060519,rideHailVehicle-1801-2013000532687-342675,234.0
43589.0,1804-2013000359041-238166,rideHailVehicle-1801-2013000532687-342675,551.0
44270.0,405-2015001219743-1118586,rideHailVehicle-405-2014001032926-182696,890.0
45348.0,300-2016000393167-0133450,rideHailVehicle-406-2013000239390-035566,668.0
46558.0,600-2016000984772-0147364,rideHailVehicle-401-2015000542370-0100879,284.0
50430.0,405-2015001219743-1118586,rideHailVehicle-405-2014001032926-182696,200.0
52707.0,1803-2013000190262-333881,rideHailVehicle-1801-2012000719213-114310,377.0
53068.0,10600-2012001236897-024169,rideHailVehicle-1107-2014001093569-084674,124.0
54164.0,500-2015000391765-098408,rideHailVehicle-1801-2013000725483-147433,506.0
54429.0,1804-2013000359041-238166,rideHailVehicle-1801-2012000719213-114310,677.0
56436.0,1803-2015000630216-4103441,rideHailVehicle-1801-2012000719213-114310,320.0
56541.0,300-2015001250406-0119171,rideHailVehicle-405-2015001345452-0121612,258.0
58901.0,10600-2012001236897-024169,rideHailVehicle-1107-2014001093569-084674,110.0
59926.0,1801-2013000532687-343179,rideHailVehicle-1803-2015000630216-4103344,456.0
60311.0,10103-2014000596551-074755,rideHailVehicle-1105-2013001154369-154198,161.0
60311.0,1108-2016000532720-1137374,rideHailVehicle-1105-2015000622201-0102833,161.0
60311.0,10102-2012001253466-024448,rideHailVehicle-10103-2016001437406-0155486,293.0
60311.0,10102-2013000575117-143840,rideHailVehicle-1108-2016000547749-0137817,293.0
60311.0,10103-2013001287092-157169,rideHailVehicle-1105-2013001154369-154238,329.0
60507.0,1803-2016000645198-1140334,rideHailVehicle-1803-2013000190262-334097,134.0
60507.0,10401-2016000333866-0132259,rideHailVehicle-1803-2013000190262-333881,134.0
60311.0,10102-2014000947834-180428,rideHailVehicle-1107-2015000794086-0107314,586.0
60647.0,1801-2016000471794-1135720,rideHailVehicle-10104-2012000751336-014823,264.0
60924.0,500-2015000391765-098408,rideHailVehicle-1106-2014000238225-266940,136.0
62135.0,10102-2014000130010-064545,rideHailVehicle-10103-2014000584977-074080,198.0
62135.0,10102-2014001049077-083188,rideHailVehicle-10102-2016000029416-4124955,198.0
62135.0,1101-2013000128353-032545,rideHailVehicle-1105-2016001246116-0152892,198.0
62626.0,202-2014000053367-062059,rideHailVehicle-900-2016000772838-1143323,299.0
62937.0,10600-2014000053367-062033,rideHailVehicle-1105-2013001123049-053784,180.0
63096.0,10102-2014001049077-083222,rideHailVehicle-10102-2016001438850-0155549,66.0
63051.0,300-2015001250406-0119171,rideHailVehicle-405-2015001345452-0121612,95.0
63096.0,10102-2016001438850-0155549,rideHailVehicle-10600-2013001200076-055531,66.0
63350.0,1803-2015000630216-4103441,rideHailVehicle-1500-2014001225955-087959,46.0
63554.0,300-2015001250406-0119211,rideHailVehicle-408-2013000895447-049652,140.0
63239.0,1200-2014001122037-085080,rideHailVehicle-1105-2016000166982-0128683,548.0
62936.0,1500-2014001249091-088289,rideHailVehicle-500-2012001048206-021013,804.0
63714.0,1801-2014000488669-071704,rideHailVehicle-1801-2012000719213-114211,176.0
63891.0,1803-2012000606353-012019,rideHailVehicle-10102-2015000816977-3109029,46.0
63891.0,1801-2012000719213-114211,rideHailVehicle-1803-2015000630216-4103344,46.0
63891.0,10104-2012000190101-23658,rideHailVehicle-1105-2013001154369-154198,46.0
63677.0,1500-2015000187968-094497,rideHailVehicle-10104-2013000635769-045290,458.0
64279.0,600-2012000584680-011656,rideHailVehicle-600-2012000584680-011693,154.0
64330.0,300-2012001254838-124516,rideHailVehicle-700-2013000093869-031474,248.0
64411.0,1500-2014001225955-087933,rideHailVehicle-500-2012001048206-021013,98.0
64236.0,1902-2015000814269-0108937,rideHailVehicle-1500-2016001216686-0151395,404.0
64236.0,10104-2012001097565-222109,rideHailVehicle-1500-2016001216686-0151321,404.0
64471.0,1106-2015000542370-2100939,rideHailVehicle-1106-2013000356142-137795,230.0
64471.0,1106-2013001307359-157467,rideHailVehicle-1106-2015000810401-3108472,230.0
64351.0,10104-2012001097565-222036,rideHailVehicle-10104-2012000251540-05108,404.0
64471.0,1106-2013001307359-157505,rideHailVehicle-900-2016000772838-1143323,230.0
64358.0,1803-2015000630216-4103344,rideHailVehicle-10102-2015001490278-0123539,433.0
64336.0,1803-2013000190262-333881,rideHailVehicle-1803-2013000190262-334097,450.0
64427.0,408-2015000895578-0112077,rideHailVehicle-405-2015001345452-0121612,424.0
64634.0,405-2014000054075-062425,rideHailVehicle-500-2012001464904-029141,206.0
64726.0,10104-2016001407958-2154476,rideHailVehicle-202-2014000053367-061941,342.0
64726.0,10104-2016001183526-1150352,rideHailVehicle-1107-2016000905283-0146109,342.0
64809.0,700-2012001287756-025025,rideHailVehicle-1106-2014000238225-266940,264.0
64799.0,100-2014001217922-087811,rideHailVehicle-600-2012000584680-011693,490.0
64697.0,201-2013001480820-060412,rideHailVehicle-1200-2016001315095-0153797,640.0
66498.0,1801-2013000532687-343179,rideHailVehicle-1105-2015000622201-0102833,92.0
66581.0,1902-2016000837646-0144999,rideHailVehicle-1107-2016000905283-0146109,456.0
66581.0,10104-2015000391765-098439,rideHailVehicle-202-2014000053367-061941,456.0
67012.0,1803-2016000645198-1140334,rideHailVehicle-10104-2013000635769-045290,226.0
67012.0,10401-2016000333866-0132259,rideHailVehicle-1801-2012000719213-114211,226.0
67353.0,1801-2016000471794-1135720,rideHailVehicle-10103-2013001287092-157169,418.0
69496.0,1108-2016000532720-1137374,rideHailVehicle-500-2012001048206-021013,177.0
69496.0,10103-2014000596551-074755,rideHailVehicle-10103-2016001437406-0155486,177.0
69496.0,10102-2012001253466-024448,rideHailVehicle-1107-2016000905283-0146109,177.0
69496.0,10102-2013000575117-143840,rideHailVehicle-10600-2016000905283-0146190,177.0
69496.0,10103-2013001287092-157169,rideHailVehicle-202-2014000053367-061941,177.0
69496.0,10102-2014000947834-180428,rideHailVehicle-1105-2013001123049-053784,278.0
70061.0,1801-2014000488669-071704,rideHailVehicle-1500-2016000778294-0143734,265.0
70694.0,408-2015000895578-0112077,rideHailVehicle-405-2015001345452-0121612,114.0
70920.0,10104-2015001059501-0115178,rideHailVehicle-10103-2013001287092-157169,176.0
71880.0,10104-2015000391765-098439,rideHailVehicle-1107-2014001093569-084674,631.0
71880.0,1902-2016000837646-0144999,rideHailVehicle-10102-2016001438850-0155549,631.0
72188.0,10104-2015001059501-0115178,rideHailVehicle-1101-2013000128353-032461,469.0
