hour,numPassengers,vkt
7,0,6248.127
7,1,37488.651999999995
8,0,18647.683
8,1,44454.396
9,0,2991.358
9,1,35572.363
10,0,51.988
10,1,6478.081999999999
11,0,1478.827
11,1,11940.678
12,0,4190.799
12,1,13345.482
13,0,754.3119999999999
13,1,10290.662
14,0,1083.705
14,1,7171.855
15,0,3634.3600000000006
15,1,27579.711
16,0,6434.565999999999
16,1,15558.283000000003
17,0,18197.525999999994
17,1,120104.675
18,0,10270.827999999998
18,1,126861.80700000002
19,0,4371.83
19,1,70019.93000000002
20,0,4914.328000000001
20,1,22672.331
