linkEfficiencyInPercentage,linkEfficiencyRounded,numberOfLinks
100.00000000000126,100,1
99.9999999999867,100,3
100.00000000000125,100,1
100.0000000000013,100,1
99.99999999995764,100,1
99.99999999998677,100,1
29.416823716967897,29,1
4.161464103691701,4,1
100.00000000000134,100,1
100.00000000000114,100,3
100.00000000000118,100,3
100.0000000000012,100,3
46.99080250136341,47,1
100.00000000000102,100,1
99.9999999999865,100,3
99.99999999998653,100,2
100.00000000000111,100,1
99.9999999999718,100,1
99.99999999998637,100,1
99.9999999999573,100,1
99.99999999998644,100,3
100.0000000000017,100,1
100.0000000000454,100,1
100.00000000003084,100,1
100.00000000000178,100,1
99.99999999998722,100,1
99.99999999998724,100,3
100.0000000000018,100,1
100.000000000249,100,1
100.00000000000169,100,1
100.00000000001623,100,4
99.99999999998697,100,3
100.00000000000155,100,5
100.00000000007432,100,2
100.00000000003048,100,5
100.00000000000142,100,1
100.00000000000146,100,1
100.00000000000145,100,2
100.00000000000038,100,3
99.99999999998586,100,4
99.99999999988401,100,1
100.00000000000023,100,1
100.00000000000027,100,1
100.00000000001485,100,2
100.00000000000031,100,2
99.99999999998556,100,1
100.00000000002922,100,1
100.0,100,161566
100.00000000000004,100,1
99.99999999995637,100,1
100.00000000008735,100,1
100.00000000000003,100,8338
99.999999999971,100,1
100.0000000000008,100,4
99.99999999998627,100,1
100.00000000000084,100,1
100.00000000004452,100,3
100.00000000000088,100,1
99.99999999998634,100,1
100.0000000000153,100,1
99.99999999998622,100,1
99.99999999992782,100,1
100.0000000000006,100,3
100.00000000000064,100,6
100.00000000001519,100,1
100.00000000000067,100,1
100.0000000000152,100,1
35.81381766401555,36,1
100.00000000000048,100,2
100.00000000000055,100,3
100.00000000000296,100,2
100.00000000001754,100,1
100.00000000006122,100,3
100.00000000000304,100,1
99.99999999998829,100,3
100.00000000000284,100,5
100.00000000000287,100,2
100.00000000000291,100,2
100.00000000000293,100,1
100.00000000001748,100,1
99.99999999998818,100,1
100.0000000000028,100,1
99.99999999998825,100,4
100.00000000000281,100,2
100.0000000000036,100,5
100.00000000000342,100,1
99.99999999991611,100,2
100.00000000000348,100,2
100.00000000000351,100,1
99.99999999998894,100,1
100.00000000001785,100,1
100.00000000013426,100,1
27.61835129625572,28,1
100.00000000001789,100,1
99.99999999987237,100,2
100.00000000000333,100,1
99.99999999998879,100,1
100.0000000000034,100,5
100.00000000000324,100,1
100.00000000004692,100,2
99.9999999999149,100,1
100.00000000000222,100,1
100.00000000000225,100,4
100.00000000000205,100,1
99.99999999998752,100,1
99.9999999998129,100,1
100.00000000000213,100,2
100.0000000000165,100,3
100.00000000000193,100,1
100.000000000002,100,1
100.00000000001654,100,1
99.99999999997291,100,2
100.00000000000182,100,3
100.00000000001637,100,1
100.00000000000186,100,1
100.00000000000189,100,1
99.99999999998734,100,1
100.0000000000019,100,3
100.00000000000261,100,1
100.00000000000264,100,1
99.99999999998812,100,3
100.00000000000267,100,2
100.00000000000271,100,1
100.00000000003182,100,1
100.00000000000252,100,1
99.99999999997343,100,3
100.00000000000253,100,2
100.00000000001708,100,1
99.99999999990068,100,1
100.00000000000256,100,2
99.99999999998802,100,1
100.0000000000026,100,1
100.0000000000024,100,1
99.99999999988603,100,1
100.00000000000246,100,1
100.00000000001701,100,2
99.99999999997318,100,1
100.00000000010418,100,6
