hours,drive_transit,ride_hail,walk,walk_transit
1,0,0,0,0
2,0,0,0,0
3,0,0,0,0
4,0,0,0,0
5,0,0,0,0
6,0,0,0,0
7,0,0,0,0
8,1.9999999999999998,13.000000000000004,40.0,137.33333333333334
9,0.3333333333333333,14.333333333333334,95.0,193.6666666666667
10,0.5,7.0,39.0,40.333333333333336
11,0,1.0,41.0,36.5
12,0,5.0,36.0,41.0
13,1.0,7.499999999999999,59.5,33.0
14,0,0,21.0,51.00000000000001
15,0,3.0,41.0,66.0
16,0,6.0,32.0,58.0
17,1.3333333333333333,14.333333333333336,54.0,110.0
18,0,28.0,152.0,286.99999999999994
19,0,10.0,61.0,67.33333333333334
20,0,8.0,31.0,35.0
21,0,2.0,3.0,6.0
