Iteration,agencyRevenue_217,agentHoursOnCrowdedTransit,averageMTWaitingTimeInSec,averageOnDemandRideWaitTimeInSec,averageTripExpenditure,averageTripExpenditure_Home,averageTripExpenditure_Secondary,averageTripExpenditure_Work,averageVehicleDelayPerMotorizedLeg_home,averageVehicleDelayPerMotorizedLeg_secondary,averageVehicleDelayPerMotorizedLeg_work,averageVehicleDelayPerPassengerTrip,busCrowding,fuelConsumedInMJ_Diesel,fuelConsumedInMJ_Food,fuelConsumedInMJ_Gasoline,motorizedVehicleMilesTraveled_total,numberOfVehicles_BODY-TYPE-DEFAULT,numberOfVehicles_BUS-DEFAULT,numberOfVehicles_CAR-TYPE-DEFAULT,personTravelTime_car,personTravelTime_drive_transit,personTravelTime_onDemandRide,personTravelTime_others,personTravelTime_walk,personTravelTime_walk_transit,tollRevenue,totalCost_bike,totalCost_car,totalCost_drive_transit,totalCost_onDemandRide,totalCost_onDemandRide_transit,totalCost_transit,totalCost_walk,totalCost_walk_transit,totalHoursOfVehicleTrafficDelay,totalIncentive_bike,totalIncentive_car,totalIncentive_drive_transit,totalIncentive_onDemandRide,totalIncentive_onDemandRide_transit,totalIncentive_transit,totalIncentive_walk,totalIncentive_walk_transit,totalToll_bike,totalToll_car,totalToll_drive_transit,totalToll_onDemandRide,totalToll_onDemandRide_transit,totalToll_transit,totalToll_walk,totalToll_walk_transit,vehicleHoursTraveled_BODY-TYPE-DEFAULT,vehicleHoursTraveled_BUS-DEFAULT,vehicleHoursTraveled_BUS-SMALL-HD,vehicleHoursTraveled_BUS-STD-ART,vehicleHoursTraveled_BUS-STD-HD,vehicleHoursTraveled_CAR-TYPE-DEFAULT,vehicleMilesTraveled_BODY-TYPE-DEFAULT,vehicleMilesTraveled_BUS-DEFAULT,vehicleMilesTraveled_BUS-SMALL-HD,vehicleMilesTraveled_BUS-STD-ART,vehicleMilesTraveled_BUS-STD-HD,vehicleMilesTraveled_CAR-TYPE-DEFAULT
0,222.75,10.185555555555556,373.2530120481928,1.9949838187702247,0.7647451741698962,0.9624717106628333,1.4495905617355602,0.49433631124602967,12.731183946853141,11.5804137239819,12.951211241025643,13.277413874862,106.90379008746356,146953.95255800043,46.573232837337486,25596.731322807365,8905.142589481195,996.0,255.0,831.0,17478.883333333335,3491.5666666666666,2140.65,4841.55,1171.35,5107.65,0.0,0.0,0.44479923111628256,1.118421052631579,4.500643512090471,0.0,0.0,0.0,1.2619047619047619,1.54165527769231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166.3227777777778,157.43333333333334,0.0,0.0,0.0,351.5469444444444,546.0238717628299,4554.716314349363,0.0,0.0,0.0,4350.426275131877
1,243.0,11.143333333333333,381.42045454545456,3.0554207119741092,0.6603541221624469,2.2897252501522694,2.511850173045437,0.8826355171400336,1054.3174166053745,1074.1254053957384,1172.162150321832,791.1867294019881,111.12465373961219,146953.95255800034,41.470990942337494,26253.73280984766,9016.806711590174,996.0,255.0,823.0,36900.6,4482.35,2667.866666666667,4406.016666666666,1148.7166666666667,5765.066666666667,0.0,0.0,0.4886732563514258,1.125,5.552965315662446,0.0,0.0,0.0,1.2881679389312977,312.9583062967864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161.77194444444444,157.43333333333334,0.0,0.0,0.0,704.0908333333333,486.2052655709716,4554.7163143493635,0.0,0.0,0.0,4462.090397240867
2,251.25,11.731944444444444,392.031914893617,2.892043551088777,0.6381770477525792,2.3552524211907735,2.522390935791589,0.9466724812957804,865.1176109988539,777.9649667172491,918.2736986508473,620.0249258501372,115.39617486338798,146953.95255800043,43.46571198033752,25880.582311955524,8953.385968131333,996.0,255.0,821.0,33313.05,4255.883333333333,2728.9666666666667,4588.6,1291.7,5883.0,0.0,0.0,0.4931574003769797,1.184782608695652,5.532279996619198,0.0,0.0,0.0,1.2938931297709924,255.4158236210426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169.33416666666668,157.43333333333334,0.0,0.0,0.0,639.8102777777777,509.59134461039673,4554.716314349363,0.0,0.0,0.0,4398.669653782023
3,234.0,12.061666666666667,370.1777777777778,3.3032986111111136,0.6224575863852471,2.3428617261138007,2.591369932087978,0.9020539783051804,921.8827946064268,760.8910668025592,850.311013299212,641.4348825722128,121.29050279329608,146953.95255800037,43.87981682733752,26232.79223749883,9013.247647152853,996.0,255.0,824.0,34310.3,4383.233333333334,2624.95,4641.3,1531.4666666666667,5690.483333333334,0.0,0.0,0.49906347477143237,1.1120689655172413,5.665886404522802,0.0,0.0,0.0,1.2649253731343284,265.6609471986581,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,171.05944444444444,157.43333333333334,0.0,0.0,0.0,657.3913888888889,514.4463035234792,4554.716314349363,0.0,0.0,0.0,4458.531332803536
4,243.0,11.439722222222223,355.3775510204082,3.368027210884355,0.5973448455264891,2.20249967214719,2.359209936792906,0.906774959750213,883.829105379727,674.280387972608,771.3975808393475,586.5836858522947,111.91032608695652,146953.95255800043,47.11637212033745,25742.709441963598,8929.953063801631,996.0,255.0,816.0,32149.6,4216.766666666666,2505.05,4743.133333333333,1533.5166666666667,6363.766666666666,0.0,0.0,0.49022913421048425,1.1454545454545455,5.16756803849709,0.0,0.0,0.0,1.2587412587412588,231.86349582439317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183.92888888888888,157.43333333333334,0.0,0.0,0.0,615.6147222222222,552.3916284364101,4554.7163143493635,0.0,0.0,0.0,4375.236749452305
5,263.25,10.510555555555555,359.93,2.9011627906976725,0.5526814508328437,2.1760630621739736,2.208748198287656,1.0011578342847565,829.2156927238929,572.418095415443,667.0866904504584,516.0607351151141,99.57368421052631,146953.95255800037,46.01408819033748,25986.81895236515,8971.441971688642,996.0,255.0,814.0,30564.166666666668,4527.2,2137.1666666666665,4182.583333333333,1824.8,6105.866666666667,0.0,0.0,0.5178005137967908,1.1571428571428573,5.1721957387546045,0.0,0.0,0.0,1.3206521739130435,203.84399037047004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179.4886111111111,157.43333333333334,0.0,0.0,0.0,587.5527777777778,539.4684684457205,4554.716314349363,0.0,0.0,0.0,4416.725657339314
6,231.0,9.073888888888888,339.27,3.4929775280898885,0.5651794433182261,2.1802750000142885,2.2443766408501804,0.8581205669938367,806.473841473549,568.1071826687142,666.1227747755361,512.7130816038377,89.00817438692098,146953.9525580004,44.571936036337526,26053.78320550983,8982.823231377664,996.0,255.0,819.0,31017.116666666665,3941.55,2350.133333333333,4442.983333333334,1608.5666666666666,6022.166666666667,0.0,0.0,0.49535595721807335,1.1710526315789473,5.289011985267054,0.0,0.0,0.0,1.2634615384615384,206.6518559464357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,173.87444444444444,157.43333333333334,0.0,0.0,0.0,595.3783333333333,522.5606985782421,4554.716314349363,0.0,0.0,0.0,4428.106917028356
7,243.0,10.012222222222222,358.3369565217391,2.778472222222221,0.5355891571537409,2.112254460729589,2.215905300589626,0.9316558505717992,810.3630925168746,537.1244783805108,678.6468887416223,500.6201879435165,99.02197802197803,146953.95255800043,46.31008036433747,26037.506607062816,8980.056857005084,996.0,255.0,820.0,30451.8,3966.25,2106.983333333333,5137.466666666666,1650.65,5658.616666666667,0.0,0.0,0.5037730308456984,1.1785714285714286,5.1907335974059965,0.0,0.0,0.0,1.25,194.68562864470084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.67333333333335,157.43333333333334,0.0,0.0,0.0,581.9086111111111,542.9386761812126,4554.716314349363,0.0,0.0,0.0,4425.3405426557565
8,252.0,10.838888888888889,337.4222222222222,2.868154761904761,0.5527135827523645,2.1772483749596403,2.189237206930604,0.8320103490955036,727.5236892129008,577.3222451670373,670.5319805297736,490.35009000795384,107.1978021978022,146953.95255800037,42.878566055337515,26435.46380669015,9047.693753130725,996.0,255.0,828.0,30513.333333333332,4542.05,2172.5833333333335,4612.066666666667,1384.2,5175.983333333334,0.0,0.0,0.4977410331010315,1.1756756756756757,5.3105622788199005,0.0,0.0,0.0,1.2692307692307692,192.8710354031285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,167.11416666666668,157.43333333333334,0.0,0.0,0.0,584.7661111111111,502.70765473690284,4554.7163143493635,0.0,0.0,0.0,4492.977438781399
9,250.5,10.776388888888889,336.4574468085106,2.986458333333331,0.5237737362095433,2.0920434710457876,2.1106428648648805,0.8632167570545021,769.0177963772185,655.9299860782297,760.1436682552805,534.7773705433856,105.13550135501355,146953.95255800037,48.217943200337444,26090.12225743747,8988.999424905118,996.0,255.0,824.0,31419.883333333335,4503.633333333333,2061.8,5143.15,1672.5166666666667,5752.85,0.0,0.0,0.4696136658885141,1.1484375,5.271490903928916,0.0,0.0,0.0,1.2642857142857142,208.414625242325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188.16416666666666,157.43333333333334,0.0,0.0,0.0,596.9775,565.3064309845668,4554.716314349363,0.0,0.0,0.0,4434.283110555789
