linkEfficiencyInPercentage,linkEfficiencyRounded,numberOfLinks
100.00000000000126,100,10
94.83423849717994,95,1
100.00000000000125,100,64
100.0000000000013,100,17
100.00000000000131,100,20
2.3329017970685393,2,1
100.00000000000134,100,14
41.54133119460716,42,1
100.00000000000115,100,7
0.15616389581321,0,1
2.7056635095447934,3,1
100.00000000000114,100,35
1.3657686470121606,1,1
96.39572920252093,96,1
100.00000000000118,100,6
100.0000000000012,100,24
100.00000000000122,100,11
100.00000000000104,100,3
100.00000000000102,100,10
100.00000000000107,100,30
100.0000000000011,100,16
70.85098791832647,71,1
1.1706231765580843,1,1
100.00000000000111,100,29
100.00000000000091,100,22
100.00000000000095,100,28
0.31505446360149114,0,1
100.00000000000094,100,25
100.00000000000098,100,38
25.381329815882992,25,1
100.000000000001,100,11
100.0000000000017,100,40
100.00000000000175,100,9
100.00000000000173,100,9
100.00000000000178,100,25
0.43682715135704003,0,1
100.0000000000018,100,35
2.9124327464386,3,1
0.34506711306751503,0,1
0.2398759585628991,0,1
98.17256905541738,98,1
100.00000000000159,100,2
100.00000000000162,100,39
100.00000000000166,100,11
100.00000000000165,100,9
0.3415498674653129,0,1
100.00000000000169,100,8
100.00000000000149,100,10
50.807192480399685,51,1
98.14862722514285,98,1
14.203671423946915,14,1
100.0000000000015,100,2
100.00000000000155,100,39
58.09435796290856,58,1
100.00000000000153,100,22
100.00000000000158,100,22
72.62106711693764,73,1
100.00000000000138,100,6
76.55073732779627,77,1
90.66745030826006,91,1
89.88622135308513,90,1
100.00000000000139,100,20
100.00000000000142,100,15
100.00000000000146,100,16
100.00000000000145,100,23
1.3554,1,1
100.00000000000036,100,17
59.26967259357323,59,1
1.3017100925550407,1,1
100.00000000000038,100,16
100.0000000000004,100,16
0.031099747506088824,0,1
100.00000000000044,100,18
1.4115901626134117,1,1
100.00000000000043,100,31
100.00000000000024,100,1
100.00000000000023,100,22
0.25599047023399385,0,1
37.79361690527094,38,1
100.00000000000027,100,16
0.5028831795980143,1,1
0.19327231170958933,0,1
1.9774743149577871,2,1
100.00000000000028,100,3
0.11032833715861434,0,1
0.9376955693941721,1,1
0.03597877198914683,0,1
100.00000000000033,100,3
100.00000000000031,100,19
100.00000000000013,100,7
100.00000000000011,100,9
0.601903061168062,1,1
100.00000000000016,100,11
0.06800595088640826,0,1
0.08026443113772454,0,1
1.7018931557588564,2,1
100.00000000000017,100,24
100.0000000000002,100,18
86.3850423338015,86,1
100.0,100,142620
100.00000000000004,100,55
83.52903000638425,84,1
100.00000000000003,100,7190
100.00000000000007,100,12
3.456171546011554,3,1
83.61851747676627,84,1
100.0000000000008,100,17
100.00000000000084,100,33
100.00000000000082,100,14
100.00000000000087,100,3
34.76178072819004,35,1
97.04308481038683,97,1
100.00000000000088,100,2
94.99313710997107,95,1
100.00000000000068,100,15
100.00000000000071,100,1
100.00000000000075,100,18
100.00000000000074,100,21
3.994372610288857,4,1
100.00000000000078,100,12
100.00000000000058,100,1
71.83346139719305,72,1
94.64977574443289,95,1
100.0000000000006,100,7
86.59082293085176,87,1
100.00000000000064,100,9
100.00000000000063,100,15
100.00000000000067,100,14
100.00000000000047,100,9
29.290922716408645,29,1
100.00000000000048,100,20
0.6116583007187895,1,1
100.00000000000051,100,15
100.00000000000055,100,19
100.00000000000054,100,1
0.45888606876379934,0,1
100.00000000000308,100,34
0.2728540406133444,0,1
100.00000000000307,100,31
100.00000000000311,100,1
100.00000000000313,100,3
88.97574575024527,89,1
100.00000000000317,100,42
100.00000000000315,100,22
13.441038196806085,13,1
100.00000000000297,100,4
100.00000000000296,100,8
100.000000000003,100,5
100.00000000000301,100,12
0.09925855303615479,0,1
0.12671163273660135,0,1
100.00000000000304,100,1
100.00000000000284,100,4
100.00000000000288,100,9
0.15983202522419532,0,1
90.29359017124946,90,1
100.00000000000287,100,18
72.63605479194433,73,1
63.42427443708855,63,1
100.00000000000291,100,3
0.08462400940708675,0,1
100.00000000000293,100,26
99.408680700966,99,1
97.55659655401713,98,1
100.00000000000273,100,8
13.851771523834493,14,1
100.00000000000277,100,28
100.00000000000276,100,13
33.154788259898865,33,1
99.2138830165462,99,1
14.948939529365596,15,1
100.00000000023563,100,2
100.0000000000028,100,4
87.67633218963348,88,1
0.965740511548492,1,1
100.00000000000281,100,4
100.00000000000352,100,5
100.00000000000355,100,1
100.0000000000036,100,6
64.92774646872267,65,1
1.0893934560592888,1,1
100.00000000000358,100,37
100.00000000000362,100,18
100.00000000000342,100,11
98.83709132119147,99,1
0.5372928663765009,1,1
0.32387750645008234,0,1
100.00000000000344,100,10
100.00000000000348,100,28
100.00000000000347,100,4
100.00000000000351,100,13
82.25527686755375,82,1
100.00000000000331,100,15
100.00000000000333,100,28
7.462804153360988,7,1
100.00000000000335,100,2
0.1358133089320378,0,2
0.8037115664016878,1,1
100.0000000000034,100,41
100.00000000000338,100,16
25.894922557229265,26,1
0.9765379792084752,1,1
100.00000000000323,100,11
77.15465974758608,77,1
45.08213995677505,45,1
100.00000000000324,100,43
0.054035308438188975,0,1
100.00000000000328,100,2
100.00000000000327,100,17
100.00000000000217,100,21
42.72868493377157,43,1
100.00000000000216,100,21
100.0000000000022,100,2
1.2302551245984128,1,1
100.00000000000226,100,2
0.7586992190057852,1,1
100.00000000000225,100,18
59.40052104914114,59,1
100.00000000000206,100,21
100.00000000000205,100,40
100.00000000000209,100,14
0.5961696350385441,1,1
9.233865052068566,9,1
0.2939911448987109,0,1
0.13832025495718453,0,1
100.0000000000021,100,5
0.6227813858051952,1,1
100.00000000000213,100,14
55.12732714487599,55,1
90.40738913668415,90,1
0.29905199141981714,0,1
56.54378552270385,57,1
100.00000000000193,100,17
0.3989523119969404,0,1
100.00000000000198,100,7
100.00000000000196,100,2
0.6677599412903935,1,1
100.000000000002,100,27
22.426409032728515,22,1
100.00000000000202,100,38
97.84990158676902,98,1
100.00000000000182,100,18
0.7600297330751263,1,1
100.00000000000186,100,8
100.00000000000185,100,2
100.00000000000189,100,20
71.1138591829213,71,1
32.49920349060469,32,1
100.0000000000019,100,49
100.00000000000261,100,11
100.00000000000264,100,11
70.13012988075435,70,1
100.00000000000269,100,1
100.00000000000267,100,7
100.00000000000271,100,3
1.1079070651360803,1,1
0.584579759703711,1,1
100.00000000000252,100,7
0.7677260452317157,1,1
100.00000000000253,100,2
100.00000000000257,100,19
0.2121907329173426,0,1
100.00000000000256,100,25
18.89230559970699,19,1
0.332387701906267,0,1
100.0000000000026,100,39
15.196430514703954,15,1
32.82105106434427,33,1
0.17648082723294628,0,1
100.0000000000024,100,16
100.00000000000242,100,5
100.00000000000246,100,26
100.00000000000244,100,22
29.63666239902944,30,1
100.00000000000249,100,5
0.7360885291252234,1,1
100.00000000000229,100,14
100.0000000000023,100,8
100.00000000000233,100,33
67.11488445593434,67,1
100.00000000000237,100,21
100.00000000000236,100,16
100.00000000000489,100,1
100.00000000000493,100,6
95.60331045721513,96,1
48.90269646059464,49,1
100.00000000000495,100,3
58.281044889193865,58,1
45.13760545576024,45,1
100.00000000000497,100,39
4.665297947035729,5,1
100.00000000000477,100,14
100.0000000000048,100,16
0.25400723321016866,0,1
100.00000000000485,100,3
75.16800027532608,75,1
100.00000000000486,100,33
0.744190516625618,1,1
100.00000000000466,100,25
93.42586472562141,93,1
100.00000000000469,100,26
100.00000000000473,100,17
93.2742480508441,93,1
93.89147428709256,94,1
100.00000000000475,100,12
1.2478286729635302,1,1
100.00000000000459,100,15
100.00000000000458,100,5
92.64628992832328,93,1
100.00000000000462,100,14
76.82310337950251,77,1
100.00000000000465,100,29
100.00000000000536,100,5
1.0872157981320585,1,1
100.00000000000537,100,3
100.00000000000541,100,2
51.21511157898262,51,1
100.0000000000054,100,17
100.00000000000544,100,12
30.602665585249163,31,1
98.84628319364738,99,1
100.00000000000524,100,7
90.9815565617071,91,1
100.00000000000526,100,12
2.737636337945203,3,1
0.5023416858781197,1,1
100.0000000000053,100,8
100.00000000000529,100,36
100.00000000000533,100,23
100.00000000000513,100,12
0.3396985146040072,0,1
100.00000000000514,100,24
100.00000000000517,100,12
1.1746855187156828,1,1
0.04275905504940883,0,1
100.00000000000522,100,40
100.0000000000052,100,4
0.451545769260991,0,1
100.00000000000502,100,12
0.30544768646914544,0,1
100.000000000005,100,26
100.00000000000504,100,2
0.8531606526622234,1,1
100.00000000000506,100,10
100.00000000000509,100,6
55.41075168723088,55,1
100.000000000004,100,21
64.51642990676957,65,1
100.00000000000398,100,36
100.00000000000402,100,29
12.549325678344395,13,1
100.00000000000404,100,19
0.33016465345262425,0,1
97.97206154092672,98,1
100.00000000000406,100,9
100.00000000000388,100,13
97.43647882935365,97,1
98.28640687109954,98,1
100.00000000000387,100,18
100.00000000000391,100,17
0.3414182361610893,0,1
100.00000000000395,100,30
71.6517962575274,72,1
100.00000000000375,100,13
74.81544786502874,75,1
96.70736392296055,97,1
100.0000000000038,100,23
100.00000000000378,100,12
97.7798969325529,98,1
100.00000000000382,100,37
100.00000000000384,100,13
78.93469064590472,79,1
100.00000000000364,100,15
32.622992524161795,33,1
100.00000000000368,100,4
100.00000000000367,100,47
100.00000000000371,100,1
0.5885588724541252,1,1
100.00000000000372,100,14
55.636786486212486,56,1
100.00000000000443,100,4
100.00000000000446,100,22
96.85158557476625,97,1
74.60566385494039,75,1
100.0000000000045,100,4
15.862832445223862,16,1
100.00000000000449,100,4
100.00000000000453,100,4
87.63579996429266,88,1
11.838764416335664,12,1
6.226714697276433,6,2
100.00000000000433,100,1
100.00000000000439,100,12
98.34192863710791,98,1
1.1894454242877657,1,1
96.43311156799281,96,1
82.679876818266,83,1
100.00000000000442,100,10
0.22899471484848669,0,1
100.00000000000422,100,7
10.901950663213333,11,1
41.054104749987005,41,1
100.00000000000423,100,9
2.4372991083894453,2,1
0.4349808350796612,0,1
100.00000000000426,100,15
100.0000000000043,100,15
100.00000000000429,100,17
100.0000000000041,100,3
30.234205608806082,30,1
100.00000000000409,100,3
100.00000000000414,100,37
100.00000000000415,100,3
2.3766538839079874,2,1
100.00000000000419,100,9
83.73064405209398,84,1
100.00000000000418,100,2
83.56123489318995,84,1
100.00000000000671,100,1
100.00000000000675,100,13
3.8880692455376473,4,1
100.00000000000678,100,35
100.00000000000679,100,3
100.0000000000066,100,1
100.00000000000664,100,2
100.00000000000662,100,16
100.00000000000666,100,2
0.29131776328847764,0,2
97.99008549371865,98,1
100.00000000000668,100,1
0.7193445129683498,1,1
100.00000000000648,100,5
77.87875291381037,78,1
100.00000000000652,100,8
100.00000000000651,100,1
100.00000000000655,100,8
89.15609476271806,89,1
79.64114916673243,80,1
53.99851695371284,54,1
100.00000000000637,100,11
0.3305611954064781,0,1
100.0000000000064,100,1
100.00000000000642,100,6
13.89524594396371,14,1
100.00000000000647,100,34
89.70246720647353,90,1
100.00000000000718,100,44
0.5003540913015162,1,1
1.704053916273069,2,1
0.6174769810107233,1,1
100.00000000000719,100,31
82.17806920452475,82,1
100.00000000000723,100,25
100.00000000000722,100,16
100.00000000000726,100,9
99.0883251557638,99,1
100.00000000000708,100,1
43.47183865834091,43,1
100.0000000000071,100,15
100.00000000000715,100,6
100.00000000000713,100,18
100.00000000000695,100,6
33.62468283999894,34,1
100.00000000000698,100,22
5.190278543502157,5,1
100.00000000000699,100,3
98.36603752988657,98,1
0.49252714521447766,0,1
30.57499437156956,31,1
0.42789670363810883,0,1
1.4804553656562465,1,1
0.20502743951159347,0,1
100.00000000000682,100,3
3.292993092759675,3,1
0.06980617872496873,0,1
100.00000000000686,100,1
0.5550321885248676,1,1
100.00000000000688,100,3
100.0000000000069,100,29
100.00000000000581,100,11
3.2325773616858595,3,1
100.0000000000058,100,11
2.6802100138450315,3,1
100.00000000000584,100,17
58.86312685842707,59,1
0.49252714521447816,0,1
30.411255074529898,30,1
12.672639802436167,13,1
100.00000000000568,100,5
41.349977441544645,41,1
0.8856361288034459,1,1
2.2763594880965075,2,1
0.42616885259578413,0,1
100.00000000000573,100,8
100.00000000000571,100,3
100.00000000000576,100,8
54.00548244076935,54,1
40.30744566245988,40,1
100.00000000000577,100,18
97.44405354746574,97,1
3.817913541200594,4,1
100.00000000000557,100,23
100.00000000000561,100,4
0.24199074593757294,0,1
100.0000000000056,100,18
100.00000000000564,100,1
100.00000000000566,100,6
100.00000000000546,100,20
1.1579076581087309,1,1
100.00000000000549,100,8
59.39641107754512,59,1
0.04096036556088427,0,1
59.39091899912755,59,1
100.00000000000553,100,13
50.032066211910994,50,1
100.00000000000551,100,1
100.00000000000556,100,1
100.00000000000627,100,11
100.00000000000628,100,1
10.872609503925228,11,1
100.00000000000631,100,25
100.00000000000635,100,7
0.1551970426772017,0,1
100.0000000000062,100,5
1.2471619808723888,1,1
32.854617026627146,33,1
100.00000000000624,100,1
22.239678897345705,22,1
100.00000000000604,100,14
96.12171241561278,96,1
85.73185146742969,86,1
100.00000000000608,100,27
100.00000000000612,100,10
100.00000000000611,100,23
100.00000000000593,100,4
100.00000000000591,100,33
100.00000000000595,100,7
97.76415209536007,98,1
100.00000000000597,100,13
100.00000000000601,100,2
60.31690916341107,60,1
100.000000000006,100,2
24.705051428571426,25,1
90.3598847813535,90,1
100.00000000000853,100,7
100.00000000000857,100,15
100.00000000000855,100,3
95.99228255888512,96,1
100.0000000000086,100,6
0.031122391510441494,0,1
91.16522205268582,91,1
98.06404795437561,98,1
8.705096455383787,9,1
0.7122310552331145,1,1
54.9148029520657,55,1
97.36477369875776,97,1
0.2234989013423788,0,1
100.00000000000846,100,2
100.00000000000844,100,1
45.06044224502646,45,1
66.9763074353615,67,1
100.0000000000085,100,8
0.44307488739064166,0,1
100.00000000000833,100,6
100.00000000000837,100,8
42.68955124829708,43,1
70.57363492836049,71,1
100.00000000000836,100,5
100.0000000000084,100,6
86.13231713362796,86,1
100.0000000000082,100,30
19.467422447526452,19,1
100.00000000000826,100,1
100.00000000000824,100,3
0.21574654369407356,0,1
100.00000000000828,100,4
2.6446185013288193,3,1
54.12078990346022,54,1
0.27687039877348507,0,1
80.23985652556439,80,1
100.00000000000901,100,5
96.71446166659983,97,1
1.597608207221898,2,1
100.00000000000904,100,9
100.00000000000907,100,9
55.43354988465777,55,1
100.00000000000888,100,1
0.2107155176325161,0,1
100.00000000000895,100,6
0.5476501305414164,1,1
100.00000000000877,100,20
100.00000000000875,100,5
100.00000000000881,100,9
100.00000000000885,100,1
100.00000000000884,100,3
100.00000000000864,100,2
10.875138961646728,11,1
100.00000000000868,100,3
0.041008983448661294,0,2
85.81212127229834,86,1
12.859395911367638,13,1
100.00000000000873,100,40
55.41729938863116,55,1
3.359609542198715,3,1
6.264414996535053,6,1
100.00000000000762,100,6
12.645707117840802,13,1
100.00000000000766,100,14
100.0000000000077,100,11
0.16992076170603282,0,1
100.00000000000755,100,4
100.00000000000753,100,5
100.00000000000757,100,2
0.35449944488750923,0,1
0.6199128435482159,1,1
100.00000000000759,100,2
100.00000000000739,100,6
0.32946284774970247,0,1
100.00000000000743,100,6
100.00000000000742,100,37
100.00000000000746,100,13
86.79278361637175,87,1
0.2140526308840491,0,1
100.00000000000749,100,2
0.17029753449460303,0,1
42.459175681688286,42,1
49.35840213377549,49,1
100.00000000000728,100,1
100.00000000000735,100,8
0.4082125464750789,0,1
100.00000000000733,100,35
100.00000000000738,100,1
96.48500905255202,96,1
0.1529248186438252,0,1
98.4027716639437,98,1
0.3673166980592408,0,1
97.09981340200319,97,1
100.0000000000081,100,2
89.35449405207805,89,1
100.00000000000814,100,8
100.00000000000813,100,1
100.00000000000817,100,4
0.5473840994659757,1,1
16.68610657513252,17,1
100.00000000000797,100,15
69.05190197202973,69,1
100.00000000000799,100,5
0.25920392485438265,0,1
100.00000000000801,100,2
0.06426027457706324,0,1
100.00000000000804,100,40
100.00000000000784,100,3
100.00000000000789,100,1
0.2888504093795675,0,1
100.0000000000079,100,1
26.228456357295343,26,1
36.06344767451719,36,1
100.00000000000794,100,4
100.00000000000793,100,8
100.00000000000774,100,4
0.632284933816528,1,1
100.00000000001035,100,1
1.6599248212500102,2,1
72.16830619290435,72,1
100.00000000001037,100,23
0.22380564537487513,0,1
100.00000000001023,100,27
100.00000000001027,100,8
5.871712969102454,6,1
100.00000000001033,100,7
5.1954265279743606,5,1
0.11008535587811563,0,1
100.00000000001015,100,1
100.00000000001019,100,1
100.00000000047584,100,9
100.00000000001022,100,17
46.390585329034536,46,1
74.3069213112181,74,1
100.00000000001003,100,13
100.00000000001008,100,9
6.705835288778905,7,1
100.00000000001006,100,1
100.0000000000101,100,1
100.00000000001081,100,1
0.9056828507881395,1,1
0.22842021510340865,0,1
100.00000000001083,100,11
88.08690451650378,88,1
100.0000000000109,100,2
100.00000000001089,100,8
0.9086824208464277,1,1
20.229469354432517,20,1
100.00000000001073,100,5
100.00000000001074,100,8
100.00000000001079,100,6
100.00000000001077,100,17
50.83161102727605,51,1
0.5185413960283121,1,1
0.1781577281415661,0,1
100.00000000001057,100,1
100.00000000001063,100,2
90.78514989543154,91,1
98.11755453168767,98,1
100.00000000001046,100,11
11.057787934753993,11,1
100.0000000000105,100,1
2.144444230231449,2,1
100.00000000001049,100,4
0.236443436396626,0,1
100.00000000001053,100,1
2.6881945933102322,3,1
81.86616817626464,82,1
0.2921318254088903,0,1
54.36694585798426,54,1
22.30626770342131,22,1
100.00000000000944,100,13
95.51144569170935,96,1
100.00000000000948,100,15
0.15827040385487876,0,1
100.00000000000946,100,25
100.0000000000095,100,2
1.960846572576273,2,1
94.67654855408023,95,1
100.00000000000952,100,13
4.5435102904940425,5,1
0.4930712256234286,0,1
33.61200535156993,34,1
100.00000000000932,100,4
100.00000000000936,100,8
100.0000000000094,100,18
1.2519455666502959,1,1
100.00000000000941,100,14
0.4039534531046168,0,1
100.00000000000921,100,5
81.7642304651255,82,1
60.44056942240938,60,1
100.00000000000924,100,7
5.48014118004546,5,1
9.210631281917882,9,1
47.55978265541573,48,1
100.00000000000927,100,1
100.00000000000931,100,6
100.00000000000911,100,31
5.9378466989801435,6,1
100.00000000000912,100,1
100.00000000000917,100,35
100.00000000000915,100,21
4.207629485449778,4,1
100.0000000000092,100,2
7.358965891176123,7,1
100.0000000000099,100,5
99.99999999954426,100,1
24.124110409391715,24,1
100.00000000000995,100,8
98.61561742903538,99,1
0.9952802496469263,1,1
99.99999999977695,100,6
6.09891494318862,6,1
100.00000000000982,100,8
38.144809133626325,38,1
100.00000000000983,100,21
100.00000000000988,100,7
74.71212330624459,75,1
100.00000000000986,100,12
100.00000000000966,100,23
100.0000000000097,100,28
0.7891889535843952,1,1
82.65348611339903,83,1
14.56440429255387,15,1
0.4499342645890952,0,1
98.56401706067018,99,1
100.00000000000959,100,12
0.13079664875715924,0,1
0.664303723754497,1,1
98.89909876923318,99,1
100.00000000000963,100,8
84.98739484164352,85,1
100.00000000001216,100,14
100.00000000001221,100,13
11.144165206794842,11,1
100.00000000001224,100,1
68.75081252165792,69,1
100.00000000001225,100,11
100.00000000001205,100,1
100.00000000001208,100,12
0.7289512787997027,1,1
73.26306859804805,73,1
100.00000000001212,100,1
100.00000000001211,100,7
98.44576021520345,98,1
0.07801557880834728,0,1
100.00000000001195,100,2
22.226636598965396,22,1
1.0451564685605021,1,1
100.00000000001197,100,5
100.000000000012,100,2
100.00000000001184,100,1
0.34796226475278197,0,1
100.00000000001185,100,3
0.41510174464391575,0,1
5.828035540515112,6,1
100.00000000001192,100,8
100.00000000001263,100,9
0.28605344244322306,0,1
6.730246893071938,7,1
100.00000000001266,100,13
5.116331771269227,5,1
100.00000000001268,100,8
100.00000000001272,100,1
100.0000000000127,100,21
0.6430028502661875,1,1
100.0000000000125,100,3
100.00000000001255,100,16
98.29621762961072,98,1
98.89150876459001,99,1
0.0807650293793581,0,1
100.00000000001259,100,4
