hours,car,drive_transit,others,ride_hail,walk,walk_transit
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,0,0,0,0,0,0
4,0,0,0,0,0,0
5,0,0,0,0,0,0
6,0,0,0,0,0,0
7,2,0,0,0,0,0
8,1223,6,50,1,1,25
9,4456,24,21,14,8,97
10,2080,51,154,25,45,111
11,474,64,155,43,95,137
12,502,46,228,70,129,100
13,593,65,211,80,47,123
14,697,61,322,74,126,110
15,704,75,417,118,118,112
16,638,57,223,72,113,90
17,953,65,335,81,233,123
18,2633,59,436,103,131,131
19,2777,43,234,109,200,121
20,2010,26,114,47,215,74
21,1359,21,154,72,150,64
22,633,6,32,47,105,14
23,189,0,0,28,67,0
24,43,0,0,11,32,0
25,16,0,0,5,16,0
