timeOfDayInSeconds,personId,rideHailVehicleId,waitingTimeInSeconds
28381.0,201-2015000050024-092430,rideHailVehicle-201-2013000280546-136649,58.0
28854.0,1902-2015000839944-0110282,rideHailVehicle-1901-2014001213505-087724,9.0
28989.0,401-2012000651476-013077,rideHailVehicle-401-2015001304619-0120362,33.0
29064.0,1700-2015000884043-0111800,rideHailVehicle-1700-2015000884043-0111800,143.0
29917.0,1500-2014001061014-083651,rideHailVehicle-1902-2013000519245-042221,56.0
29435.0,201-2014001281447-088711,rideHailVehicle-201-2014001205505-087411,701.0
30976.0,700-2016001407958-1154494,rideHailVehicle-700-2016000029416-0125169,12.0
30963.0,300-2016001223046-0151997,rideHailVehicle-300-2012000903731-018299,29.0
31490.0,300-2016001223046-0151821,rideHailVehicle-300-2016000510160-1136725,33.0
31670.0,900-2013001348757-058065,rideHailVehicle-900-2013000479091-041486,34.0
31838.0,1500-2015001363337-0121824,rideHailVehicle-1500-2013000564255-143681,1.0
32092.0,900-2015000949415-0112930,rideHailVehicle-900-2014001166634-086084,54.0
32124.0,1600-2014001394187-090623,rideHailVehicle-1600-2014001394187-090590,37.0
31935.0,1500-2013000055922-030470,rideHailVehicle-1901-2014000119219-064089,251.0
32106.0,201-2016000420812-0134471,rideHailVehicle-201-2016000264178-0131049,145.0
33079.0,1700-2014000987574-081338,rideHailVehicle-1600-2012000566763-111488,33.0
33080.0,202-2015000458232-099774,rideHailVehicle-202-2012000311610-06146,39.0
33180.0,1105-2012000401040-38139,rideHailVehicle-1105-2015001283493-0120015,132.0
33510.0,100-2012000217991-04448,rideHailVehicle-100-2014000488669-071591,24.0
33546.0,500-2012000131467-02350,rideHailVehicle-401-2016001437406-0155382,69.0
33673.0,900-2016000116811-0127703,rideHailVehicle-900-2015000102574-093027,89.0
33819.0,1902-2015000087715-092867,rideHailVehicle-1902-2014000495145-072101,81.0
33822.0,700-2016001368397-0153977,rideHailVehicle-900-2016000327234-0132073,59.0
33819.0,1902-2015000087715-092834,rideHailVehicle-1902-2015000087715-092867,347.0
34088.0,1500-2016000012225-2124639,rideHailVehicle-1500-2016001216686-0151358,58.0
34134.0,202-2015000458232-099814,rideHailVehicle-202-2015000458232-099694,102.0
34157.0,900-2016000267720-0131236,rideHailVehicle-900-2015001314717-2120807,126.0
34257.0,1600-2013000438496-040821,rideHailVehicle-1600-2012000493995-010046,44.0
34803.0,300-2016000833173-0144672,rideHailVehicle-300-2013000419803-140057,28.0
34712.0,500-2016000905283-0146152,rideHailVehicle-500-2016001048510-0148334,33.0
34941.0,300-2013000570002-043798,rideHailVehicle-408-2015000759098-0105910,54.0
35017.0,1902-2015000839944-0110250,rideHailVehicle-1901-2016000614752-0139495,18.0
35091.0,100-2012000217991-04404,rideHailVehicle-100-2012000217991-04272,24.0
35450.0,700-2015000467368-099992,rideHailVehicle-700-2016000699058-0141668,72.0
35472.0,900-2013000056397-230630,rideHailVehicle-900-2016000772838-1143323,32.0
35580.0,300-2012001333257-026186,rideHailVehicle-300-2013000895447-149727,27.0
35656.0,10600-2016000905283-0146131,rideHailVehicle-10600-2013000902944-049996,43.0
35656.0,10600-2016000905283-0146190,rideHailVehicle-10600-2014000053367-062151,43.0
