hour,numPassengers,vkt
7,0,400.533
7,1,1060.415
8,0,4552.041
8,1,22150.553
9,0,7177.659
9,1,51225.54400000001
10,0,9575.204999999996
10,1,88042.80700000002
11,0,32001.864000000016
11,1,144706.30400000003
12,0,25519.082999999995
12,1,268247.0749999999
13,0,19337.519999999997
13,1,184299.05099999998
14,0,50038.17399999998
14,1,279379.6810000003
15,0,17734.505999999994
15,1,194019.26199999993
16,0,21523.904
16,1,188144.05499999993
17,0,28722.74199999999
17,1,257641.98199999996
18,0,32852.298
18,1,544750.3570000001
19,0,12555.731
19,1,228916.85
20,0,32295.186999999994
20,1,371761.8270000001
21,0,14680.857999999998
21,1,202328.6970000001
22,0,8009.531000000001
22,1,127943.859
23,0,2674.9179999999997
23,1,57378.465999999986
24,0,1745.724
24,1,52164.41699999999
