iterations,car,drive_transit,ride_hail,walk,walk_transit
0,22046,1281,1290,3843,5731
1,22004,1386,1258,3860,5876
2,21974,1380,1262,3822,6073
3,21980,1360,1266,3832,6085
4,21945,1445,1224,3834,6294
5,21983,1464,1200,3799,6213
6,22027,1448,1242,3628,6306
7,21878,1485,1210,3737,6685
8,21945,1520,1192,3701,6690
9,21948,1535,1242,3588,6635
10,21887,1543,1192,3714,6919
11,22013,1529,1224,3543,6647
12,22000,1597,1180,3570,6786
13,21994,1611,1130,3575,6823
14,21972,1632,1202,3494,6900
15,21993,1665,1180,3451,6947
16,22013,1623,1170,3464,6861
17,21951,1607,1162,3504,7120
18,21972,1645,1172,3497,7069
19,22032,1652,1180,3385,7039
20,21968,1670,1140,3428,7187
21,21887,1640,1116,3561,7413
22,22030,1677,1128,3412,7126
23,21990,1653,1156,3432,7188
24,21936,1704,1158,3429,7326
25,21960,1716,1136,3434,7304
26,22056,1734,1126,3317,7233
27,21959,1707,1132,3405,7387
28,21941,1730,1130,3388,7406
29,21947,1715,1100,3411,7546
30,21945,1745,1090,3441,7638
31,21991,1708,1100,3418,7622
32,21927,1774,1102,3388,7641
33,22045,1688,1134,3272,7487
34,21950,1731,1082,3414,7694
35,22006,1718,1110,3335,7520
36,21965,1756,1090,3385,7695
37,21920,1738,1116,3363,7662
38,22014,1699,1072,3376,7619
39,21975,1719,1108,3314,7667
40,22047,1762,1150,3241,7475
41,22013,1809,1092,3216,7688
42,21891,1793,1092,3343,7831
43,22020,1789,1116,3262,7733
44,21966,1790,1082,3351,7743
45,21970,1740,1136,3326,7831
46,22050,1804,1126,3130,7648
47,22016,1793,1110,3237,7675
48,21952,1802,1120,3291,7758
49,21993,1782,1108,3268,7698
50,21903,1786,1112,3332,7866
51,21933,1757,1048,3363,7906
52,21920,1787,1090,3331,7937
53,21980,1794,1090,3320,7778
54,22041,1771,1088,3206,7743
55,21968,1834,1046,3257,7862
56,22041,1841,1094,3213,7757
57,22084,1813,1082,3197,7718
58,21904,1822,1070,3359,8025
59,21988,1811,1062,3288,7874
60,22055,1765,1062,3263,7760
61,22014,1835,1064,3230,7864
62,21943,1883,1016,3307,7985
63,22003,1868,1022,3265,7834
64,21990,1829,1044,3243,7910
65,22016,1803,1052,3221,7895
66,22004,1843,1060,3235,7859
67,22011,1846,1026,3206,7822
68,22018,1861,1034,3229,7830
69,21878,1870,1074,3294,8136
70,21987,1810,1062,3237,8074
71,21994,1780,1060,3272,8017
72,21884,1798,1046,3367,8235
73,21996,1811,1024,3251,8054
74,21991,1819,1072,3232,7927
75,21988,1847,1020,3208,8020
76,21927,1834,1010,3284,8206
77,21949,1820,1032,3302,8065
78,21969,1813,1010,3337,8032
79,21990,1806,1050,3192,8078
80,21954,1845,1034,3246,8107
81,22009,1788,1070,3212,7937
82,21972,1847,1012,3286,8190
83,22003,1832,1032,3200,8000
84,21923,1854,1038,3240,8332
85,22056,1823,1054,3164,7948
86,21946,1826,1040,3291,8229
87,22021,1869,1024,3203,8010
88,21916,1841,1034,3242,8184
89,21973,1832,1012,3271,8137
90,22027,1815,1024,3204,8068
91,22034,1834,1040,3203,8013
92,21916,1890,998,3227,8230
93,22042,1913,1028,3125,7982
94,21979,1895,1042,3176,8056
95,22000,1877,980,3274,8198
96,21946,1841,1026,3205,8205
97,21937,1874,1012,3284,8195
98,21914,1930,1028,3206,8175
99,22024,1865,1018,3186,8117
100,21982,1813,1000,3264,8253
