ITERATION	avg. EXECUTED	avg. WORST	avg. AVG	avg. BEST
0	-2.8141879454902994	-3.6398374531291493	-2.3313195753257783	-1.5355202042102327
1	-2.7277254310858985	-3.7719209930777904	-2.405585626337511	-1.5132278794230904
2	-2.6012545306230166	-3.815077829062334	-2.46636715349836	-1.5092129313707205
3	-2.6021198360531588	-3.8857905974174956	-2.5282307730191818	-1.561795002573071
4	-2.6288437075242213	-3.939860803891265	-2.5837958858378114	-1.626516553615231
5	-2.772424947643287	-4.074049684690361	-2.6591477196777107	-1.685146262056178
6	-2.602307372849392	-4.128795591338481	-2.6740160382486935	-1.6958017487989572
7	-2.715889917582582	-4.191483424266989	-2.708634921954383	-1.6874787009706722
8	-2.709550746311612	-4.172836913605327	-2.7300885655215135	-1.7309447306343742
9	-2.6763107824600154	-4.20827568306216	-2.74580973928885	-1.7463486247996618
10	-2.7358117998331344	-4.335368135812985	-2.7741236025387677	-1.7506196594470134
11	-2.524899554089574	-4.205423659662518	-2.7240166117475306	-1.6857685605616823
12	-2.7047285199138504	-4.2264873606770985	-2.7432434052314423	-1.7240097009184137
13	-2.75781522410339	-4.288580712040491	-2.775462904454276	-1.777917969125392
14	-2.6987293503339056	-4.243565203104242	-2.7773252791664467	-1.7405580080530334
15	-2.542903040926244	-4.2206037220462616	-2.7730018297115113	-1.710278662745644
16	-2.5427787630522776	-4.2089213489395085	-2.773494534048325	-1.7398845375124343
17	-2.552121703719463	-4.241448908766167	-2.763550436031313	-1.7094952094714486
18	-2.529579124179982	-4.159148610661417	-2.735242303041371	-1.6779054060671366
19	-2.5116841742540714	-4.090960986524747	-2.729898663537381	-1.7540102537343996
20	-2.5707270623998912	-4.179914104622622	-2.7399463708004763	-1.685340537264927
21	-2.6308168910519547	-4.241548632660548	-2.7649900743606968	-1.680253353308075
22	-2.6468943741648707	-4.287922809050038	-2.7968157730198264	-1.707993999754383
23	-2.503506025733653	-4.241552567931403	-2.778947821283455	-1.6659454183441824
24	-2.7078011302230123	-4.362350879131737	-2.81741756993768	-1.7182400167164489
25	-2.6270233676301613	-4.340470814783811	-2.8209531940048347	-1.6962109923400754
26	-2.6166259226772115	-4.297702046882196	-2.836207237460761	-1.7540238323341126
27	-2.6273201254304563	-4.389615298512214	-2.845946961887483	-1.7804307372327837
28	-2.6077816732783283	-4.350646840349157	-2.819225123755341	-1.7365698128652503
29	-2.544271549263123	-4.238935200039551	-2.800796028640929	-1.706471994050822
30	-2.493586287321502	-4.240810560972231	-2.7911583225086813	-1.7440950397902644
31	-2.5897158807735767	-4.186835136585673	-2.7886550596413935	-1.769009713117995
32	-2.7130683247376606	-4.2858554948114955	-2.8248549581876343	-1.7853502023371164
33	-2.5840491584169456	-4.260086378857595	-2.8050702355843278	-1.7229994358501168
34	-2.6117624272110724	-4.249138473091803	-2.803710987723964	-1.7277974949278276
35	-2.626155732351754	-4.351368533944474	-2.8224470655065916	-1.7391465324355253
36	-2.5830772854559303	-4.305764063103736	-2.810673929584769	-1.7535982749010832
37	-2.65149664055943	-4.409884367721354	-2.8085256544296238	-1.710415323654695
38	-2.4768676603279043	-4.170432940563526	-2.7533324237350913	-1.7166306293455385
39	-2.4183392129561034	-4.096952033949633	-2.722083839135799	-1.658954010694027
40	-2.5224446700851066	-4.178107213918112	-2.731331008721728	-1.675132218377735
41	-2.4396869868395252	-4.119986344565133	-2.7145119622637783	-1.66301875692853
42	-2.5311609747241643	-4.2649796055801	-2.7145401582725466	-1.6075313982107808
43	-2.459704875484505	-4.119959398155484	-2.6961148987772785	-1.6724304455381238
44	-2.635837659318675	-4.249659049461243	-2.741246653200622	-1.6702061108843624
