Iteration	BEGIN iteration	BEGIN iterationStartsListeners	END iterationStartsListeners	BEGIN replanning	END replanning	BEGIN beforeMobsimListeners	BEGIN dump all plans	END dump all plans	END beforeMobsimListeners	BEGIN mobsim	END mobsim	BEGIN afterMobsimListeners	END afterMobsimListeners	BEGIN scoring	END scoring	BEGIN iterationEndsListeners	END iterationEndsListeners	END iteration		iterationStartsListeners	replanning	dump all plans	beforeMobsimListeners	mobsim	afterMobsimListeners	scoring	iterationEndsListeners	iteration
0	19:46:03	19:46:03	19:46:03			19:46:03	19:46:03	19:46:05	19:46:05	19:46:05	19:46:40	19:46:40	19:46:40	19:46:40	19:46:40	19:46:40	19:46:46	19:46:46		00:00:00		00:00:01	00:00:01	00:00:34	00:00:00	00:00:00	00:00:06	00:00:43
1	19:46:46	19:46:46	19:46:47	19:46:47	19:46:47	19:46:47	19:46:47	19:46:49	19:46:49	19:46:49	19:47:17	19:47:17	19:47:17	19:47:17	19:47:17	19:47:17	19:47:23	19:47:23		00:00:00	00:00:00	00:00:01	00:00:01	00:00:27	00:00:00	00:00:00	00:00:06	00:00:36
2	19:47:23	19:47:23	19:47:23	19:47:23	19:47:23	19:47:23	19:47:23	19:47:25	19:47:25	19:47:25	19:47:52	19:47:52	19:47:52	19:47:52	19:47:53	19:47:53	19:47:59	19:47:59		00:00:00	00:00:00	00:00:01	00:00:01	00:00:27	00:00:00	00:00:00	00:00:06	00:00:35
3	19:47:59	19:47:59	19:47:59	19:47:59	19:47:59	19:47:59	19:47:59	19:48:01	19:48:01	19:48:01	19:48:28	19:48:28	19:48:28	19:48:28	19:48:28	19:48:28	19:48:34	19:48:34		00:00:00	00:00:00	00:00:01	00:00:01	00:00:26	00:00:00	00:00:00	00:00:06	00:00:35
4	19:48:34	19:48:34	19:48:35	19:48:35	19:48:35	19:48:35	19:48:35	19:48:36	19:48:36	19:48:36	19:49:07	19:49:07	19:49:07	19:49:07	19:49:07	19:49:07	19:49:15	19:49:15		00:00:00	00:00:00	00:00:01	00:00:01	00:00:30	00:00:00	00:00:00	00:00:07	00:00:40
5	19:49:15	19:49:15	19:49:15	19:49:15	19:49:15	19:49:15	19:49:15	19:49:17	19:49:18	19:49:18	19:49:53	19:49:53	19:49:53	19:49:53	19:49:53	19:49:53	19:50:00	19:50:00		00:00:00	00:00:00	00:00:02	00:00:02	00:00:35	00:00:00	00:00:00	00:00:06	00:00:45
6	19:50:00	19:50:00	19:50:00	19:50:00	19:50:00	19:50:00	19:50:00	19:50:02	19:50:02	19:50:02	19:50:43	19:50:43	19:50:43	19:50:43	19:50:44	19:50:44	19:50:51	19:50:51		00:00:00	00:00:00	00:00:01	00:00:01	00:00:41	00:00:00	00:00:00	00:00:07	00:00:50
7	19:50:51	19:50:51	19:50:51	19:50:51	19:50:52	19:50:52	19:50:52	19:50:53	19:50:53	19:50:53	19:51:31	19:51:31	19:51:31	19:51:31	19:51:31	19:51:31	19:51:38	19:51:38		00:00:00	00:00:00	00:00:01	00:00:01	00:00:37	00:00:00	00:00:00	00:00:07	00:00:47
8	19:51:38	19:51:38	19:51:38	19:51:38	19:51:39	19:51:39	19:51:39	19:51:40	19:51:40	19:51:40	19:52:17	19:52:17	19:52:17	19:52:17	19:52:17	19:52:17	19:52:24	19:52:24		00:00:00	00:00:00	00:00:01	00:00:01	00:00:36	00:00:00	00:00:00	00:00:06	00:00:45
9	19:52:24	19:52:24	19:52:24	19:52:24	19:52:24	19:52:24	19:52:24	19:52:26	19:52:26	19:52:26	19:53:02	19:53:02	19:53:02	19:53:02	19:53:02	19:53:02	19:53:09	19:53:09		00:00:00	00:00:00	00:00:01	00:00:01	00:00:36	00:00:00	00:00:00	00:00:06	00:00:45
10	19:53:09	19:53:09	19:53:10	19:53:10	19:53:10	19:53:10	19:53:10	19:53:11	19:53:11	19:53:11	19:53:47	19:53:47	19:53:47	19:53:47	19:53:47	19:53:47	19:53:55	19:53:55		00:00:00	00:00:00	00:00:01	00:00:01	00:00:36	00:00:00	00:00:00	00:00:07	00:00:45
11	19:53:55	19:53:55	19:53:55	19:53:55	19:53:55	19:53:55	19:53:55	19:53:57	19:53:57	19:53:57	19:54:32	19:54:32	19:54:32	19:54:32	19:54:32	19:54:32	19:54:39	19:54:39		00:00:00	00:00:00	00:00:01	00:00:01	00:00:34	00:00:00	00:00:00	00:00:06	00:00:43
12	19:54:39	19:54:39	19:54:39	19:54:39	19:54:39	19:54:39	19:54:39	19:54:41	19:54:41	19:54:41	19:55:16	19:55:16	19:55:16	19:55:16	19:55:16	19:55:16	19:55:23	19:55:23		00:00:00	00:00:00	00:00:01	00:00:01	00:00:34	00:00:00	00:00:00	00:00:06	00:00:44
13	19:55:23	19:55:23	19:55:23	19:55:23	19:55:23	19:55:23	19:55:23	19:55:25	19:55:25	19:55:25	19:55:59	19:55:59	19:55:59	19:55:59	19:55:59	19:55:59	19:56:07	19:56:07		00:00:00	00:00:00	00:00:01	00:00:01	00:00:34	00:00:00	00:00:00	00:00:07	00:00:43
14	19:56:07	19:56:07	19:56:07	19:56:07	19:56:07	19:56:07	19:56:07	19:56:09	19:56:09	19:56:09	19:56:43	19:56:43	19:56:43	19:56:43	19:56:44	19:56:44	19:56:51	19:56:51		00:00:00	00:00:00	00:00:01	00:00:01	00:00:34	00:00:00	00:00:00	00:00:07	00:00:43
15	19:56:51	19:56:51	19:56:51	19:56:51	19:56:51	19:56:51	19:56:51	19:56:53	19:56:53	19:56:53	19:57:28	19:57:28	19:57:28	19:57:28	19:57:28	19:57:28	19:57:35	19:57:35		00:00:00	00:00:00	00:00:01	00:00:01	00:00:34	00:00:00	00:00:00	00:00:07	00:00:44
16	19:57:35	19:57:35	19:57:35	19:57:35	19:57:36	19:57:36	19:57:36	19:57:37	19:57:37	19:57:37	19:58:11	19:58:11	19:58:11	19:58:11	19:58:11	19:58:11	19:58:19	19:58:19		00:00:00	00:00:00	00:00:01	00:00:01	00:00:34	00:00:00	00:00:00	00:00:07	00:00:43
17	19:58:19	19:58:19	19:58:19	19:58:19	19:58:19	19:58:19	19:58:19	19:58:21	19:58:21	19:58:21	19:58:55	19:58:55	19:58:55	19:58:55	19:58:55	19:58:55	19:59:03	19:59:03		00:00:00	00:00:00	00:00:01	00:00:01	00:00:34	00:00:00	00:00:00	00:00:07	00:00:43
18	19:59:03	19:59:03	19:59:03	19:59:03	19:59:03	19:59:03	19:59:03	19:59:05	19:59:05	19:59:05	19:59:39	19:59:39	19:59:39	19:59:39	19:59:40	19:59:40	19:59:47	19:59:47		00:00:00	00:00:00	00:00:01	00:00:01	00:00:34	00:00:00	00:00:00	00:00:07	00:00:44
19	19:59:47	19:59:47	19:59:47	19:59:47	19:59:47	19:59:47	19:59:47	19:59:49	19:59:49	19:59:49	20:00:22	20:00:22	20:00:22	20:00:22	20:00:23	20:00:23	20:00:30	20:00:30		00:00:00	00:00:00	00:00:01	00:00:01	00:00:33	00:00:00	00:00:00	00:00:07	00:00:43
20	20:00:30	20:00:30	20:00:31	20:00:31	20:00:31	20:00:31	20:00:31	20:00:32	20:00:32	20:00:32	20:01:07	20:01:07	20:01:07	20:01:07	20:01:07	20:01:07	20:01:15	20:01:15		00:00:00	00:00:00	00:00:01	00:00:01	00:00:34	00:00:00	00:00:00	00:00:07	00:00:44
21	20:01:15	20:01:15	20:01:15	20:01:15	20:01:15	20:01:15	20:01:15	20:01:17	20:01:17	20:01:17	20:01:51	20:01:51	20:01:51	20:01:51	20:01:51	20:01:51	20:01:58	20:01:58		00:00:00	00:00:00	00:00:01	00:00:01	00:00:33	00:00:00	00:00:00	00:00:07	00:00:43
22	20:01:59	20:01:59	20:01:59	20:01:59	20:01:59	20:01:59	20:01:59	20:02:01	20:02:01	20:02:01	20:02:35	20:02:35	20:02:35	20:02:35	20:02:36	20:02:36	20:02:43	20:02:43		00:00:00	00:00:00	00:00:01	00:00:01	00:00:34	00:00:00	00:00:00	00:00:07	00:00:44
