linkEfficiencyInPercentage,linkEfficiencyRounded,numberOfLinks
1.5910294529680629,2,1
94.22000315298776,94,1
0.2278485962999296,0,1
0.19529684047827706,0,1
0.35907012825740936,0,1
0.11191821904570436,0,1
0.5662294476394035,1,1
0.3013820882513184,0,1
0.35649133619299583,0,1
0.5338252984393007,1,1
0.3251984209870001,0,1
36.14009871709373,36,1
0.23198823498992185,0,1
5.292939006079919,5,1
0.30561644226129414,0,1
0.1561266742195626,0,1
1.0349573153192824,1,1
1.1814672565295357,1,1
0.03650691588785047,0,1
0.7294272632948564,1,1
86.28273355877941,86,1
0.014988618769432168,0,1
0.09903769957829585,0,1
0.7808790321052196,1,1
0.28068500194764046,0,1
0.59014178956083,1,1
0.48879637181704916,0,1
2.895712798798127,3,1
0.04128388774937937,0,1
1.0358002944118019,1,1
0.5397346180285111,1,1
4.093243527758221,4,1
0.06235301432669255,0,1
0.3829958888893086,0,1
1.2275828094318868,1,1
0.25051255388088783,0,1
3.3654312490721012,3,1
8.107027643144406,8,1
0.6617347221824906,1,1
88.13950546027876,88,1
0.14304771364050642,0,1
0.7499059752594903,1,1
0.41632658627302616,0,1
0.1681083478200893,0,1
1.765509731923994,2,1
0.7435699424187813,1,1
2.276406446264821,2,1
83.929861172,84,1
0.6901693458434148,1,1
0.6148237755949768,1,1
0.120832528132033,0,1
4.044490671693806,4,1
70.17579681709388,70,1
5.447189615579777,5,1
0.2227896568104135,0,1
3.607915877288479,4,1
0.5021536905820747,1,1
1.0489707692307693,1,1
0.8754048252323553,1,1
0.02158863991399788,0,1
0.255290568701314,0,1
6.855835321313138,7,1
6.6519771428571435,7,1
3.3977143009610513,3,1
0.6805801547229858,1,1
0.011927192641721684,0,1
2.7128641377621068,3,1
100.00000000023563,100,1
2.397126988246765,2,1
0.06383134333948864,0,1
0.2764931950352851,0,1
0.7156021646577445,1,1
39.79508404059277,40,1
0.37246279802589327,0,1
6.319901731554382,6,1
1.6130470590013917,2,1
0.22888916064405088,0,1
0.14800031765827865,0,1
0.1421538817362341,0,1
0.21101904592378673,0,1
0.020844984650660165,0,1
0.1358133089320378,0,2
0.041034789591185145,0,1
0.22091279020097868,0,1
0.1666966914942411,0,1
0.3189194523054702,0,1
0.12010362525458247,0,1
0.5263073684210525,1,2
1.1888465346534653,1,1
0.5441446533721652,1,1
0.11662947308897981,0,1
0.2664230628320669,0,1
14.014775386591655,14,1
1.1222663554778487,1,1
0.17044746966882815,0,1
0.49342705093896033,0,1
0.6017667983582972,1,1
0.9200422537268237,1,1
0.150598947508917,0,1
0.3393504999025993,0,1
0.2460673423924651,0,1
0.10183458864894616,0,1
0.4536905742935275,0,1
0.8044366099519097,1,1
0.03672979147778785,0,1
14.942615898755019,15,1
41.03544469071435,41,1
0.11585476254137406,0,1
0.6280006302286382,1,1
52.57656398360584,53,1
93.10863889657475,93,1
0.41118537257759114,0,1
4.002634841684672,4,1
2.60662319843961,3,1
0.5294139149754432,1,1
0.16179768963308852,0,1
0.06964026434541132,0,1
0.7016082629481424,1,1
0.01928560045160833,0,1
0.7438111587542979,1,1
0.4447008546661945,0,1
2.703769787663727,3,1
0.21670202831839763,0,1
0.15637258557746003,0,1
0.30170609425980044,0,1
0.7080789446934728,1,1
8.264448,8,1
5.0109836818602105,5,1
0.3520203733616641,0,1
15.844979447467612,16,1
0.14864666967625542,0,1
0.2657823837039513,0,1
2.5493635866323836,3,1
0.022342736842105262,0,1
0.18167408760799877,0,1
0.6513516705862366,1,1
0.042624853410790316,0,1
0.018776888888888888,0,1
1.413286676541216,1,1
0.26284057387479315,0,1
0.316811892091588,0,1
0.5860378606705224,1,1
5.107670652802042,5,1
0.33359598503600174,0,1
0.3079751663552188,0,1
0.09407756892651574,0,1
93.8459819123614,94,1
2.5985023611160485,3,1
0.14526179467868652,0,1
0.3779615614211918,0,1
0.31795410797087825,0,1
0.7531738997677968,1,1
0.13141752784722516,0,1
0.6671190135429749,1,1
1.3014442258464765,1,1
0.8588387826984454,1,1
97.54106879419372,98,1
0.5267059345497672,1,1
55.98324193986625,56,1
0.17924616815633965,0,1
0.038506161840093804,0,1
0.325066176109197,0,1
0.10730217991624418,0,1
0.23273681074291852,0,1
0.5474510152546358,1,1
0.2730642347985224,0,1
0.19391427312574358,0,1
98.82939642866022,99,1
0.7386638231786782,1,1
1.4942975146889763,1,1
2.961021293045612,3,1
0.45041304199305265,0,1
0.3962141295684191,0,1
0.641022341478339,1,1
0.10831466962929073,0,1
0.06336884598508118,0,1
2.105912901643523,2,1
0.34141978079875407,0,1
0.7129283456849039,1,1
0.937021633639501,1,1
0.23595973658341293,0,2
0.27337140759677664,0,1
0.2510102703520162,0,1
0.07005644959462737,0,1
85.61630634145179,86,1
6.226714697276379,6,1
0.3912974461901068,0,1
0.23077789389297018,0,1
83.82386911049596,84,1
0.7949233464813604,1,1
14.950792325183635,15,1
2.325198588628622,2,1
0.4393806041678642,0,1
0.9942140433710998,1,1
