hours,car,drive_transit,others,ride_hail,walk,walk_transit
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,0,0,0,0,0,0
4,0,0,0,0,0,0
5,0,0,0,0,0,0
6,0,0,0,0,0,0
7,6,0,0,0,0,0
8,1628,3,0,3,2,0
9,5428,43,2,26,22,25
10,1118,2,15,48,115,24
11,414,2,7,119,122,46
12,630,1,1,109,142,81
13,674,8,10,165,214,80
14,624,5,27,207,213,123
15,770,5,59,249,252,127
16,613,0,52,253,317,101
17,1159,2,81,255,225,95
18,3830,5,83,284,271,124
19,3789,5,85,213,285,119
20,1146,0,50,227,283,53
21,472,1,48,214,205,44
22,134,1,26,192,245,11
23,25,0,0,130,125,0
24,13,0,0,65,39,0
25,5,0,0,35,21,0
26,1,0,0,5,1,0
27,0,0,0,1,1,0
28,1,0,0,0,0,0
29,0,0,0,0,0,0
30,2,0,0,0,0,0
