timeOfDayInSeconds,personId,rideHailVehicleId,waitingTimeInSeconds
26769.0,10103-2012000156497-02827,rideHailVehicle-1105-2016001257783-0153062,19.0
27652.0,1901-2012001118760-022784,rideHailVehicle-1901-2015001504336-0124294,21.0
28710.0,10600-2014000159546-165190,rideHailVehicle-10600-2014000878931-079159,268.0
29121.0,201-2012000633457-012610,rideHailVehicle-201-2015000850269-0110475,5.0
29523.0,500-2016000510160-0136587,rideHailVehicle-500-2016000510160-0136733,58.0
29587.0,1200-2014000585174-274404,rideHailVehicle-1200-2012001047732-020997,43.0
29630.0,1200-2014000585174-274293,rideHailVehicle-1200-2014000585174-274404,43.0
29842.0,401-2016000819398-0144328,rideHailVehicle-1700-2014000119219-064083,40.0
29941.0,1500-2016000836708-0144901,rideHailVehicle-10600-2016000275343-0131491,32.0
30247.0,10600-2013001200076-055611,rideHailVehicle-1200-2015000459678-099874,23.0
30451.0,100-2016000295788-0131916,rideHailVehicle-202-2012001341891-026284,68.0
30609.0,900-2015000949415-0112930,rideHailVehicle-202-2012000311610-06146,30.0
30636.0,600-2016000116811-0127697,rideHailVehicle-1600-2015000884043-0111799,23.0
30726.0,201-2012000633457-012637,rideHailVehicle-201-2012000409645-08664,55.0
30751.0,500-2013000620807-045230,rideHailVehicle-500-2015001325357-0121424,58.0
30784.0,500-2015001311731-0120566,rideHailVehicle-500-2016001459467-0156283,58.0
30811.0,100-2016000012225-1124677,rideHailVehicle-300-2012000816252-016169,101.0
30801.0,1700-2014000987574-081224,rideHailVehicle-1700-2014000987574-081224,65.0
30976.0,900-2012000156497-02804,rideHailVehicle-900-2012000354056-07207,58.0
31170.0,1700-2014000987574-081338,rideHailVehicle-1700-2014000987574-081186,163.0
31350.0,100-2016000295788-0131854,rideHailVehicle-100-2016000295788-0131916,48.0
31472.0,1101-2012000198633-14101,rideHailVehicle-1500-2015000538774-0100816,145.0
31596.0,600-2016000116811-0127824,rideHailVehicle-600-2015000018888-091744,23.0
31793.0,401-2016000086561-0126802,rideHailVehicle-500-2016000607896-1139226,40.0
31894.0,1500-2014000630646-075182,rideHailVehicle-600-2014000987574-081210,8.0
32022.0,900-2016000116811-0127703,rideHailVehicle-900-2015000102574-093027,67.0
32111.0,300-2016001223046-0151821,rideHailVehicle-300-2016000510160-1136506,43.0
32317.0,300-2012000401040-08308,rideHailVehicle-100-2016000364640-0132707,55.0
32142.0,1500-2016000333866-0132249,rideHailVehicle-1500-2016000393167-0133437,327.0
32861.0,700-2015000981503-0113762,rideHailVehicle-700-2013000636360-045389,92.0
33044.0,100-2012000217991-04404,rideHailVehicle-100-2012000217991-04360,71.0
33172.0,700-2016001368397-0153977,rideHailVehicle-900-2016000327234-0132073,38.0
33226.0,1002-2015000712347-1104981,rideHailVehicle-1200-2013000509270-042042,14.0
33372.0,300-2016001223046-0151997,rideHailVehicle-300-2012001254838-024610,23.0
33401.0,100-2012000217991-04448,rideHailVehicle-100-2014000032166-061428,108.0
33598.0,700-2016001091548-1148901,rideHailVehicle-500-2016001459467-0156283,20.0
33550.0,10600-2014001194700-087287,rideHailVehicle-10600-2014001194700-087287,58.0
33805.0,201-2016000420812-0134503,rideHailVehicle-201-2014001183852-086905,157.0
33850.0,300-2012001333257-026146,rideHailVehicle-300-2013000895447-149727,27.0
33926.0,900-2013000663889-045981,rideHailVehicle-900-2016001399217-0154264,12.0
33994.0,300-2012001333257-026186,rideHailVehicle-300-2012000672671-013628,44.0
33958.0,300-2014001079600-084140,rideHailVehicle-300-2014000031594-061358,27.0
33983.0,900-2012000156497-02880,rideHailVehicle-900-2013000485454-041572,235.0
