hour,numPassengers,vkt
7,0,0.047
7,1,6623.728000000001
8,0,2493.783
8,1,52825.225999999995
9,0,7567.157999999999
9,1,98404.099
10,0,17000.301
10,1,346025.74600000004
11,0,33170.993
11,1,372700.8630000002
12,0,34313.887
12,1,455356.27000000025
13,0,58264.246999999996
13,1,666070.259
14,0,71592.05099999998
14,1,957874.1389999993
15,0,66098.60799999995
15,1,930413.1489999992
16,0,80485.53699999998
16,1,864684.7299999992
17,0,60752.92799999999
17,1,1141770.692000001
18,0,57817.39700000003
18,1,1581988.9770000002
19,0,73833.53599999998
19,1,1324727.5009999988
20,0,72734.17199999993
20,1,1293388.3020000004
21,0,52354.67999999996
21,1,1263721.8929999995
22,0,63251.58900000002
22,1,1381898.1860000007
23,0,20667.548999999995
23,1,719915.4910000004
24,0,41085.626000000004
24,1,384255.4029999999
25,0,12660.764000000001
25,1,67823.459
26,0,759.004
26,1,42755.733
