,PID,Activity_ID,Activity_Type,Start_time,End_time
0,100-2012000131467-02126,100-2012000131467-02126_a-1,Home,,08:55:09
1,100-2012000131467-02126,100-2012000131467-02126_a-2,Work,09:10:55,20:42:00
2,100-2012000131467-02126,100-2012000131467-02126_a-3,Home,20:59:23,
3,100-2012000131467-02169,100-2012000131467-02169_a-1,Home,,09:02:08
4,100-2012000131467-02169,100-2012000131467-02169_a-2,Work,09:23:17,20:55:09
5,100-2012000131467-02169,100-2012000131467-02169_a-3,Home,21:13:38,
6,100-2012000131467-02212,100-2012000131467-02212_a-1,Home,,10:28:59
7,100-2012000131467-02212,100-2012000131467-02212_a-2,Work,10:37:13,23:49:38
8,100-2012000131467-02212,100-2012000131467-02212_a-3,Home,23:57:40,
9,100-2012000131467-02255,100-2012000131467-02255_a-1,Home,,08:07:27
10,100-2012000131467-02255,100-2012000131467-02255_a-2,Work,08:23:18,17:42:35
11,100-2012000131467-02255,100-2012000131467-02255_a-3,Home,18:02:47,
12,100-2012000131467-02298,100-2012000131467-02298_a-1,Home,,14:06:43
13,100-2012000131467-02298,100-2012000131467-02298_a-2,Secondary,14:13:25,17:42:50
14,100-2012000131467-02298,100-2012000131467-02298_a-3,Home,17:50:54,
15,100-2012000131467-02341,100-2012000131467-02341_a-1,Home,,10:54:08
16,100-2012000131467-02341,100-2012000131467-02341_a-2,Secondary,11:55:47,13:30:36
17,100-2012000131467-02341,100-2012000131467-02341_a-3,Home,14:15:05,
18,100-2012000131467-02384,100-2012000131467-02384_a-1,Home,,10:54:08
19,100-2012000131467-02384,100-2012000131467-02384_a-2,Secondary,13:22:03,13:29:16
20,100-2012000131467-02384,100-2012000131467-02384_a-3,Home,14:47:02,
21,100-2012000131467-02427,100-2012000131467-02427_a-1,Home,,14:19:26
22,100-2012000131467-02427,100-2012000131467-02427_a-2,Secondary,14:45:32,17:33:07
23,100-2012000131467-02427,100-2012000131467-02427_a-3,Home,17:56:19,
24,100-2012000131467-02470,100-2012000131467-02470_a-1,Home,,10:54:08
25,100-2012000131467-02470,100-2012000131467-02470_a-2,Secondary,11:55:47,13:30:36
26,100-2012000131467-02470,100-2012000131467-02470_a-3,Home,15:38:04,
27,100-2012000131467-02513,100-2012000131467-02513_a-1,Home,,09:36:35
28,100-2012000131467-02513,100-2012000131467-02513_a-2,Secondary,09:48:20,13:46:55
29,100-2012000131467-02513,100-2012000131467-02513_a-3,Home,13:58:55,
30,100-2012000184824-03590,100-2012000184824-03590_a-1,Home,,09:27:23
31,100-2012000184824-03590,100-2012000184824-03590_a-2,Work,09:39:14,21:36:31
32,100-2012000184824-03590,100-2012000184824-03590_a-3,Home,21:46:37,
33,100-2012000217991-04272,100-2012000217991-04272_a-1,Home,,08:32:08
34,100-2012000217991-04272,100-2012000217991-04272_a-2,Work,08:32:19,19:13:05
35,100-2012000217991-04272,100-2012000217991-04272_a-3,Home,19:13:15,
36,100-2012000217991-04316,100-2012000217991-04316_a-1,Home,,08:51:50
37,100-2012000217991-04316,100-2012000217991-04316_a-2,Work,09:03:50,20:05:59
38,100-2012000217991-04316,100-2012000217991-04316_a-3,Home,20:19:45,
39,100-2012000217991-04360,100-2012000217991-04360_a-1,Home,,17:23:20
40,100-2012000217991-04360,100-2012000217991-04360_a-2,Secondary,17:41:19,19:43:17
41,100-2012000217991-04360,100-2012000217991-04360_a-3,Home,20:19:46,
42,100-2012000217991-04404,100-2012000217991-04404_a-1,Home,,09:45:15
43,100-2012000217991-04404,100-2012000217991-04404_a-2,Secondary,09:47:30,13:46:22
44,100-2012000217991-04404,100-2012000217991-04404_a-3,Home,13:47:09,
45,100-2012000217991-04448,100-2012000217991-04448_a-1,Home,,09:18:54
46,100-2012000217991-04448,100-2012000217991-04448_a-2,Secondary,09:20:22,12:25:10
47,100-2012000217991-04448,100-2012000217991-04448_a-3,Home,12:25:57,
48,100-2012000281261-05854,100-2012000281261-05854_a-1,Home,,11:14:15
49,100-2012000281261-05854,100-2012000281261-05854_a-2,Secondary,11:30:07,14:49:57
50,100-2012000281261-05854,100-2012000281261-05854_a-3,Home,15:07:21,
51,100-2012000325210-06178,100-2012000325210-06178_a-1,Home,,14:13:40
52,100-2012000325210-06178,100-2012000325210-06178_a-2,Secondary,14:31:20,17:25:38
53,100-2012000325210-06178,100-2012000325210-06178_a-3,Home,17:45:05,
54,100-2012000325210-06216,100-2012000325210-06216_a-1,Home,,10:03:14
55,100-2012000325210-06216,100-2012000325210-06216_a-2,Secondary,10:18:11,13:45:38
56,100-2012000325210-06216,100-2012000325210-06216_a-3,Home,13:58:11,
57,100-2012000353261-16791,100-2012000353261-16791_a-1,Home,,10:48:36
58,100-2012000353261-16791,100-2012000353261-16791_a-2,Secondary,11:02:31,13:41:32
59,100-2012000353261-16791,100-2012000353261-16791_a-3,Home,13:57:04,
60,100-2012000353261-16930,100-2012000353261-16930_a-1,Home,,09:34:22
61,100-2012000353261-16930,100-2012000353261-16930_a-2,Secondary,09:47:33,12:04:57
62,100-2012000353261-16930,100-2012000353261-16930_a-3,Home,12:14:59,
63,100-2012000353261-17069,100-2012000353261-17069_a-1,Home,,09:00:06
64,100-2012000353261-17069,100-2012000353261-17069_a-2,Work,09:31:47,19:13:42
65,100-2012000353261-17069,100-2012000353261-17069_a-3,Home,19:22:43,
66,100-2012000372616-07355,100-2012000372616-07355_a-1,Home,,08:36:37
67,100-2012000372616-07355,100-2012000372616-07355_a-2,Work,08:46:09,19:10:45
68,100-2012000372616-07355,100-2012000372616-07355_a-3,Home,19:24:53,
69,100-2012000372616-07386,100-2012000372616-07386_a-1,Home,,18:30:28
70,100-2012000372616-07386,100-2012000372616-07386_a-2,Secondary,18:58:01,22:31:23
71,100-2012000372616-07386,100-2012000372616-07386_a-3,Home,22:44:26,
72,100-2012000372616-07417,100-2012000372616-07417_a-1,Home,,17:36:53
73,100-2012000372616-07417,100-2012000372616-07417_a-2,Secondary,17:46:29,22:48:27
74,100-2012000372616-07417,100-2012000372616-07417_a-3,Home,22:57:19,
75,100-2012000372616-07448,100-2012000372616-07448_a-1,Home,,18:05:34
76,100-2012000372616-07448,100-2012000372616-07448_a-2,Secondary,18:37:07,21:13:58
77,100-2012000372616-07448,100-2012000372616-07448_a-3,Home,21:46:40,
78,100-2012000377937-07484,100-2012000377937-07484_a-1,Home,,08:13:17
79,100-2012000377937-07484,100-2012000377937-07484_a-2,Work,08:28:28,18:38:07
80,100-2012000377937-07484,100-2012000377937-07484_a-3,Home,18:57:27,
81,100-2012000420927-08766,100-2012000420927-08766_a-1,Home,,11:42:19
82,100-2012000420927-08766,100-2012000420927-08766_a-2,Secondary,12:03:56,15:04:50
83,100-2012000420927-08766,100-2012000420927-08766_a-3,Home,15:23:41,
84,100-2012000420927-08807,100-2012000420927-08807_a-1,Home,,08:39:18
85,100-2012000420927-08807,100-2012000420927-08807_a-2,Work,08:42:03,19:22:28
86,100-2012000420927-08807,100-2012000420927-08807_a-3,Home,19:30:00,
87,100-2012000420927-08848,100-2012000420927-08848_a-1,Home,,08:36:11
88,100-2012000420927-08848,100-2012000420927-08848_a-2,Work,08:39:50,19:50:28
89,100-2012000420927-08848,100-2012000420927-08848_a-3,Home,19:58:54,
90,100-2012000539363-010502,100-2012000539363-010502_a-1,Home,,09:03:33
91,100-2012000539363-010502,100-2012000539363-010502_a-2,Work,09:09:15,20:01:02
92,100-2012000539363-010502,100-2012000539363-010502_a-3,Home,20:07:52,
93,100-2012000539363-010545,100-2012000539363-010545_a-1,Home,,10:26:52
94,100-2012000539363-010545,100-2012000539363-010545_a-2,Secondary,10:36:24,14:17:39
95,100-2012000539363-010545,100-2012000539363-010545_a-3,Home,14:27:57,
96,100-2012000559396-010896,100-2012000559396-010896_a-1,Home,,17:29:19
97,100-2012000559396-010896,100-2012000559396-010896_a-2,Secondary,18:17:42,21:03:41
98,100-2012000559396-010896,100-2012000559396-010896_a-3,Home,21:59:44,
99,100-2012000559396-010949,100-2012000559396-010949_a-1,Home,,08:00:50
100,100-2012000559396-010949,100-2012000559396-010949_a-2,Work,08:14:55,17:26:16
101,100-2012000559396-010949,100-2012000559396-010949_a-3,Home,17:41:47,
102,100-2012000559396-011002,100-2012000559396-011002_a-1,Home,,14:48:18
103,100-2012000559396-011002,100-2012000559396-011002_a-2,Secondary,15:03:16,17:09:10
104,100-2012000559396-011002,100-2012000559396-011002_a-3,Home,17:24:08,
105,100-2012000559396-011055,100-2012000559396-011055_a-1,Home,,09:59:29
106,100-2012000559396-011055,100-2012000559396-011055_a-2,Secondary,10:07:55,13:27:37
107,100-2012000559396-011055,100-2012000559396-011055_a-3,Home,13:38:17,
108,100-2012000559396-011108,100-2012000559396-011108_a-1,Home,,18:06:00
109,100-2012000559396-011108,100-2012000559396-011108_a-2,Secondary,18:37:53,21:36:52
110,100-2012000559396-011108,100-2012000559396-011108_a-3,Home,22:09:47,
111,100-2012000559396-011161,100-2012000559396-011161_a-1,Home,,14:34:23
112,100-2012000559396-011161,100-2012000559396-011161_a-2,Secondary,15:13:20,17:13:05
113,100-2012000559396-011161,100-2012000559396-011161_a-3,Home,18:10:05,
114,100-2012000559396-011214,100-2012000559396-011214_a-1,Home,,14:23:19
115,100-2012000559396-011214,100-2012000559396-011214_a-2,Secondary,14:31:05,17:07:24
116,100-2012000559396-011214,100-2012000559396-011214_a-3,Home,17:17:13,
117,100-2012000559396-011267,100-2012000559396-011267_a-1,Home,,14:34:23
118,100-2012000559396-011267,100-2012000559396-011267_a-2,Secondary,15:07:20,17:13:05
119,100-2012000559396-011267,100-2012000559396-011267_a-3,Home,17:48:27,
120,100-2012000559396-011320,100-2012000559396-011320_a-1,Home,,14:34:23
121,100-2012000559396-011320,100-2012000559396-011320_a-2,Secondary,15:13:20,17:13:05
122,100-2012000559396-011320,100-2012000559396-011320_a-3,Home,18:10:05,
123,100-2012000672671-013595,100-2012000672671-013595_a-1,Home,,11:33:20
124,100-2012000672671-013595,100-2012000672671-013595_a-2,Secondary,11:55:34,15:56:53
125,100-2012000672671-013595,100-2012000672671-013595_a-3,Home,16:25:08,
126,100-2012000672671-013626,100-2012000672671-013626_a-1,Home,,09:41:55
127,100-2012000672671-013626,100-2012000672671-013626_a-2,Work,09:53:48,21:18:53
128,100-2012000672671-013626,100-2012000672671-013626_a-3,Home,21:31:36,
129,100-2012000672671-013657,100-2012000672671-013657_a-1,Home,,08:36:31
130,100-2012000672671-013657,100-2012000672671-013657_a-2,Work,08:56:40,18:56:36
131,100-2012000672671-013657,100-2012000672671-013657_a-3,Home,19:16:21,
132,100-2012000672671-013688,100-2012000672671-013688_a-1,Home,,10:54:51
133,100-2012000672671-013688,100-2012000672671-013688_a-2,Secondary,11:50:47,14:31:02
134,100-2012000672671-013688,100-2012000672671-013688_a-3,Home,15:42:01,
135,100-2012000711495-013915,100-2012000711495-013915_a-1,Home,,08:11:47
136,100-2012000711495-013915,100-2012000711495-013915_a-2,Work,08:17:42,18:52:52
137,100-2012000711495-013915,100-2012000711495-013915_a-3,Home,18:58:38,
138,100-2012000711495-013946,100-2012000711495-013946_a-1,Home,,08:43:03
139,100-2012000711495-013946,100-2012000711495-013946_a-2,Work,08:49:48,19:42:44
140,100-2012000711495-013946,100-2012000711495-013946_a-3,Home,19:50:35,
141,100-2012000711495-013977,100-2012000711495-013977_a-1,Home,,15:22:37
142,100-2012000711495-013977,100-2012000711495-013977_a-2,Secondary,15:58:08,18:57:10
