PID,Age,Sex,Home_X,Home_Y,excluded-modes,income,rank,valueOfTime,Household_ID,Household_num_vehicles,Household_income [$]
100-2012000131467-02126,60,F,683979.645562,4827445.595206499,,0.0,8,18.0,100-2012000131467-0,5,105903.0
100-2012000131467-02169,20,M,683979.645562,4827445.595206499,,689.0,0,18.0,100-2012000131467-0,5,105903.0
100-2012000131467-02212,24,F,683979.645562,4827445.595206499,,8410.0,6,18.0,100-2012000131467-0,5,105903.0
100-2012000131467-02255,23,F,683979.645562,4827445.595206499,,24898.0,2,18.0,100-2012000131467-0,5,105903.0
100-2012000131467-02298,27,M,683979.645562,4827445.595206499,,0.0,3,18.0,100-2012000131467-0,5,105903.0
100-2012000131467-02341,4,M,683979.645562,4827445.595206499,car,0.0,1,18.0,100-2012000131467-0,5,105903.0
100-2012000131467-02384,7,M,683979.645562,4827445.595206499,car,0.0,4,18.0,100-2012000131467-0,5,105903.0
100-2012000131467-02427,1,F,683979.645562,4827445.595206499,car,0.0,5,18.0,100-2012000131467-0,5,105903.0
100-2012000131467-02470,14,F,683979.645562,4827445.595206499,car,0.0,7,18.0,100-2012000131467-0,5,105903.0
100-2012000131467-02513,16,M,683979.645562,4827445.595206499,,0.0,9,18.0,100-2012000131467-0,5,105903.0
100-2012000184824-03590,68,F,682219.797983,4825860.848631499,,0.0,0,18.0,100-2012000184824-0,2,11627.0
100-2012000217991-04272,40,F,684754.265448,4828742.573873,,22695.0,1,18.0,100-2012000217991-0,5,65895.0
100-2012000217991-04316,46,M,684754.265448,4828742.573873,,34876.0,0,18.0,100-2012000217991-0,5,65895.0
100-2012000217991-04360,31,M,684754.265448,4828742.573873,,27676.0,4,18.0,100-2012000217991-0,5,65895.0
100-2012000217991-04404,11,M,684754.265448,4828742.573873,car,0.0,2,18.0,100-2012000217991-0,5,65895.0
100-2012000217991-04448,13,M,684754.265448,4828742.573873,car,0.0,3,18.0,100-2012000217991-0,5,65895.0
100-2012000281261-05854,55,M,683960.7368625,4828162.4762855,,70499.0,0,18.0,100-2012000281261-0,2,5980.0
100-2012000325210-06178,67,M,683960.7368625,4828162.4762855,,0.0,2,18.0,100-2012000325210-0,3,63412.0
100-2012000325210-06216,67,F,683960.7368625,4828162.4762855,,0.0,0,18.0,100-2012000325210-0,3,63412.0
100-2012000353261-16791,53,F,686074.3325390001,4828028.423146,,0.0,1,18.0,100-2012000353261-1,4,3327.0
100-2012000353261-16930,55,M,686230.8628819999,4827887.608369,,0.0,2,18.0,100-2012000353261-1,4,3327.0
100-2012000353261-17069,23,F,686230.8628819999,4827887.608369,,8584.0,0,18.0,100-2012000353261-1,4,3327.0
100-2012000372616-07355,36,F,683212.6881929999,4826099.558321,,43692.0,0,18.0,100-2012000372616-0,5,85292.0
100-2012000372616-07386,41,M,683212.6881929999,4826099.558321,,77374.0,2,18.0,100-2012000372616-0,5,85292.0
100-2012000372616-07417,4,M,683212.6881929999,4826099.558321,car,0.0,1,18.0,100-2012000372616-0,5,85292.0
100-2012000372616-07448,1,M,683212.6881929999,4826099.558321,car,0.0,4,18.0,100-2012000372616-0,5,85292.0
100-2012000377937-07484,29,M,681176.43693,4825892.848778,,19903.0,0,18.0,100-2012000377937-0,2,36190.0
100-2012000420927-08766,37,M,684837.717329,4827199.540049501,,60258.0,3,18.0,100-2012000420927-0,4,79020.0
100-2012000420927-08807,43,F,684530.0771995,4827060.6502205,,32709.0,1,18.0,100-2012000420927-0,4,79020.0
100-2012000420927-08848,23,M,684530.0771995,4827060.6502205,,4198.0,0,18.0,100-2012000420927-0,4,79020.0
100-2012000539363-010502,50,M,684997.416832,4827817.788275501,,37152.0,2,18.0,100-2012000539363-0,3,19830.0
100-2012000539363-010545,39,F,684997.416832,4827817.788275501,,32927.0,1,18.0,100-2012000539363-0,3,19830.0
100-2012000559396-010896,63,F,684196.6692615,4827302.4123595,,16569.0,6,18.0,100-2012000559396-0,5,89469.0
100-2012000559396-010949,21,F,684196.6692615,4827302.4123595,,29141.0,1,18.0,100-2012000559396-0,5,89469.0
100-2012000559396-011002,29,F,684196.6692615,4827302.4123595,,0.0,9,18.0,100-2012000559396-0,5,89469.0
100-2012000559396-011055,1,M,684196.6692615,4827302.4123595,car,0.0,3,18.0,100-2012000559396-0,5,89469.0
100-2012000559396-011108,1,F,684196.6692615,4827302.4123595,car,3341.0,5,18.0,100-2012000559396-0,5,89469.0
100-2012000559396-011161,13,F,684196.6692615,4827302.4123595,car,0.0,0,18.0,100-2012000559396-0,5,89469.0
100-2012000559396-011214,14,F,684196.6692615,4827302.4123595,car,0.0,2,18.0,100-2012000559396-0,5,89469.0
100-2012000559396-011267,3,M,684196.6692615,4827302.4123595,car,0.0,8,18.0,100-2012000559396-0,5,89469.0
