iteration #,revenue
0,45649.991666666654
1,96368.67499999987
2,96331.50000000023
3,96666.8833333333
4,86547.59999999986
5,84729.15833333343
6,79124.65833333343
7,75918.51666666678
8,73240.50833333329
9,71997.1666666667
10,66889.80833333326
11,66825.97499999996
12,65985.95000000003
13,65711.39166666663
14,62076.62499999999
15,59731.36666666666
16,57642.51666666661
17,58292.09999999991
18,58246.15000000003
19,55011.933333333385
20,56894.533333333355
21,55827.19166666673
22,53992.866666666654
23,51245.70833333328
24,53370.51666666661
25,50383.81666666672
26,52825.316666666615
27,47713.19166666666
28,48868.79166666666
29,49602.9333333333
30,46962.34166666665
31,46021.98333333332
32,46686.175000000105
33,47177.408333333304
34,44481.49166666666
35,43182.266666666634
36,44762.1166666666
37,43029.725000000006
38,43226.17500000006
39,42940.7
40,43671.9083333333
41,43399.283333333384
42,42267.21666666666
43,42833.59166666668
44,41861.96666666668
45,40323.94166666664
46,40321.725000000064
47,41436.62499999996
48,43907.41666666676
49,40449.258333333324
50,40299.78333333338
51,40708.12499999988
52,39246.12499999999
53,40051.158333333275
54,37971.69166666667
55,38682.24999999998
56,37971.57499999999
57,38743.71666666668
58,38178.61666666666
59,38064.216666666696
60,37886.49166666667
61,35776.11666666666
62,37335.63333333332
63,36495.12500000002
64,38114.89166666663
65,36954.33333333332
66,36727.34999999996
67,36231.39166666665
68,36780.39166666661
69,36132.72499999997
70,37086.875000000044
71,35553.716666666696
72,36591.79166666669
73,35585.69999999999
74,36370.89999999999
75,35169.30833333334
76,35052.475000000006
77,36001.03333333334
78,34835.833333333336
79,33344.35833333334
80,35007.43333333332
81,33691.125
82,33939.724999999984
83,33781.53333333332
84,34239.80833333336
85,32904.77499999999
86,32362.033333333315
87,31910.374999999964
88,34888.4
89,33137.34166666672
90,33319.883333333324
91,33295.47499999997
92,34665.4333333333
93,30800.29166666664
94,33446.94999999997
95,31003.7083333333
96,31863.21666666664
97,30516.6
98,32598.358333333315
99,29561.3666666667
100,30818.5833333333
