Iteration,onDemandRideRevenue,averageOnDemandRideWaitingTimeInSeconds,totalOnDemandRideWaitingTimeInSeconds,passengerVKT,repositioningVKT,deadHeadingVKT,averageSurgePriceLevel,maxSurgePriceLevel,reservationCount
0,45649.991666666654,4.0227816736793045,28682.43333333344,29491.25362600001,0.0,3546.996117,1.0,1.0,7130
1,96368.67499999987,8.678596491228062,57712.66666666661,34695.691003999986,0.0,4229.980178999997,1.0,1.0,6650
2,96331.50000000023,8.691036733454734,57256.549999999785,33622.49143100001,0.0,4175.083868999997,1.0,1.0,6588
3,96666.8833333333,8.15358721431646,50421.78333333299,32162.540324,0.0,3342.2952299999997,1.0,1.0,6184
4,86547.59999999986,7.936622731941058,46365.74999999966,31026.95052400001,0.0,3054.6882179999993,1.0,1.0,5842
5,84729.15833333343,7.9266365824308025,43913.566666666644,27768.625168,0.0,3065.336886999999,1.0,1.0,5540
6,79124.65833333343,7.162578027465664,38248.16666666665,27474.538669000012,0.0,2705.7433769999993,1.0,1.0,5340
7,75918.51666666678,7.375009545628052,38630.29999999974,28075.583670000018,0.0,2593.931908999999,1.0,1.0,5238
8,73240.50833333329,6.887075104124708,34173.6666666668,25555.53383300001,0.0,2346.8165599999998,1.0,1.0,4962
9,71997.1666666667,6.702552212146193,32520.78333333333,25270.847046,0.0,2276.6538759999994,1.0,1.0,4852
10,66889.80833333326,6.136385889128906,28411.466666666834,24775.012602000013,0.0,2052.793377999999,1.0,1.0,4630
11,66825.97499999996,6.917173787944188,32054.183333333367,23169.441389999996,0.0,2128.0405979999996,1.0,1.0,4634
12,65985.95000000003,6.4121448447569,29188.08333333341,22678.624962999995,0.0,2018.9247339999995,1.0,1.0,4552
13,65711.39166666663,6.277688051443118,27985.933333333418,23064.252307000002,0.0,1881.412767999999,1.0,1.0,4458
14,62076.62499999999,5.639416251321574,24892.383333333426,22236.46318500001,0.0,1764.798599,1.0,1.0,4414
15,59731.36666666666,6.416846577859489,27938.950000000215,23766.27743999999,0.0,1902.1043799999993,1.0,1.0,4354
16,57642.51666666661,5.464598909657325,23388.48333333335,21791.089154,0.0,1633.033678,1.0,1.0,4280
17,58292.09999999991,5.9029602220166675,25524.40000000007,22431.336367000004,0.0,1809.964717000001,1.0,1.0,4324
18,58246.15000000003,5.4759612329202625,22977.133333333422,21265.419420999988,0.0,1667.1181119999992,1.0,1.0,4196
19,55011.933333333385,5.62338041889917,23089.59999999999,20362.821771999992,0.0,1617.0733829999995,1.0,1.0,4106
20,56894.533333333355,5.520942386831287,22359.816666666713,20092.537974,0.0,1570.4461459999995,1.0,1.0,4050
21,55827.19166666673,5.646101413133836,22640.866666666683,19947.601466000007,0.0,1550.5613679999994,1.0,1.0,4010
22,53992.866666666654,4.8041814047498805,19014.950000000026,19850.504986999993,0.0,1427.6102339999995,1.0,1.0,3958
23,51245.70833333328,4.72355455002514,18790.300000000007,21036.467912999993,0.0,1431.8125189999994,1.0,1.0,3978
24,53370.51666666661,5.3956295525494555,20740.80000000011,19535.784503,0.0,1484.1457249999994,1.0,1.0,3844
25,50383.81666666672,5.364177881297475,20727.183333333443,18957.976439,0.0,1501.9003779999998,1.0,1.0,3863
26,52825.316666666615,5.190487042001797,19360.516666666703,18444.767323000007,0.0,1416.0106199999996,1.0,1.0,3729
27,47713.19166666666,5.0607190590751525,18932.150000000147,18699.03901599999,0.0,1258.564146,1.0,1.0,3741
28,48868.79166666666,4.987411636759124,18343.70000000006,17916.384643999998,0.0,1247.5404219999996,1.0,1.0,3678
29,49602.9333333333,5.081621129326063,18598.73333333339,18955.511845,0.0,1368.7176589999995,1.0,1.0,3660
30,46962.34166666665,5.1456709354120305,18483.250000000015,17431.582416000005,0.0,1348.097727,1.0,1.0,3592
31,46021.98333333332,4.933319566813536,17917.81666666676,18043.993833000004,0.0,1359.671299,1.0,1.0,3632
32,46686.175000000105,4.833751160631404,17353.16666666674,17397.706018999997,0.0,1260.6083899999999,1.0,1.0,3590
33,47177.408333333304,4.808435868754675,17194.966666666718,18485.449110999994,0.0,1309.1609079999998,1.0,1.0,3576
34,44481.49166666666,4.6298140770252445,16269.166666666708,17966.578881999998,0.0,1210.9953509999993,1.0,1.0,3514
35,43182.266666666634,5.139902467010911,17917.700000000037,17481.453320999997,0.0,1282.563080999999,1.0,1.0,3486
36,44762.1166666666,4.392555428134573,15321.23333333339,17005.900082000004,0.0,1131.0825899999995,1.0,1.0,3488
37,43029.725000000006,5.05729530461779,17376.866666666727,17463.093868000004,0.0,1217.9892799999998,1.0,1.0,3436
38,43226.17500000006,5.065064478311854,17282.000000000044,16516.156184999996,0.0,1108.7512469999997,1.0,1.0,3412
39,42940.7,4.887487591820531,16412.183333333345,17230.171223999994,0.0,1225.5615979999995,1.0,1.0,3358
40,43671.9083333333,4.323440924486958,14466.23333333336,16426.502671999995,0.0,1020.0853769999995,1.0,1.0,3346
41,43399.283333333384,4.797485415409374,15898.866666666665,15964.667618,0.0,1182.8080939999993,1.0,1.0,3314
42,42267.21666666666,4.363020833333328,14520.133333333317,16382.466717999994,0.0,1047.860661,1.0,1.0,3328
43,42833.59166666668,4.714515006956882,15812.483333333383,16670.489662,0.0,1102.4488840000001,1.0,1.0,3354
44,41861.96666666668,4.593343403826799,15203.966666666704,15461.030146000005,0.0,1061.985749,1.0,1.0,3310
45,40323.94166666664,4.405956660675062,14707.083333333356,16601.355897999994,0.0,1066.0153789999997,1.0,1.0,3338
46,40321.725000000064,4.5062587692924625,14987.81666666673,16246.807239999996,0.0,1135.2172349999998,1.0,1.0,3326
47,41436.62499999996,4.8598378926038555,15988.866666666683,15818.110932,0.0,1067.2885289999995,1.0,1.0,3290
48,43907.41666666676,4.7771151108399375,15659.383333333315,15158.383650999995,0.0,1037.8787299999997,1.0,1.0,3278
49,40449.258333333324,4.489115959844307,14607.583333333374,15609.348100999998,0.0,1060.3941609999997,1.0,1.0,3254
50,40299.78333333338,4.648650345260525,14810.600000000033,14898.342223999993,0.0,1102.0557029999995,1.0,1.0,3186
51,40708.12499999988,4.677567237163807,15304.999999999975,15167.829435999998,0.0,1122.0563189999996,1.0,1.0,3272
52,39246.12499999999,4.573741080530061,14956.1333333333,16247.825396999997,0.0,1103.7986769999998,1.0,1.0,3270
53,40051.158333333275,4.516226708074531,14542.24999999999,15940.760967000002,0.0,1000.8781909999998,1.0,1.0,3220
54,37971.69166666667,4.316498316498334,13674.666666666724,15938.478470999997,0.0,1054.0622019999994,1.0,1.0,3168
55,38682.24999999998,4.4194111461619405,14009.533333333353,14576.454992000003,0.0,1003.5151779999997,1.0,1.0,3170
56,37971.57499999999,4.451093247588429,13842.900000000014,14511.994672999997,0.0,1024.940995,1.0,1.0,3110
57,38743.71666666668,4.444904226525086,14232.583333333325,15579.654036999995,0.0,1080.4826389999996,1.0,1.0,3202
58,38178.61666666666,4.302547770700633,13509.999999999987,15555.836533999996,0.0,940.5385739999999,1.0,1.0,3140
