Bin,AverageLinkSpeed
0,0,100.0
1,1,100.0
2,2,100.0
3,3,100.0
4,4,100.0
5,5,100.0
6,6,100.0
7,7,100.0
8,8,98.98538038385207
9,9,97.30155429626069
10,10,96.64887219266586
11,11,96.1633383862364
12,12,95.64746958694734
13,13,95.67813747923579
14,14,95.73126520839169
15,15,95.33051069659929
16,16,95.24674245449955
17,17,95.29524178051854
18,18,94.3716966838133
19,19,93.84910392350214
20,20,93.88723502725867
21,21,93.83466766772113
22,22,93.6941680996713
23,23,93.79024986321208
24,24,94.1539578967887
25,25,93.95298004304358
26,26,94.40641211521303
27,27,94.83136509409388
28,28,95.31708987153758
29,29,96.76735852353578
30,30,100.0
