rideHailAgentID,xCoord,yCoord
rideHailAgent-1101-2014000159546-064906,683343.4498284461,4819775.9473241195
rideHailAgent-1803-2015001011409-1114007,684306.0834517744,4814696.000918466
rideHailAgent-10401-2012000442109-09264,690356.2166168282,4817851.816692693
rideHailAgent-1700-2015001390631-0122413,688901.6563184995,4820985.050121948
rideHailAgent-500-2013001200076-055546,689366.4739743295,4818745.611072187
rideHailAgent-1101-2014000279897-067696,685660.1316201787,4821651.121234566
rideHailAgent-700-2015001011409-0113950,685439.7165328343,4827156.447468931
rideHailAgent-1803-2015001124901-0116480,683725.2483410756,4824186.668388461
rideHailAgent-300-2016001459467-0156154,681212.50462578,4819613.637235055
rideHailAgent-10405-2015001250896-0119447,678039.915131418,4832493.286961978
rideHailAgent-10104-2016000456554-1135129,680894.8804497578,4818355.00597249
rideHailAgent-1101-2014000053367-062093,685826.4097289911,4816484.226913154
rideHailAgent-1002-2016000510160-1136523,676056.1579160464,4823451.341254785
rideHailAgent-10104-2016001424895-2155047,684437.339921384,4817013.010891808
rideHailAgent-1803-2015001314717-3121024,682280.5328801131,4815271.060661908
rideHailAgent-600-2012001055364-121096,680281.6395487569,4820287.866147446
rideHailAgent-10104-2015000769721-0106347,686382.8324585753,4820837.607945784
rideHailAgent-1803-2013001097023-053375,684638.6996673805,4822973.649287235
rideHailAgent-10104-2015000848686-1110316,687329.8323025313,4814237.183155108
rideHailAgent-10401-2012000559396-011043,688682.255841311,4822719.118634963
rideHailAgent-1804-2013000438496-140575,686916.4837825196,4824885.792938679
rideHailAgent-1001-2014000079080-062938,676561.191586165,4819369.137355481
rideHailAgent-1200-2012001145091-023354,677645.2414808536,4816983.870641453
rideHailAgent-1001-2013000376438-038621,677428.9347269695,4829109.209853985
rideHailAgent-700-2015000035260-091825,680031.5629170759,4828373.634837202
rideHailAgent-1002-2012000420927-08821,678543.3810304294,4820462.96299407
rideHailAgent-1001-2012000854454-017597,677562.090524549,4822569.061482416
rideHailAgent-1106-2012000169809-03278,682488.7942783413,4819924.184296152
rideHailAgent-202-2016000105810-0127134,682203.1499594655,4824575.46666813
rideHailAgent-300-2012001047732-020989,690157.1385676217,4821716.554750341
rideHailAgent-1105-2014000533554-072812,673838.3143729239,4821313.751770533
rideHailAgent-407-2012000156497-02951,690921.0799546869,4825537.460317502
rideHailAgent-1902-2015000502599-0100373,684814.2261545076,4815928.846908866
rideHailAgent-900-2016000644235-0140060,680749.6407153093,4818940.840834947
rideHailAgent-1803-2013000000387-029634,689172.5771554771,4817254.554253381
rideHailAgent-407-2016000116811-1127563,688428.7376680818,4819396.055790924
rideHailAgent-10401-2014000079080-062964,691189.074809087,4815562.436727475
rideHailAgent-10405-2016000423611-0134622,681868.9833396147,4827275.825193157
rideHailAgent-1002-2013000226280-034745,679528.8129071312,4826566.250887866
rideHailAgent-1500-2013000636360-045401,680561.5428973268,4823832.889883535
rideHailAgent-1803-2013000818226-148622,684798.4939713037,4824156.331970999
rideHailAgent-1801-2012000178004-03580,690575.7261270179,4820655.576164032
rideHailAgent-1500-2016001091689-0149042,682518.8237529953,4820897.8099087095
rideHailAgent-1200-2015001496562-0123825,684542.5141022027,4823154.393695719
