iterations,car,drive_transit,ride_hail,walk,walk_transit
0,1368,136,420,26,96
1,1358,121,412,38,131
2,1380,121,404,31,121
3,1372,123,382,41,144
4,1370,118,382,38,156
5,1410,113,352,56,125
6,1410,113,344,47,149
7,1396,120,362,53,121
8,1414,105,352,47,140
9,1426,116,336,43,139
10,1438,105,318,56,148
11,1422,125,322,53,135
12,1420,115,312,67,155
13,1454,119,302,55,127
14,1456,107,312,51,123
15,1456,99,314,52,134
16,1478,100,298,58,124
17,1468,96,306,58,123
18,1516,80,284,52,112
19,1482,98,294,48,127
20,1486,91,286,54,142
21,1472,101,282,61,138
22,1496,100,278,60,110
23,1476,106,274,66,132
24,1480,99,272,63,141
25,1504,87,260,75,125
26,1504,92,258,73,120
27,1492,105,252,60,148
28,1496,98,262,75,114
29,1518,97,240,72,126
30,1520,89,238,79,126
31,1532,97,230,74,117
32,1500,103,248,72,128
33,1512,87,252,68,134
34,1530,103,228,67,118
35,1512,94,240,77,123
36,1520,105,228,73,123
37,1532,95,226,67,126
38,1510,90,238,72,137
39,1524,98,226,69,134
40,1526,103,214,78,130
41,1526,114,216,75,117
42,1514,108,224,82,122
43,1532,100,226,73,118
44,1526,94,232,71,129
45,1532,96,212,75,140
46,1524,91,232,78,123
47,1522,97,222,84,117
48,1536,92,216,80,132
49,1522,92,228,79,139
50,1540,92,222,79,110
51,1538,101,198,82,140
52,1538,95,214,64,148
53,1520,99,226,83,120
54,1528,102,218,76,129
55,1532,95,216,88,112
56,1510,104,232,81,122
57,1548,91,204,83,127
58,1536,94,226,71,128
59,1546,89,210,79,113
60,1524,93,218,89,129
61,1536,87,216,78,131
62,1568,85,196,88,104
63,1554,85,204,81,124
64,1546,85,216,79,122
65,1522,105,218,86,119
66,1546,88,208,83,117
67,1536,99,208,92,110
68,1558,87,198,82,122
69,1552,95,208,89,92
70,1518,101,210,92,138
71,1550,94,194,95,114
72,1540,84,216,88,115
73,1554,84,206,91,109
74,1538,92,198,85,143
75,1558,105,186,86,108
76,1554,91,196,88,118
77,1538,95,198,82,140
78,1540,93,206,86,125
79,1550,101,190,85,118
80,1542,94,206,87,114
81,1546,77,214,92,116
82,1536,99,202,85,132
83,1551,94,202,89,114
84,1556,100,180,97,108
85,1544,86,202,94,127
86,1574,94,176,88,119
87,1566,98,178,83,122
88,1560,93,202,84,114
89,1558,83,198,93,112
90,1558,87,196,97,113
91,1554,91,200,95,102
92,1556,88,198,87,125
93,1548,77,210,94,119
94,1560,82,204,97,101
95,1570,77,192,95,112
96,1562,87,196,94,98
97,1558,96,192,94,110
98,1572,72,190,92,126
99,1564,94,196,91,95
100,1552,86,206,99,97
